"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"4","E02004817","Test Valley 004",3729,1,121,121,26,26,2188,266,137,825,18,261.114990234375,124.113998413086,784.864013671875,-40.1360015869141,2121.41796875,-66.5820007324219,219.99299621582,82.9929962158203,796.632019042969,-28.3680000305176,2144.1240234375,-43.8759994506836,869.719970703125,732.719970703125,569.890991210938,-255.108993530273,1810.38793945312,-377.611999511719,1092.751953125,955.752014160156,515.857971191406,-309.141998291016,1675.77697753906,-512.223022460938,-0.0297200009226799,55142,-0.0469699986279011,87111,-0.0172400008887053,31969,-0.047919999808073,88898,-0.0182000007480383,33756,-0.086669996380806,160770,-0.0569499991834164,105628,-0.0890799984335899,165239,-0.059349998831749,110097,-0.0192900002002716,35776,-0.0297999996691942,55253,-0.0105100004002452,19477,-0.0306199993938208,56797,-0.0113300001248717,21021,-0.0575099997222424,106662,-0.0382199995219707,70886,-0.0627000033855438,116304,-0.043419998139143,80528,-18308,-29600,-11292,-30078,-11770,-64797,-46489,-106664,-88356,0.0178988476241068
"30","E02004809","Rushmoor 008",4765,12,359,265,3,38,2284,233,270,1195,106,406.984008789062,136.983993530273,1151.88598632812,-43.1139984130859,2219.73510742188,-64.2649993896484,365.420989990234,95.4209976196289,1163.35705566406,-31.6429996490479,2238.27807617188,-45.7220001220703,967.879028320312,697.879028320312,955.857971191406,-239.141998291016,1971.37902832031,-312.621002197266,1340.86303710938,1070.86303710938,850.549987792969,-344.450012207031,1787.15502929688,-496.845001220703,-0.0305499993264675,56659,-0.0598799996078014,111028,-0.0293300002813339,54369,-0.0424199998378754,78677,-0.0118699995800853,22018,-0.157289996743202,291758,-0.126739993691444,235099,-0.164259999990463,304696,-0.133719995617867,248037,-0.0204700008034706,37967,-0.0393900014460087,73002,-0.0189100001007318,35035,-0.0280799996107817,52072,-0.00761000020429492,14105,-0.105190001428127,195089,-0.0847200006246567,157122,-0.115960001945496,215084,-0.095490001142025,177117,-20026,-36193,-16167,-30869,-10843,-85569,-65543,-146281,-126255,0.0162513464908456
"64","E02003548","Portsmouth 025",3068,11,200,203,25,34,1517,144,333,558,43,501.950988769531,168.95100402832,507.518005371094,-50.4819984436035,1433.22497558594,-83.7750015258789,432.028991699219,99.0289993286133,531.140014648438,-26.8600006103516,1465.83703613281,-51.1629981994629,948.692016601562,615.692016601562,357.089996337891,-200.910003662109,1220.97497558594,-296.024993896484,1056.59802246094,723.598022460938,347.766998291016,-210.233001708984,1150.38903808594,-366.610992431641,-0.109480001032352,203099,-0.160980001091957,298605,-0.0515000000596046,95506,-0.129480004310608,240191,-0.0199999995529652,37092,-0.263810008764267,489404,-0.154330000281334,286305,-0.251850008964539,467222,-0.142379999160767,264123,-0.0692100003361702,128386,-0.102140001952648,189449,-0.032930001616478,61063,-0.0810599997639656,150374,-0.0118599999696016,21988,-0.173309996724129,321495,-0.104099996387959,193109,-0.169139996170998,313760,-0.099930003285408,185374,-41742,-61524,-19782,-55022,-13280,-102543,-60801,-138889,-97147,0.00504176594473151
"88","E02003568","Southampton 020",4759,8,271,305,13,36,2280,281,342,1179,44,524.296997070312,182.296997070312,1113.53100585938,-65.4690017700195,2195.77099609375,-84.2289962768555,470.967010498047,128.966995239258,1128.10400390625,-50.8959999084473,2222.82495117188,-57.1749992370605,1147.95202636719,805.952026367188,865.351989746094,-313.648010253906,1925.97595214844,-354.023986816406,1465.40002441406,1123.40002441406,777.330017089844,-401.670013427734,1761.03601074219,-518.963989257812,-0.0543499998748302,100824,-0.0934600010514259,173339,-0.0391100011765957,72515,-0.0693700015544891,128675,-0.0150199998170137,27851,-0.220359995961189,408784,-0.16601000726223,307960,-0.216079995036125,400834,-0.161730006337166,300010,-0.0360199995338917,66823,-0.0611900016665459,113462,-0.0251599997282028,46639,-0.0452100001275539,83851,-0.00918000005185604,17028,-0.147980004549026,274501,-0.111960001289845,207678,-0.153919994831085,285510,-0.117899999022484,218687,-33197,-54584,-21387,-47198,-14001,-112415,-79218,-178239,-145042,0.0133401717529754
"103","E02004696","Basingstoke and Deane 022",2638,10,245,86,3,14,1935,117,24,184,20,60.2859992980957,36.2859992980957,177.145004272461,-6.85500001907349,1910.1650390625,-24.8349990844727,50.7220001220703,26.7220001220703,178.110992431641,-5.88899993896484,1917.01794433594,-17.9820003509521,204.929992675781,180.929992675781,141.705001831055,-42.2949981689453,1818.44396972656,-116.555999755859,373.144012451172,349.144012451172,122.141998291016,-61.8580017089844,1693.09594726562,-241.904006958008,-0.0138699999079108,25725,-0.0369100011885166,68451,-0.0230400003492832,42726,-0.0293099991977215,54371,-0.0154400002211332,28646,-0.0941699966788292,174685,-0.0803000032901764,148960,-0.145789995789528,270450,-0.131919994950294,244725,-0.00788000039756298,14611,-0.0218700002878904,40536,-0.0139899998903275,25925,-0.0165899991989136,30764,-0.00870999973267317,16153,-0.060309998691082,111860,-0.0524300001561642,97249,-0.0984200015664101,182575,-0.090549997985363,167964,-7526,-19681,-12155,-17168,-9642,-52893,-45367,-127802,-120276,NA
"163","E02004815","Test Valley 002",3460,0,54,250,61,31,1946,312,172,614,20,314.019012451172,142.018997192383,578.585021972656,-35.4150009155273,1872.48901367188,-73.5110015869141,276.859008789062,104.859001159668,588.122009277344,-25.8780002593994,1891.97998046875,-54.0200004577637,912.541015625,740.541015625,416.527008056641,-197.473007202148,1572.83203125,-373.167999267578,1123.72998046875,951.72998046875,378.377014160156,-235.623001098633,1450.40100097656,-495.597991943359,-0.0432000011205673,80146,-0.0693200007081032,128594,-0.0261199995875359,48448,-0.0679600015282631,126078,-0.0247600004076958,45932,-0.140499994158745,260653,-0.0973000004887581,180507,-0.135830000042915,251987,-0.092629998922348,171841,-0.0265100002288818,49182,-0.0429800003767014,79708,-0.0164599996060133,30526,-0.0419799983501434,77867,-0.0154600003734231,28685,-0.091159999370575,169105,-0.0646499991416931,119923,-0.0914800018072128,169690,-0.0649600028991699,120508,-22523,-36807,-14284,-34014,-11491,-82005,-59482,-122591,-100068,0.014119988634642
"312","E02003572","Southampton 024",2913,2,53,281,9,40,1952,167,116,272,21,209.285003662109,93.2850036621094,260.048004150391,-11.9519996643066,1892.40905761719,-59.5909996032715,190.664001464844,74.6640014648438,262.432006835938,-9.56799983978271,1905.78601074219,-46.2140007019043,587.616027832031,471.615997314453,202.544006347656,-69.4560012817383,1657.21899414062,-294.781005859375,852.333984375,736.333984375,177.132995605469,-94.8669967651367,1473.14294433594,-478.856994628906,-0.0469800010323524,87139,-0.0848300009965897,157304,-0.0378499999642372,70165,-0.0647900030016899,120173,-0.0178100001066923,33034,-0.250239998102188,464217,-0.203270003199577,377078,-0.278180003166199,516055,-0.231209993362427,428916,-0.0303199999034405,56244,-0.0544600002467632,100986,-0.0241400003433228,44742,-0.0417199991643429,77371,-0.0113899996504188,21127,-0.162890002131462,302157,-0.132569998502731,245913,-0.18452000617981,342289,-0.154200002551079,286045,-20953,-38555,-17602,-33206,-12253,-98525,-77572,-165983,-145030,0.0171731600322045
"316","E02004730","Fareham 004",3793,1,189,69,15,56,2849,168,133,287,26,236.445007324219,103.444999694824,274.712005615234,-12.2880001068115,2770.44189453125,-78.5579986572266,222.906997680664,89.9069976806641,274.199005126953,-12.8000001907349,2782.85400390625,-66.1460037231445,619.744995117188,486.744995117188,216.341003417969,-70.6589965820312,2488.78198242188,-360.217987060547,919.848999023438,786.848999023438,192.783996582031,-94.2160034179688,2252.34594726562,-596.653991699219,-0.0566399991512299,105069,-0.105200000107288,195086,-0.0485600009560585,90017,-0.0965299978852272,179073,-0.0398899987339973,74004,-0.232999995350838,432215,-0.176359996199608,327146,-0.284720003604889,528159,-0.228070005774498,423090,-0.0365099981427193,67712,-0.0663599967956543,123050,-0.0298599991947412,55338,-0.0620899982750416,115167,-0.0255800001323223,47455,-0.149399995803833,277115,-0.112899996340275,209403,-0.186039999127388,345081,-0.14954000711441,277369,-32504,-60400,-27896,-53136,-20632,-138069,-105565,-246049,-213545,0.0128973679197346
"358","E02003549","Southampton 001",2875,5,92,257,14,17,1748,162,143,411,26,224.108001708984,81.1080017089844,395.321014404297,-15.6789999008179,1699.87902832031,-48.1209983825684,234.041000366211,91.0410003662109,386.589996337891,-24.4099998474121,1697.17700195312,-50.8230018615723,542.5419921875,399.5419921875,320.759002685547,-90.2409973144531,1521.57299804688,-226.427001953125,786.872985839844,643.872985839844,277.904998779297,-133.095001220703,1367.83605957031,-380.164001464844,-0.0473599992692471,87847,-0.0749699994921684,139037,-0.0276100002229214,51190,-0.0631600022315979,117152,-0.0157999992370605,29305,-0.191210001707077,354692,-0.14384999871254,266845,-0.200910001993179,372700,-0.153559997677803,284853,-0.0308299995958805,57181,-0.048640001565218,90175,-0.0178100001066923,32994,-0.0410900004208088,76211,-0.0102599998936057,19030,-0.125990003347397,233699,-0.095160000026226,176518,-0.136899992823601,253926,-0.106069996953011,196745,-22588,-35959,-13371,-35472,-12884,-81047,-58459,-131963,-109375,0.0200011209482653
"364","E02004775","Havant 014",3857,9,313,98,15,35,2601,179,142,448,17,286.286987304688,144.287002563477,421.338989257812,-26.6609992980957,2505.15991210938,-95.8399963378906,221.608001708984,79.6080017089844,433.072998046875,-14.9270000457764,2548.32299804688,-52.6769981384277,835.580993652344,693.580993652344,297.634002685547,-150.367004394531,2154.48706054688,-446.513000488281,1047.95202636719,905.952026367188,284.381011962891,-163.619003295898,1993.67004394531,-607.330017089844,-0.0802100002765656,148798,-0.166649997234344,309112,-0.0864399969577789,160314,-0.136769995093346,253725,-0.0565599985420704,104927,-0.337559998035431,626215,-0.257349997758865,477417,-0.362789988517761,673029,-0.282579988241196,524231,-0.0510499998927116,94690,-0.105290003120899,195278,-0.0542399995028973,100588,-0.0856499969959259,158881,-0.0346000008285046,64191,-0.218480005860329,405293,-0.167439997196198,310603,-0.241620004177094,448210,-0.190569996833801,353520,-27165,-56793,-29628,-46479,-19314,-139039,-111874,-222423,-195258,0.00620356218070858
