"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"4","E02004817","Test Valley 004",3729,1,121,121,26,26,2188,266,137,825,18,261.11499,124.114,784.86401,2121.41797,-66.582,219.993,82.993,796.63202,2144.12402,-43.876,869.71997,732.71997,569.89099,1810.38794,-377.612,1092.75195,955.75201,515.85797,1675.77698,-512.22302,-0.0298,55253,-0.01051,19477,-0.03062,56797,-0.01133,21021,-0.05751,106662,-0.03822,70886,-0.0627,116304,-0.04342,80528,-29600,-11292,-30078,-11770,-64797,-46489,-106664,-88356,0.0179
"30","E02004809","Rushmoor 008",4765,12,359,265,3,38,2284,233,270,1195,106,406.98401,136.98399,1151.88599,2219.73511,-64.265,365.42099,95.421,1163.35706,2238.27808,-45.722,967.87903,697.87903,955.85797,1971.37903,-312.621,1340.86304,1070.86304,850.54999,1787.15503,-496.845,-0.03939,73002,-0.01891,35035,-0.02808,52072,-0.00761,14105,-0.10519,195089,-0.08472,157122,-0.11596,215084,-0.09549,177117,-36193,-16167,-30869,-10843,-85569,-65543,-146281,-126255,0.01625
"64","E02003548","Portsmouth 025",3068,11,200,203,25,34,1517,144,333,558,43,501.95099,168.951,507.51801,1433.22498,-83.775,432.02899,99.029,531.14001,1465.83704,-51.163,948.69202,615.69202,357.09,1220.97498,-296.02499,1056.59802,723.59802,347.767,1150.38904,-366.61099,-0.10214,189449,-0.03293,61063,-0.08106,150374,-0.01186,21988,-0.17331,321495,-0.1041,193109,-0.16914,313760,-0.09993,185374,-61524,-19782,-55022,-13280,-102543,-60801,-138889,-97147,0.00504
"88","E02003568","Southampton 020",4759,8,271,305,13,36,2280,281,342,1179,44,524.297,182.297,1113.53101,2195.771,-84.229,470.96701,128.967,1128.104,2222.82495,-57.175,1147.95203,805.95203,865.35199,1925.97595,-354.02399,1465.40002,1123.40002,777.33002,1761.03601,-518.96399,-0.06119,113462,-0.02516,46639,-0.04521,83851,-0.00918,17028,-0.14798,274501,-0.11196,207678,-0.15392,285510,-0.1179,218687,-54584,-21387,-47198,-14001,-112415,-79218,-178239,-145042,0.01334
"103","E02004696","Basingstoke and Deane 022",2638,10,245,86,3,14,1935,117,24,184,20,60.286,36.286,177.145,1910.16504,-24.835,50.722,26.722,178.11099,1917.01794,-17.982,204.92999,180.92999,141.705,1818.44397,-116.556,373.14401,349.14401,122.142,1693.09595,-241.90401,-0.02187,40536,-0.01399,25925,-0.01659,30764,-0.00871,16153,-0.06031,111860,-0.05243,97249,-0.09842,182575,-0.09055,167964,-19681,-12155,-17168,-9642,-52893,-45367,-127802,-120276,NA
"163","E02004815","Test Valley 002",3460,0,54,250,61,31,1946,312,172,614,20,314.01901,142.019,578.58502,1872.48901,-73.511,276.85901,104.859,588.12201,1891.97998,-54.02,912.54102,740.54102,416.52701,1572.83203,-373.168,1123.72998,951.72998,378.37701,1450.401,-495.59799,-0.04298,79708,-0.01646,30526,-0.04198,77867,-0.01546,28685,-0.09116,169105,-0.06465,119923,-0.09148,169690,-0.06496,120508,-36807,-14284,-34014,-11491,-82005,-59482,-122591,-100068,0.01412
"312","E02003572","Southampton 024",2913,2,53,281,9,40,1952,167,116,272,21,209.285,93.285,260.048,1892.40906,-59.591,190.664,74.664,262.43201,1905.78601,-46.214,587.61603,471.616,202.54401,1657.21899,-294.78101,852.33398,736.33398,177.133,1473.14294,-478.85699,-0.05446,100986,-0.02414,44742,-0.04172,77371,-0.01139,21127,-0.16289,302157,-0.13257,245913,-0.18452,342289,-0.1542,286045,-38555,-17602,-33206,-12253,-98525,-77572,-165983,-145030,0.01717
"316","E02004730","Fareham 004",3793,1,189,69,15,56,2849,168,133,287,26,236.44501,103.445,274.71201,2770.44189,-78.558,222.907,89.907,274.19901,2782.854,-66.146,619.745,486.745,216.341,2488.78198,-360.21799,919.849,786.849,192.784,2252.34595,-596.65399,-0.06636,123050,-0.02986,55338,-0.06209,115167,-0.02558,47455,-0.1494,277115,-0.1129,209403,-0.18604,345081,-0.14954,277369,-60400,-27896,-53136,-20632,-138069,-105565,-246049,-213545,0.0129
"358","E02003549","Southampton 001",2875,5,92,257,14,17,1748,162,143,411,26,224.108,81.108,395.32101,1699.87903,-48.121,234.041,91.041,386.59,1697.177,-50.823,542.54199,399.54199,320.759,1521.573,-226.427,786.87299,643.87299,277.905,1367.83606,-380.164,-0.04864,90175,-0.01781,32994,-0.04109,76211,-0.01026,19030,-0.12599,233699,-0.09516,176518,-0.1369,253926,-0.10607,196745,-35959,-13371,-35472,-12884,-81047,-58459,-131963,-109375,0.02
"364","E02004775","Havant 014",3857,9,313,98,15,35,2601,179,142,448,17,286.28699,144.287,421.33899,2505.15991,-95.84,221.608,79.608,433.073,2548.323,-52.677,835.58099,693.58099,297.634,2154.48706,-446.513,1047.95203,905.95203,284.38101,1993.67004,-607.33002,-0.10529,195278,-0.05424,100588,-0.08565,158881,-0.0346,64191,-0.21848,405293,-0.16744,310603,-0.24162,448210,-0.19057,353520,-56793,-29628,-46479,-19314,-139039,-111874,-222423,-195258,0.0062
"392","E02004686","Basingstoke and Deane 012",4313,10,414,286,22,14,2203,156,116,1072,20,236.85899,120.859,1030.59998,2144.51611,-58.484,179.287,63.287,1053.08997,2169.82007,-33.18,852.46802,736.46802,786.96002,1870.41199,-332.58801,1182.125,1066.125,685.79498,1699.76001,-503.23999,-0.03151,58418,-0.01447,26811,-0.02486,46108,-0.00782,14501,-0.07643,141760,-0.0594,110153,-0.08512,157869,-0.06808,126262,-29714,-13507,-24826,-8619,-73204,-56997,-128571,-112364,0.01623
