"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"136978",1,1,1,16.309,6216,260,262,0.01606,3040,205,44192,"E02002905 E02002906",260
"136979",1,1,1,16.959,6408,268,274,0.01616,3161,210,45649,"E02002905 E02002907",268
"136980",1,1,1,13.715,4954,216,188,0.01371,2557,153,38173,"E02002905 E02002908",216
"136992",1,1,1,20.862,8974,564,500,0.02397,3889,356,71750,"E02002905 E02006710",564
"136994",1,1,1,1.279,538,33,38,0.02971,238,21,2093,"E02002906 E02002907",33
"136995",1,1,1,3.55,1612,53,76,0.02141,662,60,8568,"E02002906 E02002908",53
"136996",1,1,1,19.316,9666,315,501,0.02594,3601,417,121313,"E02002906 E02002909",315
"136997",1,1,1,22.011,10440,456,416,0.0189,4103,438,112072,"E02002906 E02002910",456
"136998",1,1,1,20.001,8648,267,305,0.01525,3728,325,57588,"E02002906 E02002911",267
"136999",1,1,1,19.947,8032,277,243,0.01218,3718,266,51465,"E02002906 E02002912",277
"137000",1,1,1,21.211,9402,293,427,0.02013,3954,354,90274,"E02002906 E02002914",293
"137001",1,1,1,21.401,9646,296,409,0.01911,3989,365,101925,"E02002906 E02002915",296
"137002",1,1,1,21.638,9454,316,403,0.01862,4034,346,104807,"E02002906 E02002916",316
"137007",1,1,1,20.334,10282,473,608,0.0299,3790,448,97938,"E02002906 E02006710",473
"137010",1,1,1,4.2,1992,61,88,0.02095,783,79,12081,"E02002907 E02002908",61
"137011",1,1,1,18.496,9334,293,471,0.02546,3448,405,120092,"E02002907 E02002909",293
"137012",1,1,1,22.661,10820,464,428,0.01889,4224,457,115585,"E02002907 E02002910",464
"137013",1,1,1,19.314,8414,238,299,0.01548,3600,322,56403,"E02002907 E02002911",238
"137014",1,1,1,18.587,7488,241,211,0.01135,3465,248,49119,"E02002907 E02002912",241
"137015",1,1,1,19.851,8858,257,395,0.0199,3700,335,87928,"E02002907 E02002914",257
"137016",1,1,1,20.041,9102,260,377,0.01881,3736,346,99579,"E02002907 E02002915",260
"137017",1,1,1,20.278,8910,280,371,0.0183,3780,327,102461,"E02002907 E02002916",280
"137018",1,1,1,20.999,9364,280,406,0.01933,3914,350,95006,"E02002907 E02002917",280
"137023",1,1,1,20.351,10374,482,596,0.02929,3794,452,98896,"E02002907 E02006710",482
"137027",1,1,1,22.237,10938,343,551,0.02478,4145,465,129143,"E02002908 E02002909",343
"137028",1,1,1,18.461,8830,405,340,0.01842,3441,378,103505,"E02002908 E02002910",405
"137029",1,1,1,19.162,8332,275,315,0.01644,3572,318,77446,"E02002908 E02002911",275
"137030",1,1,1,22.868,9304,305,293,0.01281,4263,314,59295,"E02002908 E02002912",305
"137031",1,1,1,21.759,9304,273,393,0.01806,4056,343,97277,"E02002908 E02002914",273
"137032",1,1,1,24.514,10548,287,393,0.01603,4570,385,100390,"E02002908 E02002915",287
"137033",1,1,1,23.971,10134,334,401,0.01673,4468,367,102665,"E02002908 E02002916",334
"137034",1,1,1,22.907,9810,296,404,0.01764,4270,358,104355,"E02002908 E02002917",296
"137043",1,1,1,23.35,11586,501,658,0.02818,4353,497,105276,"E02002908 E02006710",501
"137047",1,1,1,15.891,6444,284,334,0.02102,2962,218,70359,"E02002909 E02002912",284
"137048",1,1,1,18.906,9864,446,615,0.03253,3524,394,57074,"E02002909 E02002913",446
"137050",1,1,1,20.898,8788,371,396,0.01895,3896,314,97909,"E02002909 E02002915",371
"137051",1,1,1,21.781,9186,411,422,0.01937,4060,316,103209,"E02002909 E02002916",411
"137053",1,1,1,21.751,9124,457,430,0.01977,4055,331,97354,"E02002909 E02002918",457
"137056",1,1,1,25.574,12066,585,682,0.02667,4767,494,90713,"E02002909 E02002922",585
"137057",1,1,1,20.271,8784,493,479,0.02363,3779,338,61710,"E02002909 E02002923",493
"137060",1,1,1,16.452,7652,327,485,0.02948,3067,315,43326,"E02002909 E02006710",327
"137061",1,1,1,21.275,9972,733,642,0.03018,3966,431,90458,"E02002909 E02006711",733
"137062",1,1,1,16.974,7606,479,529,0.03117,3164,314,100191,"E02002909 E02006712",479
"137063",1,1,1,20.443,9540,718,637,0.03116,3811,413,55324,"E02002909 E02006713",718
"137064",1,1,1,24.73,11266,733,678,0.02742,4610,461,67181,"E02002909 E02006714",733
"137065",1,1,1,20.785,10524,541,824,0.03964,3875,467,84345,"E02002909 E02006718",541
"137066",1,1,1,19.891,10498,533,785,0.03947,3708,477,88910,"E02002909 E02006719",533
"137070",1,1,1,24.386,10770,666,635,0.02604,4546,416,96275,"E02002909 E02006740",666
"137071",1,1,1,22.52,9888,581,595,0.02642,4198,389,128933,"E02002909 E02006742",581
"137074",1,1,1,22.497,9866,584,593,0.02636,4194,390,126538,"E02002909 E02006745",584
"137083",1,1,1,24.888,10454,239,493,0.01981,4639,372,97524,"E02002910 E02002911",239
"137092",1,1,1,24.669,13334,318,750,0.0304,4599,526,90387,"E02002910 E02002924",318
"137099",1,1,1,12.447,4906,128,184,0.01478,2320,158,21424,"E02002911 E02002912",128
"137100",1,1,1,6.354,2320,98,70,0.01102,1184,66,20693,"E02002911 E02002914",98
"137101",1,1,1,8.769,3614,134,102,0.01163,1635,118,32483,"E02002911 E02002915",134
"137102",1,1,1,8.566,3150,159,78,0.00911,1597,90,26081,"E02002911 E02002916",159
"137103",1,1,1,6.966,2596,124,63,0.00904,1299,70,28106,"E02002911 E02002917",124
"137104",1,1,1,10.543,4348,211,128,0.01214,1965,139,35933,"E02002911 E02002918",211
"137105",1,1,1,10.154,3898,215,83,0.00817,1893,111,42693,"E02002911 E02002919",215
"137106",1,1,1,10.733,4332,218,100,0.00932,2001,131,36600,"E02002911 E02002920",218
"137107",1,1,1,20.03,9320,406,388,0.01937,3734,366,69602,"E02002911 E02002922",406
"137109",1,1,1,19.994,10766,249,421,0.02106,3727,410,45223,"E02002911 E02002924",249
"137110",1,1,1,15.894,7402,273,222,0.01397,2963,284,92542,"E02002911 E02002925",273
"137118",1,1,1,8.452,3562,156,76,0.00899,1576,124,32949,"E02002912 E02002914",156
"137119",1,1,1,5.641,2610,96,70,0.01241,1052,104,28592,"E02002912 E02002915",96
"137120",1,1,1,6.524,3008,136,96,0.01471,1216,106,33892,"E02002912 E02002916",136
"137121",1,1,1,8.272,3764,193,107,0.01294,1542,135,41560,"E02002912 E02002917",193
"137122",1,1,1,6.494,2946,182,104,0.01601,1211,121,28037,"E02002912 E02002918",182
"137123",1,1,1,9.557,4218,223,117,0.01224,1782,151,50072,"E02002912 E02002919",223
"137124",1,1,1,10.681,4856,254,130,0.01217,1991,178,54633,"E02002912 E02002920",254
"137125",1,1,1,11.51,6196,299,326,0.02832,2146,285,31508,"E02002912 E02002922",299
"137126",1,1,1,20.911,9154,531,335,0.01602,3898,353,98172,"E02002912 E02002923",531
"137128",1,1,1,15.297,7722,281,256,0.01674,2852,324,99921,"E02002912 E02002925",281
"137137",1,1,1,20.07,11584,524,591,0.02945,3741,445,48186,"E02002913 E02002922",524
"137138",1,1,1,8.421,5370,169,252,0.02993,1570,157,17106,"E02002913 E02002923",169
"137143",1,1,1,18.64,9702,437,596,0.03197,3475,372,62768,"E02002913 E02006712",437
"137144",1,1,1,8.345,5558,230,452,0.05416,1556,239,20779,"E02002913 E02006713",230
"137145",1,1,1,13.914,7912,360,495,0.03558,2594,302,34147,"E02002913 E02006714",360
"137146",1,1,1,7.009,5148,191,416,0.05935,1307,233,19040,"E02002913 E02006715",191
"137147",1,1,1,7.551,5684,237,452,0.05986,1408,222,19689,"E02002913 E02006716",237
"137148",1,1,1,6.348,5442,195,417,0.06569,1183,204,16939,"E02002913 E02006718",195
"137149",1,1,1,5.399,4990,169,376,0.06964,1006,212,16247,"E02002913 E02006719",169
"137150",1,1,1,13.402,8080,264,514,0.03835,2498,285,32653,"E02002913 E02006720",264
"137151",1,1,1,23.174,12668,620,700,0.03021,4320,468,73881,"E02002913 E02006736",620
"137152",1,1,1,18.763,9976,443,625,0.03331,3498,387,65495,"E02002913 E02006739",443
"137153",1,1,1,20.008,10498,518,618,0.03089,3730,396,65127,"E02002913 E02006740",518
