"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"19469","E02000494 E02004935","E02000494","E02004935",12,0,0,0,0,12,0,0,0,0,0.109999999403954,0.109999999403954,0,0,11.8900003433228,-0.109999999403954,0,0,0,0,12,0,0.319999992847443,0.319999992847443,0,0,11.6800003051758,-0.319999992847443,1.0900000333786,1.0900000333786,0,0,10.9099998474121,-1.0900000333786,0,0,-0.000199999994947575,373,-0.000199999994947575,373,0,0,0,0,-0.00052000000141561,964,-0.00052000000141561,964,-0.00115999998524785,2156,-0.00115999998524785,2156,0,0,-9.99999974737875e-05,178,-9.99999974737875e-05,178,0,0,0,0,-0.000269999989541247,499,-0.000269999989541247,499,-0.000750000006519258,1386,-0.000750000006519258,1386,0,-112,-112,0,0,-318,-318,-1085,-1085,0,16.6745332412434,"Hillingdon 001","St Albans 012",19.63,22.918,9166,11030,1.17724434717288,1.16749872643912,1.66072338257769,3659,101924,0.0170171917270268,0
"19470","E02000494 E02004959","E02000494","E02004959",32,3,1,0,0,24,0,1,0,0,2.16000008583069,1.1599999666214,0,0,23.0900001525879,-0.910000026226044,1,0,0,0,24,0,6.65000009536743,5.65000009536743,0,0,19.7600002288818,-4.23999977111816,10.539999961853,9.53999996185303,0,0,16.7299995422363,-7.26999998092651,-0.000650000001769513,1210,-0.00142999994568527,2646,-0.000769999984186143,1436,-0.000650000001769513,1210,0,0,-0.00414999993517995,7702,-0.00350000010803342,6492,-0.00441000005230308,8188,-0.0037599999923259,6978,-0.000419999996665865,778,-0.000920000020414591,1701,-0.000500000023748726,923,-0.000419999996665865,778,0,0,-0.0026700000744313,4951,-0.00224999990314245,4173,-0.00283999997191131,5263,-0.00242000003345311,4485,-363,-710,-347,-363,0,-1993,-1630,-3159,-2796,6,5.81280895043628,"Hillingdon 001","Three Rivers 004",7.536,7.516,3574,3884,1.29644721928017,0.997346072186837,1.63216560509554,1405,19333,0.0166311868014902,3.125
"19471","E02000494 E02004961","E02000494","E02004961",51,5,1,0,0,42,0,0,1,0,2.23000001907349,2.23000001907349,0.959999978542328,-0.0399999991059303,40.1599998474121,-1.8400000333786,0,0,1,0,42,0,13.75,13.75,0.730000019073486,-0.270000010728836,30.6800003051758,-11.3199996948242,19.7999992370605,19.7999992370605,0.610000014305115,-0.389999985694885,25.7000007629395,-16.2999992370605,0,0,-0.00104000000283122,1938,-0.00104000000283122,1938,0,0,0,0,-0.00589000014588237,10924,-0.00589000014588237,10924,-0.00528000015765429,9796,-0.00528000015765429,9796,0,0,-0.00067999999737367,1252,-0.00067999999737367,1252,0,0,0,0,-0.00380999990738928,7063,-0.00380999990738928,7063,-0.00343000004068017,6356,-0.00343000004068017,6356,0,-521,-521,0,0,-3210,-3210,-4622,-4622,7,4.10692378282642,"Hillingdon 001","Three Rivers 006",5.574,5.574,2858,2858,1.35722021998761,1,1.74022246142806,1039,12267,0.0174022246142806,0
"19472","E02000494 E02004962","E02000494","E02004962",48,1,0,0,0,42,3,0,1,0,2.08999991416931,2.08999991416931,0.959999978542328,-0.0399999991059303,40.1699981689453,-1.83000004291534,0,0,1,0,42,0,12.1199998855591,12.1199998855591,0.75,-0.25,31.3999996185303,-10.6000003814697,17.6599998474121,17.6599998474121,0.629999995231628,-0.370000004768372,26.5499992370605,-15.4499998092651,0,0,-0.0011800000211224,2185,-0.0011800000211224,2185,0,0,0,0,-0.00626999977976084,11634,-0.00626999977976084,11634,-0.00567999994382262,10542,-0.00567999994382262,10542,0,0,-0.000769999984186143,1422,-0.000769999984186143,1422,0,0,0,0,-0.0040799998678267,7574,-0.0040799998678267,7574,-0.00372999999672174,6915,-0.00372999999672174,6915,0,-623,-623,0,0,-3616,-3616,-5267,-5267,2,5.13026392196524,"Hillingdon 001","Three Rivers 007",6.675,6.63,2814,3134,1.30110265310542,0.993258426966292,1.45318352059925,1244,17987,0.0155354449472097,0
"19473","E02000494 E02004966","E02000494","E02004966",133,6,3,0,0,89,7,4,23,0,10.3500003814697,6.34999990463257,21.8600006103516,-1.13999998569489,84.629997253418,-4.36999988555908,6.88000011444092,2.88000011444092,22.3899993896484,-0.610000014305115,87.129997253418,-1.87000000476837,47.2200012207031,43.2200012207031,15.3800001144409,-7.61999988555908,59.0800018310547,-29.9200000762939,57.2000007629395,53.2000007629395,13.5900001525879,-9.40999984741211,52.2000007629395,-36.7999992370605,-0.000289999996311963,538,-0.0007999999797903,1475,-0.000509999983478338,937,-0.00047999998787418,893,-0.000190000006114133,355,-0.00353999994695187,6573,-0.00325000006705523,6035,-0.00248000002466142,4592,-0.00218999991193414,4054,-0.000199999994947575,362,-0.000530000019352883,986,-0.000339999998686835,624,-0.00031999999191612,600,-0.000130000000353903,238,-0.00236000004224479,4380,-0.00216999999247491,4018,-0.00168999994639307,3139,-0.00150000001303852,2777,-184,-495,-311,-316,-132,-2313,-2129,-2803,-2619,7,1.05880649763332,"Hillingdon 001","Three Rivers 011",1.399,1.399,550,550,1.32129903162391,1,1.78699070764832,261,2044,0.0178699070764832,3.00751879699248
"19474","E02000494 E02004972","E02000494","E02004972",31,0,0,0,0,31,0,0,0,0,0.879999995231628,0.879999995231628,0,0,30.1200008392334,-0.879999995231628,0,0,0,0,31,0,4.76000022888184,4.76000022888184,0,0,26.2399997711182,-4.76000022888184,8.51000022888184,8.51000022888184,0,0,22.4899997711182,-8.51000022888184,0,0,-0.000769999984186143,1435,-0.000769999984186143,1435,0,0,0,0,-0.00414999993517995,7702,-0.00414999993517995,7702,-0.00473999977111816,8795,-0.00473999977111816,8795,0,0,-0.000500000023748726,923,-0.000500000023748726,923,0,0,0,0,-0.0026700000744313,4951,-0.0026700000744313,4951,-0.00304999994114041,5654,-0.00304999994114041,5654,0,-402,-402,0,0,-2189,-2189,-3916,-3916,0,7.21695073209258,"Hillingdon 001","Watford 005",9.111,10.095,4054,4510,1.26244453346271,1.10800131708923,1.69026451542092,1698,21018,0.0172362555720654,0
"19475","E02000494 E02004976","E02000494","E02004976",54,4,8,0,0,38,3,0,0,0,1.70000004768372,1.70000004768372,0,0,36.7999992370605,-1.20000004768372,0,0,0,0,38,0,10.0699996948242,10.0699996948242,0,0,30.8899993896484,-7.1100001335144,17.0200004577637,17.0200004577637,0,0,26.0100002288818,-11.9899997711182,0,0,-0.00116999994497746,2173,-0.00116999994497746,2173,0,0,0,0,-0.00667000003159046,12377,-0.00667000003159046,12377,-0.00718999980017543,13333,-0.00718999980017543,13333,0,0,-0.000750000006519258,1397,-0.000750000006519258,1397,0,0,0,0,-0.00429000006988645,7956,-0.00429000006988645,7956,-0.00461999978870153,8571,-0.00461999978870153,8571,0,-448,-448,0,0,-2661,-2661,-4491,-4491,5,5.45623891106485,"Hillingdon 001","Watford 009",7.378,8.427,3434,3916,1.35221351562116,1.14217945242613,2.04662510165356,1375,22276,0.0195799216803133,0
"19476","E02000494 E02004977","E02000494","E02004977",30,6,5,0,0,17,1,1,0,0,2.25,1.25,0,0,16.2600002288818,-0.740000009536743,1,0,0,0,17,0,7.26000022888184,6.26000022888184,0,0,13.5299997329712,-3.47000002861023,10.7700004577637,9.77000045776367,0,0,11.4300003051758,-5.57000017166138,-0.000630000024102628,1169,-0.0014900000533089,2763,-0.000859999970998615,1594,-0.000630000024102628,1169,0,0,-0.00499999988824129,9270,-0.00437000021338463,8101,-0.00494999997317791,9178,-0.00431999983265996,8009,-0.000410000007832423,751,-0.00095999997574836,1775,-0.000549999997019768,1024,-0.000410000007832423,751,0,0,-0.00320999999530613,5958,-0.00280999997630715,5207,-0.00317999999970198,5899,-0.002779999980703,5148,-287,-545,-258,-287,0,-1503,-1216,-2238,-1951,6,4.60638206219545,"Hillingdon 001","Watford 010",6.899,7.357,3046,3188,1.49770468598774,1.06638643281635,1.52195970430497,1286,22214,0.0137284219111051,3.33333333333333
"113723","E02004843 E02004844","E02004843","E02004844",318,0,0,1,1,198,19,22,74,1,46.9500007629395,24.9500007629395,67.8000030517578,-6.19999980926514,181.259994506836,-16.7399997711182,33.0099983215332,11.0100002288818,71.6100006103516,-2.39000010490417,190.199996948242,-7.80000019073486,153.320007324219,131.320007324219,40.8600006103516,-33.1399993896484,110.529998779297,-87.4700012207031,157.479995727539,135.479995727539,39.8300018310547,-34.1699981689453,107.73999786377,-90.2600021362305,-0.0014900000533089,2757,-0.00301999994553626,5605,-0.00153999996837229,2848,-0.00224999990314245,4165,-0.000760000024456531,1408,-0.00949000008404255,17606,-0.00800000037997961,14849,-0.00479000015184283,8881,-0.00329999998211861,6124,-0.00100000004749745,1862,-0.00205000001005828,3805,-0.00104999996256083,1943,-0.00152000004891306,2810,-0.000509999983478338,948,-0.00649000005796552,12048,-0.00548999989405274,10186,-0.00347999995574355,6458,-0.00248000002466142,4596,-1133,-2367,-1234,-1706,-573,-7585,-6452,-7791,-6658,2,0.827196279381263,"Broxbourne 001","Broxbourne 002",1.445,1.434,562,618,1.74686472366734,0.992387543252595,0.41522491349481,269,2073,0.00418410041841004,6.91823899371069
"113724","E02004843 E02004845","E02004843","E02004845",351,0,13,3,0,248,26,13,46,1,41.810001373291,28.8099994659424,42.0800018310547,-3.92000007629395,226.860000610352,-21.1399993896484,34.8400001525879,21.8400001525879,43.0999984741211,-2.90000009536743,231.970001220703,-16.0300006866455,168.009994506836,155.009994506836,24.8799991607666,-21.1200008392334,134.270004272461,-113.730003356934,179.059997558594,166.059997558594,23.3899993896484,-22.6100006103516,126.160003662109,-121.839996337891,-0.00187000003643334,3460,-0.0059799998998642,11089,-0.0041100000962615,7629,-0.00502000004053116,9318,-0.00316000008024275,5858,-0.0245399996638298,45523,-0.0226700007915497,42063,-0.0165299996733665,30665,-0.0146599998697639,27205,-0.0012300000526011,2274,-0.00393000012263656,7291,-0.00270000007003546,5017,-0.00329999998211861,6123,-0.00208000000566244,3849,-0.0161499995738268,29958,-0.014919999986887,27684,-0.0110299997031689,20453,-0.00980000011622906,18179,-1118,-3589,-2471,-3007,-1889,-14418,-13300,-15369,-14251,1,1.67407163513803,"Broxbourne 001","Broxbourne 003",2.316,2.517,1080,1206,1.38345334296823,1.08678756476684,0.561312607944732,432,9505,0.00516487882399682,3.7037037037037
