"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"14","E02004938","St Albans 015",2660,40,135,1812,104,434,31,69,10,17,8,116.051,76.051,127.048,1754.019,-57.981,74.55,34.55,129.782,1787.066,-24.934,438.09698,398.09698,88.838,1513.051,-298.94901,589.396,549.396,82.651,1387.8929,-424.10699,-0.02696,49914,-0.01835,33942,-0.01435,26603,-0.00573,10631,-0.09222,170989,-0.08361,155017,-0.10421,193234,-0.0956,177262,-26586,-17746,-16565,-7725,-89407,-80567,-149636,-140796,1.02967
"42","E02004941","St Albans 018",4552,71,304,3172,229,397,71,233,19,40,16,198.21001,127.21,288.77499,3082.105,-89.895,123.139,52.139,297.94101,3134.1421,-37.858,742.263,671.263,210.097,2709.635,-462.36499,1070.89,999.89001,189.916,2459.2361,-712.76398,-0.05429,100550,-0.03405,63026,-0.03152,58462,-0.01129,20938,-0.16912,313609,-0.14889,276085,-0.204,378317,-0.18377,340793,-48855,-30984,-31510,-13639,-154914,-137043,-276875,-259004,1.32903
"67","E02004956","Three Rivers 001",4002,57,228,2897,187,395,59,111,18,37,13,139.58701,82.587,219.862,2834.448,-62.552,112.433,55.433,223.632,2854.343,-42.657,499.84201,442.84201,169.46899,2574.1101,-322.89001,799.25897,742.25897,151.265,2337.29,-559.71002,-0.05062,93764,-0.02897,53604,-0.037,68621,-0.01535,28461,-0.13932,258336,-0.11766,218176,-0.17956,332999,-0.15791,292839,-41177,-24152,-32977,-15952,-122088,-105063,-236628,-219603,1.82823
"93","E02004848","Broxbourne 006",3360,34,127,2414,184,377,69,71,44,26,14,122.409,88.409,120.539,2347.604,-66.396,80.966,46.966,123.735,2378.2339,-35.766,480.69601,446.69601,86.859,2075.792,-338.20901,720.43597,686.43597,78.044,1895.432,-518.56799,-0.04399,81467,-0.03085,57103,-0.03116,57797,-0.01802,33433,-0.1441,267203,-0.13097,242839,-0.18849,349548,-0.17535,325184,-33324,-24176,-22490,-13342,-113743,-104595,-207808,-198660,1.92318
"141","E02004934","St Albans 011",3557,85,440,1622,79,1148,41,103,5,20,14,158.752,73.752,418.17499,1580.668,-41.332,139.12199,54.122,426.01599,1588.449,-33.551,460.20901,375.20901,307.95001,1429.837,-192.16299,623.16101,538.16101,282.28699,1320.026,-301.974,-0.0278,51456,-0.01337,24703,-0.02283,42331,-0.0084,15578,-0.06303,116831,-0.04861,90078,-0.08096,150104,-0.06653,123351,-25752,-13256,-23206,-10710,-63308,-50812,-120033,-107537,1.29304
"151","E02004864","Dacorum 009",2877,32,322,1632,72,743,15,31,2,14,14,65.44,33.44,314.53601,1609.809,-22.191,53.014,21.014,317.25101,1618.391,-13.61,233.517,201.517,263.832,1509.526,-122.474,406.793,374.793,228.819,1392.444,-239.556,-0.01976,36582,-0.00957,17692,-0.01727,32025,-0.00708,13135,-0.04708,87268,-0.03689,68378,-0.0711,131832,-0.06091,112942,-16323,-8892,-13222,-5791,-42866,-35435,-96866,-89435,2.22593
"201","E02004894","East Hertfordshire 017",4183,68,600,2425,136,799,34,75,10,23,13,145.65199,77.652,579.854,2376.272,-48.728,119.216,51.216,583.91699,2394.8669,-30.133,506.405,438.405,455.129,2179.062,-245.938,769.12201,701.12201,404.19101,1999.807,-425.19299,-0.03668,67963,-0.02247,41608,-0.02168,40214,-0.00747,13859,-0.08287,153673,-0.06866,127318,-0.11224,208139,-0.09803,181784,-28824,-18217,-19002,-8395,-84916,-74309,-173866,-163259,1.28459
"241","E02004870","Dacorum 015",4402,63,714,2815,237,250,28,224,27,36,8,172.354,109.354,686.85199,2747.991,-67.008,122.424,59.424,699.22302,2779.4299,-35.57,736.46503,673.46503,518.76801,2425.75,-389.25,1036.6689,973.66901,462.909,2226.2361,-588.76398,-0.03056,56611,-0.01953,36148,-0.01927,35742,-0.00824,15279,-0.09233,171204,-0.0813,150741,-0.11985,222272,-0.10882,201809,-25941,-17167,-16039,-7265,-84344,-75570,-166265,-157491,1.61629
"332","E02004948","Stevenage 005",2820,106,365,1801,183,215,7,102,11,20,10,209.524,103.524,341.57101,1737.431,-63.569,174.28,68.28,348.59601,1760.5031,-40.497,619.79102,513.79102,242.144,1490.002,-310.99799,788.76501,682.76501,220.577,1371.147,-429.853,-0.03951,73252,-0.01935,35855,-0.03228,59872,-0.01212,22475,-0.11494,213197,-0.09478,175800,-0.11744,217838,-0.09728,180441,-32693,-15908,-25951,-9166,-85493,-68708,-134255,-117470,1.27335
"336","E02004950","Stevenage 007",3145,74,213,2113,229,178,8,267,12,28,23,150.539,76.539,204.66901,2063.564,-49.436,163.556,89.556,203.537,2057.031,-55.969,507.22501,433.22501,159.263,1841.844,-271.15601,754.39899,680.39899,140.30701,1673.812,-439.18799,-0.0334,61911,-0.01852,34311,-0.0437,81057,-0.02882,53457,-0.11567,214546,-0.10079,186946,-0.14749,273593,-0.13261,245993,-23444,-13274,-26822,-16652,-70293,-60123,-133402,-123232,2.1963
