"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"31","E02002692","East Riding of Yorkshire 009",3659,3,37,166,0,22,2928,186,70,229,18,159.863006591797,89.8629989624023,214.490005493164,-14.5100002288818,2862.44799804688,-65.5510025024414,107.206001281738,37.2060012817383,227.419006347656,-1.5809999704361,2897.32592773438,-30.673999786377,438.601013183594,368.601013183594,158.802993774414,-70.1969985961914,2668.61499023438,-259.385009765625,641.788024902344,571.788024902344,147.929992675781,-81.0699996948242,2503.15795898438,-424.842010498047,-0.0638099983334541,118374,-0.137860000133514,255744,-0.0740500018000603,137370,-0.109829999506474,203752,-0.0460200011730194,85378,-0.260030001401901,482421,-0.196229994297028,364047,-0.314209997653961,582929,-0.250400006771088,464555,-0.0386300012469292,71657,-0.0839300006628036,155687,-0.0452999994158745,84030,-0.0659099966287613,122261,-0.0272799991071224,50604,-0.165710002183914,307413,-0.127079993486404,235756,-0.206149995326996,382455,-0.167530000209808,310798,-29082,-61880,-32798,-50713,-21631,-139821,-110739,-251253,-222171,0.00522844101922626
"89","E02002701","East Riding of Yorkshire 018",3587,2,53,71,0,20,3041,163,65,159,13,142.744995117188,77.745002746582,150.50700378418,-8.49300003051758,2977.78100585938,-63.2190017700195,78.6429977416992,13.6429996490479,158.042007446289,-0.958000004291534,3029.4609375,-11.5389995574951,360.179992675781,295.179992675781,122.176002502441,-36.8240013122559,2805.21508789062,-235.785003662109,500.316986083984,435.316986083984,115.221000671387,-43.7789993286133,2682.97192382812,-358.028015136719,-0.0528399981558323,98035,-0.115469999611378,214220,-0.0626299977302551,116185,-0.0714899972081184,132632,-0.0186500009149313,34597,-0.197139993309975,365733,-0.144290000200272,267698,-0.238250002264977,442003,-0.185399994254112,343968,-0.0274000000208616,50832,-0.0611799992620945,113478,-0.0337699986994267,62646,-0.0358299985527992,66460,-0.00843000039458275,15628,-0.116209998726845,215592,-0.088809996843338,164760,-0.150440007448196,279089,-0.123039998114109,228257,-24122,-53363,-29241,-33443,-9321,-109947,-85825,-197718,-173596,NA
"95","E02002662","Kingston upon Hull 011",2749,2,13,374,21,38,1672,205,196,199,29,380.942993164062,184.942993164062,182.488006591797,-16.511999130249,1551.97595214844,-120.024002075195,298.882995605469,102.883003234863,187.639007568359,-11.3610000610352,1609.54504394531,-62.4550018310547,984.986999511719,788.986999511719,121.425003051758,-77.5749969482422,1166.05102539062,-505.949005126953,1123.68200683594,927.682006835938,116.782997131348,-82.2170028686523,1072.82495117188,-599.174987792969,-0.120779998600483,224062,-0.244210004806519,453035,-0.123429998755455,228973,-0.177750006318092,329766,-0.0569799989461899,105704,-0.608519971370697,1128954,-0.487749993801117,904892,-0.515999972820282,957305,-0.395229995250702,733243,-0.0787800028920174,146145,-0.158830001950264,294643,-0.0800499990582466,148498,-0.115780003368855,214778,-0.0370000004768372,68633,-0.396860003471375,736263,-0.318089991807938,590118,-0.340719997882843,632098,-0.261940002441406,485953,-30445,-60929,-30484,-46699,-16254,-154882,-124437,-191674,-161229,0.00207356422298369
"100","E02002661","Kingston upon Hull 010",3013,1,15,510,38,50,1755,194,220,209,21,416.445007324219,196.445007324219,191.356994628906,-17.6429996490479,1633.99694824219,-121.002998352051,323.944000244141,103.944000244141,196.938003540039,-12.0620002746582,1694.18994140625,-60.810001373291,1026.76000976562,806.760009765625,129.710998535156,-79.2890014648438,1265.70495605469,-489.295013427734,1186.47094726562,966.471008300781,126.589996337891,-82.4100036621094,1162.74499511719,-592.255004882812,-0.157849997282028,292850,-0.30443000793457,564768,-0.146579995751381,271918,-0.225789994001389,418881,-0.0679399967193604,126031,-0.713789999485016,1324272,-0.555939972400665,1031422,-0.619210004806519,1148798,-0.46136000752449,855948,-0.103249996900558,191552,-0.198330000042915,367925,-0.0950800031423569,176373,-0.148560002446175,275597,-0.0452999994158745,84045,-0.465920001268387,864391,-0.362670004367828,672839,-0.407799988985062,756555,-0.304549992084503,565003,-38215,-72415,-34200,-57264,-19049,-171223,-133008,-214224,-176009,0.00166252497364877
"121","E02002702","East Riding of Yorkshire 019",4677,7,211,72,17,42,2881,212,271,930,34,445.638000488281,174.638000488281,869.234985351562,-60.7649993896484,2787.30810546875,-93.6920013427734,364.998992919922,93.9990005493164,898.648986816406,-31.3509998321533,2829.54296875,-51.4570007324219,1038.48095703125,767.481018066406,625.81298828125,-304.18701171875,2500.06298828125,-380.93701171875,1263.2080078125,992.2080078125,616.075012207031,-313.924987792969,2322.61401367188,-558.385986328125,-0.0811799988150597,150601,-0.162420004606247,301300,-0.0812399983406067,150699,-0.123520001769066,229149,-0.0423399992287159,78548,-0.292160004377365,542019,-0.210989996790886,391418,-0.340590000152588,631863,-0.259409993886948,481262,-0.0523100011050701,97045,-0.104060001671314,193037,-0.0517500005662441,95992,-0.0799399986863136,148291,-0.0276299994438887,51246,-0.191019997000694,354370,-0.138710007071495,257325,-0.228279992938042,423491,-0.175970003008842,326446,-36761,-71028,-34267,-56931,-20170,-150298,-113537,-258751,-221990,0.00929116198278158
"196","E02002715","East Riding of Yorkshire 032",6121,6,192,93,10,34,4845,278,190,422,51,342.920989990234,152.921005249023,395.433013916016,-26.5669994354248,4733.3330078125,-111.666999816895,326.601989746094,136.602005004883,382.834014892578,-39.1660003662109,4759.875,-85.1240005493164,808.900024414062,618.900024414062,303.924987792969,-118.074996948242,4402.119140625,-442.881011962891,1220.82495117188,1030.82495117188,274.908996582031,-147.091003417969,4061.73291015625,-783.267028808594,-0.0694300010800362,128802,-0.186700001358986,346347,-0.11727000027895,217545,-0.114359997212887,212153,-0.0449299998581409,83351,-0.381330013275146,707449,-0.311899989843369,578647,-0.521749973297119,967969,-0.452320009469986,839167,-0.0426900014281273,79201,-0.11005000025034,204131,-0.0673500001430511,124930,-0.0700299963355064,129910,-0.0273400004953146,50709,-0.237049996852875,439756,-0.194350004196167,360555,-0.338869988918304,628671,-0.296180009841919,549470,-34825,-87301,-52476,-60465,-25640,-211508,-176683,-434854,-400029,0.0142042715496674
"235","E02002721","East Riding of Yorkshire 038",2688,2,51,47,4,15,2068,135,132,220,14,230.917999267578,98.9179992675781,205.218002319336,-14.7819995880127,1993.97302246094,-74.0270004272461,158.037994384766,26.0380001068115,215.171997070312,-4.82800006866455,2049.212890625,-18.7870006561279,498.31201171875,366.31201171875,163.059997558594,-56.939998626709,1796.125,-271.875,627.185974121094,495.186004638672,151.151000976562,-68.8489990234375,1692.61901855469,-375.381988525391,-0.0749500021338463,139054,-0.135079994797707,250595,-0.0601300001144409,111541,-0.0873500034213066,162058,-0.0124000003561378,23004,-0.238490000367165,442453,-0.163540005683899,303399,-0.218370005488396,405129,-0.143419995903969,266075,-0.0518600009381771,96205,-0.0920799970626831,170812,-0.0402199998497963,74607,-0.060079999268055,111455,-0.008220000192523,15250,-0.166050001978874,308059,-0.114189997315407,211854,-0.159999996423721,296834,-0.108139999210835,200629,-36284,-65190,-28906,-43338,-7054,-134112,-97828,-190488,-154204,0.00133725637461024
"429","E02002700","East Riding of Yorkshire 017",2559,2,77,75,16,25,1390,160,254,546,14,370.510986328125,116.511001586914,502.93798828125,-43.0620002746582,1332.91101074219,-57.0890007019043,298.492004394531,44.492000579834,537.348999023438,-8.65100002288818,1362.69201660156,-27.3080005645752,700.078979492188,446.079010009766,372.819000244141,-173.180999755859,1177.29602050781,-212.703994750977,798.179016113281,544.179016113281,369.792999267578,-176.207000732422,1101.92297363281,-288.076995849609,-0.0582900010049343,108147,-0.094250001013279,174832,-0.0359600000083447,66685,-0.0845099985599518,156782,-0.0262199994176626,48635,-0.147200003266335,273073,-0.0889099985361099,164926,-0.162939995527267,302279,-0.104649998247623,194132,-0.0388000011444092,71976,-0.0621800012886524,115329,-0.0233800001442432,43353,-0.0560499988496304,103978,-0.0172499995678663,32002,-0.0976400002837181,181114,-0.0588399991393089,109138,-0.111180000007153,206234,-0.0723799988627434,134258,-29016,-44798,-15782,-40845,-11829,-78722,-49706,-122960,-93944,0.00662202532800614
"496","E02002696","East Riding of Yorkshire 013",2603,3,36,41,9,14,2044,129,91,208,28,164.552993774414,73.5530014038086,193.830993652344,-14.168999671936,1993.54699707031,-50.4529991149902,131.955993652344,40.9560012817383,197.613998413086,-10.3859996795654,2018.89599609375,-25.1040000915527,378.121002197266,287.121002197266,151.22900390625,-56.7709999084473,1849.23095703125,-194.768997192383,532.784973144531,441.785003662109,142.430999755859,-65.5690002441406,1719.35595703125,-324.644012451172,-0.0287299994379282,53302,-0.0836900025606155,155225,-0.0549499988555908,101923,-0.0458099991083145,84989,-0.0170799996703863,31687,-0.17731000483036,328942,-0.148579999804497,275640,-0.221090003848076,410165,-0.192359998822212,356863,-0.017060000449419,31654,-0.0473299995064735,87775,-0.0302700009196997,56121,-0.0269600003957748,50002,-0.00989000033587217,18348,-0.10785000026226,200053,-0.09077999740839,168399,-0.143720000982285,266618,-0.126660004258156,234964,-14686,-39425,-24739,-23799,-9113,-98117,-83431,-188725,-174039,0.00770072335503351
"504","E02002684","East Riding of Yorkshire 001",3311,2,37,62,39,43,2369,282,104,349,24,209.983993530273,105.984001159668,332.533996582031,-16.4659996032715,2296.77587890625,-72.2239990234375,183.082992553711,79.0830001831055,335.3330078125,-13.6669998168945,2316.21899414062,-52.7809982299805,696.348999023438,592.348999023438,251.289001464844,-97.7109985351562,1970.39904785156,-398.601013183594,912.132019042969,808.132019042969,224.958999633789,-124.041000366211,1815.40502929688,-553.594970703125,-0.0352500006556511,65391,-0.0704300031065941,130645,-0.0351799987256527,65254,-0.0518699996173382,96231,-0.0166200008243322,30840,-0.161219999194145,299098,-0.125970005989075,233707,-0.172859996557236,320688,-0.137610003352165,255297,-0.0224300008267164,41610,-0.0434600003063679,80619,-0.0210299994796515,39009,-0.0331999994814396,61583,-0.0107699995860457,19973,-0.103299997746944,191642,-0.0808700025081635,150032,-0.113899998366833,211302,-0.0914700031280518,169692,-15115,-30556,-15441,-23539,-8424,-83492,-68377,-136564,-121449,0.0167064545844517
