"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02002652 E02002653","E02002652","E02002653","Kingston upon Hull 001","Kingston upon Hull 002",339,29,96,132,23,0,0,49,8,2,0,8.55457,59.48,30.48,86.49,119.07,-12.93,32.36,3.36,94.6,130.84,-1.16,173.16,144.16,51.9,70.2,-61.8,176.49001,147.49001,50.87,68.77,-63.23,-0.00418,7752,-0.00232,4310,-0.00196,3635,-0.0001,193,-0.0126,23378,-0.01075,19936,-0.00516,9576,-0.00331,6134,-2386,-1263,-1233,-110,-7171,-6048,-7311,-6188,1.31369,1.957,1.957,1.4897,1,0.51099,0.51099,760,760
"2","E02002652 E02002654","E02002652","E02002654","Kingston upon Hull 001","Kingston upon Hull 003",60,7,1,30,5,0,0,16,1,0,0,11.66667,11.63,4.63,0.91,27.43,-2.57,11.91,4.91,0.86,27.98,-2.02,24.31,17.31,0.7,19.81,-10.19,28.17,21.17,0.62,17.67,-12.33,-0.00591,10961,-0.00237,4392,-0.00555,10298,-0.00201,3729,-0.01209,22438,-0.00855,15869,-0.01008,18700,-0.00654,12131,-1630,-712,-1478,-560,-3739,-2821,-4332,-3414,3.20472,5.48,6.289,1.70998,1.14763,0.91241,0.69963,2310,2586
"3","E02002652 E02002655","E02002652","E02002655","Kingston upon Hull 001","Kingston upon Hull 004",233,20,22,111,33,0,0,40,4,3,0,8.58369,41.74,21.74,19.73,99.7,-11.3,35.05,15.05,21.08,102.5,-8.5,114.55,94.55,12.37,61.58,-49.42,121.98,101.98,11.6,57.72,-53.28,-0.0112,20769,-0.00594,11013,-0.00901,16711,-0.00375,6955,-0.03075,57043,-0.02549,47287,-0.023,42670,-0.01774,32914,-3812,-2017,-3332,-1537,-10622,-8827,-11312,-9517,2.32838,3.573,3.573,1.53454,1,0.69969,0.69969,1460,1460
"4","E02002652 E02002656","E02002652","E02002656","Kingston upon Hull 001","Kingston upon Hull 005",92,8,5,59,7,0,0,13,0,0,0,8.69565,15.52,7.52,4.55,53.72,-5.28,12.07,4.07,4.76,56.14,-2.86,39.85,31.85,3.1,36.62,-22.38,45.01,37.01,2.79,33,-26,-0.00633,11736,-0.00306,5681,-0.00462,8570,-0.00136,2515,-0.01601,29694,-0.01274,23639,-0.01331,24686,-0.01004,18631,-2618,-1270,-2034,-686,-6729,-5381,-7599,-6251,2.08389,4.69,4.932,2.2506,1.0516,1.00213,0.79075,1968,2080
"5","E02002652 E02002657","E02002652","E02002657","Kingston upon Hull 001","Kingston upon Hull 006",198,17,41,110,7,0,0,15,8,0,0,8.58586,35.93,18.93,36.72,98.49,-11.51,25.9,8.9,38.91,104.65,-5.35,99.7,82.7,22.23,59.77,-50.23,104.79,87.79,21.07,56.68,-53.32,-0.00642,11909,-0.00336,6228,-0.00432,8013,-0.00126,2332,-0.0172,31901,-0.01413,26220,-0.01036,19225,-0.0073,13544,-3577,-1881,-2576,-880,-9916,-8220,-10421,-8725,1.89911,3.419,2.979,1.80032,0.87131,0.58497,0.26855,1344,1628
"6","E02002652 E02002658","E02002652","E02002658","Kingston upon Hull 001","Kingston upon Hull 007",127,6,0,89,10,0,0,21,1,0,0,4.72441,17.54,11.54,0,80.51,-8.49,16.74,10.74,0,81.14,-7.86,60.81,54.81,0,48.7,-40.3,65.62,59.62,0,45.16,-43.84,-0.00648,12028,-0.00427,7920,-0.00546,10131,-0.00325,6023,-0.02221,41207,-0.02,37099,-0.01779,32999,-0.01557,28891,-2499,-1643,-2379,-1523,-8656,-7800,-9340,-8484,3.2972,3.889,3.889,1.17949,1,0.71998,0.71998,1658,1658
"7","E02002652 E02002659","E02002652","E02002659","Kingston upon Hull 001","Kingston upon Hull 008",89,4,2,57,7,0,0,17,1,1,0,4.49438,10.6,6.6,1.84,52.59,-4.41,7.5,3.5,1.89,54.88,-2.12,34.51,30.51,1.31,36.36,-20.64,40.66,36.66,1.16,32.26,-24.74,-0.00574,10655,-0.00359,6666,-0.00369,6836,-0.00153,2847,-0.01817,33719,-0.01602,29730,-0.01414,26236,-0.01199,22247,-2029,-1307,-1353,-631,-6842,-6120,-8059,-7337,3.37318,5.856,5.798,1.73604,0.9901,0.63183,0.60366,2334,2378
"8","E02002652 E02002660","E02002652","E02002660","Kingston upon Hull 001","Kingston upon Hull 009",79,5,6,51,2,0,0,14,0,0,1,6.32911,10.48,5.48,5.56,47.23,-3.77,6.78,1.78,5.89,49.56,-1.44,27.71,22.71,4.16,35.33,-15.67,33.63,28.63,3.68,31.25,-19.75,-0.00634,11761,-0.00332,6155,-0.00393,7283,-0.0009,1677,-0.01621,30066,-0.01318,24460,-0.01282,23781,-0.0098,18175,-2564,-1347,-1733,-516,-6815,-5598,-8269,-7052,5.84224,7.026,7.033,1.20262,1.001,1.01053,0.75359,2990,2936
"9","E02002652 E02002661","E02002652","E02002661","Kingston upon Hull 001","Kingston upon Hull 010",65,2,3,41,1,0,0,15,1,1,1,3.07692,6.67,4.67,2.77,37.96,-3.04,5.65,3.65,2.68,38.71,-2.29,23.71,21.71,2,26.85,-14.15,28.38,26.38,1.77,23.82,-17.18,-0.00398,7388,-0.00283,5246,-0.00284,5266,-0.00168,3124,-0.01384,25683,-0.01269,23541,-0.01056,19592,-0.00941,17450,-1464,-1034,-1207,-777,-5256,-4826,-6292,-5862,5.26074,6.688,6.669,1.2713,0.99716,1.0317,0.76473,2806,2752
"10","E02002652 E02002662","E02002652","E02002662","Kingston upon Hull 001","Kingston upon Hull 011",79,0,3,54,7,0,0,13,1,1,0,0,6.42,6.42,2.76,49.61,-4.39,0,0,3,54,0,33.11,33.11,1.74,31.36,-22.64,37.72,37.72,1.57,28.22,-25.78,-0.00316,5853,-0.00316,5853,0,0,0,0,-0.01563,29000,-0.01563,29000,-0.01086,20153,-0.01086,20153,-1211,-1211,0,0,-6244,-6244,-7111,-7111,4.47954,5.485,5.466,1.22446,0.99654,1.11212,0.78668,2306,2252
