"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",34,61.09,45.84,115.47,193.63,NA,NA,NA,NA,NA,0
"2",30,51.86,40.73,95.66,155.91,221,320.5,277.84,577.31,575.83002,1
"3",4,9.23,5.11,19.81,37.72,221,320.5,277.84,577.31,575.83002,1
"4",13,34.02,16.77,91.14,154.55999,NA,NA,NA,NA,NA,0
"5",57,97.69,72.86,196.94,257.48,221,320.5,277.84,577.31,575.83002,1
"6",53,88.46,67.75,177.13,219.75999,221,320.5,277.84,577.31,575.83002,1
"7",56,95.38,70.75,192.82,248.05,221,320.5,277.84,577.31,575.83002,1
"8",1,2.31,2.11,4.12,9.43,221,320.5,277.84,577.31,575.83002,1
"9",96,179.35,110.55,374.04999,545.87,221,320.5,277.84,577.31,575.83002,1
"10",95,177.04,108.44,369.92999,536.44,221,320.5,277.84,577.31,575.83002,1
"11",217,370.7,228.48,752.13998,917.64999,221,320.5,277.84,577.31,575.83002,1
"12",184,310.72,200.71,622.53,736.93998,NA,NA,NA,NA,NA,0
"13",149,267.81,178.3,551.18,765.63,NA,NA,NA,NA,NA,0
"14",247,422.56,269.21,847.79998,1073.55999,221,320.5,277.84,577.31,575.83002,1
"15",324,445.16,363.13,743.33002,732.19,221,320.5,277.84,577.31,575.83002,1
"16",376,533.06001,419.63,906.74002,972.21,NA,NA,NA,NA,NA,0
"17",113,168.19,118.59,284.01999,303.10001,NA,NA,NA,NA,NA,0
"18",96,179.35,110.55,374.04999,545.87,34,77.61,34,247.05,248.07001,1
"19",53,88.46,67.75,177.13,219.75999,34,77.61,34,247.05,248.07001,1
"20",12,30.68,16.86,58.65,129.5,34,77.61,34,247.05,248.07001,1
"21",84,148.67,93.69,315.39999,416.37,34,77.61,34,247.05,248.07001,1
"22",65,119.14,84.61,235.78,349.25999,34,77.61,34,247.05,248.07001,1
"23",16,37.36,22.33,67.35,148.04,NA,NA,NA,NA,NA,0
"24",57,95.14,73.22,185.83,238.29999,34,77.61,34,247.05,248.07001,1
"25",141,243.81,166.91,501.23,654.67,NA,NA,NA,NA,NA,0
"26",5,12.56,7.97,22.18,51.85,NA,NA,NA,NA,NA,0
"27",11,24.8,14.36,45.17,96.19,31,58.9,41.47,148.57001,153.59,1
"28",12,31.5,14.99,88.5,144.92999,NA,NA,NA,NA,NA,0
"29",1,2.52,1.78,2.64,9.63,NA,NA,NA,NA,NA,0
"30",10,34.41,17.66,128.19,189.89,NA,NA,NA,NA,NA,0
"31",3,12.13,3.57,38.59,62.45,31,58.9,41.47,148.57001,153.59,1
"32",144,255.94,170.48,539.82,717.12,31,58.9,41.47,148.57001,153.59,1
"33",15,50.38,25.58,177.33,272.62,24,70.78,30.17,265.01001,294.75,1
"34",13,40.62,22.51,140.28,214.71,24,70.78,30.17,265.01001,294.75,1
"35",2,9.76,3.07,37.05,57.91,24,70.78,30.17,265.01001,294.75,1
"36",32,77.03,53.35,177.05,340.91,31,72.65,31,218.69,239.53,1
"37",1,2.61,1,6.24,13.14,24,70.78,30.17,265.01001,294.75,1
"38",7,27.4,13.6,117.12,159.39,24,70.78,30.17,265.01001,294.75,1
"39",7,15.83,9.91,29.4,68.46,24,70.78,30.17,265.01001,294.75,1
"40",3,7.01,4.06,11.07,30.5,24,70.78,30.17,265.01001,294.75,1
"41",3,12.37,4.07,43.29,71.05,NA,NA,NA,NA,NA,0
"42",10,22.84,13.97,40.47,98.96,NA,NA,NA,NA,NA,0
"43",7,14.22,9.17,28.01,51.43,31,72.65,31,218.69,239.53,1
"44",10,26.59,13.24,71.3,122.48,31,72.65,31,218.69,239.53,1
"45",25,62.81,44.18,149.04,289.48,31,72.65,31,218.69,239.53,1
"46",3,12.37,4.07,43.29,71.05,31,72.65,31,218.69,239.53,1
"47",7,14.22,9.17,28.01,51.43,31,72.65,31,218.69,239.53,1
