"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"31","E02002692","East Riding of Yorkshire 009",3659,70,229,2928,186,37,3,166,0,22,18,159.86301,89.863,214.49001,2862.448,-65.551,107.206,37.206,227.41901,2897.3259,-30.674,438.60101,368.60101,158.80299,2668.615,-259.38501,641.75897,571.75897,147.92799,2503.1851,-424.815,-0.08393,155687,-0.0453,84030,-0.06591,122261,-0.02728,50604,-0.16571,307413,-0.12708,235756,-0.20613,382415,-0.1675,310758,-61880,-32798,-50713,-21631,-139821,-110739,-251227,-222145,0.52284
"89","E02002701","East Riding of Yorkshire 018",3587,65,159,3041,163,53,2,71,0,20,13,142.745,77.745,150.507,2977.781,-63.219,78.643,13.643,158.04201,3029.4609,-11.539,360.17999,295.17999,122.176,2805.2151,-235.785,500.427,435.427,115.209,2682.8831,-358.117,-0.06118,113478,-0.03377,62646,-0.03583,66460,-0.00843,15628,-0.11621,215592,-0.08881,164760,-0.15047,279146,-0.12307,228314,-53363,-29241,-33443,-9321,-109947,-85825,-197760,-173638,NA
"95","E02002662","Kingston upon Hull 011",2749,196,199,1672,205,13,2,374,21,38,29,380.94299,184.94299,182.48801,1551.976,-120.024,298.883,102.883,187.63901,1609.545,-62.455,984.987,788.987,121.425,1166.051,-505.94901,1123.991,927.99103,116.753,1072.627,-599.37299,-0.15883,294643,-0.08005,148498,-0.11578,214778,-0.037,68633,-0.39686,736263,-0.31809,590118,-0.3408,632255,-0.26203,486110,-60929,-30484,-46699,-16254,-154882,-124437,-191728,-161283,0.20736
"100","E02002661","Kingston upon Hull 010",3013,220,209,1755,194,15,1,510,38,50,21,416.44501,196.44501,191.35699,1633.9969,-121.003,323.944,103.944,196.938,1694.1899,-60.81,1026.76,806.76001,129.711,1265.705,-489.29501,1186.853,966.85303,126.551,1162.512,-592.48798,-0.19833,367925,-0.09508,176373,-0.14856,275597,-0.0453,84045,-0.46592,864391,-0.36267,672839,-0.40791,756761,-0.30466,565209,-72415,-34200,-57264,-19049,-171223,-133008,-214288,-176073,0.16625
"121","E02002702","East Riding of Yorkshire 019",4677,271,930,2881,212,211,7,72,17,42,34,445.638,174.638,869.23499,2787.3081,-93.692,364.99899,93.999,898.64899,2829.543,-51.457,1038.481,767.48102,625.81299,2500.063,-380.93701,1263.277,992.27698,616.03003,2322.604,-558.396,-0.10406,193037,-0.05175,95992,-0.07994,148291,-0.02763,51246,-0.19102,354370,-0.13871,257325,-0.22828,423498,-0.17597,326453,-71028,-34267,-56931,-20170,-150298,-113537,-258752,-221991,0.92912
"196","E02002715","East Riding of Yorkshire 032",6121,190,422,4845,278,192,6,93,10,34,51,342.92099,152.92101,395.43301,4733.333,-111.667,326.60199,136.60201,382.83401,4759.875,-85.124,808.90002,618.90002,303.92499,4402.1191,-442.88101,1220.1479,1030.1479,275.008,4062.251,-782.74902,-0.11005,204131,-0.06735,124930,-0.07003,129910,-0.02734,50709,-0.23705,439756,-0.19435,360555,-0.33869,628327,-0.29599,549126,-87301,-52476,-60465,-25640,-211508,-176683,-434602,-399777,1.42043
"235","E02002721","East Riding of Yorkshire 038",2688,132,220,2068,135,51,2,47,4,15,14,230.918,98.918,205.218,1993.973,-74.027,158.03799,26.038,215.172,2049.2129,-18.787,498.31201,366.31201,163.06,1796.125,-271.875,627.42798,495.42801,151.118,1692.4351,-375.565,-0.09208,170812,-0.04022,74607,-0.06008,111455,-0.00822,15250,-0.16605,308059,-0.11419,211854,-0.16006,296934,-0.1082,200729,-65190,-28906,-43338,-7054,-134112,-97828,-190562,-154278,0.13373
"429","E02002700","East Riding of Yorkshire 017",2559,254,546,1390,160,77,2,75,16,25,14,370.51099,116.511,502.93799,1332.911,-57.089,298.492,44.492,537.349,1362.692,-27.308,700.07898,446.07901,372.819,1177.296,-212.70399,798.297,544.297,369.724,1101.89,-288.10999,-0.06218,115329,-0.02338,43353,-0.05605,103978,-0.01725,32002,-0.09764,181114,-0.05884,109138,-0.11117,206231,-0.07238,134255,-44798,-15782,-40845,-11829,-78722,-49706,-122963,-93947,0.6622
"496","E02002696","East Riding of Yorkshire 013",2603,91,208,2044,129,36,3,41,9,14,28,164.55299,73.553,193.83099,1993.547,-50.453,131.95599,40.956,197.614,2018.896,-25.104,378.121,287.121,151.229,1849.231,-194.769,532.70001,441.70001,142.44,1719.423,-324.577,-0.04733,87775,-0.03027,56121,-0.02696,50002,-0.00989,18348,-0.10785,200053,-0.09078,168399,-0.14369,266559,-0.12663,234905,-39425,-24739,-23799,-9113,-98117,-83431,-188689,-174003,0.77007
"504","E02002684","East Riding of Yorkshire 001",3311,104,349,2369,282,37,2,62,39,43,24,209.98399,105.984,332.534,2296.7759,-72.224,183.08299,79.083,335.33301,2316.219,-52.781,696.349,592.349,251.289,1970.399,-398.60101,911.30298,807.30298,225.082,1815.979,-553.021,-0.04346,80619,-0.02103,39009,-0.0332,61583,-0.01077,19973,-0.1033,191642,-0.08087,150032,-0.11379,211096,-0.09136,169486,-30556,-15441,-23539,-8424,-83492,-68377,-136420,-121305,1.67065
