"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"163995",1,1,1,1.424,1114,32,34,0.02388,265,46,3583,"E02003581 E02003582"
"163996",1,1,1,1.925,4910,80,67,0.03481,359,55,6125,"E02003581 E02003583"
"163997",1,1,1,18.169,9706,379,515,0.02834,3387,371,96083,"E02003581 E02003584"
"163998",1,1,1,13.165,6652,280,333,0.02529,2454,245,70345,"E02003581 E02003585"
"163999",1,1,1,17.118,9088,351,479,0.02798,3191,360,91108,"E02003581 E02003586"
"164000",1,1,1,19.612,10144,458,603,0.03075,3656,417,79633,"E02003581 E02003587"
"164001",1,1,1,7.664,3946,164,177,0.02309,1429,142,45833,"E02003581 E02003588"
"164002",1,1,1,7.307,3724,175,177,0.02422,1362,131,36418,"E02003581 E02003589"
"164003",1,1,1,26.645,13124,609,701,0.02631,4967,515,96577,"E02003581 E02003590"
"164004",1,1,1,7.964,4078,187,183,0.02298,1485,146,37907,"E02003581 E02003591"
"164005",1,1,1,22.328,10406,602,501,0.02244,4162,414,71791,"E02003581 E02003592"
"164006",1,1,1,12.938,6554,362,334,0.02582,2412,282,39834,"E02003581 E02003593"
"164007",1,1,1,19.48,9882,416,488,0.02505,3631,380,75511,"E02003581 E02003594"
"164008",1,1,1,19.081,9592,395,488,0.02558,3557,379,90748,"E02003581 E02003595"
"164009",1,1,1,20.887,10538,451,525,0.02514,3894,418,95415,"E02003581 E02003596"
"164010",1,1,1,17.683,8988,339,398,0.02251,3296,358,80402,"E02003581 E02003597"
"164011",1,1,1,23.172,12230,582,629,0.02714,4320,513,112353,"E02003581 E02003598"
"164017",1,1,1,3.4,5556,108,99,0.02912,634,65,7703,"E02003582 E02003583"
"164018",1,1,1,17.642,9076,354,479,0.02715,3289,335,83905,"E02003582 E02003584"
"164019",1,1,1,12.638,6022,255,297,0.0235,2356,210,58167,"E02003582 E02003585"
"164020",1,1,1,16.591,8458,326,443,0.0267,3093,325,78930,"E02003582 E02003586"
"164021",1,1,1,19.085,9514,433,567,0.02971,3558,381,67455,"E02003582 E02003587"
"164022",1,1,1,7.137,3316,139,141,0.01976,1330,106,33655,"E02003582 E02003588"
"164023",1,1,1,6.78,3094,150,141,0.0208,1264,96,24240,"E02003582 E02003589"
"164024",1,1,1,26.118,12494,584,665,0.02546,4869,479,84399,"E02003582 E02003590"
"164025",1,1,1,7.437,3448,162,147,0.01977,1386,111,25729,"E02003582 E02003591"
"164026",1,1,1,21.248,9634,548,469,0.02207,3961,372,69079,"E02003582 E02003592"
"164027",1,1,1,11.858,5782,308,302,0.02547,2210,241,37122,"E02003582 E02003593"
"164028",1,1,1,18.953,9252,391,452,0.02385,3533,344,63333,"E02003582 E02003594"
"164029",1,1,1,18.554,8962,370,452,0.02436,3459,343,78570,"E02003582 E02003595"
"164030",1,1,1,20.36,9908,426,489,0.02402,3795,382,83237,"E02003582 E02003596"
"164031",1,1,1,17.156,8358,314,362,0.0211,3198,322,68224,"E02003582 E02003597"
"164032",1,1,1,22.645,11600,557,593,0.02619,4221,477,100175,"E02003582 E02003598"
"164038",1,1,1,11.117,6002,297,386,0.03472,2072,251,40841,"E02003583 E02003584"
"164039",1,1,1,6.113,2948,198,204,0.03337,1140,126,15103,"E02003583 E02003585"
"164040",1,1,1,10.066,5384,269,350,0.03477,1876,241,35866,"E02003583 E02003586"
"164041",1,1,1,11.805,6446,319,422,0.03575,2201,271,42579,"E02003583 E02003587"
"164042",1,1,1,6.724,2900,181,130,0.01933,1253,111,18707,"E02003583 E02003588"
"164043",1,1,1,8.164,3572,234,166,0.02033,1522,133,21620,"E02003583 E02003589"
"164044",1,1,1,20.514,9820,599,560,0.0273,3824,402,55716,"E02003583 E02003590"
"164045",1,1,1,8.462,3702,231,160,0.01891,1577,140,22541,"E02003583 E02003591"
"164046",1,1,1,26.801,12064,584,510,0.01903,4996,456,108556,"E02003583 E02003592"
"164047",1,1,1,14.668,7318,345,369,0.02516,2734,306,44599,"E02003583 E02003593"
"164048",1,1,1,17.33,8086,372,377,0.02175,3231,318,48192,"E02003583 E02003594"
"164049",1,1,1,16.931,7796,351,377,0.02227,3156,317,63429,"E02003583 E02003595"
"164050",1,1,1,18.737,8742,407,414,0.0221,3493,356,68096,"E02003583 E02003596"
"164051",1,1,1,21.547,10806,504,560,0.02599,4017,470,77282,"E02003583 E02003598"
"164057",1,1,1,5.087,2860,106,178,0.03499,948,109,23899,"E02003584 E02003585"
"164058",1,1,1,1.821,1056,37,34,0.01867,339,45,3988,"E02003584 E02003586"
"164059",1,1,1,1.104,624,27,44,0.03986,206,26,2356,"E02003584 E02003587"
"164060",1,1,1,10.734,5754,212,328,0.03056,2001,228,38167,"E02003584 E02003588"
"164061",1,1,1,12.174,6426,265,364,0.0299,2269,250,41080,"E02003584 E02003589"
"164062",1,1,1,8.821,4316,271,248,0.02811,1644,175,17069,"E02003584 E02003590"
"164063",1,1,1,12.472,6556,262,358,0.0287,2325,257,42001,"E02003584 E02003591"
"164065",1,1,1,12.568,5916,276,303,0.02411,2343,232,31165,"E02003584 E02003594"
"164066",1,1,1,14.933,7448,340,443,0.02967,2784,317,45903,"E02003584 E02003595"
"164067",1,1,1,15.514,7750,379,396,0.02553,2892,312,47367,"E02003584 E02003596"
"164068",1,1,1,19.526,9920,379,553,0.02832,3640,436,54685,"E02003584 E02003597"
"164069",1,1,1,19.549,10458,493,626,0.03202,3644,470,59756,"E02003584 E02003598"
"164076",1,1,1,4.249,2612,80,160,0.03766,792,124,21408,"E02003585 E02003586"
"164077",1,1,1,5.988,3674,130,232,0.03874,1116,154,28121,"E02003585 E02003587"
"164078",1,1,1,5.943,3070,115,164,0.0276,1108,127,14913,"E02003585 E02003588"
"164079",1,1,1,7.383,3742,168,200,0.02709,1376,149,17826,"E02003585 E02003589"
"164080",1,1,1,14.697,7048,410,370,0.02518,2740,285,41258,"E02003585 E02003590"
"164081",1,1,1,7.681,3872,165,194,0.02526,1432,156,18747,"E02003585 E02003591"
"164083",1,1,1,13.887,7488,279,403,0.02902,2589,322,40805,"E02003585 E02003593"
"164084",1,1,1,13.014,6586,358,353,0.02712,2426,274,36061,"E02003585 E02003594"
"164085",1,1,1,14.009,6914,269,355,0.02534,2611,291,51609,"E02003585 E02003595"
"164086",1,1,1,14.889,7538,406,388,0.02606,2775,321,46311,"E02003585 E02003596"
"164087",1,1,1,18.625,9924,422,538,0.02889,3472,444,65462,"E02003585 E02003598"
"164095",1,1,1,2.37,1184,53,82,0.0346,442,40,4065,"E02003586 E02003587"
"164096",1,1,1,9.92,5004,196,318,0.03206,1849,202,33600,"E02003586 E02003588"
"164097",1,1,1,11.36,5676,249,354,0.03116,2118,224,36513,"E02003586 E02003589"
"164098",1,1,1,10.769,4972,295,280,0.026,2007,189,20428,"E02003586 E02003590"
"164099",1,1,1,11.658,5806,246,348,0.02985,2173,232,37434,"E02003586 E02003591"
"164101",1,1,1,17.864,9422,360,557,0.03118,3330,397,59492,"E02003586 E02003593"
"164102",1,1,1,11.714,5224,250,273,0.02331,2184,199,28359,"E02003586 E02003594"
"164103",1,1,1,14.079,6756,314,413,0.02933,2624,284,43097,"E02003586 E02003595"
"164104",1,1,1,14.66,7058,353,366,0.02497,2733,279,44561,"E02003586 E02003596"
"164105",1,1,1,18.672,9228,353,523,0.02801,3481,403,51879,"E02003586 E02003597"
"164106",1,1,1,18.695,9766,467,596,0.03188,3485,437,56950,"E02003586 E02003598"
"164115",1,1,1,12.264,6314,304,428,0.0349,2286,286,37589,"E02003587 E02003588"
"164116",1,1,1,12.892,6974,284,410,0.0318,2403,276,43222,"E02003587 E02003589"
"164117",1,1,1,8.569,4008,246,194,0.02264,1597,154,14934,"E02003587 E02003590"
"164118",1,1,1,13.19,7104,281,404,0.03063,2459,284,44143,"E02003587 E02003591"
"164120",1,1,1,19.396,10720,395,613,0.0316,3616,449,66201,"E02003587 E02003593"
"164121",1,1,1,13.171,6278,314,343,0.02604,2455,257,35783,"E02003587 E02003594"
"164122",1,1,1,15.536,7810,378,483,0.03109,2896,342,50521,"E02003587 E02003595"
"164123",1,1,1,16.117,8112,417,436,0.02705,3004,337,51985,"E02003587 E02003596"
"164124",1,1,1,20.129,10282,417,593,0.02946,3752,461,59303,"E02003587 E02003597"
"164125",1,1,1,20.152,10820,531,666,0.03305,3757,495,64374,"E02003587 E02003598"
"164133",1,1,1,1.851,948,60,46,0.02485,345,28,5565,"E02003588 E02003589"
"164134",1,1,1,19.219,9246,446,524,0.02726,3583,376,50923,"E02003588 E02003590"
"164135",1,1,1,2.352,1116,67,44,0.01871,438,40,4133,"E02003588 E02003591"
"164136",1,1,1,20.541,9404,416,390,0.01899,3829,353,89354,"E02003588 E02003592"
"164137",1,1,1,8.558,4732,181,253,0.02956,1595,206,26191,"E02003588 E02003593"
"164138",1,1,1,12.054,6004,253,311,0.0258,2247,241,29857,"E02003588 E02003594"
"164139",1,1,1,11.655,5714,232,311,0.02668,2173,240,45094,"E02003588 E02003595"
"164140",1,1,1,13.461,6660,288,348,0.02585,2509,279,49761,"E02003588 E02003596"
"164141",1,1,1,10.961,5450,187,249,0.02272,2043,236,35050,"E02003588 E02003597"
"164142",1,1,1,16.271,8724,385,494,0.03036,3033,393,58947,"E02003588 E02003598"
"164151",1,1,1,20.87,10288,509,570,0.02731,3890,418,57813,"E02003589 E02003590"
"164152",1,1,1,1.601,858,45,32,0.01999,298,36,2772,"E02003589 E02003591"
"164153",1,1,1,19.888,9204,406,380,0.01911,3707,351,72389,"E02003589 E02003592"
"164154",1,1,1,7.339,4216,128,225,0.03066,1368,191,22655,"E02003589 E02003593"
