"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",10,17.61,13.63,22.35,78.08,NA,NA,NA,NA,NA,0
"2",5,8.99,5,19.24,48.4,72,135.89,115.3,401.95001,523.28998,1
"3",1,2.34,1.79,4.36,17.14,72,135.89,115.3,401.95001,523.28998,1
"4",6,11.33,6.79,23.6,65.54,72,135.89,115.3,401.95001,523.28998,1
"5",6,11.03,6.79,22.92,62.39,NA,NA,NA,NA,NA,0
"6",0,0.3,0,0.68,3.15,NA,NA,NA,NA,NA,0
"7",3,4.32,3,5.58,14.12,9,14.45,13.21,43.16,68.19,1
"8",7,13.29,10.63,16.77,63.96,9,14.45,13.21,43.16,68.19,1
"9",20,29.64,27.64,34.66,106.92,9,14.45,13.21,43.16,68.19,1
"10",13,16.35,17.01,17.89,42.96,9,14.45,13.21,43.16,68.19,1
"11",7,13.29,10.63,16.77,63.96,NA,NA,NA,NA,NA,0
"12",13,16.35,17.01,17.89,42.96,9,14.45,13.21,43.16,68.19,1
"13",1,2.34,1.79,4.36,17.14,9,14.45,13.21,43.16,68.19,1
"14",5,8.69,5,18.56,45.25,9,14.45,13.21,43.16,68.19,1
"15",59,84.05,106.69,151.61,345.81,9,14.45,13.21,43.16,68.19,1
"16",60,86.39,108.48,155.97,362.95,9,14.45,13.21,43.16,68.19,1
"17",16,20.67,20.01,23.47,57.08,NA,NA,NA,NA,NA,0
"18",55,80.5,101.78,150.68,350.84,9,14.45,13.21,43.16,68.19,1
"19",5,5.89,6.7,5.29,12.11,NA,NA,NA,NA,NA,0
"20",36,53.15,63.34,98.16,237.02,NA,NA,NA,NA,NA,0
"21",19,27.35,38.44,52.52,113.82,NA,NA,NA,NA,NA,0
"22",121,181.95,192.61,352.44001,643.33,54,74.05,83.83,162.01,215.17999,1
"23",105,161.28,172.6,328.97001,586.25,54,74.05,83.83,162.01,215.17999,1
"24",6,7.9,8.99,7.84,23.26,54,74.05,83.83,162.01,215.17999,1
"25",115,174.05,183.62,344.60001,620.07,54,74.05,83.83,162.01,215.17999,1
"26",100,139.8,148.28,309.92999,431.01,NA,NA,NA,NA,NA,0
"27",35,51.28,61.67,95.2,226.71,15,32.59,29.24,146.56,197.51,1
"28",1,1.87,1.67,2.96,10.31,15,32.59,29.24,146.56,197.51,1
"29",104,146.45,173.79,242.65,485.6,NA,NA,NA,NA,NA,0
"30",209,307.73,346.38999,571.62,1071.85,NA,NA,NA,NA,NA,0
"31",5,7.41,6.8,6.81,25.1,35,69.42,63.31,275.19,348.10998,1
"32",2,5.88,3.83,9.96,38.86,35,69.42,63.31,275.19,348.10998,1
"33",106,147.7,157.27,317.76999,454.27,54,74.05,83.83,162.01,215.17999,1
"34",26,35.48,45.31,54.89,131.33,NA,NA,NA,NA,NA,0
"35",9,15.8,16.36,40.31,95.38,NA,NA,NA,NA,NA,0
"36",56,87.18,98.34,239.59999,329.39,NA,NA,NA,NA,NA,0
"37",50,60.52,58.93,78.17,124.88,NA,NA,NA,NA,NA,0
"38",163,290.01,290.75,892.75,1287.72997,NA,NA,NA,NA,NA,0
"39",172,305.81,307.11,933.06,1383.10997,15,32.59,29.24,146.56,197.51,1
"40",252,437.04,451.4,1231.87998,1983.03001,35,69.42,63.31,275.19,348.10998,1
"41",78,123.39,125.59,274.14,489.14,35,69.42,63.31,275.19,348.10998,1
"42",80,129.27,129.42,284.1,528,35,69.42,63.31,275.19,348.10998,1
"43",139,225.6,233.37,571.74,940.97998,35,69.42,63.31,275.19,348.10998,1
"44",50,99.89,102.69,375.89999,478.07999,35,69.42,63.31,275.19,348.10998,1
"45",25,40.16,41.56,66.23,178.51,15,32.59,29.24,146.56,197.51,1
"46",56,112.03,114.9,403.03999,551.66999,35,69.42,63.31,275.19,348.10998,1
"47",6,12.14,12.21,27.14,73.59,35,69.42,63.31,275.19,348.10998,1
"48",78,123.39,125.59,274.14,489.14,NA,NA,NA,NA,NA,0
"49",2,5.88,3.83,9.96,38.86,NA,NA,NA,NA,NA,0
"50",131,184.34,220.79999,297.48,582.71,NA,NA,NA,NA,NA,0
"51",139,225.6,233.37,571.74,940.97998,35,69.42,63.31,275.19,348.10998,1
"52",145,237.74,245.58,598.88,1014.56998,35,69.42,63.31,275.19,348.10998,1
"53",6,12.14,12.21,27.14,73.59,NA,NA,NA,NA,NA,0
"54",22,36.39,35.6,63.23,169.87,15,32.59,29.24,146.56,197.51,1
"55",3,3.77,5.96,3,8.64,15,32.59,29.24,146.56,197.51,1
"56",23,38.26,37.27,66.19,180.18,15,32.59,29.24,146.56,197.51,1
"57",196,325.01,336.5,828.83999,1431.36003,35,69.42,63.31,275.19,348.10998,1
"58",83,130.8,132.39,280.95,514.24,35,69.42,63.31,275.19,348.10998,1
"59",132,228.25,236.79,636.87999,1078.21002,35,69.42,63.31,275.19,348.10998,1
"60",19,34.04,32.68,88.99,161.09,35,69.42,63.31,275.19,348.10998,1
"61",53,66.38,74.11,113.26,185.03999,38,56.31,65.21,153.86,213.14999,1
"62",120,191.56,200.69,482.75,779.88999,35,69.42,63.31,275.19,348.10998,1
"63",26,42.03,43.23,69.19,188.82,15,32.59,29.24,146.56,197.51,1
"64",0,0,0,0,0,35,69.42,63.31,275.19,348.10998,1
"65",0,0,0,0,0,35,69.42,63.31,275.19,348.10998,1
"66",0,0,0,0,0,35,69.42,63.31,275.19,348.10998,1
"67",0,0,0,0,0,35,69.42,63.31,275.19,348.10998,1
"68",115,200.51001,205.26,594.80999,948.10002,35,69.42,63.31,275.19,348.10998,1
"69",0,0,0,0,0,35,69.42,63.31,275.19,348.10998,1
"70",0,0,0,0,0,35,69.42,63.31,275.19,348.10998,1
"71",2,5.88,3.83,9.96,38.86,35,69.42,63.31,275.19,348.10998,1
"72",17,27.74,31.53,42.07,130.11,35,69.42,63.31,275.19,348.10998,1
"73",131,184.34,220.79999,297.48,582.71,35,69.42,63.31,275.19,348.10998,1
"74",43,71.96,83.37,160.35,357.02,35,69.42,63.31,275.19,348.10998,1
"75",163,263.52,284.06,643.09999,1136.90999,NA,NA,NA,NA,NA,0
"76",72,128.55,121.89,434.45999,591.08002,35,69.42,63.31,275.19,348.10998,1
"77",103,126.9,133.04,191.43,309.91999,NA,NA,NA,NA,NA,0
"78",74,134.43,125.72,444.41999,629.94002,NA,NA,NA,NA,NA,0
"79",148,212.08,252.32999,339.55,712.82,35,69.42,63.31,275.19,348.10998,1
"80",32,54.17,55.44,96.33,262.41001,15,32.59,29.24,146.56,197.51,1
"81",0,0,0,0,0,NA,NA,NA,NA,NA,0
"82",0,0,0,0,0,NA,NA,NA,NA,NA,0
"83",0,0,0,0,0,43,71.78,76.94,234.69,306.14999,1
"84",74,134.43,125.72,444.41999,629.94002,43,71.78,76.94,234.69,306.14999,1
"85",163,263.52,284.06,643.09999,1136.90999,43,71.78,76.94,234.69,306.14999,1
"86",0,0,0,0,0,43,71.78,76.94,234.69,306.14999,1
"87",0,0,0,0,0,43,71.78,76.94,234.69,306.14999,1
