"","id","Area.of.residence","Area.of.workplace","All","Rail","Bus","taxi","motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","avslope","dist","cirquity","dist_fast","dist_quiet","distq_f","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","geo_label_o","geo_label_d","time_fast","time_quiet","co2_saving","busyness","avslope_q","clc"
"96079","E02003581 E02003582","E02003581","E02003582",759,2,24,2,9,344,44,50,282,2,2.3876404494382,0.980000019073486,1.45306119620924,1.424,NA,NA,79.2799987792969,29.2800006866455,270.359985351562,-11.6400003433228,329.799987792969,-14.1999998092651,89.3499984741211,39.3499984741211,266.369995117188,-15.6300001144409,325.010009765625,-18.9899997711182,231.759994506836,181.759994506836,209.699996948242,-72.3000030517578,255.779998779297,-88.2200012207031,306.130004882812,256.130004882812,180.119995117188,-101.879997253418,219.699996948242,-124.300003051758,-0.00184000004082918,3413,-0.00292000011540949,5407,-0.00107999995816499,1994,-0.00267999991774559,4964,-0.00083999999333173,1551,-0.00676999986171722,12561,-0.00492999982088804,9148,0.00279000005684793,-5167,0.00462999986484647,-8580,-0.00147999997716397,4785,-0.00234999996609986,7582,-0.000869999988935888,2797,-0.00215000007301569,6956,-0.000669999979436398,2171,-0.00558000011369586,18017,-0.00410000002011657,13232,0.000180000002728775,-593,0.00167000002693385,-5378,-1753,-2781,-1028,-3128,-1375,-8143,-6390,-10757,-9004,"Isle of Wight 001","Isle of Wight 002",1114,NA,265,3583,NA,6.58761528326746
"96080","E02003581 E02003583","E02003581","E02003583",510,1,13,1,8,128,7,53,296,3,3.48051948051948,1.26999998092651,1.51574805426031,1.925,NA,NA,66.379997253418,13.3800001144409,287.309997558594,-8.6899995803833,124.290000915527,-3.71000003814697,74.1100006103516,21.1100006103516,282.320007324219,-13.6800003051758,122.089996337891,-5.90999984741211,113.26000213623,60.2599983215332,257.260009765625,-38.7400016784668,110.699996948242,-17.2999992370605,185.039993286133,132.039993286133,210.710006713867,-85.2900009155273,90.6800003051758,-37.3199996948242,0.00451999995857477,-8390,0.00559999980032444,-10394,0.00107999995816499,-2004,0.00548999989405274,-10187,0.000969999993685633,-1797,0.00877999980002642,-16281,0.004250000230968,-7891,0.021849999204278,-40546,0.0173300001770258,-32156,0.002210000064224,-7134,0.00273000006563962,-8821,0.00052000000141561,-1687,0.00267999991774559,-8643,0.000469999999040738,-1509,0.00430000014603138,-13879,0.00209000008180737,-6745,0.0119200004264712,-38497,0.00970999989658594,-31363,-1363,-1714,-351,-1920,-557,-2978,-1615,-4871,-3508,"Isle of Wight 001","Isle of Wight 003",4910,NA,359,6125,NA,10.3921568627451
"96081","E02003581 E02003584","E02003581","E02003584",118,1,16,0,3,83,5,3,6,1,2.83449832131653,10.289999961853,1.76569485591408,18.169,NA,NA,3.80999994277954,0.810000002384186,5.96000003814697,-0.0399999991059303,82.4199981689453,-0.579999983310699,6.8899998664856,3.89000010490417,5.76999998092651,-0.230000004172325,80.129997253418,-2.86999988555908,3,0,6,0,83,0,10.3400001525879,7.34000015258789,5.61999988555908,-0.379999995231628,77.7099990844727,-5.28999996185303,-0.00652999989688396,12115,-0.00829000025987625,15375,-0.00176000001374632,3260,-0.0113399997353554,21030,-0.00480999983847141,8915,-0.00652999989688396,12115,0,0,-0.014189999550581,26326,-0.0076600001193583,14211,-0.00367000000551343,11855,-0.00466000009328127,15043,-0.000989999971352518,3188,-0.0063999998383224,20655,-0.00273000006563962,8800,-0.00367000000551343,11855,0,0,-0.00934999994933605,30206,-0.00567999994382262,18351,-1993,-2527,-534,-4643,-2650,-1993,0,-6867,-4874,"Isle of Wight 001","Isle of Wight 004",9706,NA,3387,96083,NA,2.54237288135593
"96082","E02003581 E02003585","E02003581","E02003585",67,0,4,0,2,49,6,4,2,0,2.52943410558299,6.21999979019165,2.11655955692474,13.165,NA,NA,4.82000017166138,0.819999992847443,1.97000002861023,-0.0299999993294477,48.3600006103516,-0.639999985694885,8.17000007629395,4.17000007629395,1.85000002384186,-0.150000005960464,45.7700004577637,-3.23000001907349,4.44999980926514,0.449999988079071,2,0,48.6399993896484,-0.360000014305115,10.3699998855591,6.36999988555908,1.83000004291534,-0.170000001788139,44.0200004577637,-4.98000001907349,-0.00651000021025538,12071,-0.00786000024527311,14585,-0.00135999999474734,2514,-0.0104499999433756,19387,-0.00394000019878149,7316,-0.00712999980896711,13228,-0.000620000006165355,1157,-0.0118300002068281,21945,-0.00531999999657273,9874,-0.00442000012844801,14277,-0.00533000007271767,17216,-0.000910000002477318,2939,-0.00707999989390373,22864,-0.00265999999828637,8587,-0.00481999991461635,15571,-0.00039999998989515,1294,-0.00805999990552664,26026,-0.00364000000990927,11749,-2063,-2489,-426,-4227,-2164,-2304,-241,-5402,-3339,"Isle of Wight 001","Isle of Wight 005",6652,NA,2454,70345,NA,5.97014925373134
"96083","E02003581 E02003586","E02003581","E02003586",47,2,3,0,3,33,4,0,2,0,2.79822409159949,9.5,1.80189473684211,17.118,NA,NA,0.340000003576279,0.340000003576279,1.99000000953674,-0.00999999977648258,32.7599983215332,-0.239999994635582,0,0,2,0,33,0,1.1599999666214,1.1599999666214,1.95000004768372,-0.0500000007450581,32.1800003051758,-0.819999992847443,4.5,4.5,1.80999994277954,-0.189999997615814,29.8400001525879,-3.16000008583069,0,0,-0.000730000028852373,1346,-0.000730000028852373,1346,0,0,0,0,-0.00191999995149672,3564,-0.00191999995149672,3564,-0.00461000017821789,8553,-0.00461000017821789,8553,0,0,-0.000419999996665865,1370,-0.000419999996665865,1370,0,0,0,0,-0.00121999997645617,3940,-0.00121999997645617,3940,-0.00331999990157783,10712,-0.00331999990157783,10712,0,-210,-210,0,0,-711,-711,-2753,-2753,"Isle of Wight 001","Isle of Wight 006",9088,NA,3191,91108,NA,0
"96084","E02003581 E02003587","E02003581","E02003587",78,0,9,0,3,62,2,1,1,0,3.07464817458699,10.7200002670288,1.8294775663691,19.612,NA,NA,1.47000002861023,0.469999998807907,0.990000009536743,-0.00999999977648258,61.6199989318848,-0.379999995231628,1.5900000333786,0.589999973773956,0.990000009536743,-0.00999999977648258,61.5800018310547,-0.419999986886978,1.50999999046326,0.509999990463257,1,0,61.5200004577637,-0.479999989271164,6.1399998664856,5.1399998664856,0.939999997615814,-0.0599999986588955,57.810001373291,-4.19000005722046,-0.00240000011399388,4454,-0.00358000001870096,6641,-0.0011800000211224,2187,-0.00320999999530613,5955,-0.000809999997727573,1501,-0.00346000003628433,6427,-0.00106000003870577,1973,-0.00899000000208616,16680,-0.00658999988809228,12226,-0.00124999997206032,4033,-0.00184000004082918,5953,-0.000590000010561198,1920,-0.00167000002693385,5392,-0.000419999996665865,1359,-0.00179999996908009,5812,-0.000549999997019768,1779,-0.00560999987646937,18127,-0.00436000013723969,14094,-676,-1042,-366,-1072,-396,-1152,-476,-4767,-4091,"Isle of Wight 001","Isle of Wight 007",10144,NA,3656,79633,NA,1.28205128205128
"96085","E02003581 E02003588","E02003581","E02003588",681,0,72,0,13,485,35,57,17,2,2.30949895615866,6.07000017166138,1.26260292969684,7.664,NA,NA,75.3300018310547,18.3299999237061,16.5,-0.5,470.75,-14.25,92.5999984741211,35.5999984741211,16.0200004577637,-0.980000019073486,457.339996337891,-27.6599998474121,109.269996643066,52.2700004577637,15.4899997711182,-1.50999999046326,444.459991455078,-40.5400009155273,206.529998779297,149.529998779297,12.8599996566772,-4.1399998664856,368.850006103516,-116.150001525879,-0.0557200014591217,103376,-0.0735799968242645,136509,-0.0178599990904331,33133,-0.0756499990820885,140348,-0.0199299994856119,36972,-0.0968300029635429,179639,-0.0411100015044212,76263,-0.128270000219345,237987,-0.0725599974393845,134611,-0.0365500003099442,118030,-0.0482800006866455,155911,-0.0117300003767014,37881,-0.0496499985456467,160311,-0.0130899995565414,42281,-0.063629999756813,205457,-0.0270700007677078,87427,-0.0849800035357475,274394,-0.048420000821352,156364,-17318,-22876,-5558,-28108,-10790,-33133,-15815,-62630,-45312,"Isle of Wight 001","Isle of Wight 008",3946,NA,1429,45833,NA,8.37004405286344
"96086","E02003581 E02003589","E02003581","E02003589",467,0,91,0,19,295,19,27,16,0,2.42233474750239,6.07000017166138,1.20378909280987,7.307,NA,NA,39.6199989318848,12.6199998855591,15.5299997329712,-0.469999998807907,286.540008544922,-8.46000003814697,47.1300010681152,20.1299991607666,15.1800003051758,-0.819999992847443,281.570007324219,-13.4300003051758,77.0100021362305,50.0099983215332,14.2299995422363,-1.76999998092651,261.429992675781,-33.5699996948242,144.970001220703,117.970001220703,11.7399997711182,-4.26000022888184,215.880004882812,-79.120002746582,-0.0243100002408028,45100,-0.0357500016689301,66331,-0.0114399995654821,21231,-0.0347100012004375,64395,-0.0104000000283122,19295,-0.0611400008201599,113432,-0.0368300005793571,68332,-0.0770599991083145,142977,-0.0527600012719631,97877,-0.0160799995064735,51934,-0.0236399993300438,76332,-0.00755999982357025,24398,-0.02297000028193,74166,-0.00687999976798892,22232,-0.0404100008308887,130475,-0.024320000782609,78541,-0.0515500009059906,166451,-0.0354599989950657,114517,-6677,-9811,-3134,-11648,-4971,-19123,-12446,-36010,-29333,"Isle of Wight 001","Isle of Wight 009",3724,NA,1362,36418,NA,5.78158458244111
"96087","E02003581 E02003590","E02003581","E02003590",68,0,6,0,5,50,0,0,7,0,2.63088759617189,15.789999961853,1.68746042206279,26.645,NA,NA,0.409999996423721,0.409999996423721,6.96000003814697,-0.0399999991059303,49.7000007629395,-0.300000011920929,0,0,7,0,50,0,0.699999988079071,0.699999988079071,6.92999982833862,-0.0700000002980232,49.4900016784668,-0.509999990463257,4.13000011444092,4.13000011444092,6.57999992370605,-0.419999986886978,46.9700012207031,-3.02999997138977,0,0,-0.00116999994497746,2173,-0.00116999994497746,2173,0,0,0,0,-0.00147999997716397,2744,-0.00147999997716397,2744,-0.00461000017821789,8544,-0.00461000017821789,8544,0,0,-0.000490000005811453,1574,-0.000490000005811453,1574,0,0,0,0,-0.000699999975040555,2268,-0.000699999975040555,2268,-0.00414999993517995,13414,-0.00414999993517995,13414,0,-412,-412,0,0,-696,-696,-4119,-4119,"Isle of Wight 001","Isle of Wight 010",13124,NA,4967,96577,NA,0
"96088","E02003581 E02003591","E02003581","E02003591",243,0,39,0,5,171,15,8,5,0,2.2978402812657,7.01999998092651,1.13447293755532,7.964,NA,NA,14.3699998855591,6.36999988555908,4.8600001335144,-0.140000000596046,166.369995117188,-4.63000011444092,11.4899997711182,3.49000000953674,4.96000003814697,-0.0399999991059303,168.410003662109,-2.58999991416931,37.5900001525879,29.5900001525879,4.44999980926514,-0.550000011920929,149.330001831055,-21.6700000762939,72.0699996948242,64.0699996948242,3.70000004768372,-1.29999995231628,124.269996643066,-46.7299995422363,-0.00781999994069338,14504,-0.0142799997702241,26489,-0.00645999982953072,11985,-0.00990999955683947,18379,-0.00209000008180737,3875,-0.0323899984359741,60089,-0.0245699994266033,45585,-0.0407399982213974,75579,-0.0329199992120266,61075,-0.0051699997857213,16701,-0.00939999986439943,30348,-0.00423000007867813,13647,-0.00652999989688396,21079,-0.00135999999474734,4378,-0.0212099999189377,68503,-0.0160399992018938,51802,-0.0269200000911951,86922,-0.0217499993741512,70221,-2243,-4101,-1858,-3289,-1046,-10963,-8720,-21024,-18781,"Isle of Wight 001","Isle of Wight 011",4078,NA,1485,37907,NA,3.29218106995885
