"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"40","E02003346","Medway 033",2707,2,164,152,9,36,1946,175,22,189,12,55.0040016174316,33.0040016174316,185.085998535156,-3.91400003433228,1922.36804199219,-23.6319999694824,40.181999206543,18.181999206543,185.57600402832,-3.42400002479553,1933.51501464844,-12.4849996566772,236.582992553711,214.582992553711,157.259002685547,-31.7409992218018,1799.03295898438,-146.966995239258,481.947998046875,459.947998046875,134.634002685547,-54.3660011291504,1618.61999511719,-327.380004882812,-0.0154600003734231,28681,-0.0376299992203712,69768,-0.0221699997782707,41087,-0.0252100005745888,46753,-0.00973999965935946,18072,-0.129329994320869,239887,-0.113860003650188,211206,-0.204260006546974,378905,-0.188789993524551,350224,-0.0100400000810623,18625,-0.023539999499917,43611,-0.0135000003501773,24986,-0.0163700003176928,30350,-0.00632000016048551,11725,-0.0828099995851517,153574,-0.0727600008249283,134949,-0.133860006928444,248294,-0.123819999396801,229669,-5773,-13677,-7904,-10068,-4295,-46117,-40344,-112002,-106229,0.0334407854975904
"76","E02003338","Medway 025",3143,7,566,110,9,38,1941,156,32,268,16,90.390998840332,58.390998840332,258.930999755859,-9.06900024414062,1904.31396484375,-36.6860008239746,75.431999206543,43.431999206543,264.566986083984,-3.43300008773804,1912.87097167969,-28.128999710083,375.460998535156,343.460998535156,201.24299621582,-66.7570037841797,1735.68798828125,-205.311996459961,615.331970214844,583.331970214844,174.67399597168,-93.3259963989258,1573.70300292969,-367.296997070312,-0.0224399995058775,41634,-0.060419999063015,112040,-0.0379699990153313,70406,-0.049150001257658,91169,-0.0266999993473291,49535,-0.203590005636215,377672,-0.181150004267693,336038,-0.256879985332489,476554,-0.234439998865128,434920,-0.0147700002416968,27393,-0.0387500002980232,71840,-0.02398999966681,44447,-0.032490000128746,60272,-0.0177200008183718,32879,-0.133149996399879,246987,-0.118380002677441,219594,-0.171829998493195,318749,-0.157059997320175,291356,-7007,-19767,-12760,-16744,-9737,-68328,-61321,-138279,-131272,0.0242830326869995
"78","E02005035","Dartford 008",3798,14,610,217,23,58,2313,174,47,327,15,135.039001464844,88.0390014648438,313.778991699219,-13.2209997177124,2257.4150390625,-55.5849990844727,91.0070037841797,44.0069999694824,320.430999755859,-6.56899976730347,2286.25805664062,-26.742000579834,559.713989257812,512.713989257812,235.440002441406,-91.5599975585938,1994.10498046875,-318.894989013672,857.442016601562,810.442016601562,207.095993041992,-119.903999328613,1798.99499511719,-514.005004882812,-0.0361500009894371,67054,-0.0841500014066696,155982,-0.0480000004172325,88928,-0.0614399984478951,113965,-0.0252899993211031,46911,-0.223450005054474,414424,-0.187299996614456,347370,-0.303449988365173,562853,-0.267300009727478,495799,-0.0187699999660254,34807,-0.0451399981975555,83598,-0.0263700000941753,48791,-0.031980000436306,59311,-0.0132099995389581,24504,-0.135550007224083,251352,-0.116789996623993,216545,-0.191640004515648,355415,-0.172879993915558,320608,-12906,-29688,-16782,-20295,-7389,-89412,-76506,-168815,-155909,0.0213355000048615
"86","E02005067","Gravesham 013",2619,18,238,92,8,46,1994,115,18,80,10,42.5849990844727,24.5849990844727,77.963996887207,-2.03600001335144,1974.1689453125,-19.8309993743896,36.8629989624023,18.863000869751,78.6689987182617,-1.3309999704361,1978.60998535156,-15.3900003433228,124.887001037598,106.887001037598,67.5739974975586,-12.4259996414185,1910.4169921875,-83.5830001831055,273.924011230469,255.92399597168,59.3800010681152,-20.6200008392334,1786.84497070312,-207.154998779297,-0.0213900003582239,39673,-0.0554899983108044,102883,-0.0341099984943867,63210,-0.0344699993729591,63944,-0.0130899995565414,24271,-0.113770000636578,211013,-0.0923900008201599,171340,-0.192929998040199,357863,-0.171540006995201,318190,-0.0124800000339746,23160,-0.0320600010454655,59416,-0.0195799991488457,36256,-0.0205499995499849,38119,-0.00807000044733286,14959,-0.0700900033116341,129956,-0.0575999990105629,106796,-0.127079993486404,235700,-0.114600002765656,212540,-7467,-19424,-11957,-16289,-8822,-50029,-42562,-133073,-125606,0.0262280043190714
"147","E02005161","Tonbridge and Malling 013",4066,8,1107,77,5,27,1917,164,71,681,9,158.664993286133,87.6650009155273,647.942993164062,-33.056999206543,1875.43395996094,-41.5660018920898,121.06600189209,50.0660018920898,662.703979492188,-18.2959995269775,1893.15698242188,-23.8430004119873,587.836975097656,516.836975097656,473.671997070312,-207.328002929688,1682.21301269531,-234.787002563477,836.460998535156,765.460998535156,425.704010009766,-255.296005249023,1534.48303222656,-382.516998291016,-0.00891000032424927,16535,-0.0262400005012751,48650,-0.0173300001770258,32115,-0.0169399995356798,31413,-0.0080199996009469,14878,-0.0748500004410744,138833,-0.0659400001168251,122298,-0.0920799970626831,170796,-0.0831699967384338,154261,-0.006010000128299,11149,-0.0170499999076128,31593,-0.0110400002449751,20444,-0.011289999820292,20932,-0.00527000008150935,9783,-0.0504200011491776,93510,-0.0444100014865398,82361,-0.0660099983215332,122443,-0.0599999986588955,111294,-5889,-16622,-10733,-11306,-5417,-56656,-50767,-115285,-109396,0.0335538354792909
"173","E02005095","Sevenoaks 009",2951,9,684,22,8,30,1898,136,36,115,13,73.9779968261719,37.9780006408691,111.846000671387,-3.15400004386902,1868.82800292969,-29.1720008850098,66.036003112793,30.0359992980957,112.641998291016,-2.35800004005432,1874.5810546875,-23.4190006256104,247.138000488281,211.138000488281,93.879997253418,-21.1200008392334,1739.56005859375,-158.440002441406,445.481994628906,409.481994628906,80.7259979248047,-34.273998260498,1582.72802734375,-315.272003173828,-0.0194499995559454,36091,-0.0405899994075298,75220,-0.0211299993097782,39129,-0.0351600013673306,65228,-0.01570999994874,29137,-0.0914399996399879,169578,-0.0719899982213974,133487,-0.130999997258186,242970,-0.111539997160435,206879,-0.0119899995625019,22232,-0.024490000680089,45348,-0.0125000001862645,23116,-0.0217599999159575,40355,-0.00977000035345554,18123,-0.0576299987733364,106837,-0.0456399992108345,84605,-0.0852800011634827,158141,-0.0732899978756905,135909,-9395,-19955,-10560,-17525,-8130,-56100,-46705,-124875,-115480,0.0231936915262019
"190","E02003339","Medway 026",2766,5,261,112,5,18,1880,173,23,283,6,63.7109985351562,40.7109985351562,276.579986572266,-6.42000007629395,1851.82495117188,-28.1749992370605,45.5330009460449,22.5330009460449,279.960998535156,-3.03900003433228,1864.61694335938,-15.3830003738403,298.825012207031,275.825012207031,230.578994750977,-52.4210014343262,1697.45495605469,-182.544998168945,549.539001464844,526.539001464844,195.740997314453,-87.2590026855469,1518.93994140625,-361.059997558594,-0.0188900008797646,35038,-0.0412399992346764,76465,-0.0223600007593632,41427,-0.0294100008904934,54561,-0.0105299996212125,19523,-0.132809996604919,246353,-0.113920003175735,211315,-0.183650001883507,340664,-0.164759993553162,305626,-0.011629999615252,21565,-0.025280000641942,46844,-0.0136500000953674,25279,-0.0183199997991323,33969,-0.00669000018388033,12404,-0.0850600004196167,157758,-0.0734300017356873,136193,-0.120870001614094,224200,-0.109240002930164,202635,-6923,-15305,-8382,-11406,-4483,-50548,-43625,-109885,-102962,0.0350106467632112
"205","E02005085","Maidstone 018",2636,6,460,28,4,22,1813,95,27,168,13,70.6350021362305,43.6349983215332,160.761993408203,-7.23799991607666,1781.56701660156,-31.4330005645752,41.1450004577637,14.1450004577637,165.513000488281,-2.48699998855591,1802.7919921875,-10.2080001831055,238.682998657227,211.682998657227,126.380996704102,-41.6189994812012,1666.63793945312,-146.361999511719,388.558990478516,361.558990478516,112.978996276855,-55.0209999084473,1547.53002929688,-265.470001220703,-0.00985000003129244,18274,-0.0340700000524521,63171,-0.0242199990898371,44897,-0.0164599996060133,30527,-0.00661000004038215,12253,-0.103509999811649,191997,-0.0936599969863892,173723,-0.139420002698898,258634,-0.129570007324219,240360,-0.0065700002014637,12194,-0.0213500000536442,39580,-0.0147799998521805,27386,-0.0109599996358156,20337,-0.00438999990001321,8143,-0.067270003259182,124758,-0.0606900006532669,112564,-0.0963800027966499,178768,-0.0898000001907349,166574,-5542,-19565,-14023,-9488,-3946,-61446,-55904,-131503,-125961,0.0138930986973023
"249","E02005132","Thanet 001",3060,8,111,422,36,28,1402,420,69,545,19,145.481002807617,76.4810028076172,528.383972167969,-16.6159992218018,1368.27294921875,-33.7270011901855,114.813003540039,45.8129997253418,536.18798828125,-8.8120002746582,1380.23205566406,-21.7679996490479,504.946990966797,435.946990966797,426.904998779297,-118.095001220703,1223.31896972656,-178.680999755859,754.4580078125,685.4580078125,370.497009277344,-174.503005981445,1112.38000488281,-289.619995117188,-0.0404799990355968,75100,-0.093019999563694,172557,-0.0525400005280972,97457,-0.0677699968218803,125721,-0.0272899996489286,50621,-0.206029996275902,382225,-0.165549993515015,307125,-0.231639996170998,429740,-0.19115999341011,354640,-0.0262199994176626,48638,-0.0559899993240833,103858,-0.0297800004482269,55220,-0.0436699986457825,81014,-0.0174499992281199,32376,-0.131310001015663,243591,-0.105089999735355,194953,-0.154119998216629,285925,-0.127910003066063,237287,-9369,-20251,-10882,-15710,-6341,-51839,-42470,-95288,-85919,0.0169231441216967
"289","E02005142","Thanet 011",2723,2,79,129,20,35,1757,191,125,373,12,234.410995483398,109.411003112793,352.609985351562,-20.3899993896484,1687.31896972656,-69.6809997558594,203.236999511719,78.2369995117188,355.14599609375,-17.8540000915527,1708.32104492188,-48.6790008544922,707.625,582.625,256.519012451172,-116.481002807617,1393.36999511719,-363.630004882812,880.768981933594,755.768981933594,237.848999023438,-135.151000976562,1271.86303710938,-485.136993408203,-0.0464800000190735,86219,-0.0974899977445602,180852,-0.0510200001299381,94633,-0.0694999992847443,128931,-0.023029999807477,42712,-0.234060004353523,434230,-0.187590003013611,348011,-0.235609993338585,437110,-0.189140006899834,350891,-0.0293499995023012,54444,-0.0604100003838539,112046,-0.0310600008815527,57602,-0.0445900000631809,82716,-0.0152399996295571,28272,-0.149959996342659,278195,-0.120609998703003,223751,-0.152940005064011,283708,-0.123580001294613,229264,-14042,-28981,-14939,-21445,-7403,-80425,-66383,-120499,-106457,0.0150258659448126
