"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"88964","E02003314 E02003315","E02003314","E02003315",86,0,0,0,0,78,6,0,1,0,1.75999999046326,1.75999999046326,0.980000019073486,-0.0199999995529652,76.4000015258789,-1.60000002384186,0,0,1,0,78,0,7.46000003814697,7.46000003814697,0.910000026226044,-0.0900000035762787,71.2300033569336,-6.76999998092651,15.7700004577637,15.7700004577637,0.819999992847443,-0.180000007152557,63.7000007629395,-14.3000001907349,0,0,-0.00282000005245209,5222,-0.00282000005245209,5222,0,0,0,0,-0.0116900000721216,21690,-0.0116900000721216,21690,-0.0159799996763468,29651,-0.0159799996763468,29651,0,0,-0.00184000004082918,3409,-0.00184000004082918,3409,0,0,0,0,-0.00763999996706843,14176,-0.00763999996706843,14176,-0.0105400001630187,19554,-0.0105400001630187,19554,0,-1084,-1084,0,0,-4594,-4594,-9712,-9712,1,9.7495222559848,"Medway 001","Medway 002",13.34,12.315,5598,7232,1.36827217270171,0.923163418290855,1.17691154422789,2487,32801,0.0132358911896062,0
"88965","E02003314 E02003316","E02003314","E02003316",446,0,11,1,5,334,38,12,43,0,28.0100002288818,16.0100002288818,41.4199981689453,-1.58000004291534,321.670013427734,-12.3299999237061,12.8699998855591,0.870000004768372,42.939998626709,-0.0599999986588955,333.299987792969,-0.699999988079071,88.3000030517578,76.3000030517578,35.2700004577637,-7.73000001907349,275.540008544922,-58.4599990844727,141.029998779297,129.029998779297,30.0699996948242,-12.9300003051758,234.919998168945,-99.0800018310547,-0.0101100001484156,18758,-0.023029999807477,42731,-0.0129199996590614,23973,-0.0107599999755621,19952,-0.00063999998383224,1194,-0.0710399970412254,131801,-0.060929998755455,113043,-0.0658999979496002,122270,-0.0557899996638298,103512,-0.00702999997884035,13051,-0.0162099990993738,30065,-0.00917000044137239,17014,-0.00748000014573336,13875,-0.00044000000343658,824,-0.0506800003349781,94032,-0.0436500012874603,80981,-0.050390001386404,93493,-0.043359998613596,80442,-4000,-9163,-5163,-4294,-294,-28475,-24475,-45479,-41479,2,6.55381514386334,"Medway 001","Medway 003",8.218,8.723,3776,4070,1.25392612083283,1.06145047456802,1.42370406424921,1532,27452,0.0157056058695403,2.69058295964126
"88966","E02003314 E02003317","E02003314","E02003317",187,0,6,0,0,163,12,0,4,0,3.29999995231628,3.29999995231628,3.9300000667572,-0.0700000002980232,160.119995117188,-2.88000011444092,0,0,4,0,163,0,15.3699998855591,15.3699998855591,3.67000007629395,-0.330000013113022,149.610000610352,-13.3900003433228,34.7999992370605,34.7999992370605,3.25999999046326,-0.740000009536743,132.660003662109,-30.3400001525879,0,0,-0.00467999977990985,8691,-0.00467999977990985,8691,0,0,0,0,-0.021339999511838,39598,-0.021339999511838,39598,-0.0308800004422665,57294,-0.0308800004422665,57294,0,0,-0.0030900000128895,5740,-0.0030900000128895,5740,0,0,0,0,-0.014130000025034,26209,-0.014130000025034,26209,-0.0207700002938509,38538,-0.0207700002938509,38538,0,-1770,-1770,0,0,-8243,-8243,-18671,-18671,2,10.5485238145884,"Medway 001","Medway 004",12.092,13.039,5646,6612,1.14632153394553,1.07831624214357,1.92689381409196,2254,34639,0.013267888641767,0
"88967","E02003314 E02003319","E02003314","E02003319",89,0,6,2,0,69,8,1,2,0,2.22000002861023,1.22000002861023,1.97000002861023,-0.0299999993294477,68.0500030517578,-0.949999988079071,1.51999998092651,0.519999980926514,1.98000001907349,-0.0199999995529652,68.5899963378906,-0.409999996423721,5.26999998092651,4.26999998092651,1.9099999666214,-0.0900000035762787,65.6500015258789,-3.34999990463257,13.6599998474121,12.6599998474121,1.72000002861023,-0.280000001192093,59.0800018310547,-9.92000007629395,-0.00152000004891306,2829,-0.00341999996453524,6349,-0.0019000000320375,3520,-0.002210000064224,4109,-0.000690000015310943,1280,-0.00808999966830015,15004,-0.00656000012531877,12175,-0.013880000449717,25751,-0.012360000051558,22922,-0.00103000004310161,1903,-0.00227999989874661,4236,-0.00126000004820526,2333,-0.0014900000533089,2764,-0.000460000010207295,861,-0.00536999991163611,9962,-0.00433999998494983,8059,-0.00937000010162592,17386,-0.00834999978542328,15483,-531,-1177,-646,-810,-279,-2805,-2274,-7265,-6734,1,11.6098572158067,"Medway 001","Medway 006",13.338,14.612,6388,7452,1.1488513383128,1.09551656920078,2.18173639226271,2486,45943,0.0167670407883931,1.12359550561798
"88968","E02003314 E02003320","E02003314","E02003320",148,0,3,0,0,96,9,7,31,0,8.27999973297119,1.27999997138977,30.7099990844727,-0.28999999165535,95.1399993896484,-0.860000014305115,7,0,31,0,96,0,8.60999965667725,1.61000001430511,31,0,94.5500030517578,-1.45000004768372,13.6700000762939,6.67000007629395,30.5900001525879,-0.409999996423721,90.3899993896484,-5.6100001335144,-0.00335999997332692,6234,-0.0049200002104044,9124,-0.00156000000424683,2890,-0.00335999997332692,6234,0,0,-0.00694999983534217,12891,-0.00359000009484589,6657,-0.0111300004646182,20643,-0.00777000002563,14409,-0.00600000005215406,11135,-0.00725999986752868,13462,-0.00124999997206032,2327,-0.00600000005215406,11135,0,0,-0.00796999968588352,14794,-0.00197000009939075,3659,-0.0119300000369549,22134,-0.00592999998480082,10999,-3360,-4167,-807,-3360,0,-4726,-1366,-8632,-5272,2,9.52352091556085,"Medway 001","Medway 007",18.491,19.686,8876,10822,1.9416138384058,1.06462603428695,2.12535828240766,3447,56269,0.017728334857259,4.72972972972973
"88969","E02003314 E02003324","E02003314","E02003324",129,0,3,0,2,111,8,2,3,0,3.38000011444092,1.37999999523163,2.97000002861023,-0.0299999993294477,109.790000915527,-1.21000003814697,3.63000011444092,1.62999999523163,2.95000004768372,-0.0500000007450581,109.639999389648,-1.36000001430511,5.21999979019165,3.22000002861023,2.92000007629395,-0.0799999982118607,108.190002441406,-2.80999994277954,15.5799999237061,13.5799999237061,2.6800000667572,-0.319999992847443,99.1399993896484,-11.8599996566772,-0.00362000009045005,6709,-0.00609999988228083,11312,-0.00248000002466142,4603,-0.00609999988228083,11307,-0.00248000002466142,4598,-0.00927000027149916,17204,-0.00565999979153275,10495,-0.0188200008124113,34912,-0.0152000002563,28203,-0.00227999989874661,4230,-0.00384999997913837,7142,-0.00156999996397644,2912,-0.0038699998985976,7175,-0.00158999999985099,2945,-0.00606000004336238,11244,-0.00377999991178513,7014,-0.012640000320971,23439,-0.0103500001132488,19209,-1386,-2331,-945,-2456,-1070,-3582,-2196,-10675,-9289,0,13.5510908215286,"Medway 001","Medway 011",15.477,16.99,7758,9430,1.14212207739112,1.09775796342961,2.28726497383214,2885,52604,0.0177751618599176,1.55038759689922
"88970","E02003314 E02003325","E02003314","E02003325",43,0,5,0,1,27,4,0,5,0,0.379999995231628,0.379999995231628,4.96000003814697,-0.0399999991059303,26.7600002288818,-0.239999994635582,0,0,5,0,27,0,1.12000000476837,1.12000000476837,4.86999988555908,-0.129999995231628,26.2999992370605,-0.699999988079071,3.89000010490417,3.89000010490417,4.55000019073486,-0.449999988079071,24.5599994659424,-2.44000005722046,0,0,-0.00067999999737367,1267,-0.00067999999737367,1267,0,0,0,0,-0.00190999999176711,3551,-0.00190999999176711,3551,-0.00359000009484589,6660,-0.00359000009484589,6660,0,0,-0.000410000007832423,756,-0.000410000007832423,756,0,0,0,0,-0.00126000004820526,2340,-0.00126000004820526,2340,-0.00340000004507601,6315,-0.00340000004507601,6315,0,-232,-232,0,0,-680,-680,-2372,-2372,1,10.0486157636737,"Medway 001","Medway 012",19.101,20.021,9212,11730,1.90085882963614,1.04816501753835,1.92660070153395,3561,64900,0.0179811198241846,0
"88971","E02003314 E02003327","E02003314","E02003327",44,0,2,1,1,36,3,1,0,0,1.47000002861023,0.469999998807907,0,0,35.6100006103516,-0.389999985694885,1.71000003814697,0.709999978542328,0,0,35.3499984741211,-0.649999976158142,1.82000005245209,0.819999992847443,0,0,35.3800010681152,-0.620000004768372,5.19000005722046,4.19000005722046,0,0,32.5699996948242,-3.4300000667572,-0.00196000002324581,3643,-0.00286999996751547,5324,-0.000910000002477318,1681,-0.00316999992355704,5885,-0.00121000001672655,2242,-0.00350000010803342,6495,-0.00153999996837229,2852,-0.00716000003740191,13282,-0.0052000000141561,9639,-0.00115999998524785,2144,-0.00170000002253801,3149,-0.000539999979082495,1005,-0.00187000003643334,3464,-0.000709999992977828,1320,-0.00213999999687076,3977,-0.000989999971352518,1833,-0.0044999998062849,8340,-0.0033400000538677,6196,-743,-1057,-314,-1274,-531,-1229,-486,-3486,-2743,0,12.5013474689315,"Medway 001","Medway 014",15.487,16.486,7528,9110,1.23882645758695,1.0645057144702,2.16956156776651,2887,48855,0.0174693679485624,2.27272727272727
"88972","E02003314 E02003328","E02003314","E02003328",140,0,6,1,0,118,6,2,7,0,3.39000010490417,1.38999998569489,6.92999982833862,-0.0700000002980232,116.809997558594,-1.19000005722046,3.58999991416931,1.5900000333786,6.94000005722046,-0.0599999986588955,116.629997253418,-1.37000000476837,4.80999994277954,2.80999994277954,6.82999992370605,-0.170000001788139,115.599998474121,-2.40000009536743,15.1599998474121,13.1599998474121,6.30999994277954,-0.689999997615814,106.75,-11.25,-0.00378999998793006,7032,-0.00633999984711409,11752,-0.00254000001586974,4720,-0.00639000022783875,11862,-0.00260000000707805,4830,-0.00867999996989965,16110,-0.00488999998196959,9078,-0.0180600006133318,33506,-0.0142700001597404,26474,-0.00225999997928739,4188,-0.00380999990738928,7063,-0.00155000004451722,2875,-0.00380999990738928,7064,-0.00155000004451722,2876,-0.00555999996140599,10320,-0.00331000005826354,6132,-0.0128300003707409,23795,-0.0105699999257922,19607,-1454,-2459,-1005,-2613,-1159,-3487,-2033,-10988,-9534,0,11.5269399949334,"Medway 001","Medway 015",16.653,17.907,8082,10556,1.44470258432158,1.07530174743289,2.1437578814628,3104,55586,0.0187077679119897,1.42857142857143
"88973","E02003314 E02003329","E02003314","E02003329",72,0,1,0,1,61,6,1,2,0,1.61000001430511,0.610000014305115,1.98000001907349,-0.0199999995529652,60.4799995422363,-0.519999980926514,1.32000005245209,0.319999992847443,1.99000000953674,-0.00999999977648258,60.7400016784668,-0.259999990463257,2.00999999046326,1.00999999046326,1.97000002861023,-0.0299999993294477,60.0999984741211,-0.899999976158142,6.55000019073486,5.55000019073486,1.85000002384186,-0.150000005960464,56.189998626709,-4.80999994277954,-0.00212999992072582,3960,-0.00344999996013939,6394,-0.00130999996326864,2434,-0.00271999998949468,5052,-0.000590000010561198,1092,-0.00425999984145164,7905,-0.00212999992072582,3945,-0.00953000038862228,17672,-0.00738999992609024,13712,-0.00112999998964369,2100,-0.00182000000495464,3384,-0.000690000015310943,1284,-0.0014400000218302,2679,-0.000310000003082678,579,-0.00233999988995492,4346,-0.00121000001672655,2246,-0.00624000001698732,11579,-0.00510999979451299,9479,-768,-1263,-495,-1013,-245,-1621,-853,-5314,-4546,0,10.6143139655009,"Medway 001","Medway 016",18.591,19.682,9320,11746,1.75150274058459,1.05868430961218,2.15157872088645,3466,56563,0.0178843613453917,1.38888888888889
