"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"152508",1,1,1,13.34,5598,429,157,0.01177,2487,221,32801,"E02003314 E02003315",429
"152509",1,1,1,8.218,3776,234,117,0.01424,1532,157,27452,"E02003314 E02003316",234
"152510",1,1,1,12.092,5646,359,233,0.01927,2254,237,34639,"E02003314 E02003317",359
"152511",1,1,1,13.338,6388,370,291,0.02182,2486,266,45943,"E02003314 E02003319",370
"152512",1,1,1,18.491,8876,560,393,0.02125,3447,372,56269,"E02003314 E02003320",560
"152513",1,1,1,15.477,7758,427,354,0.02287,2885,331,52604,"E02003314 E02003324",427
"152514",1,1,1,19.101,9212,560,368,0.01927,3561,377,64900,"E02003314 E02003325",560
"152515",1,1,1,15.487,7528,456,336,0.0217,2887,321,48855,"E02003314 E02003327",456
"152516",1,1,1,16.653,8082,488,357,0.02144,3104,341,55586,"E02003314 E02003328",488
"152517",1,1,1,18.591,9320,546,400,0.02152,3466,396,56563,"E02003314 E02003329",546
"152518",1,1,1,21.243,10862,613,474,0.02231,3960,436,79130,"E02003314 E02003331",613
"152519",1,1,1,17.429,8882,521,392,0.02249,3249,389,56789,"E02003314 E02003337",521
"152520",1,1,1,17.502,9150,493,393,0.02245,3263,395,67223,"E02003314 E02003339",493
"152521",1,1,1,22.077,11588,604,494,0.02238,4115,477,81971,"E02003314 E02003343",604
"152522",1,1,1,19.367,10238,581,479,0.02473,3610,455,68724,"E02003314 E02003346",581
"152523",1,1,1,22.264,11954,669,577,0.02592,4150,536,76597,"E02003314 E02003351",669
"152527",1,1,1,24.287,10062,660,228,0.00939,4527,371,49380,"E02003314 E02005056",660
"152528",1,1,1,22.438,9324,668,254,0.01132,4183,345,48752,"E02003314 E02005057",668
"152529",1,1,1,16.086,7898,441,327,0.02033,2999,336,85314,"E02003314 E02005064",441
"152533",1,1,1,23.125,11062,627,519,0.02244,4311,446,102573,"E02003314 E02005150",627
"152538",1,1,1,7.573,3636,259,164,0.02166,1412,149,14563,"E02003315 E02003316",259
"152539",1,1,1,4.538,2152,144,94,0.02071,846,90,11231,"E02003315 E02003317",144
"152540",1,1,1,5.178,2558,168,142,0.02742,965,110,13480,"E02003315 E02003319",168
"152541",1,1,1,10.59,5222,368,248,0.02342,1974,219,25463,"E02003315 E02003320",368
