"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"34","E02002644","Blackpool 012",3721,4,26,204,54,34,2427,325,134,489,24,336.493011474609,202.49299621582,455.622009277344,-33.3779983520508,2297.35400390625,-129.64599609375,241.304000854492,107.304000854492,469.191986083984,-19.8080005645752,2360.35595703125,-66.6439971923828,1199.31103515625,1065.31103515625,302.962005615234,-186.037994384766,1756.15600585938,-670.843994140625,1401.333984375,1267.333984375,283.153015136719,-205.84700012207,1611.64196777344,-815.357971191406,-0.0732799991965294,135952,-0.193470001220703,358895,-0.120180003345013,222943,-0.110109999775887,204257,-0.0368199981749058,68305,-0.550069987773895,1020502,-0.476779997348785,884550,-0.486310005187988,902209,-0.413020014762878,766257,-0.0485499985516071,90067,-0.125569999217987,232927,-0.0770199969410896,142860,-0.0731099992990494,135607,-0.024550000205636,45540,-0.361270010471344,670232,-0.312720000743866,580165,-0.325989991426468,604763,-0.277440011501312,514696,-17293,-45146,-27853,-30305,-13012,-145008,-127715,-200235,-182942,0.00614758751635367
"48","E02005271","Ribble Valley 002",3384,1,53,64,11,20,2223,156,98,748,10,167.244995117188,69.245002746582,722.668029785156,-25.3320007324219,2184.81298828125,-38.1870002746582,170.807998657227,72.8079986572266,717.25,-30.75,2185.56396484375,-37.4360008239746,505.588989257812,407.588989257812,584.945007324219,-163.054992675781,2010.23498535156,-212.764999389648,794.752990722656,696.752990722656,500.519989013672,-247.479995727539,1832.85302734375,-390.147003173828,-0.0169099997729063,31362,-0.0359600000083447,66669,-0.0190600007772446,35307,-0.0250199995934963,46410,-0.00810999982059002,15048,-0.0791999995708466,146889,-0.0622900016605854,115527,-0.111639998853207,207090,-0.0947400033473969,175728,-0.0098099997267127,18193,-0.0210100002586842,38937,-0.0112100001424551,20744,-0.0149400001391768,27718,-0.00514000002294779,9525,-0.05112000182271,94794,-0.0413100011646748,76601,-0.0775099992752075,143765,-0.0676999986171722,125572,-10643,-21339,-10696,-17461,-6818,-53601,-42958,-121630,-110987,0.0293669210153051
"80","E02005320","Wyre 002",2494,4,58,143,17,22,1598,216,133,274,29,269.695007324219,136.695007324219,251.649993896484,-22.3500003814697,1510.21899414062,-87.7809982299805,207.214996337891,74.2149963378906,260.433990478516,-13.5659999847412,1550.28601074219,-47.7140007019043,765.966003417969,632.966003417969,164.968002319336,-109.031997680664,1196.91796875,-401.082000732422,860.030029296875,727.030029296875,164.151992797852,-109.847999572754,1122.72497558594,-475.274993896484,-0.0495299994945526,91878,-0.117459997534752,217898,-0.0679299980401993,126020,-0.0759700015187263,140935,-0.0264500007033348,49057,-0.266869992017746,495100,-0.217340007424355,403222,-0.249349996447563,462600,-0.199829995632172,370722,-0.0309800002723932,57474,-0.0739300027489662,137139,-0.0429500006139278,79665,-0.0471699982881546,87501,-0.0161899998784065,30027,-0.17195999622345,319012,-0.140980005264282,261538,-0.1630499958992,302488,-0.132070004940033,245014,-15530,-36168,-20638,-24352,-8822,-99625,-84095,-139907,-124377,0.00250457236724707
"118","E02002647","Blackpool 015",3192,1,18,330,32,52,1774,280,157,536,12,351.778991699219,194.779006958008,496.5419921875,-39.4580001831055,1667.65405273438,-106.346000671387,270.183990478516,113.18399810791,512.380004882812,-23.6200008392334,1713.85705566406,-60.1430015563965,1134.38793945312,977.388000488281,322.971984863281,-213.02799987793,1250.64697265625,-523.35302734375,1275.09899902344,1118.09899902344,310.101013183594,-225.899002075195,1159.626953125,-614.372985839844,-0.0831699967384338,154295,-0.185100004076958,343383,-0.101929999887943,189088,-0.115440003573895,214159,-0.0322699993848801,59864,-0.4757100045681,882556,-0.392540007829666,728261,-0.395060002803802,732923,-0.311890006065369,578628,-0.0527400001883507,97844,-0.118720002472401,220218,-0.0659700036048889,122374,-0.0733700022101402,136105,-0.0206300001591444,38261,-0.312200009822845,579181,-0.259449988603592,481337,-0.26486000418663,491359,-0.212109997868538,393515,-18366,-39858,-21492,-28726,-10360,-114392,-96026,-148891,-130525,0.0041270350680059
"140","E02006871","Lancaster 020",5228,3,92,369,41,53,3319,363,319,632,37,582.632995605469,263.632995605469,589.828979492188,-42.1710014343262,3147.61401367188,-171.386001586914,524.322998046875,205.322998046875,597.685974121094,-34.3139991760254,3191.3701171875,-127.629997253418,1590.96496582031,1271.96496582031,419.743011474609,-212.25700378418,2497.54809570312,-821.452026367188,1902.04504394531,1583.04504394531,387.096984863281,-244.90299987793,2288.1220703125,-1030.87805175781,-0.131400004029274,243786,-0.225580006837845,418490,-0.0941699966788292,174704,-0.172440007328987,319909,-0.0410399995744228,76123,-0.539170026779175,1000311,-0.40777000784874,756525,-0.479930013418198,890395,-0.348520010709763,646609,-0.0858099982142448,159202,-0.147259995341301,273188,-0.0614399984478951,113986,-0.112779997289181,209217,-0.0269600003957748,50015,-0.354420006275177,657542,-0.268610000610352,498340,-0.320840001106262,595227,-0.235019996762276,436025,-45662,-79432,-33770,-70744,-25082,-197420,-151758,-260686,-215024,NA
"156","E02005223","Lancaster 003",2935,2,42,99,7,33,2339,158,101,136,18,189.792999267578,88.7929992675781,129.906997680664,-6.09299993515015,2267.71606445312,-71.2839965820312,162.483001708984,61.4830017089844,134.25,-1.75,2287.97998046875,-51.0200004577637,545.507995605469,444.507995605469,98.4860000610352,-37.5139999389648,1989.02905273438,-349.971008300781,798.333984375,697.333984375,87.2529983520508,-48.7470016479492,1779.77795410156,-559.221984863281,-0.0794000029563904,147298,-0.142619997262955,264579,-0.0632200017571449,117281,-0.106459997594357,197504,-0.0270600002259016,50206,-0.351370006799698,651877,-0.271970003843307,504579,-0.378430008888245,702088,-0.299039989709854,554790,-0.0516999997198582,95918,-0.091899998486042,170479,-0.0401900000870228,74561,-0.0693700015544891,128686,-0.0176599994301796,32768,-0.227840006351471,422690,-0.176129996776581,326772,-0.247429996728897,459034,-0.195720002055168,363116,-28626,-51703,-23077,-45664,-17038,-131648,-103022,-210289,-181663,0.0176525962855662
"162","E02002620","Blackburn with Darwen 006",2474,7,57,149,59,11,1258,268,33,600,32,82.2559967041016,49.2560005187988,587.489013671875,-12.5109996795654,1233.34204101562,-24.6580009460449,49.7700004577637,16.7700004577637,596.526977539062,-3.47300004959106,1249.44897460938,-8.55099964141846,375.705993652344,342.705993652344,500.385009765625,-99.6149978637695,1093.19201660156,-164.807998657227,615.151000976562,582.151000976562,433.839996337891,-166.160003662109,976.807006835938,-281.192993164062,-0.0195300001651049,36232,-0.0394099988043308,73052,-0.0198699999600649,36820,-0.02415999956429,44823,-0.00462999986484647,8591,-0.107060000300407,198568,-0.0875200033187866,162336,-0.122660003602505,227519,-0.103129997849464,191287,-0.0144999995827675,26889,-0.0273199994117022,50615,-0.0128199998289347,23726,-0.0177999995648861,33023,-0.00331000005826354,6134,-0.0740699991583824,137368,-0.059579998254776,110479,-0.091729998588562,170118,-0.0772299990057945,143229,-5226,-10844,-5618,-7413,-2187,-32835,-27609,-65676,-60450,0.0226374624759373
"168","E02005266","Preston 014",2826,1,22,516,33,20,1364,322,61,451,36,185.832000732422,124.832000732422,425.286010742188,-25.7140007019043,1308.41394042969,-55.5859985351562,101.352996826172,40.3530006408691,444.345001220703,-6.65500020980835,1345.06604003906,-18.9340000152588,784.1669921875,723.1669921875,290.290008544922,-160.710006713867,1049.97094726562,-314.028991699219,980.190002441406,919.190002441406,268.364990234375,-182.634994506836,949.515991210938,-414.484008789062,-0.0249499995261431,46279,-0.0750799998641014,139246,-0.0501299984753132,92967,-0.0334499999880791,62053,-0.008500000461936,15774,-0.246329993009567,456971,-0.221379995346069,410692,-0.233909994363785,433931,-0.208959996700287,387652,-0.0190900005400181,35413,-0.0512299984693527,94977,-0.0321400016546249,59564,-0.0265900008380413,49319,-0.00749999983236194,13906,-0.165150001645088,306348,-0.14606000483036,270935,-0.16159999370575,299755,-0.142499998211861,264342,-7047,-18870,-11823,-10780,-3733,-65216,-58169,-101096,-94049,0.0143188133236403
"174","E02005319","Wyre 001",3394,5,58,265,31,27,1801,304,173,678,52,354.234008789062,181.233993530273,627.731994628906,-50.2680015563965,1708.69897460938,-92.3010025024414,252.623001098633,79.6230010986328,659.864013671875,-18.1359996795654,1759.4150390625,-41.5849990844727,1031.26794433594,858.268005371094,411.019989013672,-266.980010986328,1382.22497558594,-418.774993896484,1146.85498046875,973.85498046875,412.47900390625,-265.52099609375,1299.75402832031,-501.246002197266,-0.0676800012588501,125552,-0.147349998354912,273352,-0.0796800032258034,147800,-0.100790001451969,186974,-0.033110000193119,61422,-0.306589990854263,568793,-0.238920003175735,443241,-0.282249987125397,523632,-0.214570000767708,398080,-0.044149998575449,81910,-0.0956799983978271,177486,-0.0515299998223782,95576,-0.0661600008606911,122723,-0.0219999998807907,40813,-0.202859997749329,376330,-0.158700004220009,294420,-0.193739995360374,359420,-0.149590000510216,277510,-20302,-43588,-23286,-29785,-9483,-111659,-91357,-158951,-138649,0.00265653064074393
"185","E02005295","South Ribble 009",3703,3,52,200,8,46,2734,277,135,240,8,274.476989746094,139.477005004883,225.835998535156,-14.1639995574951,2633.36206054688,-100.638000488281,228.72200012207,93.7220001220703,230.611999511719,-9.38799953460693,2663.837890625,-70.1620025634766,833.325988769531,698.325988769531,159.811996459961,-80.1880035400391,2244.666015625,-489.334014892578,1113.5849609375,978.585021972656,147.878005981445,-92.1220016479492,2028.16394042969,-705.835998535156,-0.0631999969482422,117236,-0.118500001728535,219761,-0.0553000010550022,102525,-0.103129997849464,191312,-0.0399399995803833,74076,-0.296070009469986,549233,-0.232879996299744,431997,-0.323210000991821,599570,-0.260010004043579,482334,-0.0390000008046627,72343,-0.0733499974012375,135999,-0.0343500003218651,63656,-0.0639899969100952,118688,-0.0249899998307228,46345,-0.188989996910095,350543,-0.149990007281303,278200,-0.209260001778603,388164,-0.17025999724865,315821,-32481,-60841,-28360,-52391,-19910,-151017,-118536,-241933,-209452,0.00591693163142447
