"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",19,38.13,29.18,84.28,147.04,NA,NA,NA,NA,NA,0
"2",1,3.72,1,8.63,21,NA,NA,NA,NA,NA,0
"3",18,34.41,28.18,75.65,126.04,7,27.3,15.67,143.11999,138.67,1
"4",14,38.44,27.46,126.24,165.36,NA,NA,NA,NA,NA,0
"5",32,72.85,55.64,201.89,291.4,7,27.3,15.67,143.11999,138.67,1
"6",19,53.11,40.36,182.46,217.48,7,27.3,15.67,143.11999,138.67,1
"7",51,125.96,96,384.35,508.88,NA,NA,NA,NA,NA,0
"8",6,23.35,9.49,97.2,117.36,NA,NA,NA,NA,NA,0
"9",48,125.06,75.38,406.47,573.63,NA,NA,NA,NA,NA,0
"10",54,148.41,84.87,503.67,690.98999,NA,NA,NA,NA,NA,0
"11",23,59.02,36.81,178.24,280.93,3,17.94,6.2,115.5,123.31,1
"12",25,66.04,38.57,228.23,292.7,3,17.94,6.2,115.5,123.31,1
"13",35,110.28,55.69,419.39,543.94999,6,20.32,11.72,104.06,102.66,1
"14",16,41.66,24.31,133.17,198.87,3,17.94,6.2,115.5,123.31,1
"15",7,17.36,12.5,45.07,82.06,3,17.94,6.2,115.5,123.31,1
"16",11,27.01,17.64,76.31,122.89,3,17.94,6.2,115.5,123.31,1
"17",4,9.65,5.14,31.24,40.83,3,17.94,6.2,115.5,123.31,1
"18",13,34.66,20.52,104.97,168.05,NA,NA,NA,NA,NA,0
"19",2,7.65,2.88,28.66,45.16,3,17.94,6.2,115.5,123.31,1
"20",20,51.31,29.45,164.41,239.7,3,17.94,6.2,115.5,123.31,1
"21",43,117.83,62.23,437.56999,523.75999,3,17.94,6.2,115.5,123.31,1
"22",18,51.79,23.66,209.34,231.06,NA,NA,NA,NA,NA,0
