"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"7","E02002844","Leicester 018",3171,9,35,414,36,3,1266,320,76,980,32,211.416000366211,135.416000366211,935.0830078125,-44.9169998168945,1211.23205566406,-54.7680015563965,106.652000427246,30.6520004272461,969.447021484375,-10.5530004501343,1254.42700195312,-11.5729999542236,892.135986328125,816.135986328125,680.390991210938,-299.609008789062,955.780029296875,-310.220001220703,1135.12805175781,1059.12805175781,609.427978515625,-370.571990966797,850.710021972656,-415.290008544922,-0.0197299998253584,36596,-0.0495599992573261,91898,-0.0298299994319677,55302,-0.023530000820756,43648,-0.00380000006407499,7052,-0.187150001525879,347170,-0.167419999837875,310574,-0.140239998698235,260140,-0.120509997010231,223544,-0.0132900001481175,42897,-0.0331799983978271,107089,-0.0198899991810322,64192,-0.0159000009298325,51314,-0.00261000008322299,8417,-0.128470003604889,414808,-0.115189999341965,371911,-0.104570001363754,337611,-0.091279998421669,294714,-7697,-19707,-12010,-9789,-2092,-68276,-60579,-99841,-92144,1.07638914584416
"180","E02005348","Charnwood 004",2708,1,31,127,9,23,1865,166,155,319,12,261.707000732422,106.707000732422,301.819000244141,-17.1809997558594,1792.65405273438,-72.3460006713867,242.565994262695,87.5660018920898,302.566986083984,-16.4330005645752,1807.83898925781,-57.1609992980957,658.872985839844,503.872985839844,230.822998046875,-88.177001953125,1529.61999511719,-335.380004882812,854.922973632812,699.922973632812,202.324996948242,-116.675003051758,1388.92797851562,-476.071990966797,-0.0474000014364719,87924,-0.0800300016999245,148408,-0.0326399989426136,60484,-0.0653299987316132,121187,-0.0179299991577864,33263,-0.163990005850792,304174,-0.11659000068903,216250,-0.177389994263649,329049,-0.129999995231628,241125,-0.0285299997776747,92117,-0.0480699986219406,155157,-0.0195400007069111,63040,-0.0397199988365173,128225,-0.0111800003796816,36108,-0.103160001337528,333027,-0.0746200010180473,240910,-0.115419998764992,372643,-0.0868899971246719,280526,-25368,-42666,-17298,-37776,-12408,-92892,-67524,-149038,-123670,1.56333328647059
"231","E02005407","North West Leicestershire 011",4277,3,15,87,13,51,3444,272,83,299,10,195.427001953125,112.427001953125,284.959014892578,-14.0410003662109,3360.35302734375,-83.6470031738281,138.77799987793,55.7779998779297,290.295013427734,-8.70499992370605,3404.27587890625,-39.7239990234375,715.599975585938,632.599975585938,210.065002441406,-88.9349975585938,2984.76806640625,-459.231994628906,1011.20001220703,928.200012207031,192.177001953125,-106.822998046875,2742.2119140625,-701.788024902344,-0.0243100002408028,45101,-0.0714000016450882,132389,-0.0470900014042854,87288,-0.0369100011885166,68459,-0.0125900004059076,23358,-0.194199994206429,360230,-0.169890001416206,315129,-0.268759995698929,498556,-0.244450002908707,453455,-0.0147099997848272,47499,-0.0422700010240078,136418,-0.0275599993765354,88919,-0.0223299991339445,72100,-0.00761999981477857,24601,-0.121870003640652,393444,-0.107160001993179,345945,-0.176410004496574,569585,-0.161699995398521,522086,-11933,-34868,-22935,-18803,-6870,-107501,-95568,-229781,-217848,1.39884817444444
"331","E02005338","Blaby 006",4680,6,33,271,11,49,3414,293,182,402,19,349.444000244141,167.444000244141,381.705993652344,-20.2940006256104,3293.0869140625,-120.91300201416,311.122009277344,129.121994018555,388.2080078125,-13.7919998168945,3322.13989257812,-91.8600006103516,1013.21398925781,831.213989257812,279.569000244141,-122.430999755859,2830.90698242188,-583.093017578125,1398.34594726562,1216.34594726562,253.766998291016,-148.233001708984,2535.5439453125,-878.455993652344,-0.0794399976730347,147370,-0.150319993495941,278810,-0.0708800032734871,131440,-0.13816000521183,256283,-0.0587100014090538,108913,-0.370620012283325,687536,-0.291180014610291,540166,-0.407649993896484,756239,-0.32820999622345,608869,-0.0509499981999397,164513,-0.0961199998855591,310301,-0.0451700016856194,145788,-0.0891200006008148,287753,-0.0381699986755848,123240,-0.24015000462532,775405,-0.1891999989748,610892,-0.267549991607666,863868,-0.216590002179146,699355,-41917,-79193,-37276,-73097,-31180,-196936,-155019,-322027,-280110,1.30700769166667
"347","E02005344","Blaby 012",3334,2,23,69,14,39,2825,151,45,157,9,121.416999816895,76.4169998168945,149.822006225586,-7.17799997329712,2763.30493164062,-61.6949996948242,67.7109985351562,22.7110004425049,154.830993652344,-2.16899991035461,2806.40698242188,-18.5930004119873,400.733001708984,355.733001708984,116.042999267578,-40.9570007324219,2545.5869140625,-279.412994384766,656.47802734375,611.47802734375,104.389999389648,-52.6100006103516,2326.96801757812,-498.032012939453,-0.0259799994528294,48188,-0.0774200037121773,143571,-0.0514499992132187,95383,-0.0397900007665157,73804,-0.0138100003823638,25616,-0.223100006580353,413852,-0.197129994630814,365664,-0.288949996232986,536024,-0.262970000505447,487836,-0.0164599996060133,53127,-0.0476199984550476,153703,-0.0311699993908405,100576,-0.0249899998307228,80691,-0.00853999983519316,27564,-0.142169997096062,458995,-0.125709995627403,405868,-0.19157999753952,618564,-0.175119996070862,565437,-15364,-44634,-29270,-23711,-8347,-129134,-113770,-258961,-243597,1.35605723666667
"350","E02005414","Oadby and Wigston 005",3264,1,24,331,7,40,2053,201,140,460,7,265.786010742188,125.786003112793,437.984985351562,-22.0149993896484,1976.16198730469,-76.8379974365234,245.99299621582,105.99299621582,436.7919921875,-23.2080001831055,1994.13098144531,-58.8689994812012,795.304016113281,655.304016113281,325.752990722656,-134.246994018555,1669.64697265625,-383.352996826172,1066.30395507812,926.304016113281,297.015014648438,-162.985000610352,1486.73205566406,-566.268005371094,-0.0590200014412403,109486,-0.114959999918938,213227,-0.0559399984776974,103741,-0.0852399989962578,158122,-0.0262199994176626,48636,-0.289499998092651,537047,-0.230480000376701,427561,-0.295109987258911,547460,-0.236090004444122,437974,-0.0370300002396107,119573,-0.0730900019407272,235940,-0.0360499992966652,116367,-0.0540699996054173,174569,-0.0170300006866455,54996,-0.188089996576309,607307,-0.151060000061989,487734,-0.195789992809296,632176,-0.158759996294975,512603,-23817,-45159,-21342,-36490,-12673,-119761,-95944,-186961,-163144,1.26950787766667
"367","E02005356","Charnwood 012",2884,3,43,136,0,15,2318,114,86,159,10,181.436004638672,95.4359970092773,150.115997314453,-8.88399982452393,2243.53100585938,-74.4690017700195,153.544998168945,67.5449981689453,153.833999633789,-5.16599988937378,2262.77197265625,-55.2280006408691,527.161987304688,441.161987304688,109.486000061035,-49.5139999389648,1983.87097167969,-334.128997802734,726.543029785156,640.543029785156,101.861999511719,-57.1380004882812,1814.43200683594,-503.567993164062,-0.0449200011789799,83331,-0.094420000910759,175101,-0.0494999997317791,91770,-0.0793000012636185,147102,-0.0343800000846386,63771,-0.22172999382019,411307,-0.176809996366501,327976,-0.26554000377655,492571,-0.220620006322861,409240,-0.0284100007265806,91732,-0.0585899986326694,189112,-0.030179999768734,97380,-0.049830000847578,160886,-0.0214200001209974,69154,-0.141100004315376,455541,-0.112680003046989,363809,-0.172189995646477,555931,-0.143779993057251,464199,-23875,-49146,-25271,-46937,-23062,-120218,-96343,-213300,-189425,0.957266566363636
"422","E02005381","Hinckley and Bosworth 005",3496,4,17,122,3,26,2897,160,53,189,25,127.09400177002,74.0940017700195,180.430999755859,-8.56900024414062,2839.60400390625,-57.3969993591309,95.3840026855469,42.3839988708496,187.324005126953,-1.67599999904633,2861.1240234375,-35.8759994506836,397.014007568359,344.014007568359,137.020004272461,-51.9799995422363,2642.76611328125,-254.233993530273,684.302978515625,631.302978515625,122.379997253418,-66.620002746582,2400.7890625,-496.210998535156,-0.0451500006020069,83753,-0.098070003092289,181875,-0.0529199987649918,98122,-0.0841099992394447,156025,-0.0389599986374378,72272,-0.22868999838829,424224,-0.183540001511574,340471,-0.32056000828743,594660,-0.275409996509552,510907,-0.0285500008612871,92190,-0.0616700015962124,199074,-0.0331199988722801,106884,-0.0532899983227253,172047,-0.0247300006449223,79857,-0.147290006279945,475549,-0.118739999830723,383359,-0.212090000510216,684800,-0.183540001511574,592610,-23630,-51656,-28026,-44451,-20821,-128698,-105068,-273255,-249625,NA
"582","E02005353","Charnwood 009",3911,3,58,204,11,38,2389,241,289,667,11,471.223999023438,182.223999023438,618.406982421875,-48.5929985046387,2284.2060546875,-104.793998718262,396.502014160156,107.501998901367,643.809997558594,-23.1900005340576,2322.17504882812,-66.8249969482422,1076.07397460938,787.073974609375,439.549987792969,-227.449996948242,1952.23400878906,-436.765991210938,1284.5400390625,995.539978027344,411.502990722656,-255.496994018555,1805.63500976562,-583.364990234375,-0.0675999969244003,125407,-0.10826999694109,200784,-0.0406700000166893,75377,-0.0910699963569641,168931,-0.0234699994325638,43524,-0.187869995832443,348473,-0.120269998908043,223066,-0.206599995493889,383224,-0.138999998569489,257817,-0.0435400009155273,140574,-0.068850003182888,222246,-0.0253100004047155,81672,-0.0583299994468689,188315,-0.0147900003939867,47741,-0.123240001499653,397859,-0.0797000005841255,257285,-0.142859995365143,461217,-0.0993200019001961,320643,-38625,-61578,-22953,-54836,-16211,-115709,-77084,-189135,-150510,0.865394216666667
"682","E02002858","Leicester 032",3318,10,106,306,5,16,2177,171,188,323,16,321.850006103516,133.850006103516,304.307006835938,-18.693000793457,2088.89697265625,-88.1029968261719,310.532989501953,122.532997131348,307.376007080078,-15.6239995956421,2091.07299804688,-85.9280014038086,826.070007324219,638.070007324219,232.186004638672,-90.8140029907227,1760.34301757812,-416.657012939453,1093.48498535156,905.486022949219,206.873001098633,-116.126998901367,1567.96398925781,-609.036010742188,-0.0685399994254112,127138,-0.121799997985363,225892,-0.0532599985599518,98754,-0.111170001327991,206216,-0.04262999817729,79078,-0.350059986114502,649398,-0.281520009040833,522260,-0.353520005941391,655812,-0.284979999065399,528674,-0.044089999049902,142357,-0.0779599994421005,251667,-0.0338700003921986,109310,-0.0716999992728233,231489,-0.0276100002229214,89132,-0.22673000395298,732057,-0.182640001177788,589700,-0.231930002570152,748850,-0.18783999979496,606493,-29889,-52435,-22546,-54321,-24432,-128864,-98975,-192294,-162405,1.24461128357143
