"","id","Area.of.residence","Area.of.workplace","All","Rail","Bus","taxi","motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","avslope","dist","cirquity","dist_fast","dist_quiet","distq_f","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","geo_label_o","geo_label_d","time_fast","time_quiet","co2_saving","busyness","avslope_q","clc"
"77296","E02002827 E02002828","E02002827","E02002828",190,0,8,0,1,149,18,7,6,1,1.08344113842173,4.69999980926514,1.31574473424647,6.184,6.885,1.11335705045278,17.1599998474121,10.1599998474121,5.65999984741211,-0.340000003576279,140.720001220703,-8.27999973297119,10.8800001144409,3.88000011444092,5.86999988555908,-0.129999995231628,145.839996337891,-3.16000008583069,57.6300010681152,50.6300010681152,4.40999984741211,-1.5900000333786,107.819999694824,-41.1800003051758,78.2099990844727,71.2099990844727,3.72000002861023,-2.27999997138977,91.0500030517578,-57.9500007629395,-0.00413999985903502,7673,-0.0103099998086691,19133,-0.00618000002577901,11460,-0.00592999998480082,11002,-0.00179999996908009,3329,-0.0410600006580353,76186,-0.0369299985468388,68513,-0.0358599983155727,66535,-0.0317299999296665,58862,-0.00271999998949468,8780,-0.00675000017508864,21808,-0.00402999995276332,13028,-0.00389000005088747,12564,-0.00116999994497746,3784,-0.0268399994820356,86658,-0.0241199992597103,77878,-0.0236600004136562,76389,-0.0209400001913309,67609,-1810,-4416,-2606,-2804,-994,-14782,-12972,-20063,-18253,"Leicester 001","Leicester 002",2336,3026,1153,21265,0.0100217864923747,3.68421052631579
"77297","E02002827 E02002829","E02002827","E02002829",291,0,19,0,0,131,29,31,80,1,1.01667344448963,1.87999999523163,1.30797872672177,2.459,2.461,1.00081333875559,51.2299995422363,20.2299995422363,73.7799987792969,-6.21999979019165,120.800003051758,-10.1999998092651,48.1399993896484,17.1399993896484,75.0100021362305,-4.98999977111816,121.900001525879,-9.10000038146973,125.480003356934,94.4800033569336,50.9000015258789,-29.1000003814697,83.4400024414062,-47.560001373291,142.630004882812,111.629997253418,45.6300010681152,-34.3699989318848,74.7900009155273,-56.2099990844727,-0.00303000002168119,5627,-0.00499999988824129,9272,-0.00197000009939075,3645,-0.00441000005230308,8181,-0.00138000003062189,2554,-0.0137700000777841,25545,-0.0107399998232722,19918,-0.00565000018104911,10484,-0.00261999992653728,4857,-0.00213999999687076,6920,-0.00353000010363758,11408,-0.0013899999903515,4488,-0.00310999993234873,10028,-0.00095999997574836,3108,-0.00978999957442284,31615,-0.00765000004321337,24695,-0.00471000000834465,15200,-0.00255999993532896,8280,-1965,-3240,-1275,-3103,-1138,-7919,-5954,-9002,-7037,"Leicester 001","Leicester 003",1012,1086,458,4332,0.0109711499390492,10.6529209621993
"77298","E02002827 E02002830","E02002827","E02002830",495,0,44,4,2,231,38,30,144,2,1.15445859872611,1.50999999046326,1.66357616944709,2.512,2.512,1,62.0800018310547,32.0800018310547,134.070007324219,-9.93000030517578,215.059997558594,-15.9399995803833,47.689998626709,17.6900005340576,138.580001831055,-5.42000007629395,222.169998168945,-8.82999992370605,204.720001220703,174.720001220703,89.9599990844727,-54.0400009155273,144.160003662109,-86.8399963378906,237.889999389648,207.889999389648,79.6800003051758,-64.3199996948242,127.690002441406,-103.309997558594,-0.00276000006124377,5115,-0.00578999985009432,10749,-0.00304000009782612,5634,-0.0040799998678267,7562,-0.00132000003941357,2447,-0.0222100000828505,41214,-0.0194600000977516,36099,-0.00741000007838011,13738,-0.00465000001713634,8623,-0.00196000002324581,6319,-0.0041100000962615,13264,-0.00215000007301569,6945,-0.00288999988697469,9329,-0.000929999980144203,3010,-0.0158300008624792,51112,-0.0138699999079108,44793,-0.0065700002014637,21206,-0.00461000017821789,14887,-1800,-3763,-1963,-2908,-1108,-12523,-10723,-14550,-12750,"Leicester 001","Leicester 004",1028,1028,468,3403,0.0115445859872611,6.06060606060606
"77299","E02002827 E02002831","E02002827","E02002831",109,0,8,1,1,80,16,2,1,0,1.02685624012638,4.55000019073486,1.39120873288967,6.33,6.721,1.06176935229068,7.82999992370605,5.82999992370605,0.949999988079071,-0.0500000007450581,75.6399993896484,-4.3600001335144,2,0,1,0,80,0,32.560001373291,30.5599994659424,0.699999988079071,-0.300000011920929,57.1399993896484,-22.8600006103516,44.2700004577637,42.2700004577637,0.589999973773956,-0.409999996423721,48.3899993896484,-31.6100006103516,-0.00136999995447695,2542,-0.00528000015765429,9798,-0.00390999997034669,7256,-0.00136999995447695,2542,0,0,-0.0258900001645088,48040,-0.0245200004428625,45498,-0.0227700006216764,42251,-0.0214000009000301,39709,-0.000880000006873161,2844,-0.0034099998883903,10998,-0.0025299999397248,8154,-0.000880000006873161,2844,0,0,-0.016720000654459,54005,-0.0158399995416403,51161,-0.014750000089407,47620,-0.0138699999079108,44776,-489,-1927,-1438,-489,0,-8034,-7545,-10924,-10435,"Leicester 001","Leicester 005",2384,2782,1180,20768,0.0102663294152656,1.8348623853211
"77300","E02002827 E02002832","E02002827","E02002832",189,1,29,2,0,103,42,2,10,0,1.36542467021523,3.47000002861023,1.24524494650526,4.321,4.707,1.0893311733395,12.8000001907349,10.8000001907349,9.42000007629395,-0.579999983310699,97.0599975585938,-5.94000005722046,3.32999992370605,1.33000004291534,9.92000007629395,-0.0799999982118607,102.360000610352,-0.639999985694885,65.9400024414062,63.939998626709,6.59000015258789,-3.41000008583069,67.6800003051758,-35.3199996948242,85.120002746582,83.120002746582,5.55999994277954,-4.44000005722046,57.1399993896484,-45.8600006103516,-0.0007999999797903,1488,-0.00517999986186624,9603,-0.00437000021338463,8115,-0.00121000001672655,2242,-0.000410000007832423,754,-0.032490000128746,60270,-0.0316799990832806,58782,-0.0288200005888939,53471,-0.0280200000852346,51983,-0.00052000000141561,1678,-0.00334999989718199,10825,-0.00282999989576638,9147,-0.000780000002123415,2528,-0.000260000000707805,850,-0.0210400000214577,67943,-0.0205199997872114,66265,-0.0187299996614456,60485,-0.0182099994271994,58807,-210,-1514,-1304,-350,-140,-7971,-7761,-10290,-10080,"Leicester 001","Leicester 006",1692,2068,805,6715,0.0125345230507754,1.05820105820106
"77301","E02002827 E02002834","E02002827","E02002834",237,0,22,1,1,155,26,14,18,0,1.87674359624651,2.73000001907349,1.44432233423141,3.943,4.538,1.1509003296982,25.5100002288818,11.5100002288818,17.0699996948242,-0.930000007152557,147.020004272461,-7.98000001907349,22.7000007629395,8.69999980926514,17.25,-0.75,149.210006713867,-5.78999996185303,75.2399978637695,61.2400016784668,13.1000003814697,-4.90000009536743,112.209999084473,-42.7900009155273,102.889999389648,88.8899993896484,10.8599996566772,-7.1399998664856,93.0199966430664,-61.9799995422363,-0.0047499998472631,8820,-0.00870999973267317,16166,-0.00395999988541007,7346,-0.00700000021606684,12979,-0.00224000005982816,4159,-0.0305499993264675,56673,-0.0257900003343821,47853,-0.0294000003486872,54548,-0.0246500000357628,45728,-0.0030900000128895,9992,-0.00566999986767769,18309,-0.00258000008761883,8317,-0.00455000018700957,14704,-0.00146000005770475,4712,-0.0198800005018711,64178,-0.016780000180006,54186,-0.0192300006747246,62096,-0.0161400008946657,52104,-1861,-3449,-1588,-3011,-1150,-10391,-8530,-14214,-12353,"Leicester 001","Leicester 008",1690,1782,735,6864,0.0118995152049361,5.90717299578059
"77302","E02002827 E02002835","E02002827","E02002835",148,0,8,0,0,120,17,1,2,0,1.30337636544191,6.69999980926514,1.20238809393094,8.056,9.858,1.22368421052632,6.73999977111816,5.73999977111816,1.91999995708466,-0.0799999982118607,115.319999694824,-4.67999982833862,1,0,2,0,120,0,31.5,30.5,1.5900000333786,-0.409999996423721,95.1100006103516,-24.8899993896484,49.8600006103516,48.8600006103516,1.3400000333786,-0.660000026226044,80.120002746582,-39.8800010681152,-0.000820000015664846,1523,-0.00555999996140599,10319,-0.00473999977111816,8796,-0.000820000015664846,1523,0,0,-0.031020000576973,57542,-0.0301900003105402,56019,-0.0311600007116795,57819,-0.0303399991244078,56296,-0.000539999979082495,1728,-0.00362000009045005,11683,-0.00307999993674457,9955,-0.000539999979082495,1728,0,0,-0.0201799999922514,65160,-0.0196400005370378,63432,-0.0204199999570847,65927,-0.0198800005018711,64199,-337,-2260,-1923,-337,0,-10564,-10227,-16722,-16385,"Leicester 001","Leicester 009",3472,4476,1502,31148,0.0102454858997768,0.675675675675676
"77303","E02002827 E02002836","E02002827","E02002836",214,0,24,1,0,111,49,7,8,14,1.14877589453861,4.09999990463257,1.2951219813445,5.31,5.545,1.04425612052731,19.1700000762939,12.1700000762939,7.53000020980835,-0.469999998807907,104.480003356934,-6.51999998092651,8.35999965667725,1.36000001430511,7.92999982833862,-0.0700000002980232,110.209999084473,-0.790000021457672,70.8899993896484,63.8899993896484,5.51999998092651,-2.48000001907349,76.6999969482422,-34.2999992370605,93.0400009155273,86.0400009155273,4.65999984741211,-3.33999991416931,64.8300018310547,-46.1699981689453,-0.00362999993376434,6737,-0.00990999955683947,18385,-0.00627999985590577,11648,-0.00414999993517995,7697,-0.00052000000141561,960,-0.0429899990558624,79750,-0.0393499992787838,73013,-0.0357300005853176,66287,-0.0320999994874001,59550,-0.00234999996609986,7594,-0.00641999999061227,20732,-0.00406999979168177,13138,-0.00268999999389052,8679,-0.000339999998686835,1085,-0.0278699994087219,89987,-0.0255200006067753,82393,-0.0232800003141165,75166,-0.0209299996495247,67572,-1000,-2764,-1764,-1213,-213,-10281,-9281,-13494,-12494,"Leicester 001","Leicester 010",2172,2794,990,8577,0.0110009017132552,3.27102803738318
"77304","E02002827 E02002837","E02002827","E02002837",110,2,15,0,2,58,22,4,5,2,1.14492316962941,5.23999977111816,1.266793948463,6.638,7.358,1.10846640554384,9.52000045776367,5.51999998092651,4.73999977111816,-0.259999990463257,55.0099983215332,-2.99000000953674,5.3899998664856,1.38999998569489,4.92999982833862,-0.0700000002980232,57.3600006103516,-0.639999985694885,31.1499996185303,27.1499996185303,3.72000002861023,-1.27999997138977,42.939998626709,-15.0600004196167,43.5699996948242,39.5699996948242,3.13000011444092,-1.87000000476837,36.1699981689453,-21.8299999237061,-0.00251000002026558,4651,-0.00596999982371926,11078,-0.00346000003628433,6427,-0.00316999992355704,5883,-0.000660000019706786,1232,-0.0228400006890297,42380,-0.0203399993479252,37729,-0.0202200002968311,37511,-0.0177100002765656,32860,-0.00165999995078892,5352,-0.00394999980926514,12748,-0.00228999997489154,7396,-0.00209999992512167,6770,-0.00044000000343658,1418,-0.0151300001889467,48844,-0.0134699996560812,43492,-0.0136200003325939,43980,-0.0119599997997284,38628,-614,-1619,-1005,-828,-214,-5673,-5059,-7947,-7333,"Leicester 001","Leicester 011",2788,3450,1237,15181,0.0100570807284588,3.63636363636364
"77306","E02002827 E02002842","E02002827","E02002842",110,0,17,1,3,67,16,4,1,1,1.47199388262283,3.83999991416931,1.36223961378176,5.231,6.099,1.1659338558593,9.55000019073486,5.55000019073486,0.949999988079071,-0.0500000007450581,63.5,-3.5,5.44999980926514,1.45000004768372,0.980000019073486,-0.0199999995529652,66.120002746582,-0.879999995231628,33.6100006103516,29.6100006103516,0.730000019073486,-0.270000010728836,48.2099990844727,-18.7900009155273,46.310001373291,42.310001373291,0.610000014305115,-0.389999985694885,40.189998626709,-26.8099994659424,-0.00213999999687076,3975,-0.00512999994680285,9517,-0.0029899999499321,5542,-0.00273999990895391,5074,-0.000590000010561198,1099,-0.0212600007653236,39434,-0.0191099997609854,35459,-0.0193700008094311,35935,-0.017230000346899,31960,-0.00138000003062189,4456,-0.00329999998211861,10667,-0.00191999995149672,6211,-0.00176000001374632,5688,-0.000380000012228265,1232,-0.0136900003999472,44192,-0.0123100001364946,39736,-0.0124800000339746,40303,-0.0110999997705221,35847,-641,-1570,-929,-874,-233,-5627,-4986,-7755,-7114,"Leicester 001","Leicester 016",2126,2286,975,8963,0.00901787178225939,3.63636363636364
