"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"7","E02002844","Leicester 018",3171,9,35,414,36,3,1266,320,76,980,32,211.481994628906,135.481994628906,935.065002441406,-44.935001373291,1211.20202636719,-54.7980003356934,106.652000427246,30.6520004272461,969.447021484375,-10.5530004501343,1254.42700195312,-11.5729999542236,892.419006347656,816.419006347656,680.304992675781,-299.695007324219,955.658020019531,-310.342010498047,1128.30798339844,1052.30798339844,608.945007324219,-371.054992675781,855.213012695312,-410.786987304688,-0.0197299998253584,36596,-0.0495899990200996,91950,-0.0298599991947412,55354,-0.023530000820756,43648,-0.00380000006407499,7052,-0.187260001897812,347368,-0.167530000209808,310772,-0.136669993400574,253517,-0.116939999163151,216921,-0.0132900001481175,24643,-0.0331900008022785,61536,-0.0199100002646446,36893,-0.0159000009298325,29476,-0.00261000008322299,4833,-0.128539994359016,238437,-0.115259997546673,213794,-0.102030001580715,189261,-0.088749997317791,164618,-7697,-19719,-12022,-9789,-2092,-68315,-60618,-98105,-90408,0.013951326204982
"180","E02005348","Charnwood 004",2708,1,31,127,9,23,1865,166,155,319,12,261.773010253906,106.773002624512,301.81298828125,-17.1870002746582,1792.60498046875,-72.3949966430664,242.565994262695,87.5660018920898,302.566986083984,-16.4330005645752,1807.83898925781,-57.1609992980957,659.114013671875,504.114013671875,230.796005249023,-88.2040023803711,1529.44494628906,-335.554992675781,845.789978027344,690.789978027344,203.289993286133,-115.709999084473,1395.80505371094,-469.195007324219,-0.0474000014364719,87924,-0.0800800025463104,148488,-0.0326800011098385,60564,-0.0653299987316132,121187,-0.0179299991577864,33263,-0.164100006222725,304378,-0.116700001060963,216454,-0.174429997801781,323558,-0.12703999876976,235634,-0.0285299997776747,52923,-0.0480899997055531,89160,-0.0195599999278784,36237,-0.0397199988365173,73664,-0.0111800003796816,20741,-0.103220000863075,191436,-0.0746899992227554,138513,-0.113439999520779,210393,-0.0849099978804588,157470,-25368,-42685,-17317,-37776,-12408,-92952,-67584,-146356,-120988,0.01413625179963
"231","E02005407","North West Leicestershire 011",4277,3,15,87,13,51,3444,272,83,299,10,195.531005859375,112.53099822998,284.954010009766,-14.0459995269775,3360.26391601562,-83.7360000610352,138.77799987793,55.7779998779297,290.295013427734,-8.70499992370605,3404.27587890625,-39.7239990234375,715.973022460938,632.973022460938,210.044006347656,-88.9560012817383,2984.4580078125,-459.5419921875,998.460021972656,915.460021972656,192.348999023438,-106.651000976562,2753.17700195312,-690.822998046875,-0.0243100002408028,45101,-0.0715299993753433,132626,-0.0472199991345406,87525,-0.0369100011885166,68459,-0.0125900004059076,23358,-0.194529995322227,360826,-0.170210003852844,315725,-0.262160003185272,486316,-0.237849995493889,441215,-0.0147099997848272,27290,-0.0423399992287159,78469,-0.0276200007647276,51179,-0.0223299991339445,41422,-0.00761999981477857,14132,-0.122050002217293,226369,-0.10734000056982,199079,-0.172030001878738,319107,-0.157319992780685,291817,-11933,-34936,-23003,-18803,-6870,-107689,-95756,-224095,-212162,0.0179223198526066
"331","E02005338","Blaby 006",4680,6,33,271,11,49,3414,293,182,402,19,349.526000976562,167.526000976562,381.699005126953,-20.3010005950928,3293.02392578125,-120.975997924805,311.122009277344,129.121994018555,388.2080078125,-13.7919998168945,3322.13989257812,-91.8600006103516,1013.54998779297,831.549987792969,279.540985107422,-122.458999633789,2830.65209960938,-583.348022460938,1377.84094238281,1195.84094238281,254.143997192383,-147.856002807617,2552.01611328125,-861.984008789062,-0.0794399976730347,147370,-0.150370001792908,278894,-0.0709299966692924,131524,-0.13816000521183,256283,-0.0587100014090538,108913,-0.370799988508224,687862,-0.29135999083519,540492,-0.398499995470047,739266,-0.319059997797012,591896,-0.0509499981999397,94514,-0.0961500033736229,178301,-0.0452000014483929,83787,-0.0891200006008148,165313,-0.0381699986755848,70799,-0.240260004997253,445684,-0.189309999346733,351170,-0.261530011892319,485144,-0.210580006241798,390630,-41917,-79219,-37302,-73097,-31180,-197025,-155108,-314572,-272655,0.0122850220818826
"347","E02005344","Blaby 012",3334,2,23,69,14,39,2825,151,45,157,9,121.454002380371,76.4540023803711,149.819000244141,-7.18100023269653,2763.27490234375,-61.7249984741211,67.7109985351562,22.7110004425049,154.830993652344,-2.16899991035461,2806.40698242188,-18.5930004119873,400.877014160156,355.877014160156,116.03099822998,-40.9690017700195,2545.46899414062,-279.531005859375,641.27099609375,596.27099609375,104.875,-52.125,2340.1298828125,-484.869995117188,-0.0259799994528294,48188,-0.0774499997496605,143622,-0.0514700002968311,95434,-0.0397900007665157,73804,-0.0138100003823638,25616,-0.223189994692802,414022,-0.197219997644424,365834,-0.280510008335114,520360,-0.254530012607574,472172,-0.0164599996060133,30523,-0.04763999953866,88308,-0.0311799999326468,57785,-0.0249899998307228,46359,-0.00853999983519316,15836,-0.142220005393028,263795,-0.125770002603531,233272,-0.185959994792938,344949,-0.169510006904602,314426,-15365,-44644,-29279,-23712,-8347,-129186,-113821,-251332,-235967,0.013624357479284
"350","E02005414","Oadby and Wigston 005",3264,1,24,331,7,40,2053,201,140,460,7,265.851013183594,125.850997924805,437.977996826172,-22.0219993591309,1976.11999511719,-76.879997253418,245.99299621582,105.99299621582,436.7919921875,-23.2080001831055,1994.13098144531,-58.8689994812012,795.568969726562,655.568969726562,325.721008300781,-134.279006958008,1669.47595214844,-383.523986816406,1052.88500976562,912.885009765625,296.826995849609,-163.173004150391,1496.90698242188,-556.093017578125,-0.0590200014412403,109486,-0.115000002086163,213303,-0.0559800006449223,103817,-0.0852399989962578,158122,-0.0262199994176626,48636,-0.289629995822906,537308,-0.230619996786118,427822,-0.288859993219376,535855,-0.229839995503426,426369,-0.0370300002396107,68697,-0.0731099992990494,135581,-0.0360799990594387,66884,-0.0540699996054173,100291,-0.0170300006866455,31594,-0.18817999958992,349069,-0.1511500030756,280372,-0.191620007157326,355460,-0.154589995741844,286763,-23818,-45176,-21358,-36491,-12673,-119818,-96000,-182868,-159050,0.0142187709677856
"367","E02005356","Charnwood 012",2884,3,43,136,0,15,2318,114,86,159,10,181.511993408203,95.5120010375977,150.113006591797,-8.88700008392334,2243.46801757812,-74.5319976806641,153.544998168945,67.5449981689453,153.833999633789,-5.16599988937378,2262.77197265625,-55.2280006408691,527.426025390625,441.425994873047,109.472999572754,-49.5270004272461,1983.65295410156,-334.346984863281,715.377014160156,629.377014160156,102.106002807617,-56.8940010070801,1824.08203125,-493.917999267578,-0.0449200011789799,83331,-0.094480000436306,175219,-0.0495599992573261,91888,-0.0793000012636185,147102,-0.0343800000846386,63771,-0.221909999847412,411633,-0.176990002393723,328302,-0.25968000292778,481706,-0.214760005474091,398375,-0.0284100007265806,52701,-0.058619998395443,108690,-0.0302099995315075,55989,-0.049830000847578,92430,-0.0214200001209974,39729,-0.141200006008148,261900,-0.112790003418922,209199,-0.168339997529984,312253,-0.139929994940758,259552,-23875,-49180,-25305,-46937,-23062,-120317,-96442,-208278,-184403,0.0117120553760779
"422","E02005381","Hinckley and Bosworth 005",3496,4,17,122,3,26,2897,160,53,189,25,127.15599822998,74.1559982299805,180.427001953125,-8.57299995422363,2839.55004882812,-57.4500007629395,95.3840026855469,42.3839988708496,187.324005126953,-1.67599999904633,2861.1240234375,-35.8759994506836,397.256011962891,344.256011962891,137.005004882812,-51.9949989318848,2642.56298828125,-254.438003540039,666.736022949219,613.736022949219,123.025001525879,-65.9749984741211,2415.82202148438,-481.178009033203,-0.0451500006020069,83753,-0.0981400012969971,182000,-0.0529900006949902,98247,-0.0841099992394447,156025,-0.0389599986374378,72272,-0.228900000452995,424612,-0.183750003576279,340859,-0.31046000123024,575929,-0.265309989452362,492176,-0.0285500008612871,52964,-0.061710000038147,114412,-0.033160001039505,61448,-0.0532899983227253,98839,-0.0247300006449223,45875,-0.147420004010201,273444,-0.118869997560978,220480,-0.205379992723465,380964,-0.176819995045662,328000,-23630,-51694,-28064,-44451,-20821,-128816,-105186,-264476,-240846,0.0141092504042116
"582","E02005353","Charnwood 009",3911,3,58,204,11,38,2389,241,289,667,11,471.343994140625,182.343994140625,618.382995605469,-48.617000579834,2284.1298828125,-104.870002746582,396.502014160156,107.501998901367,643.809997558594,-23.1900005340576,2322.17504882812,-66.8249969482422,1076.47204589844,787.471984863281,439.468994140625,-227.531005859375,1951.98303222656,-437.016998291016,1273.23999023438,984.239990234375,412.927001953125,-254.072998046875,1813.6689453125,-575.330993652344,-0.0675999969244003,125408,-0.108319997787476,200878,-0.0407200008630753,75470,-0.0910699963569641,168932,-0.0234699994325638,43524,-0.187999993562698,348720,-0.120399996638298,223312,-0.202429994940758,375502,-0.134829998016357,250094,-0.0435400009155273,80765,-0.0688799992203712,127715,-0.0253400001674891,46950,-0.0583299994468689,108190,-0.0147900003939867,27425,-0.123319998383522,228714,-0.0797799974679947,147949,-0.139890000224113,259456,-0.0963499993085861,178691,-38625,-61603,-22978,-54836,-16211,-115792,-77167,-185274,-146649,0.0109032223082467
"682","E02002858","Leicester 032",3318,10,106,306,5,16,2177,171,188,323,16,321.919006347656,133.919006347656,304.299987792969,-18.7000007629395,2088.85009765625,-88.1500015258789,310.532989501953,122.532997131348,307.376007080078,-15.6239995956421,2091.07299804688,-85.9280014038086,826.35400390625,638.35400390625,232.154006958008,-90.8450012207031,1760.14794921875,-416.851989746094,1078.22302246094,890.223022460938,207.891998291016,-115.108001708984,1579.39697265625,-597.60302734375,-0.0685399994254112,127138,-0.121840000152588,225978,-0.0533000007271767,98840,-0.111170001327991,206216,-0.04262999817729,79078,-0.350230008363724,649707,-0.281690001487732,522569,-0.346709996461868,643186,-0.278169989585876,516048,-0.044089999049902,81782,-0.0779799968004227,144609,-0.033890001475811,62827,-0.0716999992728233,132988,-0.0276100002229214,51206,-0.226830005645752,420773,-0.18274000287056,338991,-0.227469995617867,421954,-0.183379992842674,340172,-29889,-52447,-22558,-54321,-24432,-128917,-99028,-188516,-158627,0.0125251711023534
