"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"77296","E02002827 E02002828","E02002827","E02002828",190,0,8,0,1,149,18,7,6,1,17.17,10.17,5.66,-0.34,140.72,-8.28,10.88,3.88,5.87,-0.13,145.84,-3.16,57.66,50.66,4.41,-1.59,107.8,-41.2,76.88,69.88,3.77,-2.23,92.14,-56.86,-0.00414,7673,-0.01032,19140,-0.00618,11467,-0.00593,11002,-0.0018,3329,-0.04108,76220,-0.03695,68547,-0.03527,65444,-0.03114,57771,-0.00272,5045,-0.00676,12534,-0.00404,7489,-0.00389,7218,-0.00117,2173,-0.02685,49812,-0.02413,44767,-0.02327,43169,-0.02055,38124,-1810,-4417,-2607,-2804,-994,-14788,-12978,-19722,-17912,0,4.7094,"Leicester 001","Leicester 002",6.184,6.885,2336,3026,1.31312,1.11336,1.08344,1153,21265,0.01002,3.68421
"77297","E02002827 E02002829","E02002827","E02002829",291,0,19,0,0,131,29,31,80,1,51.24,20.24,73.78,-6.22,120.8,-10.2,48.14,17.14,75.01,-4.99,121.9,-9.1,125.52,94.52,50.89,-29.11,83.42,-47.58,141.85001,110.85,45.87,-34.13,75.19,-55.81,-0.00303,5627,-0.005,9274,-0.00197,3647,-0.00441,8181,-0.00138,2554,-0.01377,25554,-0.01074,19927,-0.00563,10450,-0.0026,4823,-0.00214,3976,-0.00353,6556,-0.00139,2580,-0.00311,5761,-0.00096,1785,-0.00979,18170,-0.00765,14194,-0.00469,8699,-0.00255,4723,-1965,-3242,-1277,-3103,-1138,-7921,-5956,-8953,-6988,0,1.8806,"Leicester 001","Leicester 003",2.459,2.461,1012,1086,1.30756,1.00081,1.01667,458,4332,0.01097,10.65292
"77298","E02002827 E02002830","E02002827","E02002830",495,0,44,4,2,231,38,30,144,2,62.09,32.09,134.06,-9.94,215.06,-15.94,47.69,17.69,138.58,-5.42,222.17,-8.83,204.77,174.77,89.94,-54.06,144.13,-86.87,236.50999,206.50999,80.1,-63.9,128.37,-102.63,-0.00276,5115,-0.0058,10752,-0.00304,5637,-0.00408,7562,-0.00132,2447,-0.02222,41226,-0.01946,36111,-0.00737,13681,-0.00462,8566,-0.00196,3630,-0.00411,7622,-0.00215,3992,-0.00289,5359,-0.00093,1729,-0.01583,29375,-0.01388,25745,-0.00654,12126,-0.00458,8496,-1800,-3765,-1965,-2908,-1108,-12528,-10728,-14466,-12666,0,1.5061,"Leicester 001","Leicester 004",2.512,2.512,1028,1028,1.66789,1,1.15446,468,3403,0.01154,6.06061
"77299","E02002827 E02002831","E02002827","E02002831",109,0,8,1,1,80,16,2,1,0,7.83,5.83,0.95,-0.05,75.64,-4.36,2,0,1,0,80,0,32.57,30.57,0.7,-0.3,57.13,-22.87,43.52,41.52,0.6,-0.4,48.95,-31.05,-0.00137,2542,-0.00528,9803,-0.00391,7261,-0.00137,2542,0,0,-0.0259,48060,-0.02453,45518,-0.02239,41547,-0.02102,39005,-0.00088,1634,-0.00341,6322,-0.00253,4688,-0.00088,1634,0,0,-0.01673,31042,-0.01585,29408,-0.0145,26904,-0.01362,25270,-489,-1928,-1439,-489,0,-8037,-7548,-10739,-10250,0,4.55224,"Leicester 001","Leicester 005",6.33,6.721,2384,2782,1.39053,1.06177,1.02686,1180,20768,0.01027,1.83486
"77300","E02002827 E02002832","E02002827","E02002832",189,0,29,2,0,103,42,2,10,0,12.8,10.8,9.42,-0.58,97.06,-5.94,3.33,1.33,9.92,-0.08,102.36,-0.64,65.97,63.97,6.59,-3.41,67.67,-35.33,83.94,81.94,5.62,-4.38,57.78,-45.22,-8e-04,1488,-0.00518,9607,-0.00438,8119,-0.00121,2242,-0.00041,754,-0.0325,60292,-0.0317,58804,-0.02842,52735,-0.02762,51247,-0.00052,964,-0.00335,6222,-0.00283,5258,-0.00078,1452,-0.00026,488,-0.02105,39051,-0.02053,38087,-0.01847,34273,-0.01795,33309,-210,-1514,-1304,-350,-140,-7975,-7765,-10147,-9937,1,3.47551,"Leicester 001","Leicester 006",4.321,4.707,1692,2068,1.24327,1.08933,1.36542,805,6715,0.01253,1.0582
"77301","E02002827 E02002834","E02002827","E02002834",237,0,22,1,1,155,26,14,18,0,25.51,11.51,17.07,-0.93,147.02,-7.98,22.7,8.7,17.25,-0.75,149.21001,-5.79,75.25,61.25,13.1,-4.9,112.2,-42.8,101.23,87.23,10.99,-7.01,94.18,-60.82,-0.00475,8820,-0.00872,16169,-0.00396,7349,-0.007,12979,-0.00224,4159,-0.03055,56686,-0.0258,47866,-0.02894,53696,-0.02419,44876,-0.00309,5741,-0.00567,10521,-0.00258,4780,-0.00455,8448,-0.00146,2707,-0.01988,36882,-0.01679,31141,-0.01893,35119,-0.01584,29378,-1861,-3449,-1588,-3011,-1150,-10393,-8532,-13985,-12124,0,2.7286,"Leicester 001","Leicester 008",3.943,4.538,1690,1782,1.44506,1.1509,1.87674,735,6864,0.0119,5.90717
"77302","E02002827 E02002835","E02002827","E02002835",148,0,8,0,0,120,17,1,2,0,6.74,5.74,1.92,-0.08,115.31,-4.69,1,0,2,0,120,0,31.51,30.51,1.59,-0.41,95.09,-24.91,48.6,47.6,1.35,-0.65,81.15,-38.85,-0.00082,1523,-0.00557,10324,-0.00474,8801,-0.00082,1523,0,0,-0.03103,57571,-0.03021,56048,-0.03038,56370,-0.02956,54847,-0.00054,993,-0.00362,6715,-0.00309,5722,-0.00054,993,0,0,-0.02019,37456,-0.01965,36463,-0.0199,36929,-0.01937,35936,-337,-2262,-1925,-337,0,-10569,-10232,-16300,-15963,0,6.70694,"Leicester 001","Leicester 009",8.056,9.858,3472,4476,1.20114,1.22368,1.30338,1502,31148,0.01025,0.67568
"77303","E02002827 E02002836","E02002827","E02002836",214,0,24,1,0,111,49,7,8,14,19.18,12.18,7.53,-0.47,104.47,-6.53,8.36,1.36,7.93,-0.07,110.21,-0.79,70.92,63.92,5.52,-2.48,76.68,-34.32,91.63,84.63,4.72,-3.28,65.59,-45.41,-0.00363,6737,-0.00991,18392,-0.00628,11655,-0.00415,7697,-0.00052,960,-0.043,79784,-0.03937,73047,-0.0352,65308,-0.03157,58571,-0.00235,4363,-0.00642,11916,-0.00407,7553,-0.00269,4986,-0.00034,623,-0.02788,51724,-0.02553,47361,-0.02293,42549,-0.02058,38186,-1000,-2764,-1764,-1213,-213,-10285,-9285,-13289,-12289,0,4.10123,"Leicester 001","Leicester 010",5.31,5.545,2172,2794,1.29473,1.04426,1.14878,990,8577,0.011,3.27103
"77304","E02002827 E02002837","E02002827","E02002837",110,0,15,0,2,58,22,4,5,2,9.52,5.52,4.74,-0.26,55.01,-2.99,5.39,1.39,4.93,-0.07,57.36,-0.64,31.17,27.17,3.72,-1.28,42.93,-15.07,42.76,38.76,3.17,-1.83,36.61,-21.39,-0.00251,4651,-0.00597,11081,-0.00347,6430,-0.00317,5883,-0.00066,1232,-0.02285,42399,-0.02035,37748,-0.01985,36835,-0.01735,32184,-0.00166,3075,-0.00395,7327,-0.00229,4252,-0.0021,3889,-0.00044,814,-0.01513,28076,-0.01348,25001,-0.01337,24812,-0.01172,21737,-614,-1619,-1005,-828,-214,-5676,-5062,-7798,-7184,2,5.24351,"Leicester 001","Leicester 011",6.638,7.358,2788,3450,1.26595,1.10847,1.14492,1237,15181,0.01006,3.63636
"77305","E02002827 E02002838","E02002827","E02002838",74,0,6,1,1,48,8,2,6,1,6.76,4.76,5.61,-0.39,44.82,-3.18,2.8,0.8,5.91,-0.09,47.5,-0.5,27.86,25.86,3.91,-2.09,30.68,-17.32,33.99,31.99,3.38,-2.62,26.61,-21.39,-0.00072,1337,-0.00256,4748,-0.00184,3411,-0.00094,1743,-0.00022,406,-0.01296,24034,-0.01223,22697,-0.01065,19748,-0.00992,18411,-0.00047,875,-0.00167,3094,-0.0012,2219,-0.00062,1141,-0.00014,266,-0.00843,15645,-0.00796,14770,-0.00697,12934,-0.0065,12059,-283,-995,-712,-396,-113,-4169,-3886,-5082,-4799,1,3.19875,"Leicester 001","Leicester 012",4.378,4.712,1842,1982,1.36866,1.07629,0.91366,816,7097,0.00806,2.7027
"77306","E02002827 E02002842","E02002827","E02002842",110,0,17,1,3,67,16,4,1,1,9.55,5.55,0.95,-0.05,63.5,-3.5,5.45,1.45,0.98,-0.02,66.12,-0.88,33.62,29.62,0.73,-0.27,48.2,-18.8,45.47,41.47,0.61,-0.39,40.72,-26.28,-0.00214,3975,-0.00513,9520,-0.00299,5545,-0.00274,5074,-0.00059,1099,-0.02126,39450,-0.01912,35475,-0.01903,35300,-0.01688,31325,-0.00138,2560,-0.0033,6129,-0.00192,3569,-0.00176,3267,-0.00038,707,-0.01369,25401,-0.01231,22841,-0.01226,22747,-0.01088,20187,-641,-1570,-929,-874,-233,-5630,-4989,-7615,-6974,0,3.83346,"Leicester 001","Leicester 016",5.231,6.099,2126,2286,1.36457,1.16593,1.47199,975,8963,0.00902,3.63636
"77307","E02002827 E02002843","E02002827","E02002843",157,0,20,0,0,77,45,3,8,4,10.09,7.09,7.63,-0.37,73.49,-3.51,3.75,0.75,7.95,-0.05,76.66,-0.34,40.11,37.11,6.07,-1.93,58.45,-18.55,57.65,54.65,5.16,-2.84,49.66,-27.34,-0.00194,3596,-0.0066,12243,-0.00466,8647,-0.00231,4279,-0.00037,683,-0.03109,57680,-0.02915,54084,-0.0274,50840,-0.02546,47244,-0.0013,2413,-0.00441,8180,-0.00311,5767,-0.00155,2871,-0.00025,458,-0.02077,38536,-0.01947,36123,-0.01875,34778,-0.01744,32365,-477,-1725,-1248,-596,-119,-7079,-6602,-10209,-9732,0,5.40151,"Leicester 001","Leicester 017",6.981,7.391,3038,3406,1.29242,1.05873,1.44678,1301,15305,0.01177,1.91083
"77308","E02002827 E02002844","E02002827","E02002844",159,0,22,1,1,83,27,17,6,2,24.08,7.08,5.69,-0.31,78.86,-4.14,20.08,3.08,5.83,-0.17,81.21,-1.79,41.28,24.28,5.1,-0.9,68.8,-14.2,59.49,42.49,4.31,-1.69,58.15,-24.85,-0.01042,19334,-0.01485,27542,-0.00442,8208,-0.01185,21975,-0.00142,2641,-0.02879,53416,-0.01837,34082,-0.02974,55184,-0.01932,35850,-0.00691,12816,-0.00982,18226,-0.00292,5410,-0.00785,14570,-0.00095,1754,-0.01898,35218,-0.01208,22402,-0.01983,36788,-0.01292,23972,-3289,-4658,-1369,-3884,-595,-7991,-4702,-11518,-8229,0,5.20005,"Leicester 001","Leicester 018",6.489,7.248,2814,3334,1.24787,1.11697,1.43319,1210,14527,0.01062,10.69182
"77309","E02002827 E02002845","E02002827","E02002845",124,0,24,1,0,77,15,2,3,2,6.91,4.91,2.88,-0.12,73.9,-3.1,2.24,0.24,2.99,-0.01,76.86,-0.14,26.12,24.12,2.4,-0.6,61.8,-15.2,39.99,37.99,2.06,-0.94,53.05,-23.95,-0.00172,3195,-0.00592,10972,-0.00419,7777,-0.00188,3479,-0.00015,284,-0.02636,48896,-0.02463,45701,-0.0257,47675,-0.02397,44480,-0.00113,2092,-0.00389,7209,-0.00276,5117,-0.00123,2281,-1e-04,189,-0.01736,32205,-0.01623,30113,-0.01716,31830,-0.01603,29738,-558,-1902,-1344,-620,-62,-7161,-6603,-10967,-10409,0,6.80528,"Leicester 001","Leicester 019",8.458,9.281,3816,4202,1.24286,1.0973,1.14684,1577,23751,0.0098,1.6129
"77310","E02002827 E02002846","E02002827","E02002846",95,0,7,0,2,59,15,5,7,0,10.02,5.02,6.62,-0.38,55.7,-3.3,5.95,0.95,6.97,-0.03,58.32,-0.68,28.99,23.99,5.21,-1.79,43.18,-15.82,38.76,33.76,4.43,-2.57,36.8,-22.2,-0.00257,4761,-0.00519,9634,-0.00263,4873,-0.00298,5529,-0.00041,768,-0.01753,32530,-0.01497,27769,-0.01448,26859,-0.01191,22098,-0.00172,3182,-0.00346,6422,-0.00175,3240,-0.00199,3682,-0.00027,500,-0.01168,21676,-0.00997,18494,-0.00987,18311,-0.00816,15129,-969,-1956,-987,-1168,-199,-5700,-4731,-7611,-6642,0,4.26543,"Leicester 001","Leicester 020",5.776,6.135,2296,2596,1.35414,1.06215,1.00416,1077,9221,0.00815,5.26316
"77311","E02002827 E02002847","E02002827","E02002847",117,0,12,1,0,72,22,0,8,1,4.11,4.11,7.72,-0.28,69.47,-2.53,0,0,8,0,72,0,23.28,23.28,6.41,-1.59,57.68,-14.32,37.5,37.5,5.43,-2.57,48.94,-23.06,0,0,-0.00292,5411,-0.00292,5411,0,0,0,0,-0.01966,36481,-0.01966,36481,-0.01826,33874,-0.01826,33874,0,0,-0.00199,3693,-0.00199,3693,0,0,0,0,-0.01347,24985,-0.01347,24985,-0.01307,24245,-0.01307,24245,0,-1008,-1008,0,0,-5709,-5709,-9197,-9197,1,6.32207,"Leicester 001","Leicester 021",8.093,8.713,3510,3858,1.28012,1.07661,1.53219,1509,17197,0.00895,0
