"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"77296","E02002827 E02002828","E02002827","E02002828",190,0,8,0,1,149,18,7,6,1,17.1700000762939,10.1700000762939,5.65999984741211,-0.340000003576279,140.720001220703,-8.27999973297119,10.8800001144409,3.88000011444092,5.86999988555908,-0.129999995231628,145.839996337891,-3.16000008583069,57.6599998474121,50.6599998474121,4.40999984741211,-1.5900000333786,107.800003051758,-41.2000007629395,76.879997253418,69.879997253418,3.76999998092651,-2.23000001907349,92.1399993896484,-56.8600006103516,-0.00413999985903502,7673,-0.0103200003504753,19140,-0.00618000002577901,11467,-0.00592999998480082,11002,-0.00179999996908009,3329,-0.0410800017416477,76220,-0.0369499996304512,68547,-0.0352700017392635,65444,-0.031139999628067,57771,-0.00271999998949468,5045,-0.00675999978557229,12534,-0.00404000002890825,7489,-0.00389000005088747,7218,-0.00116999994497746,2173,-0.0268500000238419,49812,-0.0241299998015165,44767,-0.0232699997723103,43169,-0.0205499995499849,38124,-1810,-4417,-2607,-2804,-994,-14788,-12978,-19722,-17912,0,4.70939985171387,"Leicester 001","Leicester 002",6.184,6.885,2336,3026,1.31311848530965,1.11335705045278,1.08344113842173,1153,21265,0.0100217864923747,3.68421052631579
"77297","E02002827 E02002829","E02002827","E02002829",291,0,19,0,0,131,29,31,80,1,51.2400016784668,20.2399997711182,73.7799987792969,-6.21999979019165,120.800003051758,-10.1999998092651,48.1399993896484,17.1399993896484,75.0100021362305,-4.98999977111816,121.900001525879,-9.10000038146973,125.519996643066,94.5199966430664,50.8899993896484,-29.1100006103516,83.4199981689453,-47.5800018310547,141.850006103516,110.849998474121,45.8699989318848,-34.1300010681152,75.1900024414062,-55.810001373291,-0.00303000002168119,5627,-0.00499999988824129,9274,-0.00197000009939075,3647,-0.00441000005230308,8181,-0.00138000003062189,2554,-0.0137700000777841,25554,-0.0107399998232722,19927,-0.00563000002875924,10450,-0.00260000000707805,4823,-0.00213999999687076,3976,-0.00353000010363758,6556,-0.0013899999903515,2580,-0.00310999993234873,5761,-0.00095999997574836,1785,-0.00978999957442284,18170,-0.00765000004321337,14194,-0.00468999985605478,8699,-0.00255000009201467,4723,-1965,-3242,-1277,-3103,-1138,-7921,-5956,-8953,-6988,0,1.88060281285924,"Leicester 001","Leicester 003",2.459,2.461,1012,1086,1.30755946082064,1.00081333875559,1.01667344448963,458,4332,0.0109711499390492,10.6529209621993
"77298","E02002827 E02002830","E02002827","E02002830",495,0,44,4,2,231,38,30,144,2,62.0900001525879,32.0900001525879,134.059997558594,-9.9399995803833,215.059997558594,-15.9399995803833,47.689998626709,17.6900005340576,138.580001831055,-5.42000007629395,222.169998168945,-8.82999992370605,204.770004272461,174.770004272461,89.9400024414062,-54.060001373291,144.130004882812,-86.870002746582,236.509994506836,206.509994506836,80.0999984741211,-63.9000015258789,128.369995117188,-102.629997253418,-0.00276000006124377,5115,-0.00579999992623925,10752,-0.00304000009782612,5637,-0.0040799998678267,7562,-0.00132000003941357,2447,-0.0222200006246567,41226,-0.0194600000977516,36111,-0.00736999977380037,13681,-0.00461999978870153,8566,-0.00196000002324581,3630,-0.0041100000962615,7622,-0.00215000007301569,3992,-0.00288999988697469,5359,-0.000929999980144203,1729,-0.0158300008624792,29375,-0.013880000449717,25745,-0.0065399999730289,12126,-0.00457999994978309,8496,-1800,-3765,-1965,-2908,-1108,-12528,-10728,-14466,-12666,0,1.50609628631879,"Leicester 001","Leicester 004",2.512,2.512,1028,1028,1.66788805126122,1,1.15445859872611,468,3403,0.0115445859872611,6.06060606060606
"77299","E02002827 E02002831","E02002827","E02002831",109,0,8,1,1,80,16,2,1,0,7.82999992370605,5.82999992370605,0.949999988079071,-0.0500000007450581,75.6399993896484,-4.3600001335144,2,0,1,0,80,0,32.5699996948242,30.5699996948242,0.699999988079071,-0.300000011920929,57.1300010681152,-22.8700008392334,43.5200004577637,41.5200004577637,0.600000023841858,-0.400000005960464,48.9500007629395,-31.0499992370605,-0.00136999995447695,2542,-0.00528000015765429,9803,-0.00390999997034669,7261,-0.00136999995447695,2542,0,0,-0.025900000706315,48060,-0.0245299991220236,45518,-0.0223900005221367,41547,-0.0210200008004904,39005,-0.000880000006873161,1634,-0.0034099998883903,6322,-0.0025299999397248,4688,-0.000880000006873161,1634,0,0,-0.0167299993336201,31042,-0.0158500000834465,29408,-0.0144999995827675,26904,-0.0136200003325939,25270,-489,-1928,-1439,-489,0,-8037,-7548,-10739,-10250,0,4.55223506029627,"Leicester 001","Leicester 005",6.33,6.721,2384,2782,1.39052573431655,1.06176935229068,1.02685624012638,1180,20768,0.0102663294152656,1.8348623853211
"77300","E02002827 E02002832","E02002827","E02002832",189,0,29,2,0,103,42,2,10,0,12.8000001907349,10.8000001907349,9.42000007629395,-0.579999983310699,97.0599975585938,-5.94000005722046,3.32999992370605,1.33000004291534,9.92000007629395,-0.0799999982118607,102.360000610352,-0.639999985694885,65.9700012207031,63.9700012207031,6.59000015258789,-3.41000008583069,67.6699981689453,-35.3300018310547,83.9400024414062,81.9400024414062,5.61999988555908,-4.38000011444092,57.7799987792969,-45.2200012207031,-0.0007999999797903,1488,-0.00517999986186624,9607,-0.00437999982386827,8119,-0.00121000001672655,2242,-0.000410000007832423,754,-0.0324999988079071,60292,-0.031700000166893,58804,-0.0284199994057417,52735,-0.0276200007647276,51247,-0.00052000000141561,964,-0.00334999989718199,6222,-0.00282999989576638,5258,-0.000780000002123415,1452,-0.000260000000707805,488,-0.0210500005632639,39051,-0.0205300003290176,38087,-0.0184700004756451,34273,-0.0179500002413988,33309,-210,-1514,-1304,-350,-140,-7975,-7765,-10147,-9937,1,3.47550706140345,"Leicester 001","Leicester 006",4.321,4.707,1692,2068,1.24327182297686,1.0893311733395,1.36542467021523,805,6715,0.0125345230507754,1.05820105820106
"77301","E02002827 E02002834","E02002827","E02002834",237,0,22,1,1,155,26,14,18,0,25.5100002288818,11.5100002288818,17.0699996948242,-0.930000007152557,147.020004272461,-7.98000001907349,22.7000007629395,8.69999980926514,17.25,-0.75,149.210006713867,-5.78999996185303,75.25,61.25,13.1000003814697,-4.90000009536743,112.199996948242,-42.7999992370605,101.230003356934,87.2300033569336,10.9899997711182,-7.01000022888184,94.1800003051758,-60.8199996948242,-0.0047499998472631,8820,-0.00872000027447939,16169,-0.00395999988541007,7349,-0.00700000021606684,12979,-0.00224000005982816,4159,-0.0305499993264675,56686,-0.0258000008761883,47866,-0.0289399996399879,53696,-0.0241899993270636,44876,-0.0030900000128895,5741,-0.00566999986767769,10521,-0.00258000008761883,4780,-0.00455000018700957,8448,-0.00146000005770475,2707,-0.0198800005018711,36882,-0.0167900007218122,31141,-0.0189299993216991,35119,-0.0158399995416403,29378,-1861,-3449,-1588,-3011,-1150,-10393,-8532,-13985,-12124,0,2.72859881383868,"Leicester 001","Leicester 008",3.943,4.538,1690,1782,1.4450640306674,1.1509003296982,1.87674359624651,735,6864,0.0118995152049361,5.90717299578059
"77302","E02002827 E02002835","E02002827","E02002835",148,0,8,0,0,120,17,1,2,0,6.73999977111816,5.73999977111816,1.91999995708466,-0.0799999982118607,115.309997558594,-4.69000005722046,1,0,2,0,120,0,31.5100002288818,30.5100002288818,1.5900000333786,-0.409999996423721,95.0899963378906,-24.9099998474121,48.5999984741211,47.5999984741211,1.35000002384186,-0.649999976158142,81.1500015258789,-38.8499984741211,-0.000820000015664846,1523,-0.00557000003755093,10324,-0.00473999977111816,8801,-0.000820000015664846,1523,0,0,-0.031029999256134,57571,-0.0302099995315075,56048,-0.0303799994289875,56370,-0.029559999704361,54847,-0.000539999979082495,993,-0.00362000009045005,6715,-0.0030900000128895,5722,-0.000539999979082495,993,0,0,-0.0201900005340576,37456,-0.0196499992161989,36463,-0.0198999997228384,36929,-0.0193700008094311,35936,-337,-2262,-1925,-337,0,-10569,-10232,-16300,-15963,0,6.70694426998212,"Leicester 001","Leicester 009",8.056,9.858,3472,4476,1.20114312505261,1.22368421052632,1.30337636544191,1502,31148,0.0102454858997768,0.675675675675676
"77303","E02002827 E02002836","E02002827","E02002836",214,0,24,1,0,111,49,7,8,14,19.1800003051758,12.1800003051758,7.53000020980835,-0.469999998807907,104.470001220703,-6.53000020980835,8.35999965667725,1.36000001430511,7.92999982833862,-0.0700000002980232,110.209999084473,-0.790000021457672,70.9199981689453,63.9199981689453,5.51999998092651,-2.48000001907349,76.6800003051758,-34.3199996948242,91.629997253418,84.629997253418,4.71999979019165,-3.27999997138977,65.5899963378906,-45.4099998474121,-0.00362999993376434,6737,-0.00990999955683947,18392,-0.00627999985590577,11655,-0.00414999993517995,7697,-0.00052000000141561,960,-0.0430000014603138,79784,-0.0393700003623962,73047,-0.0351999998092651,65308,-0.0315699987113476,58571,-0.00234999996609986,4363,-0.00641999999061227,11916,-0.00406999979168177,7553,-0.00268999999389052,4986,-0.000339999998686835,623,-0.0278799999505281,51724,-0.0255299992859364,47361,-0.0229299999773502,42549,-0.0205799993127584,38186,-1000,-2764,-1764,-1213,-213,-10285,-9285,-13289,-12289,0,4.10123497000958,"Leicester 001","Leicester 010",5.31,5.545,2172,2794,1.29473196216007,1.04425612052731,1.14877589453861,990,8577,0.0110009017132552,3.27102803738318
"77304","E02002827 E02002837","E02002827","E02002837",110,0,15,0,2,58,22,4,5,2,9.52000045776367,5.51999998092651,4.73999977111816,-0.259999990463257,55.0099983215332,-2.99000000953674,5.3899998664856,1.38999998569489,4.92999982833862,-0.0700000002980232,57.3600006103516,-0.639999985694885,31.1700000762939,27.1700000762939,3.72000002861023,-1.27999997138977,42.9300003051758,-15.0699996948242,42.7599983215332,38.7599983215332,3.17000007629395,-1.83000004291534,36.6100006103516,-21.3899993896484,-0.00251000002026558,4651,-0.00596999982371926,11081,-0.00347000011242926,6430,-0.00316999992355704,5883,-0.000660000019706786,1232,-0.0228499993681908,42399,-0.0203499998897314,37748,-0.0198500007390976,36835,-0.0173499993979931,32184,-0.00165999995078892,3075,-0.00394999980926514,7327,-0.00228999997489154,4252,-0.00209999992512167,3889,-0.00044000000343658,814,-0.0151300001889467,28076,-0.0134800001978874,25001,-0.0133699998259544,24812,-0.0117199998348951,21737,-614,-1619,-1005,-828,-214,-5676,-5062,-7798,-7184,2,5.24350706332118,"Leicester 001","Leicester 011",6.638,7.358,2788,3450,1.2659466116549,1.10846640554384,1.14492316962941,1237,15181,0.0100570807284588,3.63636363636364
"77305","E02002827 E02002838","E02002827","E02002838",74,0,6,1,1,48,8,2,6,1,6.76000022888184,4.76000022888184,5.6100001335144,-0.389999985694885,44.8199996948242,-3.1800000667572,2.79999995231628,0.800000011920929,5.90999984741211,-0.0900000035762787,47.5,-0.5,27.8600006103516,25.8600006103516,3.91000008583069,-2.08999991416931,30.6800003051758,-17.3199996948242,33.9900016784668,31.9899997711182,3.38000011444092,-2.61999988555908,26.6100006103516,-21.3899993896484,-0.000720000010915101,1337,-0.00255999993532896,4748,-0.00184000004082918,3411,-0.000939999998081475,1743,-0.00022000000171829,406,-0.0129599999636412,24034,-0.0122300004586577,22697,-0.0106499996036291,19748,-0.00992000009864569,18411,-0.000469999999040738,875,-0.00167000002693385,3094,-0.00120000005699694,2219,-0.000620000006165355,1141,-0.00014000000373926,266,-0.00843000039458275,15645,-0.00796000007539988,14770,-0.00696999998763204,12934,-0.00650000013411045,12059,-283,-995,-712,-396,-113,-4169,-3886,-5082,-4799,1,3.19874679795079,"Leicester 001","Leicester 012",4.378,4.712,1842,1982,1.36866100274166,1.07629054362723,0.913659205116491,816,7097,0.00806451612903226,2.7027027027027
