"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"133876",1,1,1,6.184,2336,126,67,0.01083,1153,71,21265,"E02002827 E02002828",126
"133877",1,1,1,2.459,1012,66,25,0.01017,458,32,4332,"E02002827 E02002829",66
"133878",1,1,1,2.512,1028,62,29,0.01154,468,37,3403,"E02002827 E02002830",62
"133879",1,1,1,6.33,2384,126,65,0.01027,1180,72,20768,"E02002827 E02002831",126
"133880",1,1,1,4.321,1692,114,59,0.01365,805,44,6715,"E02002827 E02002832",114
"133881",1,1,1,3.943,1690,95,74,0.01877,735,57,6864,"E02002827 E02002834",95
"133882",1,1,1,8.056,3472,171,105,0.01303,1502,125,31148,"E02002827 E02002835",171
"133883",1,1,1,5.31,2172,137,61,0.01149,990,59,8577,"E02002827 E02002836",137
"133884",1,1,1,6.638,2788,180,76,0.01145,1237,85,15181,"E02002827 E02002837",180
"133885",1,1,1,4.378,1842,150,40,0.00914,816,64,7097,"E02002827 E02002838",150
"133886",1,1,1,5.231,2126,141,77,0.01472,975,62,8963,"E02002827 E02002842",141
"133887",1,1,1,6.981,3038,181,101,0.01447,1301,100,15305,"E02002827 E02002843",181
"133888",1,1,1,6.489,2814,171,93,0.01433,1210,90,14527,"E02002827 E02002844",171
"133889",1,1,1,8.458,3816,231,97,0.01147,1577,125,23751,"E02002827 E02002845",231
"133890",1,1,1,5.776,2296,171,58,0.01004,1077,74,9221,"E02002827 E02002846",171
"133891",1,1,1,8.093,3510,204,124,0.01532,1509,114,17197,"E02002827 E02002847",204
"133892",1,1,1,7.336,3348,205,108,0.01472,1368,113,16445,"E02002827 E02002848",205
"133893",1,1,1,6.349,2770,163,94,0.01481,1184,84,11187,"E02002827 E02002849",163
"133894",1,1,1,7.181,2858,215,65,0.00905,1339,88,10592,"E02002827 E02002854",215
"133895",1,1,1,7.463,3420,193,106,0.0142,1391,105,13702,"E02002827 E02002855",193
"133896",1,1,1,8.854,4098,249,115,0.01299,1650,135,18898,"E02002827 E02002856",249
"133897",1,1,1,9.382,3998,260,106,0.0113,1749,123,15974,"E02002827 E02002857",260
"133898",1,1,1,10.437,4564,333,118,0.01131,1946,145,16653,"E02002827 E02002860",333
"133899",1,1,1,7.89,3438,242,72,0.00913,1471,121,18330,"E02002827 E02005334",242
"133900",1,1,1,8.741,3778,260,84,0.00961,1629,126,19813,"E02002827 E02005335",260
"133901",1,1,1,7.981,3348,258,71,0.0089,1488,111,15701,"E02002827 E02005336",258
"133902",1,1,1,11.606,4946,399,114,0.00982,2163,162,61160,"E02002827 E02005338",399
"133903",1,1,1,13.323,5844,436,140,0.01051,2484,188,65885,"E02002827 E02005339",436
"133904",1,1,1,13.957,5820,470,131,0.00939,2602,190,66007,"E02002827 E02005341",470
"133905",1,1,1,14.893,6102,376,189,0.01269,2776,200,35201,"E02002827 E02005346",376
"133906",1,1,1,18.398,8114,434,286,0.01555,3430,304,38290,"E02002827 E02005352",434
