"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",12,23.49,23.04,68.45,114.33,NA,NA,NA,NA,NA,0
"2",7,34.27,12.66,169.15,262.65999,NA,NA,NA,NA,NA,0
"3",29,69.73,51.66,224.56,391.68,14,38.28,28.22,168.31,207.39,1
"4",27,66.02,49.66,216.77,374.67,14,38.28,28.22,168.31,207.39,1
"5",2,3.71,2,7.79,17.01,14,38.28,28.22,168.31,207.39,1
"6",25,59.19,47.23,192.31,326.73,14,38.28,28.22,168.31,207.39,1
"7",8,16.09,12.55,38.2,82.96,NA,NA,NA,NA,NA,0
"8",13,35.7,24.19,123.86,212.4,NA,NA,NA,NA,NA,0
"9",6,11.35,10.83,24.13,53.42,NA,NA,NA,NA,NA,0
"10",7,24.35,13.36,99.73,158.98,6,14.02,6,61.24,75.95,1
"11",1,2.03,1.67,3.63,10.66,NA,NA,NA,NA,NA,0
"12",6,22.32,11.69,96.1,148.32,6,14.02,6,61.24,75.95,1
"13",3,11.85,5.41,48.66,88.01,6,14.02,6,61.24,75.95,1
"14",4,22.42,7.25,120.49,174.64999,NA,NA,NA,NA,NA,0
"15",44,101.57,83.21,377.92001,485.91,6,14.02,6,61.24,75.95,1
"16",44,97.46,83.21,351.05001,447.78,6,14.02,6,61.24,75.95,1
"17",0,4.11,0,26.87,38.13,6,14.02,6,61.24,75.95,1
"18",3,7.74,5.41,21.79,49.88,6,14.02,6,61.24,75.95,1
"19",48,113.22,95.85,413.93001,559.47,6,14.02,6,61.24,75.95,1
"20",16,42.18,28.42,144.34,249.73,NA,NA,NA,NA,NA,0
"21",10,19.86,16.73,48.24,101.41,6,14.02,6,61.24,75.95,1
"22",70,178.57,132.05,668.81001,987.98,22,54.46,33.84,244.35001,298.04999,1
"23",66,156.15,124.8,548.32001,813.33,22,54.46,33.84,244.35001,298.04999,1
"24",47,103.29,94.15,366.09001,472.18,22,54.46,33.84,244.35001,298.04999,1
"25",19,52.86,30.65,182.23,341.15,22,54.46,33.84,244.35001,298.04999,1
"26",48,108.59,95.85,389.79001,515.9,6,14.02,6,61.24,75.95,1
"27",0,4.63,0,24.14,43.57,NA,NA,NA,NA,NA,0
"28",50,111.92,99.18,396.93001,530.82,NA,NA,NA,NA,NA,0
"29",49,113,97.93,404.44001,550.86,6,14.02,6,61.24,75.95,1
"30",1,4.41,2.08,14.65,34.96,NA,NA,NA,NA,NA,0
"31",1,9.04,2.08,38.79,78.53,22,54.46,33.84,244.35001,298.04999,1
"32",3,8.63,5.03,30.84,58.64,22,54.46,33.84,244.35001,298.04999,1
"33",22,61.49,35.68,213.07,399.79,22,54.46,33.84,244.35001,298.04999,1
"34",14,34.04,22.21,113.02,213.26,22,54.46,33.84,244.35001,298.04999,1
"35",8,27.45,13.47,100.05,186.53,22,54.46,33.84,244.35001,298.04999,1
"36",0,0,0,0,0,6,14.02,6,61.24,75.95,1
"37",0,0,0,0,0,6,14.02,6,61.24,75.95,1
"38",1,2.03,1.67,3.63,10.66,6,14.02,6,61.24,75.95,1
"39",0,0,0,0,0,6,14.02,6,61.24,75.95,1
