"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"133876",1,1,1,6.885,3026,252,69,0.01002,1283,86,10594,"E02002827 E02002828"
"133877",1,1,1,2.461,1086,68,27,0.01097,459,32,3667,"E02002827 E02002829"
"133878",1,1,1,2.512,1028,62,29,0.01154,468,37,3403,"E02002827 E02002830"
"133879",1,1,1,6.721,2782,159,69,0.01027,1253,76,9070,"E02002827 E02002831"
"133880",1,1,1,4.707,2068,125,59,0.01253,877,47,6123,"E02002827 E02002832"
"133881",1,1,1,4.538,1782,99,54,0.0119,846,58,5963,"E02002827 E02002834"
"133882",1,1,1,9.858,4476,262,101,0.01025,1838,146,14912,"E02002827 E02002835"
"133883",1,1,1,5.545,2794,151,61,0.011,1034,60,7787,"E02002827 E02002836"
"133884",1,1,1,7.358,3450,193,74,0.01006,1372,90,10221,"E02002827 E02002837"
"133885",1,1,1,4.712,1982,152,38,0.00806,878,68,6101,"E02002827 E02002838"
"133886",1,1,1,6.099,2286,167,55,0.00902,1137,65,6606,"E02002827 E02002842"
"133887",1,1,1,7.391,3406,189,87,0.01177,1378,99,10788,"E02002827 E02002843"
"133888",1,1,1,7.248,3334,187,77,0.01062,1351,94,10397,"E02002827 E02002844"
"133889",1,1,1,9.281,4202,216,91,0.0098,1730,130,13432,"E02002827 E02002845"
"133890",1,1,1,6.135,2596,171,50,0.00815,1144,78,7651,"E02002827 E02002846"
"133891",1,1,1,8.713,3858,212,78,0.00895,1624,109,12026,"E02002827 E02002847"
"133892",1,1,1,8.095,3860,217,92,0.01137,1509,117,12226,"E02002827 E02002848"
"133893",1,1,1,7.3,2940,190,72,0.00986,1361,88,8672,"E02002827 E02002849"
"133894",1,1,1,7.545,3098,213,57,0.00755,1406,92,9014,"E02002827 E02002854"
"133895",1,1,1,8.715,3526,237,72,0.00826,1625,112,9826,"E02002827 E02002855"
"133896",1,1,1,10.148,4572,304,97,0.00956,1892,143,12604,"E02002827 E02002856"
"133897",1,1,1,10.417,4278,293,100,0.0096,1942,133,12024,"E02002827 E02002857"
"133898",1,1,1,11.088,4890,289,110,0.00992,2067,151,13488,"E02002827 E02002860"
"133899",1,1,1,8.375,4060,241,68,0.00812,1561,126,13594,"E02002827 E02005334"
"133900",1,1,1,9.226,4400,259,80,0.00867,1720,132,15077,"E02002827 E02005335"
"133901",1,1,1,8.243,3694,290,75,0.0091,1537,117,10542,"E02002827 E02005336"
"133902",1,1,1,12.063,5436,387,110,0.00912,2249,166,14731,"E02002827 E02005338"
"133903",1,1,1,13.873,6404,418,138,0.00995,2586,193,17530,"E02002827 E02005339"
"133904",1,1,1,15.598,6722,393,179,0.01148,2908,222,18785,"E02002827 E02005341"
"133905",1,1,1,17.184,7192,460,209,0.01216,3203,225,21129,"E02002827 E02005346"
"133906",1,1,1,18.438,9396,470,292,0.01584,3437,300,27755,"E02002827 E02005352"
"133907",1,1,1,8.156,3788,264,118,0.01447,1520,107,11206,"E02002827 E02005361"
"133908",1,1,1,3.505,1440,121,52,0.01484,653,36,5049,"E02002827 E02005364"
"133909",1,1,1,7.464,3102,238,91,0.01219,1391,90,11228,"E02002827 E02005365"
"133912",1,1,1,9.623,5892,243,253,0.02629,1794,244,21930,"E02002827 E02005377"
"133914",1,1,1,22.116,11784,430,422,0.01908,4123,426,34979,"E02002827 E02005406"
"133915",1,1,1,22.727,12432,472,413,0.01817,4237,421,31979,"E02002827 E02005409"
"133916",1,1,1,14.284,6328,376,146,0.01022,2663,210,19434,"E02002827 E02005414"
"133917",1,1,1,14.575,6292,361,153,0.0105,2717,206,18302,"E02002827 E02005415"
"133918",1,1,1,5.188,2202,150,31,0.00598,967,77,6797,"E02002827 E02006819"
"133919",1,1,1,5.837,2416,148,43,0.00737,1088,80,7838,"E02002827 E02006820"
"133920",1,1,1,7.923,3176,236,68,0.00858,1477,94,9084,"E02002827 E02006850"
"133921",1,1,1,7.831,3362,243,69,0.00881,1460,96,9067,"E02002827 E02006851"
"133923",1,1,1,5.182,2994,165,50,0.00965,966,94,8624,"E02002828 E02002829"
"133924",1,1,1,6.061,3364,197,52,0.00858,1130,107,9628,"E02002828 E02002830"
"133925",1,1,1,2.082,1066,70,6,0.00288,388,27,2831,"E02002828 E02002831"
"133926",1,1,1,3.136,1730,112,10,0.00319,585,38,4467,"E02002828 E02002832"
"133927",1,1,1,2.506,1500,101,8,0.00319,467,32,3653,"E02002828 E02002833"
"133928",1,1,1,5.736,3312,218,51,0.00889,1069,94,9017,"E02002828 E02002834"
"133929",1,1,1,4.366,2318,137,52,0.01191,814,88,7169,"E02002828 E02002835"
"133930",1,1,1,3.341,1634,103,12,0.00359,623,41,4954,"E02002828 E02002836"
"133931",1,1,1,3.454,1702,104,17,0.00492,644,50,4886,"E02002828 E02002837"
"133932",1,1,1,6.568,3134,243,22,0.00335,1224,85,8670,"E02002828 E02002842"
"133933",1,1,1,4.421,2320,145,34,0.00769,824,71,7170,"E02002828 E02002843"
"133934",1,1,1,4.916,2456,160,24,0.00488,916,74,8016,"E02002828 E02002844"
"133935",1,1,1,5.922,3014,177,72,0.01216,1104,108,9816,"E02002828 E02002845"
"133936",1,1,1,7.908,3888,289,47,0.00594,1474,119,10893,"E02002828 E02002846"
"133937",1,1,1,5.743,2772,168,25,0.00435,1071,81,8408,"E02002828 E02002847"
"133938",1,1,1,5.517,2882,170,55,0.00997,1028,97,9154,"E02002828 E02002848"
"133939",1,1,1,7.69,4102,300,27,0.00351,1434,105,10277,"E02002828 E02002849"
"133940",1,1,1,8.802,4548,313,35,0.00398,1641,126,11216,"E02002828 E02002855"
"133941",1,1,1,7.266,3776,218,64,0.00881,1354,122,11724,"E02002828 E02002856"
"133942",1,1,1,10.504,5300,369,63,0.006,1958,147,13414,"E02002828 E02002857"
"133943",1,1,1,13.009,6810,433,129,0.00992,2425,215,21833,"E02002828 E02005335"
"133944",1,1,1,11.484,5622,413,96,0.00836,2141,184,15963,"E02002828 E02005336"
"133945",1,1,1,14.34,7230,448,99,0.0069,2673,213,18023,"E02002828 E02005338"
"133946",1,1,1,16.15,8198,479,127,0.00786,3011,240,20822,"E02002828 E02005339"
"133947",1,1,1,18.18,7738,477,206,0.01133,3389,257,23553,"E02002828 E02005346"
"133948",1,1,1,18.419,7674,466,197,0.0107,3434,262,22734,"E02002828 E02005347"
"133949",1,1,1,15.633,9620,369,237,0.01516,2914,285,26879,"E02002828 E02005352"
"133950",1,1,1,8.785,4426,291,44,0.00501,1638,115,13274,"E02002828 E02005357"
"133951",1,1,1,6.917,3096,195,55,0.00795,1289,96,11798,"E02002828 E02005359"
"133952",1,1,1,4.39,2110,156,47,0.01071,818,63,8189,"E02002828 E02005361"
"133953",1,1,1,5.722,2644,167,49,0.00856,1067,82,10091,"E02002828 E02005362"
"133954",1,1,1,4.589,2052,154,43,0.00937,855,68,7801,"E02002828 E02005363"
"133955",1,1,1,2.033,836,66,20,0.00984,379,30,2867,"E02002828 E02005365"
"133956",1,1,1,20.776,10008,476,310,0.01492,3873,378,35574,"E02002828 E02005369"
"133958",1,1,1,11.744,5966,389,153,0.01303,2189,204,17542,"E02002828 E02005378"
"133959",1,1,1,18.899,9694,555,239,0.01265,3523,336,31198,"E02002828 E02005381"
"133960",1,1,1,24.66,11080,603,347,0.01407,4597,405,37669,"E02002828 E02005394"
"133961",1,1,1,27.905,14928,654,459,0.01645,5202,524,42906,"E02002828 E02005406"
"133963",1,1,1,11.366,5878,306,177,0.01557,2119,213,18843,"E02002828 E02005412"
"133964",1,1,1,11.385,5806,345,119,0.01045,2122,193,18564,"E02002828 E02005414"
"133965",1,1,1,12.36,6118,375,136,0.011,2304,199,19817,"E02002828 E02005415"
"133966",1,1,1,9.032,4416,248,88,0.00974,1684,137,14116,"E02002828 E02006817"
"133967",1,1,1,9.771,4984,323,82,0.00839,1821,167,14288,"E02002828 E02006819"
"133968",1,1,1,10.42,5198,321,94,0.00902,1942,170,15329,"E02002828 E02006820"
"133969",1,1,1,6.509,3168,232,37,0.00568,1213,91,9821,"E02002828 E02006850"
"133970",1,1,1,5.579,2686,195,20,0.00358,1040,79,8422,"E02002828 E02006851"
"133971",1,1,1,10.903,5460,272,141,0.01293,2032,204,18083,"E02002828 E02006911"
"133974",1,1,1,1.888,916,63,44,0.02331,352,38,2679,"E02002829 E02002830"
