"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"7","E02002844","Leicester 018",3171,76,980,1266,320,35,9,414,36,3,32,211.48199,135.48199,935.065,1211.202,-54.798,106.652,30.652,969.44702,1254.427,-11.573,892.41901,816.41901,680.30499,955.65802,-310.34201,1127.365,1051.365,609.33002,855.54498,-410.45499,-0.03319,61536,-0.01991,36893,-0.0159,29476,-0.00261,4833,-0.12854,238437,-0.11526,213794,-0.10196,189135,-0.08868,164492,-19719,-12022,-9789,-2092,-68315,-60618,-98036,-90339,1.39513
"180","E02005348","Charnwood 004",2708,155,319,1865,166,31,1,127,9,23,12,261.77301,106.773,301.81299,1792.605,-72.395,242.56599,87.566,302.56699,1807.839,-57.161,659.11401,504.11401,230.79601,1529.4449,-335.55499,845.177,690.177,203.416,1396.214,-468.78601,-0.04809,89160,-0.01956,36237,-0.03972,73664,-0.01118,20741,-0.10322,191436,-0.07469,138513,-0.11335,210228,-0.08482,157305,-42685,-17317,-37776,-12408,-92952,-67584,-146219,-120851,1.41363
"231","E02005407","North West Leicestershire 011",4277,83,299,3444,272,15,3,87,13,51,10,195.53101,112.531,284.95401,3360.2639,-83.736,138.778,55.778,290.29501,3404.2759,-39.724,715.97302,632.97302,210.04401,2984.458,-459.54199,997.40399,914.40399,192.43401,2754.019,-689.98102,-0.04234,78469,-0.02762,51179,-0.02233,41422,-0.00762,14132,-0.12205,226369,-0.10734,199079,-0.17176,318598,-0.15705,291308,-34936,-23003,-18803,-6870,-107689,-95756,-223728,-211795,1.79223
"331","E02005338","Blaby 006",4680,182,402,3414,293,33,6,271,11,49,19,349.526,167.526,381.69901,3293.0239,-120.976,311.12201,129.12199,388.20801,3322.1399,-91.86,1013.55,831.54999,279.54099,2830.6521,-583.34802,1376.932,1194.932,254.25999,2552.6731,-861.32703,-0.09615,178301,-0.0452,83787,-0.08912,165313,-0.03817,70799,-0.24026,445684,-0.18931,351170,-0.26136,484833,-0.21041,390319,-79219,-37302,-73097,-31180,-197025,-155108,-314346,-272429,1.2285
"347","E02005344","Blaby 012",3334,45,157,2825,151,23,2,69,14,39,9,121.454,76.454,149.819,2763.2749,-61.725,67.711,22.711,154.83099,2806.407,-18.593,400.87701,355.87701,116.031,2545.469,-279.53101,640.81598,595.81598,104.913,2340.5029,-484.49701,-0.04764,88308,-0.03118,57785,-0.02499,46359,-0.00854,15836,-0.14222,263795,-0.12577,233272,-0.18583,344689,-0.16937,314166,-44644,-29279,-23712,-8347,-129186,-113821,-251151,-235786,1.36244
"350","E02005414","Oadby and Wigston 005",3264,140,460,2053,201,24,1,331,7,40,7,265.85101,125.851,437.978,1976.12,-76.88,245.993,105.993,436.79199,1994.131,-58.869,795.56897,655.56897,325.72101,1669.476,-383.52399,1052.101,912.10101,296.97299,1497.392,-555.60797,-0.07311,135581,-0.03608,66884,-0.05407,100291,-0.01703,31594,-0.18818,349069,-0.15115,280372,-0.19148,355199,-0.15445,286502,-45176,-21358,-36491,-12673,-119818,-96000,-182715,-158897,1.42188
"367","E02005356","Charnwood 012",2884,86,159,2318,114,43,3,136,0,15,10,181.51199,95.512,150.11301,2243.468,-74.532,153.545,67.545,153.834,2262.772,-55.228,527.42603,441.42599,109.473,1983.653,-334.34698,715.03101,629.03101,102.128,1824.371,-493.629,-0.05862,108690,-0.03021,55989,-0.04983,92430,-0.02142,39729,-0.1412,261900,-0.11279,209199,-0.16822,312020,-0.13981,259319,-49180,-25305,-46937,-23062,-120317,-96442,-208103,-184228,1.17121
"422","E02005381","Hinckley and Bosworth 005",3496,53,189,2897,160,17,4,122,3,26,25,127.156,74.156,180.427,2839.55,-57.45,95.384,42.384,187.32401,2861.124,-35.876,397.25601,344.25601,137.005,2642.563,-254.438,666.06702,613.06702,123.079,2416.3679,-480.63199,-0.06171,114412,-0.03316,61448,-0.05329,98839,-0.02473,45875,-0.14742,273444,-0.11887,220480,-0.20516,380555,-0.1766,327591,-51694,-28064,-44451,-20821,-128816,-105186,-264173,-240543,1.41093
"582","E02005353","Charnwood 009",3911,289,667,2389,241,58,3,204,11,38,11,471.34399,182.34399,618.383,2284.1299,-104.87,396.50201,107.502,643.81,2322.175,-66.825,1076.472,787.47198,439.46899,1951.983,-437.017,1272.923,983.92297,412.96399,1813.902,-575.09802,-0.06888,127715,-0.02534,46950,-0.05833,108190,-0.01479,27425,-0.12332,228714,-0.07978,147949,-0.13978,259260,-0.09624,178495,-61603,-22978,-54836,-16211,-115792,-77167,-185135,-146510,1.09032
"682","E02002858","Leicester 032",3318,188,323,2177,171,106,10,306,5,16,16,321.91901,133.91901,304.29999,2088.8501,-88.15,310.53299,122.533,307.37601,2091.073,-85.928,826.354,638.354,232.15401,1760.1479,-416.85199,1077.447,889.44702,207.987,1579.933,-597.06702,-0.07798,144609,-0.03389,62827,-0.0717,132988,-0.02761,51206,-0.22683,420773,-0.18274,338991,-0.22729,421619,-0.1832,339837,-52447,-22558,-54321,-24432,-128917,-99028,-188358,-158469,1.25252
