"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"37","E02005460","North Kesteven 008",2945,4,28,50,2,23,2097,140,237,349,15,328.994995117188,91.995002746582,328.069000244141,-20.9309997558594,2034.76696777344,-62.2330017089844,332.841003417969,95.8410034179688,319.954986572266,-29.0450000762939,2038.27197265625,-58.7280006408691,557.346008300781,320.346008300781,279.037994384766,-69.9619979858398,1879.69396972656,-217.305999755859,742.075012207031,505.075012207031,253.287994384766,-95.7119979858398,1739.70703125,-357.292999267578,-0.0398700013756752,73965,-0.0684799998998642,127029,-0.0286100003868341,53064,-0.0571999996900558,106113,-0.0173300001770258,32148,-0.117559999227524,218096,-0.0776999965310097,144131,-0.146850004792213,272438,-0.106990002095699,198473,-0.0242800004780293,45039,-0.0405800007283688,75265,-0.0163000002503395,30226,-0.0344399996101856,63892,-0.0101600000634789,18853,-0.0734999999403954,136332,-0.0492199994623661,91293,-0.0984899997711182,182710,-0.0742100030183792,137671,-33762,-54528,-20766,-46982,-13220,-92653,-58891,-170158,-136396,0.0132054197235966
"104","E02005426","East Lindsey 003",3897,6,7,33,27,44,2552,219,240,742,27,384.835998535156,144.835998535156,701.862976074219,-40.1370010375977,2459.416015625,-92.5839996337891,368.509002685547,128.509002685547,703.179016113281,-38.8209991455078,2473.1689453125,-78.8310012817383,901.224975585938,661.224975585938,536.125,-205.875,2151.22290039062,-400.777008056641,1114.19396972656,874.193969726562,490.822998046875,-251.177001953125,2003.71496582031,-548.284973144531,-0.107859998941422,200102,-0.163719996809959,303732,-0.0558600015938282,103630,-0.150580003857613,279355,-0.0427200011909008,79253,-0.206300005316734,382738,-0.0984499976038933,182636,-0.228389993309975,423709,-0.120530001819134,223607,-0.0651300027966499,120836,-0.0975399985909462,180939,-0.0324000008404255,60103,-0.0913800001144409,169520,-0.0262400005012751,48684,-0.129250004887581,239774,-0.0641100034117699,118938,-0.151930004358292,281866,-0.0868000015616417,161030,-43539,-66796,-23257,-61768,-18229,-108491,-64952,-176727,-133188,0.0148423005565863
"270","E02005489","South Kesteven 014",3496,2,50,128,4,31,2803,204,87,179,8,218.014999389648,131.014999389648,164.772003173828,-14.2279996871948,2700.71997070312,-102.279998779297,142.701995849609,55.7019996643066,171.285995483398,-7.71400022506714,2760.9619140625,-42.0379981994629,648.450012207031,561.450012207031,111.116996765137,-67.8830032348633,2370.15795898438,-432.842010498047,845.794006347656,758.794006347656,109.078002929688,-69.9219970703125,2200.3291015625,-602.671020507812,-0.0455899983644485,84564,-0.13323999941349,247176,-0.0876599997282028,162612,-0.0744299963116646,138082,-0.0288500003516674,53518,-0.320069998502731,593805,-0.274489998817444,509241,-0.356979995965958,662264,-0.31139001250267,577700,-0.0278200004249811,51602,-0.0825200006365776,153073,-0.0546999983489513,101471,-0.0456500016152859,84680,-0.0178299993276596,33078,-0.204030007123947,378499,-0.176210001111031,326897,-0.231949999928474,430311,-0.204129993915558,378709,-21353,-61078,-39725,-36839,-15486,-169303,-147950,-280727,-259374,NA
"339","E02005494","West Lindsey 003",3569,4,42,43,6,19,2642,178,89,508,38,182.52799987793,93.5279998779297,477.433013916016,-30.5669994354248,2586.61694335938,-55.382999420166,142.598007202148,53.5979995727539,487.130004882812,-20.8700008392334,2613.40893554688,-28.5909996032715,481.126007080078,392.126007080078,365.214996337891,-142.785003662109,2423.1650390625,-218.835006713867,678.640014648438,589.640014648438,323.881011962891,-184.119003295898,2284.56591796875,-357.433990478516,-0.029449999332428,54637,-0.0760900005698204,141153,-0.0466400012373924,86516,-0.0358199998736382,66452,-0.00637000007554889,11815,-0.102909997105598,190907,-0.0734599977731705,136270,-0.10530000180006,195353,-0.0758500024676323,140716,-0.0196299999952316,36421,-0.044879999011755,83252,-0.0252500008791685,46831,-0.0247300006449223,45871,-0.00509000010788441,9450,-0.0694900006055832,128903,-0.0498600006103516,92482,-0.0818900018930435,151911,-0.0622599981725216,115490,-17965,-43625,-25660,-26352,-8387,-98029,-80064,-194693,-176728,NA
"369","E02005433","East Lindsey 010",1778,1,7,139,10,8,1201,109,44,245,14,129.873001098633,85.8730010986328,228.037002563477,-16.9629993438721,1147.18994140625,-53.810001373291,65.0839996337891,21.0839996337891,241.32600402832,-3.67400002479553,1187.34204101562,-13.6579999923706,435.332000732422,391.332000732422,165.408004760742,-79.5920028686523,958.380004882812,-242.619995117188,525.981018066406,481.980987548828,155.74299621582,-89.2570037841797,892.695983886719,-308.303985595703,-0.031020000576973,57550,-0.0825299993157387,153111,-0.0515099987387657,95561,-0.048020001500845,89090,-0.017000000923872,31540,-0.188510000705719,349742,-0.157490000128746,292192,-0.15387000143528,285476,-0.122850000858307,227926,-0.0197500009089708,36644,-0.0553600005805492,102702,-0.0356100015342236,66058,-0.0304499994963408,56482,-0.0106899999082088,19838,-0.130700007081032,242477,-0.110940001904964,205833,-0.114579997956753,212579,-0.0948299989104271,175935,-10775,-29330,-18555,-16642,-5867,-89266,-78491,-123027,-112252,0.000741056167952673
"412","E02005497","West Lindsey 006",2633,1,20,48,16,18,1618,234,102,564,12,184.774002075195,82.7740020751953,537.591979980469,-26.4080009460449,1571.32604980469,-46.673999786377,170.591003417969,68.5910034179688,540.322998046875,-23.6770000457764,1580.708984375,-37.2910003662109,540.007995605469,438.007995605469,415.467010498047,-148.533004760742,1378.53295898438,-239.466995239258,725.304016113281,623.304016113281,369.322998046875,-194.677001953125,1264.28002929688,-353.720001220703,-0.0417400002479553,77434,-0.0707499980926514,131242,-0.0290200002491474,53808,-0.0520900003612041,96644,-0.0103599997237325,19210,-0.093690000474453,173795,-0.0519500002264977,96361,-0.0963200032711029,178670,-0.0545799992978573,101236,-0.024269999936223,45018,-0.0409500002861023,75945,-0.0166800003498793,30927,-0.0305499993264675,56679,-0.0062899999320507,11661,-0.060139998793602,111558,-0.0358799993991852,66540,-0.0706399977207184,131033,-0.0463699996471405,86015,-19408,-32988,-13580,-27093,-7685,-61553,-42145,-108182,-88774,0.00730083166175664
"538","E02005480","South Kesteven 005",3003,2,23,110,38,25,1751,292,120,627,15,208.14599609375,88.1460037231445,602.534973144531,-24.4650001525879,1702.27795410156,-48.7220001220703,205.919998168945,85.9199981689453,600.786010742188,-26.2129993438721,1705.67602539062,-45.3240013122559,617.72998046875,497.730010986328,479.066986083984,-147.932998657227,1484.33996582031,-266.660003662109,862.119995117188,742.119995117188,419.928985595703,-207.070999145508,1343.95397949219,-407.045989990234,-0.0273400004953146,50715,-0.0488899983465672,90690,-0.0215499997138977,39975,-0.0397399999201298,73728,-0.0124099999666214,23013,-0.101879999041557,188996,-0.0745399966835976,138281,-0.102380000054836,189927,-0.0750399976968765,139212,-0.0178100001066923,33041,-0.0311600007116795,57792,-0.0133499996736646,24751,-0.0263400003314018,48859,-0.00853000022470951,15818,-0.067330002784729,124902,-0.0495200008153915,91861,-0.0719500035047531,133475,-0.0541400015354156,100434,-14007,-24729,-10722,-21875,-7868,-61099,-47092,-103787,-89780,0.0203240437562163
"540","E02005467","South Holland 003",2818,3,14,85,5,17,2136,223,111,217,7,242.751998901367,131.751998901367,197.089004516602,-19.9109992980957,2041.26403808594,-94.7360000610352,133.645004272461,22.6450004577637,211.141998291016,-5.85799980163574,2121.6279296875,-14.3719997406006,647.049987792969,536.049987792969,135.440002441406,-81.5599975585938,1751.41101074219,-384.588989257812,800.182983398438,689.182983398438,130.707000732422,-86.2929992675781,1626.83801269531,-509.161987304688,-0.0468199998140335,86851,-0.125670000910759,233128,-0.0788500010967255,146277,-0.0545499995350838,101197,-0.00773000018671155,14346,-0.30774000287056,570926,-0.260919988155365,484075,-0.297569990158081,552059,-0.250750005245209,465208,-0.0305599998682737,56696,-0.0801099985837936,148598,-0.0495399981737137,91902,-0.0354800000786781,65825,-0.0049200002104044,9129,-0.200249999761581,371513,-0.169689998030663,314817,-0.199609994888306,370318,-0.169049993157387,313622,-21990,-57139,-35149,-26291,-4301,-152617,-130627,-225907,-203917,0.000412005345445182
"569","E02005450","Lincoln 009",4133,4,29,214,15,53,3030,262,292,219,15,499.757995605469,207.757995605469,203.552001953125,-15.4479999542236,2872.14306640625,-157.856994628906,440.994995117188,148.994995117188,205.962005615234,-13.0380001068115,2921.01904296875,-108.981002807617,1167.76696777344,875.767028808594,152.102996826172,-66.8970031738281,2364.5830078125,-665.4169921875,1433.09399414062,1141.09399414062,141.388000488281,-77.6119995117188,2151.65893554688,-878.341003417969,-0.125609993934631,233043,-0.226740002632141,420646,-0.101130001246929,187603,-0.194429993629456,360713,-0.0688199996948242,127670,-0.571139991283417,1059628,-0.445529997348785,826585,-0.531149983406067,985416,-0.405530005693436,752373,-0.0809699967503548,150221,-0.145449995994568,269837,-0.0644799992442131,119616,-0.125479996204376,232792,-0.0445099994540215,82571,-0.369109988212585,684792,-0.288139998912811,534571,-0.34595999121666,641840,-0.264990001916885,491619,-54130,-97451,-43321,-81691,-27561,-230404,-176274,-308049,-253919,0.00763591040569399
"580","E02005441","East Lindsey 018",3215,2,7,51,5,28,2753,180,51,119,19,130.873001098633,79.8730010986328,112.143997192383,-6.85599994659424,2687.57788085938,-65.4219970703125,81.0790023803711,30.0790004730225,117.967002868652,-1.03299999237061,2727.09497070312,-25.9050006866455,343.485992431641,292.485992431641,89.2870025634766,-29.7129993438721,2517.93188476562,-235.067993164062,513.867980957031,462.868011474609,85.1149978637695,-33.8849983215332,2368.09594726562,-384.903991699219,-0.0715700015425682,132786,-0.177719995379448,329708,-0.106140002608299,196922,-0.131129994988441,243270,-0.0595499984920025,110484,-0.306679993867874,568971,-0.235100001096725,436185,-0.371549993753433,689326,-0.299970000982285,556540,-0.0378799997270107,70275,-0.100850000977516,187087,-0.0629699975252151,116812,-0.0706899985671043,131142,-0.0328099988400936,60867,-0.189239993691444,351089,-0.151360005140305,280814,-0.235100001096725,436180,-0.197219997644424,365905,-25100,-62351,-37251,-45530,-20430,-138907,-113807,-251407,-226307,NA
