"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",24,63.65,47.17,205.99001,297.41,87,170.99,155.72,554.59998,627.70001,1
"2",45,99.8,80.67,281.91,423.22,NA,NA,NA,NA,NA,0
"3",21,36.15,33.5,75.92,125.81,87,170.99,155.72,554.59998,627.70001,1
"4",106,169.09999,177.64,431.19999,611.67999,87,170.99,155.72,554.59998,627.70001,1
"5",14,21.17,25.64,23.83,56.4,NA,NA,NA,NA,NA,0
"6",92,147.92999,152,407.36999,555.27999,87,170.99,155.72,554.59998,627.70001,1
"7",113,184.07999,185.5,483.28999,681.08999,NA,NA,NA,NA,NA,0
"8",7,11.5,18.83,17.41,38.35,NA,NA,NA,NA,NA,0
"9",106,172.57999,166.67,465.87999,642.73999,44,79.1,75.38,235.91,279.20001,1
"10",7,15.65,10.44,33.52,67.16,44,79.1,75.38,235.91,279.20001,1
"11",1,4.08,2.14,12.51,24.66,NA,NA,NA,NA,NA,0
"12",6,11.57,8.3,21.01,42.5,44,79.1,75.38,235.91,279.20001,1
"13",20,32.74,33.94,44.84,98.9,NA,NA,NA,NA,NA,0
"14",8,15.58,20.97,29.92,63.01,9,37.32,9,158.24,184.02,1
"15",50,109.14,91.52,297.29,457.39,8,35.75,9.79,163.77,187.14999,1
"16",26,55.38,46.19,111.2,222.59,13,33.57,18.38,114.87,133.41,1
"17",5,9.34,10.85,15.38,34.17,NA,NA,NA,NA,NA,0
"18",13,24.92,31.82,45.3,97.18,9,37.32,9,158.24,184.02,1
"19",58,117.99,94.23,334.63,597.5,17,37.35,25.57,142.98,186.26,1
"20",20,33.47,35.59,46.23,104.53,13,33.57,18.38,114.87,133.41,1
"21",6,21.91,10.6,64.97,118.06,13,33.57,18.38,114.87,133.41,1
"22",3,4.36,5.85,3.71,10.11,NA,NA,NA,NA,NA,0
"23",23,37.1,39.79,48.55,109.01,13,33.57,18.38,114.87,133.41,1
"24",3,7.38,4.61,19.54,37.6,NA,NA,NA,NA,NA,0
"25",3,7.74,4.61,20.25,40.33,17,37.35,25.57,142.98,186.26,1
"26",0,0.36,0,0.71,2.73,NA,NA,NA,NA,NA,0
"27",10,20.56,25.97,41.59,87.07,9,37.32,9,158.24,184.02,1
"28",33,64.08,55.09,167.94,291.29,17,37.35,25.57,142.98,186.26,1
"29",25,53.91,39.14,166.69,306.20999,17,37.35,25.57,142.98,186.26,1
"30",29,54.46,48.58,145.16,241.24001,NA,NA,NA,NA,NA,0
"31",30,56.34,50.48,147.69,250.96001,17,37.35,25.57,142.98,186.26,1
"32",1,1.88,1.9,2.53,9.72,NA,NA,NA,NA,NA,0
"33",3,7.74,4.61,20.25,40.33,17,37.35,25.57,142.98,186.26,1
"34",28,61.65,43.75,186.94,346.53999,17,37.35,25.57,142.98,186.26,1
"35",25,53.91,39.14,166.69,306.20999,NA,NA,NA,NA,NA,0
"36",0,1.29,0,3.86,10.05,13,33.57,18.38,114.87,133.41,1
"37",20,32.18,35.59,42.37,94.48,13,33.57,18.38,114.87,133.41,1
"38",0,1.29,0,3.86,10.05,NA,NA,NA,NA,NA,0
"39",3,4.92,4.2,6.18,14.53,13,33.57,18.38,114.87,133.41,1
"40",3,4.92,4.2,6.18,14.53,13,33.57,18.38,114.87,133.41,1
"41",11,19.28,18.03,45.66,77.53,48,78.34,96.97,248.5,325.22,1
"42",18,35.18,30.55,99.5,163.71001,48,78.34,96.97,248.5,325.22,1
"43",52,94.46,93.82,300.32,444.31,13,24.18,27.45,89.99,111.48,1
"44",56,101.4,101.56,311.63,480.23,NA,NA,NA,NA,NA,0
"45",4,6.94,7.74,11.31,35.92,13,24.18,27.45,89.99,111.48,1
"46",45,82.12,83.53,265.97,402.7,48,78.34,96.97,248.5,325.22,1
"47",9,26.83,14.8,71.15,132.59,13,33.57,18.38,114.87,133.41,1
"48",5,17.3,7.37,53.67,88.37,NA,NA,NA,NA,NA,0
"49",4,9.53,7.43,17.48,44.22,NA,NA,NA,NA,NA,0
"50",7,11.52,13.55,18.16,55.53,NA,NA,NA,NA,NA,0
"51",3,4.58,5.81,6.85,19.61,13,24.18,27.45,89.99,111.48,1
"52",8,13.4,15.45,20.69,65.25,NA,NA,NA,NA,NA,0
"53",90,160.25,155.22,436.98,667.58002,48,78.34,96.97,248.5,325.22,1
"54",72,125.07,124.67,337.48,503.87001,48,78.34,96.97,248.5,325.22,1
"55",117,207.19,208.2,603.45,906.57001,48,78.34,96.97,248.5,325.22,1
"56",271,469.59999,504.62,1333.56002,2000.69005,48,78.34,96.97,248.5,325.22,1
"57",181,309.35,349.4,896.58002,1333.11003,48,78.34,96.97,248.5,325.22,1
"58",208,352.29999,390.54,968.09001,1434.28005,48,78.34,96.97,248.5,325.22,1
"59",94,163.07,153.29,455.79999,613.77001,13,24.18,27.45,89.99,111.48,1
"60",55,93.44,87.33,266.92999,326.35001,NA,NA,NA,NA,NA,0
"61",58,98.02,93.14,273.77999,345.96001,13,24.18,27.45,89.99,111.48,1
"62",36,65.05,60.15,182.02,267.81,NA,NA,NA,NA,NA,0
"63",4,7.46,6.78,11.54,28.19,44,78.94,57.41,192.13001,205.17,1
"64",9,24.76,14.15,65.21,116.56,44,78.94,57.41,192.13001,205.17,1
"65",9,22.58,14.15,59.63,100.43,44,78.94,57.41,192.13001,205.17,1
"66",0,2.18,0,5.58,16.13,44,78.94,57.41,192.13001,205.17,1
