"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"227940",1,1,1,13.763,5558,386,7,0.00051,2566,176,22940,"E02005417 E02005418"
"227941",1,1,1,12.23,4648,319,5,0.00041,2280,156,19916,"E02005417 E02005419"
"227942",1,1,1,11.178,4076,271,2,0.00018,2084,142,17906,"E02005417 E02005420"
"227943",1,1,1,24.94,10770,704,12,0.00048,4649,320,40961,"E02005417 E02005422"
"227944",1,1,1,18.309,6918,487,11,6e-04,3413,235,31593,"E02005417 E02005423"
"227947",1,1,1,20.606,7932,248,32,0.00155,3841,286,30507,"E02005417 E02005436"
"227951",1,1,1,19.653,7138,500,7,0.00036,3664,250,28533,"E02005417 E02005440"
"227952",1,1,1,15.36,7900,188,2,0.00013,2863,195,25568,"E02005417 E02005441"
"227957",1,1,1,11.144,4064,262,2,0.00018,2077,142,17912,"E02005417 E02006864"
"227958",1,1,1,14.075,5600,410,5,0.00036,2624,178,22881,"E02005417 E02006865"
"227960",1,1,1,1.567,1146,89,0,0,292,20,3059,"E02005418 E02005419"
"227961",1,1,1,3.202,1720,173,1,0.00031,597,41,5204,"E02005418 E02005420"
"227962",1,1,1,12.955,6708,423,3,0.00023,2415,167,24147,"E02005418 E02005422"
"227963",1,1,1,7.642,3520,266,6,0.00079,1425,99,14852,"E02005418 E02005423"
"227964",1,1,1,23.186,8772,517,24,0.00104,4322,299,39345,"E02005418 E02005439"
"227965",1,1,1,16.444,8262,367,3,0.00018,3065,210,27998,"E02005418 E02005441"
"227967",1,1,1,25.258,13192,469,30,0.00119,4708,333,58643,"E02005418 E02005464"
"227968",1,1,1,19.371,8620,609,7,0.00036,3611,249,34382,"E02005418 E02005465"
"227976",1,1,1,2.884,1722,169,1,0.00035,538,37,5855,"E02005418 E02006864"
"227977",1,1,1,1.691,780,93,0,0,315,21,2300,"E02005418 E02006865"
"227980",1,1,1,1.665,724,92,1,6e-04,310,22,2680,"E02005419 E02005420"
"227981",1,1,1,13.248,6722,429,9,0.00068,2470,172,22284,"E02005419 E02005422"
"227982",1,1,1,6.617,2870,212,8,0.00121,1233,87,12916,"E02005419 E02005423"
"227985",1,1,1,23.138,8982,530,24,0.00104,4313,299,38784,"E02005419 E02005439"
"227986",1,1,1,15.18,7882,325,3,2e-04,2830,194,26177,"E02005419 E02005441"
