"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"13","E02001459","Sefton 031",3033,3,165,382,63,22,1770,251,107,250,20,242.645004272461,135.645004272461,235.947998046875,-14.0520000457764,1692.17004394531,-77.8300018310547,180.264007568359,73.2639999389648,243.162994384766,-6.83699989318848,1727.90502929688,-42.0950012207031,780.796020507812,673.796020507812,169.333999633789,-80.6660003662109,1389.46704101562,-380.532989501953,989.218994140625,882.218994140625,157.251998901367,-92.7480010986328,1262.90600585938,-507.093994140625,-0.0919300019741058,170545,-0.203519999980927,377492,-0.111589998006821,206947,-0.146640002727509,272046,-0.0547100007534027,101501,-0.485830008983612,901284,-0.393900007009506,730739,-0.481750011444092,893707,-0.389820009469986,723162,-0.0598799996078014,111078,-0.130319997668266,241678,-0.0704400017857552,130600,-0.0966499969363213,179276,-0.0367700010538101,68198,-0.3158900141716,585963,-0.256000012159348,474885,-0.319819986820221,593255,-0.259930014610291,482177,-17851,-39689,-21838,-30251,-12400,-112591,-94740,-167252,-149401,0.0100961872936803
"19","E02002576","Halton 003",3278,2,52,206,16,25,2245,239,85,387,21,209.475006103516,124.474998474121,366.423004150391,-20.5769996643066,2163.65795898438,-81.3420028686523,161.667999267578,76.6679992675781,371.654998779297,-15.3450002670288,2197.041015625,-47.9589996337891,752.216003417969,667.216003417969,261.893005371094,-125.107002258301,1820.87902832031,-424.121002197266,997.794982910156,912.794982910156,236.313003540039,-150.686996459961,1645.57104492188,-599.429016113281,-0.0514100007712841,95378,-0.129779994487762,240693,-0.0783699974417686,145315,-0.0727799981832504,134997,-0.0213600005954504,39619,-0.36897999048233,684490,-0.317570000886917,589112,-0.377420008182526,700142,-0.32600998878479,604764,-0.0339599996805191,62996,-0.0839599967002869,155693,-0.0500000007450581,92697,-0.0481600016355515,89331,-0.0142000000923872,26335,-0.242029994726181,448947,-0.208069995045662,385951,-0.254860013723373,472754,-0.220899999141693,409758,-15551,-39799,-24248,-27316,-11765,-124338,-108787,-200264,-184713,0.0117206151155694
"22","E02001338","Knowsley 012",2358,6,143,396,43,4,1241,209,38,260,18,143.878005981445,105.877998352051,243.376998901367,-16.6229991912842,1188.75903320312,-52.2410011291504,91.1210021972656,53.1209983825684,252.20100402832,-7.79899978637695,1217.29895019531,-23.701000213623,589.065002441406,551.065002441406,164.378005981445,-95.6220016479492,973.281982421875,-267.717010498047,757.734985351562,719.734985351562,152.682006835938,-107.318000793457,883.299011230469,-357.700988769531,-0.0364900007843971,67692,-0.120219998061657,222945,-0.0837199985980988,155253,-0.0601599998772144,111595,-0.0236699990928173,43903,-0.366219997406006,679363,-0.329730004072189,611671,-0.342759996652603,635843,-0.306259989738464,568151,-0.0235699992626905,43717,-0.0787699967622757,146037,-0.0551999993622303,102320,-0.0388300009071827,72018,-0.015259999781847,28301,-0.244130000472069,452847,-0.220559999346733,409130,-0.236780002713203,439203,-0.213210001587868,395486,-5765,-21830,-16065,-10974,-5209,-81511,-75746,-123900,-118135,0.00707135442547448
"35","E02001369","Liverpool 023",2785,9,129,658,47,7,1037,159,45,676,18,141.746994018555,96.7470016479492,648.903015136719,-27.0970001220703,1003.52001953125,-33.4799995422363,82.963996887207,37.9640007019043,662.419006347656,-13.581000328064,1024.93505859375,-12.0649995803833,642.067993164062,597.067993164062,491.781005859375,-184.218994140625,843.765991210938,-193.233993530273,895.169006347656,850.169006347656,424.907989501953,-251.091995239258,753.679992675781,-283.320007324219,-0.0200200006365776,37129,-0.0576299987733364,106827,-0.0376100018620491,69698,-0.0247499998658895,45908,-0.00473999977111816,8779,-0.218549996614456,405389,-0.198530003428459,368260,-0.18197999894619,337566,-0.161970004439354,300437,-0.013430000282824,24902,-0.0378700010478497,70159,-0.024439999833703,45257,-0.0170200001448393,31560,-0.00359000009484589,6658,-0.148509994149208,275438,-0.135079994797707,250536,-0.132109999656677,245013,-0.118680000305176,220111,-5257,-14601,-9344,-7661,-2404,-51408,-46151,-83021,-77764,0.0151811906661388
"66","E02001453","Sefton 025",3939,20,305,214,43,18,2603,254,112,346,24,279.023986816406,167.024002075195,322.518005371094,-23.4820003509521,2496.74389648438,-106.255996704102,213.139007568359,101.138999938965,328.055999755859,-17.9440002441406,2539.19799804688,-63.8019981384277,923.440979003906,811.440979003906,219.945999145508,-126.054000854492,2095.13598632812,-507.864013671875,1161.75,1049.75,210.79899597168,-135.20100402832,1931.33898925781,-671.661010742188,-0.0904000028967857,167696,-0.237139999866486,439872,-0.14674000442028,272176,-0.141340002417564,262193,-0.0509399995207787,94497,-0.592149972915649,1098513,-0.501749992370605,930817,-0.596040010452271,1105747,-0.505649983882904,938051,-0.0543899983167648,100900,-0.146549999713898,271804,-0.0921600013971329,170904,-0.0863400027155876,160158,-0.0319500006735325,59258,-0.380789995193481,706370,-0.326389998197556,605470,-0.393220007419586,729435,-0.33882001042366,628535,-21421,-54141,-32720,-35609,-14188,-159134,-137713,-244903,-223482,0.00637658803360062
"77","E02001446","Sefton 018",3020,18,299,85,19,10,2143,188,55,180,23,156.585998535156,101.585998535156,169.199005126953,-10.8009996414185,2072.11401367188,-70.8860015869141,121.684997558594,66.6849975585938,171.285003662109,-8.71500015258789,2096.97509765625,-46.0250015258789,555.986999511719,500.986999511719,116.733001708984,-63.2669982910156,1797.03601074219,-345.963989257812,754.960998535156,699.960998535156,110.642997741699,-69.3570022583008,1652.03100585938,-490.968994140625,-0.0740099996328354,137302,-0.190149992704391,352693,-0.116140000522137,215391,-0.141479998826981,262462,-0.0674699991941452,125160,-0.452619999647141,839650,-0.378609985113144,702348,-0.49838000535965,924557,-0.424369990825653,787255,-0.0444499999284744,82447,-0.117159999907017,217277,-0.0727199986577034,134830,-0.0866400003433228,160705,-0.0421900004148483,78258,-0.290080010890961,538079,-0.245629996061325,455632,-0.326950013637543,606495,-0.282510012388229,524048,-16538,-42966,-26428,-35054,-18516,-125251,-108713,-206490,-189952,0.00720350545967592
"83","E02001462","Sefton 034",2725,15,227,515,67,9,1194,208,93,376,21,226.190994262695,133.190994262695,353.028991699219,-22.9710006713867,1138.3330078125,-55.6669998168945,176.45100402832,83.4509963989258,363.256011962891,-12.7440004348755,1159.52600097656,-34.4739990234375,789.890014648438,696.890014648438,244.074996948242,-131.925003051758,908.89697265625,-285.102996826172,965.546020507812,872.546020507812,226.492004394531,-149.507995605469,826.414001464844,-367.585998535156,-0.0898400023579597,166659,-0.177530005574226,329290,-0.0877000018954277,162631,-0.158260002732277,293597,-0.0684299990534782,126938,-0.415470004081726,770752,-0.325630009174347,604093,-0.370209991931915,686764,-0.280369997024536,520105,-0.0525600016117096,97490,-0.108829997479916,201821,-0.0562799982726574,104331,-0.0908999964594841,168623,-0.0383500009775162,71133,-0.267679989337921,496544,-0.215130001306534,399054,-0.245250001549721,454922,-0.192689999938011,357432,-16278,-30740,-14462,-28514,-12236,-82444,-66166,-113823,-97545,0.0091454170053824
"106","E02001337","Knowsley 011",2446,4,100,331,50,7,1476,206,37,217,18,131.766006469727,94.765998840332,204.89599609375,-12.1040000915527,1421.34204101562,-54.6580009460449,84.2330017089844,47.2330017089844,208.755004882812,-8.24499988555908,1451.23901367188,-24.7609996795654,542.494018554688,505.493988037109,146.059005737305,-70.9410018920898,1189.21398925781,-286.786010742188,726.921997070312,689.921997070312,133.766006469727,-83.234001159668,1075.63403320312,-400.365997314453,-0.034120000898838,63299,-0.114179998636246,211740,-0.0800599977374077,148441,-0.0521700009703636,96778,-0.0180500000715256,33479,-0.348219990730286,645952,-0.314099997282028,582653,-0.350140005350113,649518,-0.316009998321533,586219,-0.0228199996054173,42330,-0.0753299966454506,139670,-0.0525100007653236,97340,-0.0347299985587597,64423,-0.011909999884665,22093,-0.231700003147125,429778,-0.208880007266998,387448,-0.240119993686676,445395,-0.217299997806549,403065,-7547,-24746,-17199,-13695,-6148,-88458,-80911,-140444,-132897,0.009456374794956
"110","E02001405","Liverpool 059",3160,5,87,793,59,11,1381,220,86,505,13,247.162994384766,161.162994384766,467.957000732422,-37.0429992675781,1314.88000488281,-66.120002746582,169.057006835938,83.056999206543,484.669006347656,-20.3309993743896,1349.80603027344,-31.1940002441406,870.466003417969,784.466003417969,313.696014404297,-191.304000854492,1064.71704101562,-316.282989501953,1062.02404785156,976.023986816406,293.4169921875,-211.582992553711,975.705017089844,-405.295013427734,-0.0348999984562397,64744,-0.111440002918243,206684,-0.0765400007367134,141940,-0.0620899982750416,115182,-0.0271899998188019,50438,-0.40692999958992,754904,-0.372029989957809,690160,-0.366230010986328,679407,-0.331330001354218,614663,-0.0224200002849102,41580,-0.0732199996709824,135759,-0.0507999993860722,94179,-0.0383000001311302,71038,-0.01587999984622,29458,-0.274930000305176,510006,-0.252510011196136,468426,-0.262589991092682,487098,-0.240170001983643,445518,-9118,-27633,-18515,-18323,-9205,-90604,-81486,-134931,-125813,0.0062023038855244
"133","E02001451","Sefton 023",2323,8,96,397,53,10,1217,196,60,266,20,169.990005493164,109.98999786377,249.748992919922,-16.2509994506836,1162.74499511719,-54.2550010681152,137.076995849609,77.0770034790039,252.259002685547,-13.7410001754761,1180.61694335938,-36.382999420166,623.414001464844,563.414001464844,175.438995361328,-90.5609970092773,943.02099609375,-273.97900390625,766.846008300781,706.846008300781,166.563995361328,-99.4359970092773,863.482971191406,-353.516998291016,-0.0386499986052513,71687,-0.12262000143528,227419,-0.0839700028300285,155732,-0.0813800022006035,150965,-0.0427399985492229,79278,-0.352209985256195,653387,-0.313569992780685,581700,-0.324119985103607,601264,-0.285470008850098,529577,-0.0248799994587898,46144,-0.0790600031614304,146586,-0.0541799999773502,100442,-0.0527199991047382,97792,-0.0278399996459484,51648,-0.231549993157387,429514,-0.206670001149178,383370,-0.221870005130768,411558,-0.196989998221397,365414,-7453,-22954,-15501,-16689,-9236,-77802,-70349,-114890,-107437,0.00682500017306028
"137","E02001413","St. Helens 008",4310,1,69,371,33,35,3047,386,65,289,14,222.059997558594,157.059997558594,275.608001708984,-13.3920001983643,2940.99291992188,-106.00700378418,123.610000610352,58.6100006103516,284.070007324219,-4.92999982833862,3007.03588867188,-39.9640007019043,953.963989257812,888.963989257812,201.110992431641,-87.8889999389648,2463.01098632812,-583.989013671875,1304.24096679688,1239.24096679688,180.682006835938,-108.318000793457,2210.48095703125,-836.518981933594,-0.0510899983346462,94780,-0.162180006504059,300773,-0.111079998314381,205993,-0.0825700014829636,153168,-0.031479999423027,58388,-0.524230003356934,972510,-0.473140001296997,877730,-0.54966002702713,1019674,-0.498569995164871,924894,-0.0326300002634525,60531,-0.102310001850128,189698,-0.0696799978613853,129167,-0.0529699996113777,98257,-0.0203399993479252,37726,-0.337249994277954,625594,-0.304619997739792,565063,-0.360179990530014,668141,-0.327549993991852,607610,-15123,-46758,-31635,-26188,-11065,-166686,-151563,-270254,-255131,0.0131340137023205
