"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",29,71.27,52.47,228.53,268.99001,NA,NA,NA,NA,NA,0
"2",17,65.9,39.42,249.85,401.9,12,27.27,17.67,121.24,150.47,1
"3",0,0,0,0,0,12,27.27,17.67,121.24,150.47,1
"4",12,27.48,21.92,88.64,121.96,15,45.09,31.86,204.49,215.75,1
"5",41,98.75,74.39,317.17,390.95001,15,45.09,31.86,204.49,215.75,1
"6",13,28.98,28.54,105.75,202.17,12,27.27,17.67,121.24,150.47,1
"7",0,0,0,0,0,NA,NA,NA,NA,NA,0
"8",0,0,0,0,0,NA,NA,NA,NA,NA,0
"9",0,0,0,0,0,15,45.09,31.86,204.49,215.75,1
"10",0,0,0,0,0,15,45.09,31.86,204.49,215.75,1
"11",0,0,0,0,0,15,45.09,31.86,204.49,215.75,1
"12",0,0,0,0,0,15,45.09,31.86,204.49,215.75,1
"13",0,0,0,0,0,15,45.09,31.86,204.49,215.75,1
"14",0,0,0,0,0,NA,NA,NA,NA,NA,0
"15",0,0,0,0,0,15,45.09,31.86,204.49,215.75,1
"16",0,0,0,0,0,15,45.09,31.86,204.49,215.75,1
"17",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"18",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"19",0,0,0,0,0,12,27.27,17.67,121.24,150.47,1
"20",0,0,0,0,0,12,27.27,17.67,121.24,150.47,1
"21",0,0,0,0,0,12,27.27,17.67,121.24,150.47,1
"22",0,0,0,0,0,12,27.27,17.67,121.24,150.47,1
"23",0,0,0,0,0,12,27.27,17.67,121.24,150.47,1
"24",0,0,0,0,0,NA,NA,NA,NA,NA,0
"25",0,0,0,0,0,NA,NA,NA,NA,NA,0
"26",0,0,0,0,0,NA,NA,NA,NA,NA,0
"27",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"28",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"29",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"30",0,0,0,0,0,NA,NA,NA,NA,NA,0
"31",0,0,0,0,0,NA,NA,NA,NA,NA,0
"32",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"33",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"34",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"35",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"36",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"37",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"38",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"39",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"40",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"41",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"42",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"43",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"44",0,0,0,0,0,NA,NA,NA,NA,NA,0
"45",0,0,0,0,0,NA,NA,NA,NA,NA,0
"46",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"47",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"48",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"49",0,0,0,0,0,3,7.05,4.63,33.85,44.79,1
"50",0,0,0,0,0,2,8.43,4.32,42.79,44.02,1
"51",0,0,0,0,0,2,8.43,4.32,42.79,44.02,1
