"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",90,147.78,128.15,305.18,347.26,NA,NA,NA,NA,NA,0
"2",33,47.71,38.21,82.27,86.22,NA,NA,NA,NA,NA,0
"3",57,100.07,89.94,222.91,261.03999,NA,NA,NA,NA,NA,0
"4",7,9.05,8.75,11.4,11.59,1,3.47,2.14,18.71,17.82,1
"5",40,56.76,46.96,93.67,97.81,1,3.47,2.14,18.71,17.82,1
"6",26,35.38,30.21,53.51,55.49,1,3.47,2.14,18.71,17.82,1
"7",14,21.38,16.75,40.16,42.32,1,3.47,2.14,18.71,17.82,1
"8",18,29.46,20.75,64.63,66.92,NA,NA,NA,NA,NA,0
"9",4,8.08,4,24.47,24.6,1,3.47,2.14,18.71,17.82,1
"10",146,240.88,182.51,520.32,594.16,1,3.47,2.14,18.71,17.82,1
"11",55,92.75,76.01,204.53,226.77,1,3.47,2.14,18.71,17.82,1
"12",61,104.67,72.29,237.81,287.3,1,3.47,2.14,18.71,17.82,1
"13",75,122.68,101.74,259.12,302.58,NA,NA,NA,NA,NA,0
"14",44,79.86,61.99,198.83,220.53,NA,NA,NA,NA,NA,0
"15",247,447.26,362.33,1088.59999,1258.71,13,36.4,28.91,178.01,180.28,1
"16",157,299.48,234.18,783.42,911.45001,13,36.4,28.91,178.01,180.28,1
"17",138,228.14,176.74,494.16,553.48,7,11.82,10.24,35.49,34.07,1
"18",120,198.68,155.99,429.53,486.56,7,11.82,10.24,35.49,34.07,1
"19",81,133.84,120.94,271.8,331.5,1,5.53,1,33.16,32.2,1
"20",59,100.16,70.11,221.82,271.82,1,3.47,2.14,18.71,17.82,1
"21",2,4.51,2.18,15.99,15.48,NA,NA,NA,NA,NA,0
"22",81,140.37,123.7,320.07,351.73999,NA,NA,NA,NA,NA,0
"23",26,47.62,47.69,115.54,124.97,1,3.47,2.14,18.71,17.82,1
"24",42,75.35,59.81,182.84,205.05,NA,NA,NA,NA,NA,0
"25",24,33.77,31,48.89,70.46,1,5.53,1,33.16,32.2,1
"26",57,100.07,89.94,222.91,261.03999,NA,NA,NA,NA,NA,0
"27",37,63.38,45.88,151.05,154.66,NA,NA,NA,NA,NA,0
"28",83,135.3,110.11,278.48,331.9,7,11.82,10.24,35.49,34.07,1
"29",24,44.19,33.72,109.52,128.21,NA,NA,NA,NA,NA,0
"30",75,131.23,116.03,296.23,337.88,1,3.47,2.14,18.71,17.82,1
"31",3,5.17,3.45,12.97,13.09,7,11.82,10.24,35.49,34.07,1
"32",78,135.2,120.25,307.1,338.64999,7,11.82,10.24,35.49,34.07,1
"33",19,29.61,24.57,58.8,60.44,7,11.82,10.24,35.49,34.07,1
"34",64,105.69,85.54,219.68,271.46,7,11.82,10.24,35.49,34.07,1
"35",59,100.16,70.11,221.82,271.82,NA,NA,NA,NA,NA,0
"36",75,131.23,116.03,296.23,337.88,1,3.47,2.14,18.71,17.82,1
"37",97,164.81,144.82,365.9,399.08999,7,11.82,10.24,35.49,34.07,1
"38",49,83.61,68.34,180.69,212.91,NA,NA,NA,NA,NA,0
"39",19,29.61,24.57,58.8,60.44,7,11.82,10.24,35.49,34.07,1
"40",78,135.2,120.25,307.1,338.64999,NA,NA,NA,NA,NA,0
"41",122,217.35,185.71,517.58,632.95001,13,36.4,28.91,178.01,180.28,1
"42",35,82.13,48.47,265.84,278.5,NA,NA,NA,NA,NA,0
"43",22,34.78,28.02,71.77,73.53,7,11.82,10.24,35.49,34.07,1
"44",3,5.17,3.45,12.97,13.09,NA,NA,NA,NA,NA,0
"45",19,29.61,24.57,58.8,60.44,NA,NA,NA,NA,NA,0
"46",61,101.09,77.45,215.3,266.14,1,4.57,1,27.32,26.15,1
"47",37,56.9,43.73,105.78,137.93,1,4.57,1,27.32,26.15,1
"48",30,66.88,37.53,202.26,212.27,1,5.53,1,33.16,32.2,1
"49",5,15.25,10.94,63.58,66.23,1,5.53,1,33.16,32.2,1
"50",21,55.53,34.62,188.41,206,1,5.53,1,33.16,32.2,1
"51",51,122.41,72.15,390.67,418.27,1,5.53,1,33.16,32.2,1
"52",22,43.26,26.38,116.04,133.89,1,4.57,1,27.32,26.15,1
"53",6,9.7,10.22,22.04,22.17,NA,NA,NA,NA,NA,0
"54",58,95.99,75.32,197.64,249.29,NA,NA,NA,NA,NA,0
"55",75,156.18,103.15,439.56,488.73,NA,NA,NA,NA,NA,0
"56",30,43.32,38.4,68.42,91.98,NA,NA,NA,NA,NA,0
"57",57,131.96,79.55,410.2,439.79,NA,NA,NA,NA,NA,0
"58",71,126.87,94.72,296.73,346.8,1,4.57,1,27.32,26.15,1
"59",12,24.38,13.4,67.47,72.3,NA,NA,NA,NA,NA,0
"60",45,107.58,66.15,342.73,367.49,1,7.05,2.18,44.75,42.88,1
"61",61,106.37,76.05,243.71,295.4,1,4.57,1,27.32,26.15,1
"62",10,16.35,12.14,34.6,35.94,6,20.99,11.2,112.19,109.97,1
"63",48,79.64,63.18,163.04,213.35,6,20.99,11.2,112.19,109.97,1
"64",28,44.25,33.57,93.22,94.37,1,4.57,1,27.32,26.15,1
"65",81,141.84,110.29,321.11,373.31,NA,NA,NA,NA,NA,0
"66",3,8.34,5.22,27.3,38.24,NA,NA,NA,NA,NA,0
"67",8,23.59,16.16,90.88,104.47,1,5.53,1,33.16,32.2,1
"68",29,79.12,50.78,279.29,310.47,1,5.53,1,33.16,32.2,1
"69",62,112.23,85.72,262.31,312.87,NA,NA,NA,NA,NA,0
"70",6,14.83,6,47.94,50.78,1,4.57,1,27.32,26.15,1
"71",55,91.54,70.05,195.77,244.62,1,4.57,1,27.32,26.15,1
"72",6,9.7,10.22,22.04,22.17,4,6.38,5.11,18.05,17.59,1
"73",84,144.9,130.47,329.14,360.81999,4,6.38,5.11,18.05,17.59,1
"74",78,135.2,120.25,307.1,338.64999,NA,NA,NA,NA,NA,0
"75",28,44.25,33.57,93.22,94.37,1,4.57,1,27.32,26.15,1
"76",6,14.83,6,47.94,50.78,1,4.57,1,27.32,26.15,1
"77",68,127.06,91.72,310.25,363.65,1,4.57,1,27.32,26.15,1
"78",110,181.5,144.18,410.52,463.7,4,6.38,5.11,18.05,17.59,1
"79",32,76.66,48.5,259.33,267.32,1,4.57,1,27.32,26.15,1
"80",85,160.52,116.55,420.86,478.12,1,4.57,1,27.32,26.15,1
"81",9,19.77,9,58.86,61.78,NA,NA,NA,NA,NA,0
"82",59,107.29,82.72,251.39,301.87,1,4.57,1,27.32,26.15,1
"83",90,166.19,133.7,432.42,482.12999,1,4.57,1,27.32,26.15,1
"84",12,27.47,22.58,82.15,87.81,1,4.57,1,27.32,26.15,1
"85",200,329.07,260.57,728.54999,811.55999,1,4.57,1,27.32,26.15,1
"86",58,89.53,85.2,173.09,214.81,1,4.57,1,27.32,26.15,1
"87",46,110.66,69.95,354.4,380.51,NA,NA,NA,NA,NA,0
"88",97,186.84,127.16,499.45999,565.27,1,4.57,1,27.32,26.15,1
"89",106,173.57,138.46,367.21,410.68,1,4.57,1,27.32,26.15,1
"90",1,3.08,3.8,11.67,13.02,1,7.05,2.18,44.75,42.88,1
"91",126,214.84,183.43,470.14,552,6,20.99,11.2,112.19,109.97,1
"92",31,46.4,42.2,80.09,105,NA,NA,NA,NA,NA,0
"93",23,44.06,26.78,125.05,126.96,4,6.38,5.11,18.05,17.59,1
"94",32,63.83,35.78,183.91,188.74,4,6.38,5.11,18.05,17.59,1
"95",165,280.86,221.18,618.6,712.54999,NA,NA,NA,NA,NA,0
"96",3,5.89,4.67,17.96,18.04,4,6.38,5.11,18.05,17.59,1
"97",104,180.45,129,431.35999,489.75999,4,6.38,5.11,18.05,17.59,1
"98",58,83.36,69.45,138.74,178.42,4,6.38,5.11,18.05,17.59,1
"99",46,97.09,59.55,292.62,311.33999,4,6.38,5.11,18.05,17.59,1
"100",35,70.7,57.15,196.02,208.39,6,20.99,11.2,112.19,109.97,1
"101",91,144.14,126.28,274.12,343.61,6,20.99,11.2,112.19,109.97,1
"102",69,137.92,82.21,399.61,417.1,6,20.99,11.2,112.19,109.97,1
"103",104,208.62,139.36,595.63,625.48999,6,20.99,11.2,112.19,109.97,1
