"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"16","E02000730","Newham 017",3355,1340,446,467,8,14,647,61,29,327,16,163.035,134.035,307.228,-19.773,617.16602,-29.834,42.078,13.078,324.54001,-2.46,644.12903,-2.871,720.51501,691.51501,202.01801,-124.982,490.909,-156.091,937.85699,908.85699,195.80099,-131.19901,450.95999,-196.03999,-0.01297,24051,-0.06872,127292,-0.05575,103241,-0.01586,29416,-0.0029,5365,-0.34947,648175,-0.3365,624124,-0.36052,668659,-0.34755,644608,-0.00853,15812,-0.04357,80615,-0.03504,64803,-0.01043,19319,-0.0019,3507,-0.22573,418581,-0.2172,402769,-0.23805,441457,-0.22952,425645,-2152,-10110,-7958,-2758,-606,-40175,-38023,-58702,-56550,0.00441
"44","E02000759","Redbridge 009",5566,2255,274,290,51,51,2071,125,96,327,26,241.85201,145.85201,312.60699,-14.393,2006.71704,-64.283,182.506,86.506,320.38101,-6.619,2041.41296,-29.587,789.67499,693.67499,230.83701,-96.163,1733.25195,-337.74799,1230.22302,1134.22302,206.88699,-120.113,1559.38904,-511.61099,-0.0899,166760,-0.19065,353458,-0.10076,186698,-0.13689,253924,-0.04699,87164,-0.42693,791846,-0.33704,625086,-0.54023,1002071,-0.45034,835311,-0.05555,103048,-0.11699,216812,-0.06144,113764,-0.08448,156689,-0.02892,53641,-0.27089,502348,-0.21534,399300,-0.35103,651030,-0.29548,547982,-12998,-35752,-22754,-23494,-10496,-116897,-103899,-196203,-183205,0.01372
"51","E02000825","Southwark 019",3781,540,291,1833,2,49,536,31,172,306,21,376.20999,204.21001,282.55099,-23.449,509.90302,-26.097,249.371,77.371,295.20401,-10.796,524.57501,-11.425,1117.28198,945.28198,186.12601,-119.874,412.18399,-123.816,1362.90198,1190.90198,176.88499,-129.11501,377.77499,-158.22501,-0.05433,100776,-0.11419,211614,-0.05986,110838,-0.06675,123804,-0.01242,23028,-0.49902,925616,-0.44469,824840,-0.44794,830850,-0.39361,730074,-0.03587,66520,-0.07461,138167,-0.03874,71647,-0.04393,81465,-0.00806,14945,-0.32601,604615,-0.29014,538095,-0.29701,550811,-0.26114,484291,-8481,-15507,-7026,-12228,-3747,-40204,-31723,-55253,-46772,0.00338
"54","E02000869","Tower Hamlets 006",2602,624,131,471,29,32,221,17,360,695,22,524.63702,164.63699,631.948,-63.052,207.92999,-13.07,436.043,76.043,671.23199,-23.768,212.825,-8.175,966.63397,606.63397,427.50699,-267.49301,169.392,-51.608,1093.31299,733.31299,410.353,-284.647,155.561,-65.439,-0.04492,83310,-0.05962,110463,-0.0147,27153,-0.05104,94656,-0.00612,11346,-0.15612,289517,-0.1112,206207,-0.12489,231565,-0.07997,148255,-0.03107,57611,-0.04107,76014,-0.01,18403,-0.03517,65199,-0.0041,7588,-0.10936,202753,-0.07829,145142,-0.09236,171209,-0.06129,113598,-8730,-11676,-2946,-11136,-2406,-19566,-10836,-25430,-16700,0.00351
"58","E02000589","Kensington and Chelsea 013",3740,2092,141,233,61,114,446,33,149,414,57,340.103,191.103,383.56699,-30.433,424.569,-21.431,176.339,27.339,410.62799,-3.372,441.34399,-4.656,1056.72205,907.72198,252.927,-161.073,344.944,-101.056,1322.34094,1173.34094,242.98,-171.02,318.793,-127.207,-0.04485,83198,-0.10157,188323,-0.05672,105125,-0.05024,93190,-0.00539,9992,-0.35661,661505,-0.31176,578307,-0.32768,607826,-0.28283,524628,-0.02955,54811,-0.06628,122830,-0.03672,68019,-0.0331,61395,-0.00355,6584,-0.23335,432814,-0.2038,378003,-0.21699,402471,-0.18744,347660,-5031,-10661,-5630,-5839,-808,-29568,-24537,-41624,-36593,0.00418
"78","E02005035","Dartford 008",3798,14,610,217,23,58,2313,174,47,327,15,135.039,88.039,313.77899,-13.221,2257.41504,-55.585,91.007,44.007,320.431,-6.569,2286.25806,-26.742,559.71399,512.71399,235.44,-91.56,1994.10498,-318.89499,857.44202,810.44202,207.09599,-119.904,1798.995,-514.005,-0.03615,67054,-0.08415,155982,-0.048,88928,-0.06144,113965,-0.02529,46911,-0.22345,414424,-0.1873,347370,-0.30345,562853,-0.2673,495799,-0.01877,34807,-0.04514,83598,-0.02637,48791,-0.03198,59311,-0.01321,24504,-0.13555,251352,-0.11679,216545,-0.19164,355415,-0.17288,320608,-12906,-29688,-16782,-20295,-7389,-89412,-76506,-168815,-155909,0.02134
"101","E02000077","Bexley 013",3617,85,970,346,31,52,1746,125,44,201,17,152.548,108.548,189.021,-11.979,1686.28198,-59.718,74.657,30.657,199.83,-1.17,1732.927,-13.073,597.164,553.164,127.179,-73.821,1429.27002,-316.73001,860.84003,816.84003,119.996,-81.004,1289.10205,-456.89801,-0.03318,61554,-0.09318,172694,-0.06,111140,-0.05557,103085,-0.02239,41531,-0.27293,506192,-0.23975,444638,-0.339,628775,-0.30582,567221,-0.01769,32813,-0.05293,98021,-0.03524,65208,-0.02948,54680,-0.01179,21867,-0.16893,313235,-0.15124,280422,-0.21767,403682,-0.19998,370869,-5357,-23394,-18037,-9174,-3817,-92038,-86681,-153175,-147818,0.01342
"102","E02000818","Southwark 012",3369,751,221,1242,11,34,336,26,273,466,9,478.23401,205.23399,427.03601,-38.964,318.651,-17.349,364.06201,91.062,451.383,-14.617,330.57101,-5.429,1158.39001,885.39001,287.50201,-178.498,255.823,-80.177,1347.62402,1074.62402,274.923,-191.077,235.30499,-100.695,-0.05773,107081,-0.10059,186417,-0.04286,79336,-0.06927,128475,-0.01154,21394,-0.35993,667578,-0.3022,560497,-0.31188,578444,-0.25415,471363,-0.03952,73295,-0.06741,124847,-0.02788,51552,-0.04706,87261,-0.00754,13966,-0.23814,441603,-0.19862,368308,-0.2099,389230,-0.17038,315935,-7632,-11791,-4159,-8754,-1122,-26017,-18385,-34733,-27101,0.00279
"117","E02000724","Newham 011",3360,1213,445,495,3,13,767,61,34,314,15,162.46001,128.46001,294.879,-19.121,732.24701,-34.753,55.783,21.783,310.31,-3.69,763,-4,687.70398,653.70398,198.233,-115.767,583.92102,-183.07899,905.73499,871.73499,188.95599,-125.044,535.55701,-231.44299,-0.01768,32786,-0.07098,131497,-0.0533,98711,-0.0215,39874,-0.00382,7088,-0.33279,617232,-0.31511,584446,-0.34581,641391,-0.32813,608605,-0.01088,20177,-0.04427,81939,-0.0334,61762,-0.01344,24926,-0.00256,4749,-0.21465,398039,-0.20378,377862,-0.23077,427962,-0.2199,407785,-1616,-11238,-9622,-2314,-698,-48390,-46774,-70683,-69067,0.00446
"126","E02000347","Hackney 003",2692,569,196,572,28,14,431,56,281,537,8,402.987,121.987,504.17001,-32.83,411.34201,-19.658,355.07199,74.072,519.776,-17.224,416.67801,-14.322,769.651,488.651,342.41501,-194.58501,345.29099,-85.709,936.64697,655.64697,326.392,-210.608,315.72699,-115.273,-0.07168,132939,-0.0938,173838,-0.02213,40899,-0.0816,151338,-0.00993,18399,-0.21723,402842,-0.14555,269903,-0.22884,424392,-0.15716,291453,-0.04765,88352,-0.06206,114923,-0.01441,26571,-0.05413,100359,-0.00648,12007,-0.14479,268421,-0.09714,180069,-0.15528,287907,-0.10763,199555,-13114,-17816,-4702,-16775,-3661,-30196,-17082,-41870,-28756,0.00603
