"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"1",1,1,1,5.044,3268,232,33,0.00654,940,79,6660,"E02000001 E02000186"
"2",1,1,1,3.94,2414,177,26,0.0066,734,58,5066,"E02000001 E02000187"
"3",1,1,1,2.893,1844,135,21,0.00726,539,44,3807,"E02000001 E02000190"
"4",1,1,1,3.754,2776,188,26,0.00693,700,58,5033,"E02000001 E02000191"
"5",1,1,1,1.764,1334,67,16,0.00907,329,28,2701,"E02000001 E02000192"
"6",1,1,1,2.669,1782,127,20,0.00749,498,42,4251,"E02000001 E02000193"
"8",1,1,1,13.531,7262,444,108,0.00798,2522,194,16980,"E02000001 E02000372"
"9",1,1,1,2.212,1190,91,16,0.00723,412,41,2758,"E02000001 E02000573"
"10",1,1,1,2.965,1836,121,27,0.00911,553,53,3942,"E02000001 E02000574"
"11",1,1,1,1.6,924,63,5,0.00312,298,25,1847,"E02000001 E02000575"
"12",1,1,1,1.099,636,40,4,0.00364,205,17,1431,"E02000001 E02000576"
"13",1,1,1,7,3984,297,73,0.01043,1305,100,9471,"E02000001 E02000588"
"14",1,1,1,2.813,1456,157,22,0.00782,524,34,3374,"E02000001 E02000808"
"15",1,1,1,3.813,3388,140,21,0.00551,711,43,5175,"E02000001 E02000809"
"21",1,1,1,6.639,4592,319,39,0.00587,1238,100,9081,"E02000001 E02000967"
"22",1,1,1,4.93,3434,242,27,0.00548,919,74,6720,"E02000001 E02000970"
"23",1,1,1,6.077,4102,288,35,0.00576,1133,92,8007,"E02000001 E02000971"
"24",1,1,1,4.436,3114,220,27,0.00609,827,66,5774,"E02000001 E02000972"
"25",1,1,1,3.618,2414,179,65,0.01797,674,64,5462,"E02000001 E02000977"
"26",1,1,1,6.607,3996,292,77,0.01165,1232,99,8962,"E02000001 E02000978"
"27",1,1,1,4.978,3598,238,58,0.01165,928,71,7201,"E02000001 E02000979"
"28",1,1,1,5.176,3006,249,53,0.01024,965,72,7798,"E02000001 E02000980"
"29",1,1,1,6.553,4162,283,62,0.00946,1222,91,9191,"E02000001 E02000982"
"30",1,1,1,2.97,1532,149,23,0.00774,554,35,4381,"E02000001 E02006801"
"2614",1,1,1,1.492,766,34,28,0.01877,278,25,2619,"E02000047 E02000093"
"2615",1,1,1,2.451,1566,93,51,0.02081,457,65,4848,"E02000047 E02000094"
"2619",1,1,1,7.941,4120,293,148,0.01864,1480,152,12963,"E02000047 E02000103"
"2640",1,1,1,5.298,3008,111,72,0.01359,988,104,8606,"E02000047 E02000433"
"2641",1,1,1,3.12,1946,78,49,0.01571,582,63,6308,"E02000047 E02000434"
"2642",1,1,1,1.706,816,32,17,0.00996,318,30,2827,"E02000047 E02000439"
"2643",1,1,1,6.908,2916,143,55,0.00796,1288,104,10438,"E02000047 E02000455"
"2655",1,1,1,16.615,8096,524,242,0.01457,3097,244,24182,"E02000047 E02000972"
"2656",1,1,1,18.18,8824,539,218,0.01199,3389,251,25542,"E02000047 E02000977"
"5269",1,1,1,1.833,1076,72,33,0.018,342,52,3922,"E02000093 E02000094"
"5270",1,1,1,1.567,570,32,4,0.00255,292,17,2337,"E02000093 E02000095"
"5271",1,1,1,2.791,1638,74,31,0.01111,520,39,4573,"E02000093 E02000097"
"5272",1,1,1,4.305,1838,92,34,0.0079,802,52,6030,"E02000093 E02000099"
"5273",1,1,1,5.752,2664,119,52,0.00904,1072,80,8061,"E02000093 E02000100"
"5274",1,1,1,3.961,2272,105,64,0.01616,738,68,7705,"E02000093 E02000101"
"5276",1,1,1,6.454,3806,166,132,0.02045,1203,126,13145,"E02000093 E02000103"
"5278",1,1,1,5.644,3236,160,80,0.01417,1052,86,12527,"E02000093 E02000106"
"5279",1,1,1,7.175,3250,161,74,0.01031,1337,100,9882,"E02000093 E02000109"
"5280",1,1,1,6.848,2858,134,46,0.00672,1277,85,9594,"E02000093 E02000111"
"5281",1,1,1,6.949,3098,148,70,0.01007,1295,93,9438,"E02000093 E02000112"
"5282",1,1,1,9.385,3916,203,67,0.00714,1749,113,11784,"E02000093 E02000113"
"5285",1,1,1,7.454,3464,166,63,0.00845,1390,97,10211,"E02000093 E02000118"
"5286",1,1,1,9.482,4432,215,74,0.0078,1768,121,12914,"E02000093 E02000119"
"5287",1,1,1,7.682,3538,167,66,0.00859,1432,99,11044,"E02000093 E02000121"
"5302",1,1,1,11.335,5022,316,88,0.00776,2113,144,15288,"E02000093 E02000252"
"5307",1,1,1,3.61,2418,118,53,0.01468,673,68,5749,"E02000093 E02000434"
"5308",1,1,1,1.808,806,45,19,0.01051,337,30,2675,"E02000093 E02000439"
"5309",1,1,1,1.275,620,39,16,0.01255,238,26,2046,"E02000093 E02000442"
"5311",1,1,1,5.557,2296,126,50,0.009,1036,78,7485,"E02000093 E02000445"
"5312",1,1,1,5.491,2280,117,25,0.00455,1024,79,8420,"E02000093 E02000452"
"5313",1,1,1,5.526,2536,108,59,0.01068,1030,84,8109,"E02000093 E02000455"
"5325",1,1,1,20.23,9970,604,122,0.00603,3771,257,24670,"E02000093 E02000972"
"5327",1,1,1,21.24,10696,649,138,0.0065,3959,269,25688,"E02000093 E02000977"
"5328",1,1,1,21.489,10968,678,143,0.00665,4006,267,25953,"E02000093 E02000979"
"5336",1,1,1,3.559,1366,69,12,0.00337,663,43,5639,"E02000093 E02006882"
"5351",1,1,1,2.63,858,93,37,0.01407,490,23,3395,"E02000094 E02000095"
"5352",1,1,1,1.855,774,79,70,0.03774,346,27,2818,"E02000094 E02000097"
"5354",1,1,1,3.475,1478,116,83,0.02388,648,51,6129,"E02000094 E02000101"
"5355",1,1,1,4.846,3042,157,129,0.02662,903,90,10386,"E02000094 E02000103"
"5356",1,1,1,4.708,2372,165,119,0.02528,878,74,10772,"E02000094 E02000106"
"5358",1,1,1,5.809,4046,177,131,0.02255,1083,86,9858,"E02000094 E02000109"
"5360",1,1,1,5.604,3992,170,127,0.02266,1045,80,9486,"E02000094 E02000112"
"5365",1,1,1,7.036,3264,262,145,0.02061,1312,102,12448,"E02000094 E02000119"
"5367",1,1,1,8.745,3826,228,99,0.01132,1630,105,12102,"E02000094 E02000121"
"5375",1,1,1,10.128,6192,347,169,0.01669,1888,139,16089,"E02000094 E02000252"
"5380",1,1,1,3.201,1266,93,66,0.02062,597,44,4802,"E02000094 E02000439"
"5383",1,1,1,6.589,2824,169,92,0.01396,1228,90,9167,"E02000094 E02000455"
"5391",1,1,1,14.722,7386,456,247,0.01678,2744,205,21698,"E02000094 E02000972"
"5393",1,1,1,16.287,8114,471,223,0.01369,3036,212,23058,"E02000094 E02000977"
"5399",1,1,1,5.249,1882,135,45,0.00857,978,57,7482,"E02000094 E02006882"
"5410",1,1,1,2.267,996,91,29,0.01279,423,36,3367,"E02000095 E02000096"
"5411",1,1,1,2.482,1038,85,25,0.01007,463,36,5352,"E02000095 E02000097"
"5412",1,1,1,2.29,1062,81,28,0.01223,427,33,3498,"E02000095 E02000098"
"5413",1,1,1,2.804,1288,87,28,0.00999,523,38,4123,"E02000095 E02000099"
"5414",1,1,1,4.251,2114,114,46,0.01082,792,65,6154,"E02000095 E02000100"
"5415",1,1,1,3.652,1672,116,58,0.01588,681,66,8484,"E02000095 E02000101"
"5417",1,1,1,7.048,3942,209,114,0.01617,1314,129,13974,"E02000095 E02000103"
"5418",1,1,1,3.371,1498,111,35,0.01038,628,46,4965,"E02000095 E02000104"
"5419",1,1,1,7.549,3702,254,78,0.01033,1407,109,11863,"E02000095 E02000106"
"5421",1,1,1,5.674,2700,156,68,0.01198,1058,85,7975,"E02000095 E02000109"
"5422",1,1,1,5.347,2308,129,40,0.00748,997,71,7687,"E02000095 E02000111"
"5423",1,1,1,5.448,2548,143,64,0.01175,1016,78,7531,"E02000095 E02000112"
"5424",1,1,1,7.884,3366,198,61,0.00774,1470,98,9877,"E02000095 E02000113"
"5427",1,1,1,9.037,4014,224,70,0.00775,1685,121,11531,"E02000095 E02000117"
"5428",1,1,1,7.981,3882,210,68,0.00852,1488,106,11007,"E02000095 E02000119"
