"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"46","E02000276","Ealing 039",3465,1597,189,294,2,46,903,39,187,191,17,315.918,128.918,177.228,-13.772,865.03998,-37.96,306.07199,119.072,180.34399,-10.656,872.68298,-30.317,693.28497,506.285,126.528,-64.472,742.24298,-160.757,935.17102,748.17102,118.321,-72.679,678.77197,-224.228,-0.10796,200257,-0.17905,331990,-0.07109,131733,-0.16236,301164,-0.0544,100907,-0.3734,692560,-0.26544,492303,-0.42119,781234,-0.31323,580977,-0.06835,126776,-0.11253,208580,-0.04418,81804,-0.10197,189133,-0.03362,62357,-0.23871,442691,-0.17036,315915,-0.27387,507909,-0.20552,381133,-16356,-28352,-11996,-25312,-8956,-62690,-46334,-92557,-76201,0.00606
"51","E02000825","Southwark 019",3781,540,291,1833,2,49,536,31,172,306,21,376.20999,204.21001,282.55099,-23.449,509.90302,-26.097,249.371,77.371,295.20401,-10.796,524.57501,-11.425,1117.28198,945.28198,186.12601,-119.874,412.18399,-123.816,1362.90198,1190.90198,176.88499,-129.11501,377.77499,-158.22501,-0.05433,100776,-0.11419,211614,-0.05986,110838,-0.06675,123804,-0.01242,23028,-0.49902,925616,-0.44469,824840,-0.44794,830850,-0.39361,730074,-0.03587,66520,-0.07461,138167,-0.03874,71647,-0.04393,81465,-0.00806,14945,-0.32601,604615,-0.29014,538095,-0.29701,550811,-0.26114,484291,-8481,-15507,-7026,-12228,-3747,-40204,-31723,-55253,-46772,0.00338
"58","E02000589","Kensington and Chelsea 013",3740,2092,141,233,61,114,446,33,149,414,57,340.103,191.103,383.56699,-30.433,424.569,-21.431,176.339,27.339,410.62799,-3.372,441.34399,-4.656,1056.72205,907.72198,252.927,-161.073,344.944,-101.056,1322.34094,1173.34094,242.98,-171.02,318.793,-127.207,-0.04485,83198,-0.10157,188323,-0.05672,105125,-0.05024,93190,-0.00539,9992,-0.35661,661505,-0.31176,578307,-0.32768,607826,-0.28283,524628,-0.02955,54811,-0.06628,122830,-0.03672,68019,-0.0331,61395,-0.00355,6584,-0.23335,432814,-0.2038,378003,-0.21699,402471,-0.18744,347660,-5031,-10661,-5630,-5839,-808,-29568,-24537,-41624,-36593,0.00418
"67","E02004956","Three Rivers 001",4002,59,395,111,18,37,2897,187,57,228,13,139.58701,82.587,219.862,-8.138,2834.448,-62.552,112.433,55.433,223.632,-4.368,2854.34302,-42.657,499.84201,442.84201,169.46899,-58.531,2574.11011,-322.89001,800.33801,743.33801,151.15601,-76.844,2336.46606,-560.534,-0.03255,60374,-0.08028,148796,-0.04773,88422,-0.05644,104686,-0.02389,44312,-0.21715,402736,-0.1846,342362,-0.27377,507793,-0.24122,447419,-0.02165,40160,-0.05062,93764,-0.02897,53604,-0.037,68621,-0.01535,28461,-0.13932,258336,-0.11766,218176,-0.17982,333470,-0.15816,293310,-17025,-41177,-24152,-32977,-15952,-122088,-105063,-236973,-219948,0.01828
"82","E02000243","Ealing 006",3829,1097,232,471,11,47,1611,111,49,182,18,177.244,128.244,172.02,-9.98,1552.42297,-58.577,82.605,33.605,178.041,-3.959,1595.58997,-15.41,689.61102,640.61102,122.999,-59.001,1313.96899,-297.03101,972.89697,923.89697,115.958,-66.042,1192.09399,-418.90601,-0.02,37099,-0.09042,167546,-0.07041,130447,-0.03052,56601,-0.01052,19502,-0.37144,688926,-0.35144,651827,-0.41035,761123,-0.39035,724024,-0.0135,25033,-0.05628,104212,-0.04278,79179,-0.02031,37653,-0.00681,12620,-0.23635,438300,-0.22285,413267,-0.26743,495942,-0.25393,470909,-6757,-26478,-19721,-10806,-4049,-97963,-91206,-152784,-146027,0.00891
"90","E02000270","Ealing 033",3174,1151,226,515,1,37,721,34,146,322,21,274.35901,128.35899,303.88699,-18.113,691.87201,-29.128,234.386,88.386,313.229,-8.771,701.177,-19.823,709.883,563.883,220.44,-101.56,592.08502,-128.91499,939.27698,793.27698,204.235,-117.765,538.47101,-182.52901,-0.06683,123967,-0.12648,234458,-0.05964,110491,-0.09778,181366,-0.03095,57399,-0.32639,605369,-0.25956,481402,-0.3391,628945,-0.27226,504978,-0.04402,81652,-0.08217,152233,-0.03814,70581,-0.06371,118157,-0.01969,36505,-0.21368,396245,-0.16966,314593,-0.2268,420594,-0.18278,338942,-12493,-21942,-9449,-18811,-6318,-50747,-38254,-75051,-62558,0.0061
"102","E02000818","Southwark 012",3369,751,221,1242,11,34,336,26,273,466,9,478.23401,205.23399,427.03601,-38.964,318.651,-17.349,364.06201,91.062,451.383,-14.617,330.57101,-5.429,1158.39001,885.39001,287.50201,-178.498,255.823,-80.177,1347.62402,1074.62402,274.923,-191.077,235.30499,-100.695,-0.05773,107081,-0.10059,186417,-0.04286,79336,-0.06927,128475,-0.01154,21394,-0.35993,667578,-0.3022,560497,-0.31188,578444,-0.25415,471363,-0.03952,73295,-0.06741,124847,-0.02788,51552,-0.04706,87261,-0.00754,13966,-0.23814,441603,-0.19862,368308,-0.2099,389230,-0.17038,315935,-7632,-11791,-4159,-8754,-1122,-26017,-18385,-34733,-27101,0.00279
"107","E02000117","Brent 025",4289,796,324,1356,0,65,1099,62,141,414,32,315.51999,174.52,390.646,-23.354,1054.09204,-44.908,236.726,95.726,400.77301,-13.227,1080.01099,-18.989,1008.685,867.685,277.823,-136.177,870.35101,-228.649,1332.81702,1191.81702,256.71301,-157.287,788.86401,-310.13599,-0.05293,98175,-0.11096,205644,-0.05803,107469,-0.0727,134836,-0.01977,36661,-0.40267,746858,-0.34974,648683,-0.39782,737851,-0.34489,639676,-0.03438,63750,-0.07178,132922,-0.0374,69172,-0.0473,87701,-0.01292,23951,-0.26396,489482,-0.22958,425732,-0.26755,496153,-0.23318,432403,-11664,-24360,-12696,-17176,-5512,-69958,-58294,-102952,-91288,0.00922
"169","E02000252","Ealing 015",4570,1906,346,574,10,57,1008,66,169,409,25,347.79999,178.8,385.98901,-23.011,968.33502,-39.665,242.923,73.923,398.763,-10.237,990.03198,-17.968,1009.60498,840.60498,278.30499,-130.69501,818.03802,-189.96201,1355.72705,1186.72705,252.776,-156.224,745.922,-262.078,-0.07348,136303,-0.15815,293176,-0.08466,156873,-0.09415,174632,-0.02067,38329,-0.46884,869604,-0.39535,733301,-0.48294,895784,-0.40946,759481,-0.05026,93213,-0.10416,193006,-0.0539,99793,-0.06377,118261,-0.01351,25048,-0.30735,570001,-0.25709,476788,-0.32297,598970,-0.27271,505757,-14005,-26022,-12017,-18690,-4685,-64130,-50125,-96381,-82376,0.00793
"206","E02000974","Westminster 015",3377,1157,181,513,72,35,383,51,155,785,45,347.806,192.806,730.55902,-54.441,365.33401,-17.666,211.722,56.722,773.81598,-11.184,376.65201,-6.348,1119.88196,964.88202,479.92801,-305.07199,295.42899,-87.571,1299.18005,1144.18005,460.853,-324.147,275.966,-107.034,-0.02803,51987,-0.06043,111981,-0.0324,59994,-0.0351,65082,-0.00706,13095,-0.24266,450088,-0.21463,398101,-0.19379,359443,-0.16576,307456,-0.01918,35554,-0.04056,75112,-0.02138,39558,-0.02401,44518,-0.00484,8964,-0.16252,301411,-0.14335,265857,-0.13419,248840,-0.11501,213286,-4731,-8678,-3947,-6166,-1435,-22502,-17771,-30222,-25491,0.00684
