"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"16","E02000730","Newham 017",3355,1340,446,467,8,14,647,61,29,327,16,163.035003662109,134.035003662109,307.227996826172,-19.7730007171631,617.166015625,-29.8339996337891,42.0779991149902,13.0780000686646,324.540008544922,-2.46000003814697,644.129028320312,-2.87100005149841,720.515014648438,691.515014648438,202.018005371094,-124.982002258301,490.908996582031,-156.091003417969,937.856994628906,908.856994628906,195.800994873047,-131.199005126953,450.959991455078,-196.039993286133,-0.0129699995741248,24051,-0.0687199980020523,127292,-0.0557500012218952,103241,-0.0158600006252527,29416,-0.00289999996311963,5365,-0.349469989538193,648175,-0.336499989032745,624124,-0.360520005226135,668659,-0.347550004720688,644608,-0.00853000022470951,15812,-0.0435700006783009,80615,-0.0350399985909462,64803,-0.0104299997910857,19319,-0.0019000000320375,3507,-0.225730001926422,418581,-0.217199996113777,402769,-0.238049998879433,441457,-0.229519993066788,425645,-2152,-10110,-7958,-2758,-606,-40175,-38023,-58702,-56550,0.00441293029354341
"24","E02000053","Barnet 030",3836,1354,204,557,17,49,1226,98,42,271,18,122.665000915527,80.6650009155273,262.856994628906,-8.14299964904785,1197.52099609375,-28.4780006408691,71.7620010375977,29.761999130249,267.472991943359,-3.52699995040894,1218.09594726562,-7.90399980545044,468.824005126953,426.824005126953,211.061996459961,-59.9379997253418,1068.84301757812,-157.156997680664,808.765991210938,766.765991210938,183.815994262695,-87.1839981079102,957.080017089844,-268.920013427734,-0.0208100005984306,38597,-0.0579099990427494,107232,-0.0370999984443188,68635,-0.0309599991887808,57427,-0.0101500004529953,18830,-0.209710001945496,388861,-0.188899993896484,350264,-0.280539989471436,520259,-0.259730011224747,481662,-0.0133800003677607,24803,-0.0363700017333031,67251,-0.0229899995028973,42448,-0.0198899991810322,36880,-0.00651000021025538,12077,-0.13468000292778,249668,-0.121310003101826,224865,-0.184269994497299,341666,-0.170890003442764,316863,-4319,-14777,-10458,-6853,-2534,-54555,-50236,-102804,-98485,0.0212706511334618
"36","E02000209","Croydon 016",3459,418,509,714,13,30,1289,87,42,339,18,190.733001708984,148.733001708984,317.688995361328,-21.3110008239746,1230.19897460938,-58.8009986877441,60.148998260498,18.1490001678467,338.053009033203,-0.947000026702881,1282.69104003906,-6.30900001525879,846.851989746094,804.851989746094,208.005996704102,-130.994003295898,968.758972167969,-320.240997314453,1063.1669921875,1021.1669921875,196.121994018555,-142.878005981445,885.286987304688,-403.713012695312,-0.0233200006186962,43245,-0.0788799971342087,146149,-0.0555699989199638,102904,-0.0322199985384941,59761,-0.00891000032424927,16516,-0.305379986763,566370,-0.282070010900497,523125,-0.30715999007225,569687,-0.283850014209747,526442,-0.0141700003296137,26281,-0.0489000007510185,90521,-0.0347299985587597,64240,-0.0194199997931719,36012,-0.00524999992921948,9731,-0.196299999952316,363980,-0.182129994034767,337699,-0.202769994735718,375988,-0.18860000371933,349707,-4937,-19744,-14807,-6912,-1975,-77378,-72441,-113146,-108209,0.00737255357794122
"41","E02000218","Croydon 025",2599,75,508,570,11,30,1185,69,28,112,11,97.1220016479492,69.1220016479492,107.434997558594,-4.56500005722046,1150.72998046875,-34.2700004577637,53.2840003967285,25.2840003967285,109.90299987793,-2.09699988365173,1174.96398925781,-10.0369997024536,397.539001464844,369.539001464844,81.6800003051758,-30.3199996948242,998.002990722656,-186.996994018555,610.375,582.375,72.5410003662109,-39.4589996337891,894.718017578125,-290.282012939453,-0.0213500000536442,39606,-0.0604499988257885,111976,-0.0390999987721443,72370,-0.0349100008606911,64758,-0.0135599998757243,25152,-0.209260001778603,388076,-0.187910005450249,348470,-0.252519994974136,468327,-0.231169998645782,428721,-0.0115900002419949,21484,-0.0347199998795986,64234,-0.0231299996376038,42750,-0.0185000002384186,34302,-0.00690999999642372,12818,-0.130490005016327,241930,-0.118909999728203,220446,-0.16236999630928,301063,-0.150780007243156,279579,-4411,-16031,-11620,-6914,-2503,-60867,-56456,-104688,-100277,0.0172428140267138
"42","E02004941","St Albans 018",4552,71,397,233,19,40,3172,229,71,304,16,198.210006713867,127.209999084473,288.774993896484,-15.2250003814697,3082.10498046875,-89.8949966430664,123.138999938965,52.1389999389648,297.941009521484,-6.05900001525879,3134.14208984375,-37.8580017089844,742.263000488281,671.263000488281,210.09700012207,-93.9029998779297,2709.63500976562,-462.364990234375,1071.81103515625,1000.81097412109,189.835006713867,-114.165000915527,2458.56103515625,-713.440002441406,-0.0313800014555454,58202,-0.087229996919632,161694,-0.0558600015938282,103492,-0.048920001834631,90743,-0.0175400003790855,32541,-0.264250010251999,490107,-0.232879996299744,431905,-0.311260014772415,577331,-0.27989000082016,519129,-0.0202300008386374,37524,-0.0542900003492832,100550,-0.0340499989688396,63026,-0.0315200015902519,58462,-0.011289999820292,20938,-0.169119998812675,313609,-0.148890003561974,276085,-0.204219996929169,378728,-0.183990001678467,341204,-17871,-48855,-30984,-31510,-13639,-154914,-137043,-277164,-259293,0.0132902993966052
"44","E02000759","Redbridge 009",5566,2255,274,290,51,51,2071,125,96,327,26,241.852005004883,145.852005004883,312.606994628906,-14.3929996490479,2006.71704101562,-64.2829971313477,182.505996704102,86.5059967041016,320.381011962891,-6.61899995803833,2041.41296386719,-29.5869998931885,789.674987792969,693.674987792969,230.837005615234,-96.1630020141602,1733.251953125,-337.747985839844,1230.22302246094,1134.22302246094,206.886993408203,-120.112998962402,1559.38903808594,-511.610992431641,-0.0899000018835068,166760,-0.190650001168251,353458,-0.100759997963905,186698,-0.13688999414444,253924,-0.0469899997115135,87164,-0.426930010318756,791846,-0.33704000711441,625086,-0.540229976177216,1002071,-0.450340002775192,835311,-0.0555500015616417,103048,-0.116990000009537,216812,-0.0614399984478951,113764,-0.0844800025224686,156689,-0.0289200004190207,53641,-0.2708899974823,502348,-0.215340003371239,399300,-0.351029992103577,651030,-0.295480012893677,547982,-12998,-35752,-22754,-23494,-10496,-116897,-103899,-196203,-183205,0.0137156131107906
"46","E02000276","Ealing 039",3465,1597,189,294,2,46,903,39,187,191,17,315.917999267578,128.917999267578,177.227996826172,-13.7720003128052,865.039978027344,-37.9599990844727,306.071990966797,119.071998596191,180.343994140625,-10.6560001373291,872.682983398438,-30.3169994354248,693.284973144531,506.285003662109,126.52799987793,-64.4720001220703,742.242980957031,-160.75700378418,935.171020507812,748.171020507812,118.320999145508,-72.6790008544922,678.77197265625,-224.227996826172,-0.107960000634193,200257,-0.179049998521805,331990,-0.0710899978876114,131733,-0.162359997630119,301164,-0.0544000007212162,100907,-0.373400002717972,692560,-0.265439987182617,492303,-0.421189993619919,781234,-0.313230007886887,580977,-0.0683500021696091,126776,-0.112530000507832,208580,-0.0441799983382225,81804,-0.101970002055168,189133,-0.0336199998855591,62357,-0.238710001111031,442691,-0.170359998941422,315915,-0.27386999130249,507909,-0.205520004034042,381133,-16356,-28352,-11996,-25312,-8956,-62690,-46334,-92557,-76201,0.00605648936369869
"51","E02000825","Southwark 019",3781,540,291,1833,2,49,536,31,172,306,21,376.209991455078,204.210006713867,282.550994873047,-23.4489994049072,509.903015136719,-26.0970001220703,249.371002197266,77.3710021972656,295.204010009766,-10.7959995269775,524.575012207031,-11.4250001907349,1117.28198242188,945.281982421875,186.126007080078,-119.874000549316,412.183990478516,-123.81600189209,1362.90197753906,1190.90197753906,176.884994506836,-129.115005493164,377.774993896484,-158.225006103516,-0.0543299987912178,100776,-0.114189997315407,211614,-0.059859998524189,110838,-0.0667499974370003,123804,-0.012419999577105,23028,-0.499020010232925,925616,-0.444689989089966,824840,-0.447939991950989,830850,-0.393610000610352,730074,-0.0358700007200241,66520,-0.0746100023388863,138167,-0.0387400016188622,71647,-0.0439300015568733,81465,-0.00805999990552664,14945,-0.32600998878479,604615,-0.290140002965927,538095,-0.297010004520416,550811,-0.261139988899231,484291,-8481,-15507,-7026,-12228,-3747,-40204,-31723,-55253,-46772,0.00338085058334044
"54","E02000869","Tower Hamlets 006",2602,624,131,471,29,32,221,17,360,695,22,524.637023925781,164.636993408203,631.947998046875,-63.0519981384277,207.929992675781,-13.0699996948242,436.042999267578,76.0429992675781,671.231994628906,-23.7679996490479,212.824996948242,-8.17500019073486,966.633972167969,606.633972167969,427.506988525391,-267.493011474609,169.391998291016,-51.6080017089844,1093.31298828125,733.31298828125,410.352996826172,-284.647003173828,155.561004638672,-65.4390029907227,-0.0449200011789799,83310,-0.0596200004220009,110463,-0.0147000001743436,27153,-0.0510400012135506,94656,-0.00612000003457069,11346,-0.156120002269745,289517,-0.111199997365475,206207,-0.124889999628067,231565,-0.0799700021743774,148255,-0.0310699995607138,57611,-0.0410699993371964,76014,-0.00999999977648258,18403,-0.0351700000464916,65199,-0.00410000002011657,7588,-0.109360001981258,202753,-0.0782900005578995,145142,-0.0923599973320961,171209,-0.0612899996340275,113598,-8730,-11676,-2946,-11136,-2406,-19566,-10836,-25430,-16700,0.00350653397610591
"58","E02000589","Kensington and Chelsea 013",3740,2092,141,233,61,114,446,33,149,414,57,340.102996826172,191.102996826172,383.566986083984,-30.4330005645752,424.569000244141,-21.4309997558594,176.339004516602,27.3390007019043,410.627990722656,-3.37199997901917,441.343994140625,-4.6560001373291,1056.72204589844,907.721984863281,252.927001953125,-161.072998046875,344.944000244141,-101.055999755859,1322.34094238281,1173.34094238281,242.979995727539,-171.020004272461,318.792999267578,-127.207000732422,-0.0448499992489815,83198,-0.101570002734661,188323,-0.0567199997603893,105125,-0.0502399988472462,93190,-0.00539000006392598,9992,-0.356610000133514,661505,-0.311760008335114,578307,-0.327679991722107,607826,-0.282829999923706,524628,-0.0295499991625547,54811,-0.0662799999117851,122830,-0.0367200002074242,68019,-0.033100001513958,61395,-0.0035500000230968,6584,-0.233349993824959,432814,-0.203799992799759,378003,-0.216989994049072,402471,-0.187439993023872,347660,-5031,-10661,-5630,-5839,-808,-29568,-24537,-41624,-36593,0.00417560052895382
