"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",52,170.13,97.32,686.69,922.08001,NA,NA,NA,NA,NA,0
"2",118,378.03,216.91,1539.29999,1842.37,NA,NA,NA,NA,NA,0
"3",34,120.55,61.45,473.52,529.83,NA,NA,NA,NA,NA,0
"4",16,45.21,37.6,170.24,278.88,19,43.24,34.67,178.67,215.81,1
"5",14,45.34,24.62,179.17,187.5,8,23.45,12.3,108.18,109.72,1
"6",20,75.21,36.83,294.35,342.33,8,23.45,12.3,108.18,109.72,1
"7",11,22.01,24.71,61.68,113.81,NA,NA,NA,NA,NA,0
"8",5,23.2,12.89,108.56,165.07,19,43.24,34.67,178.67,215.81,1
"9",2,4.78,5.92,17.39,26.99,NA,NA,NA,NA,NA,0
"10",3,18.42,6.97,91.17,138.08,NA,NA,NA,NA,NA,0
"11",43,153.13,80.02,613.94002,694.89999,8,23.45,12.3,108.18,109.72,1
"12",63,228.34,116.85,908.29002,1037.22999,8,23.45,12.3,108.18,109.72,1
"13",67,178.76,117.25,625.34,719.22001,8,23.45,12.3,108.18,109.72,1
"14",81,224.1,141.87,804.50999,906.72001,8,23.45,12.3,108.18,109.72,1
"15",180,536.46,341.41,2131.68,2647.61,13,34.83,17.78,166.07001,175.45,1
"16",45,119.01,83.31,406.52999,457.69,NA,NA,NA,NA,NA,0
"17",122,344.46,197.71,1258.23002,1406.04,8,23.45,12.3,108.18,109.72,1
"18",34,91.88,60.81,310.33,380.69,8,23.45,12.3,108.18,109.72,1
"19",20,53.77,31.66,196.02,231.71001,8,23.45,12.3,108.18,109.72,1
"20",47,124.99,85.59,429.31999,487.51,NA,NA,NA,NA,NA,0
"21",54,176.11,99.6,709.48,951.90001,13,34.83,17.78,166.07001,175.45,1
"22",12,41.55,28.33,156.85,192.09,8,23.45,12.3,108.18,109.72,1
"23",22,50.33,32.48,153.48001,188.6,8,23.45,12.3,108.18,109.72,1
"24",50,167.97,92.05,688.74,919.57001,13,34.83,17.78,166.07001,175.45,1
