"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"1",1,1,1,5.044,3268,232,33,0.00654,940,79,6660,"E02000001 E02000186"
"2",1,1,1,3.94,2414,177,26,0.0066,734,58,5066,"E02000001 E02000187"
"3",1,1,1,2.893,1844,135,21,0.00726,539,44,3807,"E02000001 E02000190"
"4",1,1,1,3.754,2776,188,26,0.00693,700,58,5033,"E02000001 E02000191"
"5",1,1,1,1.764,1334,67,16,0.00907,329,28,2701,"E02000001 E02000192"
"6",1,1,1,2.669,1782,127,20,0.00749,498,42,4251,"E02000001 E02000193"
"7",1,1,1,2.136,994,96,10,0.00468,398,30,2428,"E02000001 E02000371"
"8",1,1,1,13.531,7262,444,108,0.00798,2522,194,16980,"E02000001 E02000372"
"9",1,1,1,2.212,1190,91,16,0.00723,412,41,2758,"E02000001 E02000573"
"10",1,1,1,2.965,1836,121,27,0.00911,553,53,3942,"E02000001 E02000574"
"11",1,1,1,1.6,924,63,5,0.00312,298,25,1847,"E02000001 E02000575"
"12",1,1,1,1.099,636,40,4,0.00364,205,17,1431,"E02000001 E02000576"
"13",1,1,1,7,3984,297,73,0.01043,1305,100,9471,"E02000001 E02000588"
"14",1,1,1,2.813,1456,157,22,0.00782,524,34,3374,"E02000001 E02000808"
"15",1,1,1,3.813,3388,140,21,0.00551,711,43,5175,"E02000001 E02000809"
"16",1,1,1,2.507,1342,97,5,0.00199,467,30,3080,"E02000001 E02000878"
"17",1,1,1,3.165,1608,129,6,0.0019,590,38,3957,"E02000001 E02000884"
"18",1,1,1,4.191,2460,207,18,0.00429,781,50,4834,"E02000001 E02000889"
"19",1,1,1,4.752,2524,225,22,0.00463,886,54,5585,"E02000001 E02000890"
"20",1,1,1,8.409,4096,489,32,0.00381,1568,106,9137,"E02000001 E02000891"
"21",1,1,1,6.639,4592,319,39,0.00587,1238,100,9081,"E02000001 E02000967"
"22",1,1,1,4.93,3434,242,27,0.00548,919,74,6720,"E02000001 E02000970"
"23",1,1,1,6.077,4102,288,35,0.00576,1133,92,8007,"E02000001 E02000971"
"24",1,1,1,4.436,3114,220,27,0.00609,827,66,5774,"E02000001 E02000972"
"25",1,1,1,3.618,2414,179,65,0.01797,674,64,5462,"E02000001 E02000977"
"26",1,1,1,6.607,3996,292,77,0.01165,1232,99,8962,"E02000001 E02000978"
"27",1,1,1,4.978,3598,238,58,0.01165,928,71,7201,"E02000001 E02000979"
"28",1,1,1,5.176,3006,249,53,0.01024,965,72,7798,"E02000001 E02000980"
"29",1,1,1,6.553,4162,283,62,0.00946,1222,91,9191,"E02000001 E02000982"
"30",1,1,1,2.97,1532,149,23,0.00774,554,35,4381,"E02000001 E02006801"
"31",1,1,1,7.246,3628,365,64,0.00883,1351,104,8050,"E02000001 E02006854"
"33",1,1,1,1.819,808,65,14,0.0077,339,20,3016,"E02000002 E02000003"
"46",1,1,1,5.985,2934,192,40,0.00668,1116,73,9595,"E02000002 E02000476"
"48",1,1,1,3.88,1598,115,22,0.00567,723,42,5603,"E02000002 E02000480"
"55",1,1,1,3.216,1250,56,18,0.0056,599,31,4721,"E02000002 E02000772"
"72",1,1,1,1.89,820,53,6,0.00317,352,20,2167,"E02000003 E02000005"
"73",1,1,1,2.647,1088,74,9,0.0034,493,28,3003,"E02000003 E02000007"
"74",1,1,1,2.947,1240,69,10,0.00339,549,31,3230,"E02000003 E02000008"
"77",1,1,1,6.834,2760,182,26,0.0038,1274,77,8937,"E02000003 E02000016"
"88",1,1,1,4.42,2220,131,26,0.00588,824,57,7029,"E02000003 E02000476"
"89",1,1,1,4.161,1664,117,19,0.00457,776,52,6068,"E02000003 E02000479"
"90",1,1,1,2.315,884,54,8,0.00346,432,26,3037,"E02000003 E02000480"
"108",1,1,1,1.432,576,32,7,0.00489,267,20,2123,"E02000003 E02000769"
"110",1,1,1,2.272,870,35,4,0.00176,424,25,3283,"E02000003 E02000772"
"115",1,1,1,5.768,2292,126,22,0.00381,1075,70,7071,"E02000003 E02000780"
"133",1,1,1,2.026,786,47,7,0.00346,378,20,2625,"E02000003 E02006799"
"134",1,1,1,2.777,1050,44,8,0.00288,518,28,4467,"E02000003 E02006800"
"138",1,1,1,8.035,3228,134,28,0.00348,1498,112,11582,"E02000003 E02006925"
"142",1,1,1,2.831,1082,70,9,0.00318,528,36,4134,"E02000004 E02000007"
"145",1,1,1,3.487,1586,81,12,0.00344,650,44,5082,"E02000004 E02000011"
"156",1,1,1,3.965,2194,165,22,0.00555,739,59,7600,"E02000004 E02000476"
"158",1,1,1,2.502,1234,62,17,0.00679,466,37,3905,"E02000004 E02000479"
"159",1,1,1,2.201,978,71,8,0.00363,410,31,3475,"E02000004 E02000480"
"186",1,1,1,1.388,506,35,3,0.00216,259,15,1695,"E02000005 E02000007"
"187",1,1,1,1.293,468,20,4,0.00309,241,13,1491,"E02000005 E02000008"
"194",1,1,1,6.423,2630,151,16,0.00249,1197,75,8415,"E02000005 E02000016"
"195",1,1,1,3.781,1388,66,10,0.00264,705,41,4773,"E02000005 E02000019"
"196",1,1,1,6.61,2520,134,13,0.00197,1232,74,7857,"E02000005 E02000020"
"203",1,1,1,5.517,2790,208,24,0.00435,1028,76,8919,"E02000005 E02000476"
"205",1,1,1,2.962,1260,67,10,0.00338,552,38,4049,"E02000005 E02000480"
"219",1,1,1,3.539,1460,75,6,0.0017,660,47,5019,"E02000005 E02000772"
"221",1,1,1,5.357,2162,95,12,0.00224,999,68,6549,"E02000005 E02000780"
"235",1,1,1,1.394,616,35,1,0.00072,260,17,1832,"E02000005 E02006799"
"244",1,1,1,2.053,818,50,5,0.00244,383,26,2504,"E02000007 E02000008"
"245",1,1,1,1.317,494,25,6,0.00456,246,16,1733,"E02000007 E02000010"
"246",1,1,1,1.87,964,32,7,0.00374,349,24,2754,"E02000007 E02000011"
"247",1,1,1,3.931,1518,76,10,0.00254,733,46,4980,"E02000007 E02000013"
"248",1,1,1,2.449,980,49,10,0.00408,457,28,3309,"E02000007 E02000014"
"249",1,1,1,2.075,1192,49,5,0.00241,387,23,2898,"E02000007 E02000015"
"250",1,1,1,7.052,2862,184,15,0.00213,1315,85,9748,"E02000007 E02000016"
"251",1,1,1,3.528,1518,66,13,0.00368,658,42,4513,"E02000007 E02000019"
"252",1,1,1,6.983,2754,158,14,0.002,1302,82,8190,"E02000007 E02000020"
"253",1,1,1,2.997,1494,66,8,0.00267,559,32,3988,"E02000007 E02000021"
"254",1,1,1,7.891,3206,189,14,0.00177,1471,93,9297,"E02000007 E02000022"
"255",1,1,1,5.913,2518,145,13,0.0022,1102,69,7395,"E02000007 E02000023"
"260",1,1,1,5.44,2784,206,25,0.0046,1014,77,9817,"E02000007 E02000476"
"261",1,1,1,4.064,1992,124,22,0.00541,758,58,6714,"E02000007 E02000479"
"262",1,1,1,3.801,1544,95,13,0.00342,709,51,5247,"E02000007 E02000480"
"265",1,1,1,8.012,3630,229,23,0.00287,1494,103,10278,"E02000007 E02000492"
"288",1,1,1,2.7,1148,60,4,0.00148,503,37,3443,"E02000007 E02006799"
"297",1,1,1,1.435,532,34,1,7e-04,267,17,2002,"E02000008 E02000009"
"298",1,1,1,1.435,530,32,1,7e-04,267,17,1895,"E02000008 E02000010"
"299",1,1,1,2.723,1296,47,8,0.00294,508,34,3789,"E02000008 E02000011"
"301",1,1,1,2.134,796,35,5,0.00234,398,24,2832,"E02000008 E02000013"
"302",1,1,1,2.246,894,49,5,0.00223,419,25,3040,"E02000008 E02000014"
"303",1,1,1,2.928,1524,64,6,0.00205,546,34,3933,"E02000008 E02000015"
"304",1,1,1,5.255,2140,143,10,0.0019,980,63,7600,"E02000008 E02000016"
"307",1,1,1,2.744,1016,55,6,0.00219,512,31,3638,"E02000008 E02000019"
"308",1,1,1,5.573,2148,123,9,0.00161,1039,64,6722,"E02000008 E02000020"
"309",1,1,1,3.418,1318,82,7,0.00205,637,39,4456,"E02000008 E02000021"
"319",1,1,1,6.598,3288,228,28,0.00424,1230,93,10253,"E02000008 E02000476"
