"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"16","E02000730","Newham 017",3355,1340,446,467,8,14,647,61,29,327,16,163.01801,134.01801,307.23099,-19.769,617.17902,-29.821,42.078,13.078,324.54001,-2.46,644.12903,-2.871,720.47699,691.47699,202.021,-124.979,490.95099,-156.049,952.302,923.302,195.17101,-131.82899,448.319,-198.681,-0.01297,24051,-0.06874,127305,-0.05577,103254,-0.01586,29416,-0.0029,5365,-0.34954,648293,-0.33657,624242,-0.3694,685137,-0.35643,661086,-0.00853,27531,-0.04358,140496,-0.03505,112965,-0.01043,33645,-0.0019,6114,-0.22577,728833,-0.21724,701302,-0.24389,787321,-0.23536,759790,-2152,-10108,-7956,-2758,-606,-40164,-38012,-59859,-57707,0.36412
"24","E02000053","Barnet 030",3836,1354,204,557,17,49,1226,98,42,271,18,122.603,80.603,262.85999,-8.14,1197.54004,-28.46,71.762,29.762,267.47299,-3.527,1218.09595,-7.904,468.55399,426.55399,211.082,-59.918,1068.92896,-157.071,828.70697,786.70697,184.172,-86.828,950.104,-275.896,-0.02081,38597,-0.05787,107158,-0.03706,68561,-0.03096,57427,-0.01015,18830,-0.20953,388530,-0.18872,349933,-0.29034,538449,-0.26953,499852,-0.01338,43177,-0.03635,117140,-0.02297,73963,-0.01989,64201,-0.00651,21024,-0.13457,434331,-0.12119,391154,-0.19071,615604,-0.17733,572427,-4319,-14765,-10446,-6853,-2534,-54515,-50196,-106048,-101729,1.96251
"36","E02000209","Croydon 016",3459,418,509,714,13,30,1289,87,42,339,18,190.679,148.679,317.69699,-21.303,1230.22595,-58.774,60.149,18.149,338.05301,-0.947,1282.69104,-6.309,846.64697,804.64697,208.033,-130.967,968.85797,-320.142,1077.37805,1035.37805,195.39999,-143.60001,879.81702,-409.18399,-0.02332,43245,-0.07888,146145,-0.05556,102900,-0.03222,59761,-0.00891,16516,-0.30535,566311,-0.28203,523066,-0.31467,583619,-0.29136,540374,-0.01417,45748,-0.0489,157684,-0.03473,111936,-0.01942,62689,-0.00525,16941,-0.19627,633553,-0.1821,587805,-0.20775,670630,-0.19358,624882,-4937,-19736,-14799,-6912,-1975,-77354,-72417,-115516,-110579,0.74791
"41","E02000218","Croydon 025",2599,75,508,570,11,30,1185,69,28,112,11,97.088,69.088,107.437,-4.563,1150.75098,-34.249,53.284,25.284,109.903,-2.097,1174.96399,-10.037,397.383,369.383,81.689,-30.311,998.09003,-186.91,623.07202,595.07202,72.471,-39.529,888.17401,-296.827,-0.02135,39606,-0.06043,111939,-0.03908,72333,-0.03491,64758,-0.01356,25152,-0.20917,387906,-0.18782,348300,-0.25984,481906,-0.23849,442300,-0.01159,37404,-0.03471,111884,-0.02312,74480,-0.0185,59720,-0.00691,22316,-0.13043,421009,-0.11885,383605,-0.16714,539534,-0.15555,502130,-4411,-16024,-11613,-6914,-2503,-60842,-56431,-107568,-103157,1.99491
"44","E02000759","Redbridge 009",5566,2255,274,290,51,51,2071,125,96,327,26,241.838,145.838,312.61099,-14.389,2006.74402,-64.256,182.506,86.506,320.38101,-6.619,2041.41296,-29.587,789.58801,693.58801,230.854,-96.146,1733.35999,-337.64001,1257.76099,1161.76099,206.44,-120.56,1548.39905,-522.60101,-0.0899,166760,-0.19067,353496,-0.10077,186736,-0.13689,253924,-0.04699,87164,-0.42697,791915,-0.33707,625155,-0.5562,1031677,-0.4663,864917,-0.05555,179359,-0.117,377553,-0.06145,198194,-0.08448,272738,-0.02892,93379,-0.27091,874553,-0.21536,695194,-0.36148,1167002,-0.30593,987643,-12998,-35739,-22741,-23494,-10496,-116848,-103850,-201309,-188311,1.43264
"46","E02000276","Ealing 039",3465,1597,189,294,2,46,903,39,187,191,17,315.927,128.927,177.233,-13.767,865.047,-37.952,306.07199,119.072,180.34399,-10.656,872.68298,-30.317,693.276,506.276,126.548,-64.452,742.27399,-160.726,951.479,764.479,117.859,-73.141,674.62097,-228.379,-0.10796,200257,-0.17911,332090,-0.07115,131833,-0.16236,301164,-0.0544,100907,-0.37354,692834,-0.26558,492577,-0.43161,800570,-0.32365,600313,-0.06835,220680,-0.11256,363259,-0.04421,142579,-0.10197,329237,-0.03362,108557,-0.2388,770915,-0.17045,550235,-0.28069,906166,-0.21234,685486,-16356,-28356,-12000,-25312,-8956,-62692,-46336,-94569,-78213,0.76372
"51","E02000825","Southwark 019",3781,540,291,1833,2,49,536,31,172,306,21,376.09,204.09,282.564,-23.436,509.92099,-26.079,249.371,77.371,295.20401,-10.796,524.57501,-11.425,1116.86597,944.86603,186.166,-119.834,412.245,-123.755,1379.32605,1207.32605,176.073,-129.927,375.45801,-160.54201,-0.05433,100775,-0.11416,211561,-0.05983,110786,-0.06675,123803,-0.01242,23028,-0.49883,925254,-0.4445,824479,-0.4559,845626,-0.40157,744851,-0.03587,115796,-0.07459,240603,-0.03872,124807,-0.04393,141818,-0.00806,26022,-0.32588,1052074,-0.29001,936278,-0.30227,975822,-0.2664,860026,-8481,-15500,-7019,-12228,-3747,-40184,-31703,-56239,-47758,0.32677
"54","E02000869","Tower Hamlets 006",2602,624,131,471,29,32,221,17,360,695,22,524.52502,164.52499,631.987,-63.013,207.94,-13.06,436.043,76.043,671.23199,-23.768,212.825,-8.175,966.25,606.25,427.63,-267.37,169.427,-51.573,1102.41394,742.414,408.646,-286.354,154.60001,-66.4,-0.04492,83309,-0.05961,110448,-0.01469,27139,-0.05104,94655,-0.00612,11346,-0.15602,289321,-0.1111,206012,-0.12799,237317,-0.08307,154008,-0.03107,100299,-0.04106,132436,-0.00999,32137,-0.03517,113517,-0.0041,13218,-0.10929,352760,-0.07822,252461,-0.09452,305062,-0.06345,204763,-8730,-11675,-2945,-11136,-2406,-19560,-10830,-25804,-17074,0.31834
"58","E02000589","Kensington and Chelsea 013",3740,2092,141,233,61,114,446,33,149,414,57,340.01801,191.01801,383.57901,-30.421,424.578,-21.422,176.339,27.339,410.62799,-3.372,441.34399,-4.656,1056.41504,907.41498,252.966,-161.034,344.97699,-101.023,1340.79102,1191.79102,241.897,-172.103,317.02701,-128.97301,-0.04485,83198,-0.10156,188293,-0.05671,105095,-0.05024,93190,-0.00539,9992,-0.35653,661348,-0.31168,578150,-0.33428,620065,-0.28942,536867,-0.02955,95399,-0.06626,213834,-0.03671,118435,-0.0331,106864,-0.00355,11465,-0.23329,753188,-0.20374,657789,-0.22133,714572,-0.19178,619173,-5031,-10663,-5632,-5839,-808,-29568,-24537,-42417,-37386,0.39795
"65","E02000942","Wandsworth 020",5008,2217,620,334,10,117,939,46,377,329,19,543.98199,166.98199,312.526,-16.474,908.34198,-30.658,569.04797,192.048,311.56601,-17.434,907.73297,-31.267,951.05701,574.05701,240.576,-88.424,809.00598,-129.994,1390.56799,1013.56799,215.677,-113.323,733.48297,-205.517,-0.14905,276469,-0.20797,385581,-0.05892,109112,-0.19163,355430,-0.04258,78961,-0.44474,824892,-0.29569,548423,-0.5653,1048560,-0.41625,772091,-0.09561,308681,-0.1332,429844,-0.03759,121163,-0.12291,396814,-0.0273,88133,-0.28739,927765,-0.19178,619084,-0.36966,1193420,-0.27405,884739,-21864,-31274,-9410,-30849,-8985,-55811,-33947,-87484,-65620,1.53695
