"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02003743 E02003744","E02003743","E02003744","Fenland 002","Fenland 003",1892,187,461,975,193,0,0,34,17,14,11,9.88372,357.12,170.12,415.06,877.67999,-97.32,263.57999,76.58,440.54001,931.06,-43.94,970.90997,783.90997,249.02,526.73999,-448.26001,982.34003,795.34003,245.96001,520.17999,-454.82001,-0.02771,51401,-0.01317,24443,-0.02023,37532,-0.0057,10574,-0.06544,121409,-0.05091,94451,-0.0351,65113,-0.02057,38155,-18562,-8836,-13723,-3997,-50419,-40693,-51016,-41290,1.41062,1.71,1.759,1.21223,1.02865,0.40936,0.39795,776,786
"2","E02003743 E02005557","E02003743","E02005557","Fenland 002","King's Lynn and West Norfolk 007",27,1,0,21,4,0,0,0,0,1,0,3.7037,1.35,0.35,0,20.72,-0.28,1,0,0,21,0,1.25,0.25,0,20.77,-0.23,2.5,1.5,0,19.75,-1.25,-0.00158,2931,-0.00042,786,-0.00116,2145,0,0,-0.00145,2685,-0.00029,540,-0.0026,4813,-0.00144,2668,-1163,-316,-847,0,-1102,-255,-2263,-1416,18.94872,22.213,22.75,1.17227,1.02418,0.73831,0.71209,9396,13440
"3","E02003743 E02005558","E02003743","E02005558","Fenland 002","King's Lynn and West Norfolk 008",56,0,1,52,2,0,0,0,0,0,1,0,1.4,1.4,0.97,50.7,-1.3,0,0,1,52,0,5.05,5.05,0.91,47.31,-4.69,9.78,9.78,0.82,42.92,-9.08,-0.00164,3041,-0.00164,3041,0,0,0,0,-0.00515,9548,-0.00515,9548,-0.00648,12030,-0.00648,12030,-1026,-1026,0,0,-3703,-3703,-7170,-7170,13.32199,15.434,16.332,1.15854,1.05818,0.622,0.34289,6142,7442
"4","E02003743 E02005559","E02003743","E02005559","Fenland 002","King's Lynn and West Norfolk 009",46,0,3,37,4,0,0,2,0,0,0,0,0.68,0.68,2.96,36.45,-0.55,0,0,3,37,0,1.61,1.61,2.89,35.7,-1.3,4.56,4.56,2.7,33.33,-3.67,-8e-04,1490,-8e-04,1490,0,0,0,0,-0.00169,3142,-0.00169,3142,-0.00406,7537,-0.00406,7537,-605,-605,0,0,-1440,-1440,-4072,-4072,19.14813,21.788,23.41,1.13787,1.07444,0.73435,0.68347,9030,13904
"5","E02003743 E02005561","E02003743","E02005561","Fenland 002","King's Lynn and West Norfolk 011",141,0,0,116,14,0,0,7,0,4,0,0,2.35,2.35,0,114.06,-1.94,0,0,0,116,0,6.45,6.45,0,110.7,-5.3,16.21,16.21,0,102.67,-13.33,-0.00298,5525,-0.00298,5525,0,0,0,0,-0.00723,13419,-0.00723,13419,-0.01493,27694,-0.01493,27694,-1949,-1949,0,0,-5339,-5339,-13425,-13425,17.58989,19.787,22.87,1.12491,1.15581,1.02593,1.00131,8366,9660
"6","E02003743 E02005563","E02003743","E02005563","Fenland 002","King's Lynn and West Norfolk 013",312,22,9,236,31,0,0,7,2,3,2,7.05128,51.57,29.57,8.06,211.98,-24.02,26.53,4.53,8.94,232.14999,-3.85,150.14,128.14,5.13,131.49001,-104.51,161.27,139.27,4.78,122.45,-113.55,-0.01752,32498,-0.01,18560,-0.00865,16055,-0.00114,2117,-0.04483,83175,-0.03732,69237,-0.0358,66417,-0.02829,52479,-9066,-5254,-4657,-845,-26681,-22869,-28660,-24848,3.74566,4.286,4.36,1.14426,1.01727,0.62996,0.66514,1750,1786
"7","E02003743 E02005564","E02003743","E02005564","Fenland 002","King's Lynn and West Norfolk 014",25,1,0,22,1,0,0,0,0,1,0,4,1.28,0.28,0,21.74,-0.26,1.27,0.27,0,21.76,-0.24,1.14,0.14,0,21.86,-0.14,2.05,1.05,0,21.01,-0.99,-0.00167,3102,-0.00036,671,-0.00164,3046,-0.00033,615,-0.00145,2694,-0.00014,263,-0.0024,4457,-0.00109,2026,-1407,-318,-1379,-290,-1258,-169,-2304,-1215,19.79278,24.097,24.142,1.21746,1.00187,0.75528,0.75387,9794,9854
"8","E02003743 E02005565","E02003743","E02005565","Fenland 002","King's Lynn and West Norfolk 015",59,0,0,51,5,0,0,2,0,1,0,0,1.29,1.29,0,49.89,-1.11,0,0,0,51,0,4.34,4.34,0,47.25,-3.75,9.07,9.07,0,43.16,-7.84,-0.00151,2808,-0.00151,2808,0,0,0,0,-0.00452,8394,-0.00452,8394,-0.00654,12128,-0.00654,12128,-939,-939,0,0,-3171,-3171,-6635,-6635,12.68096,16.643,16.662,1.31244,1.00114,0.5648,0.56416,6530,6542
"9","E02003743 E02005566","E02003743","E02005566","Fenland 002","King's Lynn and West Norfolk 016",178,4,8,148,15,0,0,0,1,2,0,2.24719,13.14,9.14,7.58,140.23,-7.77,6.04,2.04,7.98,146.2,-1.8,43.39,39.39,6.23,114.46,-33.54,59.49,55.49,5.48,100.77,-47.23,-0.01,18557,-0.00696,12903,-0.00422,7828,-0.00117,2174,-0.02829,52494,-0.02525,46840,-0.02505,46472,-0.022,40818,-5478,-3828,-2536,-886,-18171,-16521,-24916,-23266,8.34774,9.674,12.038,1.15888,1.24437,0.33078,0.33228,3832,4654
"10","E02003743 E02005567","E02003743","E02005567","Fenland 002","King's Lynn and West Norfolk 017",28,0,0,27,1,0,0,0,0,0,0,0,0.4,0.4,0,26.61,-0.39,0,0,0,27,0,0.97,0.97,0,26.07,-0.93,2.76,2.76,0,24.34,-2.66,-0.00049,917,-0.00049,917,0,0,0,0,-0.00105,1954,-0.00105,1954,-0.00255,4740,-0.00255,4740,-428,-428,0,0,-1029,-1029,-2941,-2941,16.20958,21.895,21.599,1.35074,0.98648,0.7536,0.49539,9236,10498
