"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"184","E02005531","Broadland 012",2633,2,17,209,14,45,1792,141,210,173,30,323.84698,113.847,162.98399,1710.36401,-81.636,311.668,101.668,164.686,1726.17297,-65.827,705.18103,495.181,129.98801,1431.53503,-360.465,905.80499,695.80499,118.391,1283.25,-508.75,-0.07487,138874,-0.02794,51817,-0.06528,121093,-0.01835,34036,-0.14518,269323,-0.09825,182266,-0.14823,274977,-0.1013,187920,-52930,-19723,-48538,-15331,-114885,-81678,-162213,-129006,0.01281
"186","E02005605","South Norfolk 009",4612,10,41,294,13,41,3655,262,116,157,23,221.92799,105.928,149.742,3572.53711,-82.463,182.577,66.577,152.64999,3602.427,-52.573,559.151,443.151,122.775,3315.04199,-339.95801,953.263,837.263,108.974,2998.65991,-656.34003,-0.10899,202163,-0.05672,105210,-0.09008,167112,-0.03782,70159,-0.23427,434594,-0.182,337641,-0.30427,564473,-0.25201,467520,-80613,-40634,-68916,-28937,-193708,-153729,-369744,-329765,0.01645
"322","E02005530","Broadland 011",2376,1,12,190,9,46,1598,105,181,220,14,290.37799,109.378,206.069,1522.96399,-75.036,278.66,97.66,209.741,1531.55396,-66.446,676.466,495.466,152.03999,1263.56396,-334.436,842.04401,661.04401,140.8,1140.10498,-457.89499,-0.06294,116742,-0.02343,43432,-0.05689,105520,-0.01737,32210,-0.12049,223508,-0.08097,150198,-0.12094,224342,-0.08142,151032,-48303,-17026,-48586,-17309,-99177,-67900,-140038,-108761,0.01345
"445","E02005507","Breckland 005",4956,4,9,232,13,42,3468,317,209,635,27,381.96799,172.968,589.409,3361.56592,-106.434,293.11801,84.118,611.95203,3417.88989,-50.11,985.00897,776.00897,411.15701,3005.2229,-462.77701,1199.91504,990.91498,390.849,2842.24707,-625.75299,-0.07162,132845,-0.03466,64278,-0.0581,107767,-0.02113,39200,-0.11804,218975,-0.08108,150408,-0.1737,322232,-0.13673,253665,-59776,-28993,-46334,-15551,-112205,-81422,-222588,-191805,0.0069
"527","E02005522","Broadland 003",2245,2,18,75,10,27,1807,106,64,117,19,118.001,54.001,110.954,1764.901,-42.099,107.831,43.831,114.653,1769.50403,-37.496,277.302,213.302,86.818,1647.078,-159.922,442.64999,378.64999,78.961,1508.99194,-298.008,-0.06278,116437,-0.02727,50565,-0.05743,106521,-0.02192,40649,-0.11111,206113,-0.0756,140241,-0.14232,264007,-0.10681,198135,-51707,-21786,-54803,-24882,-101341,-71420,-185760,-155839,0.00995
"529","E02005607","South Norfolk 011",4780,2,60,177,10,45,3872,220,88,278,28,174.34801,86.348,265,3806.24609,-65.754,113.951,25.951,277.01001,3849.05591,-22.944,412.43201,324.43201,214.22301,3637.09009,-234.91,706.78101,618.78101,192.254,3396.04199,-475.95801,-0.08092,150093,-0.04105,76135,-0.06143,113946,-0.02156,39988,-0.13413,248814,-0.09426,174856,-0.22941,425590,-0.18954,351632,-73433,-37753,-55127,-19447,-138694,-103014,-321275,-285595,NA
"567","E02005580","North Norfolk 011",3174,3,13,38,1,32,2131,198,158,593,7,272.12299,114.123,557.23297,2061.7041,-69.296,227.845,69.845,566.80902,2092.29712,-38.703,690.37,532.37,426.06799,1807.96106,-323.039,882.505,724.505,378.04501,1680.87195,-450.12799,-0.04554,84464,-0.02063,38257,-0.03432,63657,-0.00941,17450,-0.07754,143851,-0.05263,97644,-0.07529,139676,-0.05038,93469,-38610,-16991,-31216,-9597,-87713,-66094,-139090,-117471,NA
"602","E02005609","South Norfolk 013",2799,2,37,67,4,26,2130,129,81,309,14,151.873,70.873,288.785,2085.48804,-44.512,126.278,45.278,292.478,2105.06006,-24.94,367.81201,286.81201,213.748,1962.44299,-167.55701,529.29303,448.293,191.937,1838.12598,-291.87399,-0.0459,85142,-0.02152,39904,-0.0328,60854,-0.00842,15616,-0.07573,140486,-0.05134,95248,-0.10161,188504,-0.07723,143266,-42137,-20801,-30481,-9145,-85374,-64038,-166182,-144846,0.00689
"639","E02005588","Norwich 005",4741,5,20,553,27,73,2820,359,382,480,22,581.42102,199.42101,448.767,2704.15991,-115.84,554.19397,172.194,454.24701,2723.10303,-96.897,1203.88904,821.88898,342.629,2346.41992,-473.57999,1559.47803,1177.47803,316.44601,2115.58691,-704.41302,-0.15285,283549,-0.05176,96015,-0.14567,270242,-0.04459,82708,-0.33788,626833,-0.23679,439299,-0.34253,635462,-0.24144,447928,-97849,-31723,-96369,-30243,-183771,-117645,-265493,-199367,0.01097
"704","E02005556","King's Lynn and West Norfolk 006",3727,3,26,136,18,28,2592,259,432,223,10,654.66901,222.66901,206.55299,2418.76611,-173.23399,618.711,186.711,205.472,2450.39697,-141.603,1254.37097,822.37097,161.254,1954.45398,-637.54602,1430.60803,998.60797,153.526,1810.95398,-781.04602,-0.18459,342443,-0.06159,114251,-0.16117,298997,-0.03817,70805,-0.3019,560093,-0.1789,331901,-0.29448,546338,-0.17148,318146,-110800,-36615,-103551,-29366,-194075,-119890,-245318,-171133,0.0054
