"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"69","E02001728","Newcastle upon Tyne 021",4258,46,24,902,39,18,2570,349,65,228,17,150.889999389648,85.8899993896484,223,-5,2519.27709960938,-50.7229995727539,138.483001708984,73.4830017089844,224.003997802734,-3.99600005149841,2529.96508789062,-40.0349998474121,551.461975097656,486.462005615234,191.419998168945,-36.5800018310547,2288.66088867188,-281.338989257812,1023.99102783203,958.991027832031,163.725006103516,-64.2760009765625,2011.33898925781,-558.661010742188,-0.0520399995148182,96540,-0.122010000050068,226280,-0.0699699968099594,129740,-0.0822200030088425,152513,-0.030179999768734,55973,-0.413569986820221,767229,-0.361530005931854,670689,-0.549740016460419,1019860,-0.49770000576973,923320,-0.0335399992763996,62216,-0.0772600024938583,143259,-0.0437199994921684,81043,-0.0532899983227253,98838,-0.0197400003671646,36622,-0.266820013523102,494960,-0.233280003070831,432744,-0.362379997968674,672256,-0.328839987516403,610040,-14147,-33218,-19071,-28672,-14525,-103254,-89107,-213563,-199416,0.0259698718730488
"87","E02002571","Darlington 013",2689,3,42,283,37,9,1602,248,95,358,12,221.880996704102,126.880996704102,334.378997802734,-23.621000289917,1533.04895019531,-68.9509963989258,179.595993041992,84.5960006713867,340.506988525391,-17.4930000305176,1557.88195800781,-44.1180000305176,721.799011230469,626.799011230469,237.723007202148,-120.277000427246,1268.9599609375,-333.040008544922,886.663024902344,791.663024902344,218.682998657227,-139.317001342773,1164.15197753906,-437.847991943359,-0.0327900014817715,60835,-0.0820500031113625,152185,-0.049260001629591,91350,-0.0562100000679493,104270,-0.0234099999070168,43435,-0.265350013971329,492266,-0.232559993863106,431431,-0.244420006871223,453433,-0.211630001664162,392598,-0.0234399996697903,43485,-0.0547300018370152,101502,-0.0312899984419346,58017,-0.0402700006961823,74709,-0.0168299991637468,31224,-0.178670004010201,331456,-0.15523000061512,287971,-0.174529999494553,323754,-0.151079997420311,280269,-13613,-32158,-18545,-24140,-10527,-91009,-77396,-141012,-127399,0.00848640421143036
"120","E02004298","County Durham 003",4163,6,21,244,46,21,3280,278,36,191,40,77.745002746582,41.7449989318848,187.733001708984,-3.26699995994568,3249.2490234375,-30.7509994506836,65.3539962768555,29.3540000915527,189.356002807617,-1.64400005340576,3256.63305664062,-23.367000579834,273.285003662109,237.285003662109,165.593994140625,-25.4060001373291,3114.9609375,-165.039001464844,595.200012207031,559.200012207031,142.412002563477,-48.5880012512207,2874.60107421875,-405.398986816406,-0.0597900003194809,110917,-0.103890001773834,192681,-0.0441000014543533,81764,-0.0899000018835068,166777,-0.0301099997013807,55860,-0.19641999900341,364372,-0.136639997363091,253455,-0.36379000544548,674887,-0.303999990224838,563970,-0.0277299992740154,51447,-0.0502699986100197,93198,-0.0225300006568432,41751,-0.0415700003504753,77117,-0.0138400001451373,25670,-0.110420003533363,204800,-0.0826800018548965,153353,-0.228100001811981,423135,-0.200360000133514,371688,-21119,-36211,-15092,-38431,-17312,-69535,-48416,-194948,-173829,0.0374737630104909
"167","E02001744","North Tyneside 007",2896,421,67,128,16,16,1862,172,51,140,23,155.703994750977,104.704002380371,132.893005371094,-7.10699987411499,1794.92004394531,-67.0800018310547,100.398002624512,49.3979988098145,137.832992553711,-2.16700005531311,1828.37902832031,-33.6209983825684,594.278991699219,543.278991699219,95.3259963989258,-44.673999786377,1520.22998046875,-341.769012451172,826.054016113281,775.054016113281,87.5830001831055,-52.4169998168945,1366.48205566406,-495.518005371094,-0.0458500012755394,85046,-0.116779997944832,216585,-0.0709400027990341,131539,-0.0740199983119965,137296,-0.0281700007617474,52250,-0.363339990377426,674026,-0.317490011453629,588980,-0.389209985733032,722030,-0.343360006809235,636984,-0.0279799997806549,51903,-0.0729700028896332,135302,-0.044989999383688,83399,-0.0449500009417534,83366,-0.0169699992984533,31463,-0.232690006494522,431634,-0.204699993133545,379731,-0.252350002527237,468100,-0.224370002746582,416197,-16523,-39948,-23425,-31458,-14935,-122669,-106146,-195872,-179349,0.010338909995502
"200","E02001684","Gateshead 003",2954,637,50,371,10,14,1344,172,70,277,9,151.011993408203,81.0120010375977,267.884002685547,-9.11600017547607,1309.13403320312,-34.8660011291504,139.90299987793,69.9029998779297,269.885009765625,-7.11499977111816,1319.49694824219,-24.5030002593994,518.515014648438,448.515014648438,214.02799987793,-62.9720001220703,1156.748046875,-187.251998901367,827.357971191406,757.357971191406,186.723999023438,-90.2760009765625,1020.61297607422,-323.386993408203,-0.0414000004529953,76796,-0.09060999751091,168019,-0.049210000783205,91223,-0.0653899982571602,121303,-0.02398999966681,44507,-0.320650011301041,594817,-0.279249995946884,518021,-0.375019997358322,695696,-0.333620011806488,618900,-0.0277900006622076,51538,-0.0594899989664555,110275,-0.0317099988460541,58737,-0.0436500012874603,80968,-0.0158699993044138,29430,-0.209820002317429,389180,-0.182030007243156,337642,-0.250030010938644,463806,-0.222249999642372,412268,-9184,-20897,-11713,-16510,-7326,-64715,-55531,-118422,-109238,0.0197314509546615
"210","E02004345","County Durham 064",4934,3,35,169,13,27,4034,295,28,301,29,110.665000915527,82.6650009155273,289.065002441406,-11.9350004196167,3973.30200195312,-60.6980018615723,47.375,19.375,299.548004150391,-1.45200002193451,4018.34594726562,-15.6540002822876,427.921997070312,399.921997070312,229.505996704102,-71.4940032958984,3754.6669921875,-279.3330078125,749.583984375,721.583984375,205.735992431641,-95.2639999389648,3496.5791015625,-537.421020507812,-0.0348000004887581,64554,-0.117859996855259,218641,-0.0830700024962425,154087,-0.0528800003230572,98097,-0.0180799998342991,33543,-0.312119990587234,579049,-0.277319997549057,514495,-0.480500012636185,891448,-0.445699989795685,826894,-0.0216400008648634,40142,-0.070200003683567,130222,-0.0485600009560585,90080,-0.0329600013792515,61143,-0.0113199995830655,21001,-0.197929993271828,367197,-0.17629000544548,327055,-0.328669995069504,609749,-0.307029992341995,569607,-12782,-43790,-31008,-23362,-10580,-123582,-110800,-300555,-287773,0.0154470289248009
"234","E02001807","Sunderland 017",3235,48,22,332,24,15,2100,278,60,331,25,170.080001831055,110.080001831055,315.218994140625,-15.7810001373291,2031.99096679688,-68.0090026855469,113.21900177002,53.2190017700195,322.156005859375,-8.8439998626709,2070.40795898438,-29.5919990539551,691.328002929688,631.328002929688,229.817993164062,-101.181999206543,1721.98400878906,-378.015991210938,949.453979492188,889.453979492188,207.419006347656,-123.581001281738,1547.13000488281,-552.869995117188,-0.0370099991559982,68662,-0.100400000810623,186188,-0.0633900016546249,117526,-0.0551499985158443,102304,-0.0181399993598461,33642,-0.333039999008179,617807,-0.296020001173019,549145,-0.37321001291275,692328,-0.336189985275269,623666,-0.02398999966681,44488,-0.0643799975514412,119353,-0.0403999984264374,74865,-0.0361299999058247,67008,-0.0121400002390146,22520,-0.217199996113777,402879,-0.193210005760193,358391,-0.249090000987053,462057,-0.225109994411469,417569,-12244,-31692,-19448,-19520,-7276,-103766,-91522,-179330,-167086,0.0208178560363502
"254","E02004292","County Durham 007",3353,9,49,299,8,19,2448,237,23,240,21,87.2149963378906,64.2149963378906,233.445999145508,-6.55399990081787,2402.90405273438,-45.0960006713867,44.1790008544922,21.1790008544922,237.841003417969,-2.15899991989136,2433.10107421875,-14.8990001678467,386.092987060547,363.092987060547,192.089004516602,-47.9109992980957,2202.22290039062,-245.776992797852,698.822021484375,675.822021484375,162.856002807617,-77.1439971923828,1980.26293945312,-467.736999511719,-0.0180099997669458,33401,-0.0767899975180626,142366,-0.0587799996137619,108965,-0.0297100003808737,55102,-0.0116999996826053,21701,-0.268180012702942,497450,-0.250169992446899,464049,-0.372869998216629,691695,-0.354860007762909,658294,-0.0113899996504188,21120,-0.0478099994361401,88615,-0.0364300012588501,67495,-0.0188299994915724,34922,-0.00743999984115362,13802,-0.172360002994537,319687,-0.160970002412796,298567,-0.246700003743172,457604,-0.23531000316143,436484,-5909,-24959,-19050,-11685,-5776,-91604,-85695,-200199,-194290,0.02756754571257
"262","E02001727","Newcastle upon Tyne 020",3668,199,52,717,40,16,1919,295,87,311,32,233.324005126953,146.324005126953,293.286010742188,-17.7140007019043,1843.15197753906,-75.8479995727539,168.035003662109,81.0350036621094,300.951995849609,-10.0480003356934,1879.25402832031,-39.7459983825684,893.205017089844,806.205017089844,208.305999755859,-102.694000244141,1508.27600097656,-410.723999023438,1207.48901367188,1120.48901367188,189.994003295898,-121.005996704102,1342.07702636719,-576.922973632812,-0.0512499995529652,95059,-0.124750003218651,231361,-0.0735099986195564,136302,-0.0718400031328201,133252,-0.0206000003963709,38193,-0.452450007200241,839349,-0.401199996471405,744290,-0.456829994916916,847479,-0.405589997768402,752420,-0.0339899994432926,63042,-0.0816899985074997,151471,-0.0476999990642071,88429,-0.047740001231432,88540,-0.0137499999254942,25498,-0.296860009431839,550680,-0.262870013713837,487638,-0.305559992790222,566816,-0.27156999707222,503774,-14422,-34127,-19705,-24203,-9781,-111435,-97013,-174954,-160532,0.0135127505637575
"285","E02001690","Gateshead 009",3419,36,23,510,15,11,2147,225,36,392,24,86.0849990844727,50.0849990844727,385.127990722656,-6.87200021743774,2117.06494140625,-29.9349994659424,70.6360015869141,34.6360015869141,389.126007080078,-2.87400007247925,2124.31005859375,-22.6900005340576,346.481994628906,310.481994628906,335.35400390625,-56.6459999084473,1975.90197753906,-171.098007202148,726.763000488281,690.763000488281,281.739013671875,-110.261001586914,1750.041015625,-396.959014892578,-0.0331699997186661,61533,-0.0674600005149841,125064,-0.0342799983918667,63531,-0.0514499992132187,95434,-0.0182799994945526,33901,-0.22010999917984,408284,-0.186939999461174,346751,-0.330119997262955,612397,-0.29695001244545,550864,-0.0208100005984306,38592,-0.0420299991965294,77895,-0.021229999139905,39303,-0.0323499999940395,59996,-0.0115400003269315,21404,-0.142330005764961,263977,-0.12151999771595,225385,-0.220890000462532,409737,-0.200090005993843,371145,-11757,-23903,-12146,-22649,-10892,-67113,-55356,-159581,-147824,0.031136596373498
