"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"69","E02001728","Newcastle upon Tyne 021",4258,46,24,902,39,18,2570,349,65,228,17,150.89,85.89,223,-5,2519.2771,-50.723,138.483,73.483,224.004,-3.996,2529.96509,-40.035,551.46198,486.46201,191.42,-36.58,2288.66089,-281.33899,1023.99103,958.99103,163.72501,-64.276,2011.33899,-558.66101,-0.05204,96540,-0.12201,226280,-0.06997,129740,-0.08222,152513,-0.03018,55973,-0.41357,767229,-0.36153,670689,-0.54974,1019860,-0.4977,923320,-0.03354,62216,-0.07726,143259,-0.04372,81043,-0.05329,98838,-0.01974,36622,-0.26682,494960,-0.23328,432744,-0.36238,672256,-0.32884,610040,-14147,-33218,-19071,-28672,-14525,-103254,-89107,-213563,-199416,0.02597
"87","E02002571","Darlington 013",2689,3,42,283,37,9,1602,248,95,358,12,221.881,126.881,334.379,-23.621,1533.04895,-68.951,179.59599,84.596,340.50699,-17.493,1557.88196,-44.118,721.79901,626.79901,237.72301,-120.277,1268.95996,-333.04001,886.66302,791.66302,218.683,-139.317,1164.15198,-437.84799,-0.03279,60835,-0.08205,152185,-0.04926,91350,-0.05621,104270,-0.02341,43435,-0.26535,492266,-0.23256,431431,-0.24442,453433,-0.21163,392598,-0.02344,43485,-0.05473,101502,-0.03129,58017,-0.04027,74709,-0.01683,31224,-0.17867,331456,-0.15523,287971,-0.17453,323754,-0.15108,280269,-13613,-32158,-18545,-24140,-10527,-91009,-77396,-141012,-127399,0.00849
"120","E02004298","County Durham 003",4163,6,21,244,46,21,3280,278,36,191,40,77.745,41.745,187.733,-3.267,3249.24902,-30.751,65.354,29.354,189.356,-1.644,3256.63306,-23.367,273.285,237.285,165.59399,-25.406,3114.96094,-165.039,595.20001,559.20001,142.412,-48.588,2874.60107,-405.39899,-0.05979,110917,-0.10389,192681,-0.0441,81764,-0.0899,166777,-0.03011,55860,-0.19642,364372,-0.13664,253455,-0.36379,674887,-0.304,563970,-0.02773,51447,-0.05027,93198,-0.02253,41751,-0.04157,77117,-0.01384,25670,-0.11042,204800,-0.08268,153353,-0.2281,423135,-0.20036,371688,-21119,-36211,-15092,-38431,-17312,-69535,-48416,-194948,-173829,0.03747
"167","E02001744","North Tyneside 007",2896,421,67,128,16,16,1862,172,51,140,23,155.70399,104.704,132.89301,-7.107,1794.92004,-67.08,100.398,49.398,137.83299,-2.167,1828.37903,-33.621,594.27899,543.27899,95.326,-44.674,1520.22998,-341.76901,826.05402,775.05402,87.583,-52.417,1366.48206,-495.51801,-0.04585,85046,-0.11678,216585,-0.07094,131539,-0.07402,137296,-0.02817,52250,-0.36334,674026,-0.31749,588980,-0.38921,722030,-0.34336,636984,-0.02798,51903,-0.07297,135302,-0.04499,83399,-0.04495,83366,-0.01697,31463,-0.23269,431634,-0.2047,379731,-0.25235,468100,-0.22437,416197,-16523,-39948,-23425,-31458,-14935,-122669,-106146,-195872,-179349,0.01034
"200","E02001684","Gateshead 003",2954,637,50,371,10,14,1344,172,70,277,9,151.01199,81.012,267.884,-9.116,1309.13403,-34.866,139.903,69.903,269.88501,-7.115,1319.49695,-24.503,518.51501,448.51501,214.028,-62.972,1156.74805,-187.252,827.35797,757.35797,186.724,-90.276,1020.61298,-323.38699,-0.0414,76796,-0.09061,168019,-0.04921,91223,-0.06539,121303,-0.02399,44507,-0.32065,594817,-0.27925,518021,-0.37502,695696,-0.33362,618900,-0.02779,51538,-0.05949,110275,-0.03171,58737,-0.04365,80968,-0.01587,29430,-0.20982,389180,-0.18203,337642,-0.25003,463806,-0.22225,412268,-9184,-20897,-11713,-16510,-7326,-64715,-55531,-118422,-109238,0.01973
"210","E02004345","County Durham 064",4934,3,35,169,13,27,4034,295,28,301,29,110.665,82.665,289.065,-11.935,3973.302,-60.698,47.375,19.375,299.548,-1.452,4018.34595,-15.654,427.922,399.922,229.506,-71.494,3754.66699,-279.33301,749.58398,721.58398,205.73599,-95.264,3496.5791,-537.42102,-0.0348,64554,-0.11786,218641,-0.08307,154087,-0.05288,98097,-0.01808,33543,-0.31212,579049,-0.27732,514495,-0.4805,891448,-0.4457,826894,-0.02164,40142,-0.0702,130222,-0.04856,90080,-0.03296,61143,-0.01132,21001,-0.19793,367197,-0.17629,327055,-0.32867,609749,-0.30703,569607,-12782,-43790,-31008,-23362,-10580,-123582,-110800,-300555,-287773,0.01545
"234","E02001807","Sunderland 017",3235,48,22,332,24,15,2100,278,60,331,25,170.08,110.08,315.21899,-15.781,2031.99097,-68.009,113.219,53.219,322.15601,-8.844,2070.40796,-29.592,691.328,631.328,229.81799,-101.182,1721.98401,-378.01599,949.45398,889.45398,207.41901,-123.581,1547.13,-552.87,-0.03701,68662,-0.1004,186188,-0.06339,117526,-0.05515,102304,-0.01814,33642,-0.33304,617807,-0.29602,549145,-0.37321,692328,-0.33619,623666,-0.02399,44488,-0.06438,119353,-0.0404,74865,-0.03613,67008,-0.01214,22520,-0.2172,402879,-0.19321,358391,-0.24909,462057,-0.22511,417569,-12244,-31692,-19448,-19520,-7276,-103766,-91522,-179330,-167086,0.02082
"254","E02004292","County Durham 007",3353,9,49,299,8,19,2448,237,23,240,21,87.215,64.215,233.446,-6.554,2402.90405,-45.096,44.179,21.179,237.841,-2.159,2433.10107,-14.899,386.09299,363.09299,192.089,-47.911,2202.2229,-245.77699,698.82202,675.82202,162.856,-77.144,1980.26294,-467.737,-0.01801,33401,-0.07679,142366,-0.05878,108965,-0.02971,55102,-0.0117,21701,-0.26818,497450,-0.25017,464049,-0.37287,691695,-0.35486,658294,-0.01139,21120,-0.04781,88615,-0.03643,67495,-0.01883,34922,-0.00744,13802,-0.17236,319687,-0.16097,298567,-0.2467,457604,-0.23531,436484,-5909,-24959,-19050,-11685,-5776,-91604,-85695,-200199,-194290,0.02757
"262","E02001727","Newcastle upon Tyne 020",3668,199,52,717,40,16,1919,295,87,311,32,233.32401,146.32401,293.28601,-17.714,1843.15198,-75.848,168.035,81.035,300.952,-10.048,1879.25403,-39.746,893.20502,806.20502,208.306,-102.694,1508.276,-410.724,1207.48901,1120.48901,189.994,-121.006,1342.07703,-576.92297,-0.05125,95059,-0.12475,231361,-0.07351,136302,-0.07184,133252,-0.0206,38193,-0.45245,839349,-0.4012,744290,-0.45683,847479,-0.40559,752420,-0.03399,63042,-0.08169,151471,-0.0477,88429,-0.04774,88540,-0.01375,25498,-0.29686,550680,-0.26287,487638,-0.30556,566816,-0.27157,503774,-14422,-34127,-19705,-24203,-9781,-111435,-97013,-174954,-160532,0.01351
"285","E02001690","Gateshead 009",3419,36,23,510,15,11,2147,225,36,392,24,86.085,50.085,385.12799,-6.872,2117.06494,-29.935,70.636,34.636,389.12601,-2.874,2124.31006,-22.69,346.48199,310.48199,335.354,-56.646,1975.90198,-171.09801,726.763,690.763,281.73901,-110.261,1750.04102,-396.95901,-0.03317,61533,-0.06746,125064,-0.03428,63531,-0.05145,95434,-0.01828,33901,-0.22011,408284,-0.18694,346751,-0.33012,612397,-0.29695,550864,-0.02081,38592,-0.04203,77895,-0.02123,39303,-0.03235,59996,-0.01154,21404,-0.14233,263977,-0.12152,225385,-0.22089,409737,-0.20009,371145,-11757,-23903,-12146,-22649,-10892,-67113,-55356,-159581,-147824,0.03114
