"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"70596","E02002447 E02005812","E02002447","E02005812",58,0,0,0,0,45,11,1,1,0,2.4300000667572,1.42999994754791,0.980000019073486,-0.0199999995529652,43.8800010681152,-1.12000000476837,1.42999994754791,0.430000007152557,1,0,44.6800003051758,-0.319999992847443,6.55999994277954,5.55999994277954,0.889999985694885,-0.109999999403954,40.5800018310547,-4.42000007629395,12.6199998855591,11.6199998855591,0.790000021457672,-0.209999993443489,35.810001373291,-9.1899995803833,-0.00135999999474734,2525,-0.00310000008903444,5756,-0.00173999997787178,3231,-0.00184000004082918,3420,-0.00047999998787418,895,-0.00791000016033649,14677,-0.00655000004917383,12152,-0.0102700004354119,19046,-0.00891000032424927,16521,-0.000880000006873161,1623,-0.00200999993830919,3735,-0.0011399999493733,2112,-0.00118999998085201,2198,-0.000310000003082678,575,-0.0051699997857213,9593,-0.00430000014603138,7970,-0.00676999986171722,12553,-0.00589000014588237,10930,-448,-1127,-679,-640,-192,-3126,-2678,-6018,-5570,0,9.64916788811555,"Wakefield 010","Selby 004",11.846,13.208,5072,5862,1.22767062790877,1.11497551916259,1.13118352186392,2208,47977,0.0133252574197456,1.72413793103448
"70597","E02002447 E02005813","E02002447","E02005813",18,0,2,0,0,13,1,0,2,0,0.340000003576279,0.340000003576279,1.96000003814697,-0.0399999991059303,12.75,-0.25,0,0,2,0,13,0,1.1599999666214,1.1599999666214,1.86000001430511,-0.140000000596046,12.1700000762939,-0.829999983310699,2.59999990463257,2.59999990463257,1.70000004768372,-0.300000011920929,11.1300001144409,-1.87000000476837,0,0,-0.000449999992270023,827,-0.000449999992270023,827,0,0,0,0,-0.0014400000218302,2679,-0.0014400000218302,2679,-0.00168999994639307,3142,-0.00168999994639307,3142,0,0,-0.000310000003082678,577,-0.000310000003082678,577,0,0,0,0,-0.00112000002991408,2084,-0.00112000002991408,2084,-0.00165999995078892,3080,-0.00165999995078892,3080,0,-207,-207,0,0,-704,-704,-1586,-1586,0,14.2510820258222,"Wakefield 010","Selby 005",16.678,20.917,6432,9790,1.17029710233794,1.2541671663269,0.29380021585322,3109,65490,0.00406368026007554,0
"70598","E02002447 E02005816","E02002447","E02005816",21,0,0,0,0,21,0,0,0,0,0.270000010728836,0.270000010728836,0,0,20.7299995422363,-0.270000010728836,0,0,0,0,21,0,0.550000011920929,0.550000011920929,0,0,20.4500007629395,-0.550000011920929,1.82000005245209,1.82000005245209,0,0,19.1800003051758,-1.82000005245209,0,0,-0.000660000019706786,1221,-0.000660000019706786,1221,0,0,0,0,-0.00130999996326864,2422,-0.00130999996326864,2422,-0.00271999998949468,5048,-0.00271999998949468,5048,0,0,-0.000260000000707805,483,-0.000260000000707805,483,0,0,0,0,-0.000569999974686652,1062,-0.000569999974686652,1062,-0.00175000005401671,3245,-0.00175000005401671,3245,0,-322,-322,0,0,-667,-667,-2201,-2201,0,16.5355422694945,"Wakefield 010","Selby 008",23.807,30.713,10704,15492,1.43974715869586,1.29008274877137,0.205821817112614,4438,62976,0.00185589164197571,0
"70599","E02002447 E02005817","E02002447","E02005817",74,0,3,2,0,55,8,0,6,0,3.15000009536743,3.15000009536743,5.73999977111816,-0.259999990463257,52.6699981689453,-2.32999992370605,0,0,6,0,55,0,17.0400009155273,17.0400009155273,4.59999990463257,-1.39999997615814,42.4099998474121,-12.5900001525879,25.2199993133545,25.2199993133545,3.94000005722046,-2.05999994277954,36.310001373291,-18.6900005340576,0,0,-0.0019000000320375,3533,-0.0019000000320375,3533,0,0,0,0,-0.0100100003182888,18576,-0.0100100003182888,18576,-0.00819000042974949,15192,-0.00819000042974949,15192,0,0,-0.00132999999914318,2469,-0.00132999999914318,2469,0,0,0,0,-0.00705000013113022,13070,-0.00705000013113022,13070,-0.00615999987348914,11421,-0.00615999987348914,11421,0,-950,-950,0,0,-5146,-5146,-7640,-7640,0,4.7998433673155,"Wakefield 010","Selby 009",7.936,9.764,3318,4230,1.65338728635191,1.23034274193548,0.970262096774194,1479,30655,0.0111634575993445,0
"70600","E02002447 E02005818","E02002447","E02005818",247,0,1,1,2,199,34,8,1,0,22.75,14.75,0.939999997615814,-0.0599999986588955,186.729995727539,-12.2700004577637,11.3999996185303,3.40000009536743,0.990000009536743,-0.00999999977648258,196.059997558594,-2.94000005722046,77.879997253418,69.879997253418,0.720000028610229,-0.280000001192093,140.610000610352,-58.3899993896484,99.9599990844727,91.9599990844727,0.620000004768372,-0.379999995231628,122.26000213623,-76.7399978637695,-0.00594000006094575,11012,-0.0163100007921457,30256,-0.0103700002655387,19244,-0.00793000031262636,14710,-0.00199000001884997,3698,-0.0550800003111362,102190,-0.049150001257658,91178,-0.0470499992370605,87286,-0.0411100015044212,76274,-0.00383000005967915,7106,-0.0105200000107288,19515,-0.00669000018388033,12409,-0.00510999979451299,9488,-0.00127999996766448,2382,-0.0355300009250641,65911,-0.031700000166893,58805,-0.0304000005125999,56392,-0.0265699997544289,49286,-2287,-6657,-4370,-3333,-1046,-23089,-20802,-29630,-27343,1,5.76529150341969,"Wakefield 010","Selby 010",7.036,9,2748,3794,1.22040663439595,1.27913587265492,0.540079590676521,1312,28663,0.00577777777777778,3.23886639676113
"76040","E02002772 E02002773","E02002772","E02002773",47,0,1,0,0,34,3,6,2,1,10.1499996185303,4.15000009536743,1.80999994277954,-0.189999997615814,30.5499992370605,-3.45000004768372,12.4099998474121,6.40999984741211,1.76999998092651,-0.230000004172325,28.6100006103516,-5.3899998664856,21.4300003051758,15.4300003051758,1.17999994754791,-0.819999992847443,21.2700004577637,-12.7299995422363,23.5900001525879,17.5900001525879,1.08000004291534,-0.920000016689301,19.4699993133545,-14.5299997329712,-0.00218999991193414,4057,-0.00364000000990927,6748,-0.00144999998155981,2691,-0.00429000006988645,7965,-0.0021100000012666,3908,-0.00796000007539988,14764,-0.00577000016346574,10707,-0.0066800001077354,12387,-0.00449000019580126,8330,-0.00141000002622604,2617,-0.00234999996609986,4357,-0.000939999998081475,1740,-0.00276999990455806,5141,-0.00135999999474734,2524,-0.00515000009909272,9551,-0.00374000007286668,6934,-0.00432999990880489,8030,-0.00292000011540949,5413,-1197,-2007,-810,-2462,-1265,-4188,-2991,-4610,-3413,0,2.9363875453526,"York 001","York 002",4.625,4.538,1862,1902,1.57506457460629,0.981189189189189,0.172972972972973,862,9376,0.00176289114147201,12.7659574468085
"76041","E02002772 E02002774","E02002772","E02002774",39,0,1,0,1,32,2,2,0,0,5.1399998664856,3.14000010490417,0,0,29.2800006866455,-2.72000002861023,4.67000007629395,2.67000007629395,0,0,29.6100006103516,-2.39000010490417,16.0200004577637,14.0200004577637,0,0,19.9099998474121,-12.0900001525879,18.3400001525879,16.3400001525879,0,0,17.8999996185303,-14.1000003814697,-0.00095999997574836,1783,-0.00246999994851649,4585,-0.00150999997276813,2802,-0.00213999999687076,3972,-0.0011800000211224,2189,-0.0081599997356534,15128,-0.00718999980017543,13345,-0.00631000008434057,11709,-0.00535000022500753,9926,-0.000620000006165355,1146,-0.00158999999985099,2947,-0.000969999993685633,1801,-0.00138000003062189,2553,-0.000760000024456531,1407,-0.00523999985307455,9726,-0.00461999978870153,8580,-0.00406000018119812,7526,-0.00343999988399446,6380,-524,-1321,-797,-1222,-698,-4064,-3540,-4653,-4129,1,3.70687356861723,"York 001","York 003",5.758,5.676,2292,2502,1.55333056102798,0.985758944077805,0.138937130948246,1073,11515,0.00140944326990839,5.12820512820513
"76042","E02002772 E02002775","E02002772","E02002775",103,0,16,0,1,69,8,7,1,1,15.1700000762939,8.17000007629395,0.910000026226044,-0.0900000035762787,63.1399993896484,-5.8600001335144,7.78000020980835,0.779999971389771,0.970000028610229,-0.0299999993294477,68.5500030517578,-0.449999988079071,42.1300010681152,35.1300010681152,0.649999976158142,-0.349999994039536,43.6599998474121,-25.3400001525879,48.4300003051758,41.4300003051758,0.579999983310699,-0.419999986886978,39.1399993896484,-29.8600006103516,-0.0031999999191612,5932,-0.0069599999114871,12902,-0.0037599999923259,6970,-0.00350999995134771,6516,-0.000310000003082678,584,-0.0204399991780519,37925,-0.0172400008887053,31993,-0.0160099994391203,29705,-0.012810000218451,23773,-0.00206000008620322,3830,-0.00449000019580126,8325,-0.00242000003345311,4495,-0.00227000005543232,4209,-0.000199999994947575,379,-0.0131900003179908,24463,-0.011119999922812,20633,-0.0103399995714426,19190,-0.00827999971807003,15360,-1397,-3074,-1677,-1526,-129,-8652,-7255,-9946,-8549,0,4.93845019616061,"York 001","York 004",5.624,5.397,2142,3226,1.13881881493355,0.959637268847795,0.213371266002845,1048,14725,0.00185288123031314,6.79611650485437
"76043","E02002772 E02002776","E02002772","E02002776",283,0,35,0,8,186,29,21,3,0,41.939998626709,20.9400005340576,2.75999999046326,-0.239999994635582,171.149993896484,-14.8500003814697,40.2599983215332,19.2600002288818,2.75,-0.25,172.610000610352,-13.3900003433228,107.889999389648,86.8899993896484,2.01999998092651,-0.980000019073486,124.199996948242,-61.7999992370605,127.459999084473,106.459999084473,1.78999996185303,-1.21000003814697,110.319999694824,-75.6800003051758,-0.0105600003153086,19596,-0.0211100000888109,39161,-0.0105499997735023,19565,-0.0194700006395578,36118,-0.00891000032424927,16522,-0.0572400018572807,106203,-0.046679999679327,86607,-0.0465399995446205,86349,-0.0359800010919571,66753,-0.00682999985292554,12668,-0.0136399995535612,25312,-0.00681999977678061,12644,-0.0125900004059076,23352,-0.0057600000873208,10684,-0.0370000004768372,68648,-0.0301699992269278,55980,-0.0301600005477667,55955,-0.0233299992978573,43287,-4630,-9296,-4666,-8839,-4209,-24050,-19420,-28411,-23781,1,5.68972573107714,"York 001","York 005",6.179,6.165,2360,2356,1.08599259297341,0.997734261207315,0.242757727787668,1152,10033,0.0024330900243309,7.42049469964664
"76044","E02002772 E02002777","E02002772","E02002777",190,0,12,0,0,156,12,9,1,0,20.5,11.5,0.939999997615814,-0.0599999986588955,146.089996337891,-9.90999984741211,18.1299991607666,9.13000011444092,0.910000026226044,-0.0900000035762787,148.169998168945,-7.82999992370605,57.2200012207031,48.2200012207031,0.730000019073486,-0.270000010728836,114.440002441406,-41.560001373291,73.2799987792969,64.2799987792969,0.639999985694885,-0.360000014305115,100.599998474121,-55.4000015258789,-0.00602999981492758,11186,-0.0137200001627207,25456,-0.00768999988213181,14270,-0.0115999998524785,21524,-0.00557000003755093,10338,-0.0404299981892109,75017,-0.034400001168251,63831,-0.0350899994373322,65107,-0.0290600005537271,53921,-0.00389000005088747,7219,-0.00886000040918589,16434,-0.00497000012546778,9215,-0.00749999983236194,13920,-0.00361000001430511,6701,-0.0261199995875359,48458,-0.0222299993038177,41239,-0.0227199997752905,42153,-0.0188299994915724,34934,-3199,-7283,-4084,-6430,-3231,-20330,-17131,-26033,-22834,0,7.07691172843158,"York 001","York 006",8.095,9.129,3158,4328,1.14386052993684,1.12773316862261,0.16059295861643,1509,25226,0.00186219739292365,4.73684210526316
