"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"121058",1,1,1,11.846,5072,337,134,0.01131,2208,176,47977,"E02002447 E02005812",337
"121059",1,1,1,16.678,6432,356,49,0.00294,3109,207,65490,"E02002447 E02005813",356
"121060",1,1,1,23.807,10704,369,49,0.00206,4438,298,62976,"E02002447 E02005816",369
"121061",1,1,1,7.936,3318,191,77,0.0097,1479,110,30655,"E02002447 E02005817",191
"121062",1,1,1,7.036,2748,146,38,0.0054,1312,90,28663,"E02002447 E02005818",146
"131955",1,1,1,4.625,1862,114,8,0.00173,862,60,9376,"E02002772 E02002773",114
"131956",1,1,1,5.758,2292,141,8,0.00139,1073,74,11515,"E02002772 E02002774",141
"131957",1,1,1,5.624,2142,145,12,0.00213,1048,71,14725,"E02002772 E02002775",145
"131958",1,1,1,6.179,2360,185,15,0.00243,1152,77,10033,"E02002772 E02002776",185
"131959",1,1,1,8.095,3158,185,13,0.00161,1509,103,25226,"E02002772 E02002777",185
"131960",1,1,1,8.735,3346,198,14,0.0016,1628,110,26231,"E02002772 E02002778",198
"131961",1,1,1,7.998,3164,226,22,0.00275,1491,102,13254,"E02002772 E02002779",226
"131962",1,1,1,8.481,3260,291,24,0.00283,1581,110,13731,"E02002772 E02002780",291
"131963",1,1,1,7.956,3122,269,30,0.00377,1483,103,12808,"E02002772 E02002781",269
"131964",1,1,1,10.995,4398,260,31,0.00282,2050,144,45525,"E02002772 E02002782",260
"131965",1,1,1,12.028,4928,309,41,0.00341,2242,160,39347,"E02002772 E02002783",309
"131966",1,1,1,9.589,4118,367,60,0.00626,1787,134,20418,"E02002772 E02002784",367
"131967",1,1,1,10.486,4182,330,28,0.00267,1955,137,16543,"E02002772 E02002785",330
"131968",1,1,1,9.929,3962,283,21,0.00212,1851,124,16900,"E02002772 E02002786",283
"131969",1,1,1,12.062,4968,338,45,0.00373,2248,163,31363,"E02002772 E02002787",338
"131970",1,1,1,10.779,4628,368,43,0.00399,2009,143,17586,"E02002772 E02002788",368
"131971",1,1,1,10.885,4534,362,50,0.00459,2029,148,19363,"E02002772 E02002790",362
"131972",1,1,1,13.603,5264,276,73,0.00537,2536,184,31262,"E02002772 E02002791",276
