"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"121058",1,1,1,13.208,5862,333,176,0.01333,2462,199,25509,"E02002447 E02005812"
"121059",1,1,1,20.917,9790,370,85,0.00406,3899,266,35671,"E02002447 E02005813"
"121060",1,1,1,30.713,15492,545,57,0.00186,5725,391,51781,"E02002447 E02005816"
"121061",1,1,1,9.764,4230,237,109,0.01116,1820,141,19940,"E02002447 E02005817"
"121062",1,1,1,9,3794,191,52,0.00578,1678,115,14728,"E02002447 E02005818"
"131955",1,1,1,4.538,1902,108,8,0.00176,846,59,9265,"E02002772 E02002773"
"131956",1,1,1,5.676,2502,133,8,0.00141,1058,73,10716,"E02002772 E02002774"
"131957",1,1,1,5.397,3226,170,10,0.00185,1006,67,9531,"E02002772 E02002775"
"131958",1,1,1,6.165,2356,182,15,0.00243,1149,77,10006,"E02002772 E02002776"
"131959",1,1,1,9.129,4328,273,17,0.00186,1702,117,13334,"E02002772 E02002777"
"131960",1,1,1,9.811,4598,307,18,0.00183,1829,126,14204,"E02002772 E02002778"
"131961",1,1,1,7.672,3208,212,18,0.00235,1430,97,12749,"E02002772 E02002779"
"131962",1,1,1,8.574,3512,284,20,0.00233,1598,111,12954,"E02002772 E02002780"
"131963",1,1,1,7.942,3118,266,30,0.00378,1480,103,12781,"E02002772 E02002781"
"131964",1,1,1,12.039,5544,379,35,0.00291,2244,159,17087,"E02002772 E02002782"
"131965",1,1,1,13.016,6076,413,43,0.0033,2426,174,17857,"E02002772 E02002783"
"131966",1,1,1,9.658,4486,360,34,0.00352,1800,128,15250,"E02002772 E02002784"
"131967",1,1,1,10.164,4244,318,24,0.00236,1895,132,16005,"E02002772 E02002785"
"131968",1,1,1,9.709,3966,291,21,0.00216,1810,121,15303,"E02002772 E02002786"
"131969",1,1,1,11.693,5542,403,57,0.00487,2180,162,17267,"E02002772 E02002787"
"131970",1,1,1,11.069,5052,381,37,0.00334,2063,146,16189,"E02002772 E02002788"
"131971",1,1,1,10.888,4494,405,58,0.00533,2030,152,17395,"E02002772 E02002790"
"131972",1,1,1,15.407,6312,459,55,0.00357,2872,204,23748,"E02002772 E02002791"
"131973",1,1,1,13.17,5992,475,76,0.00577,2455,184,18844,"E02002772 E02002792"
"131974",1,1,1,14.007,6256,501,38,0.00271,2611,183,19447,"E02002772 E02002793"
"131975",1,1,1,11.99,5148,466,73,0.00609,2235,167,17854,"E02002772 E02002794"
