"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"39","E02002774","York 003",2858,1,34,303,10,35,1968,144,186,162,15,337.92599,151.92599,150.00101,1862.62903,-105.371,306.43301,120.433,155.558,1885.85303,-82.147,801.27698,615.27698,103.682,1548.13904,-419.86099,960.11499,774.11499,101.916,1428.00195,-539.99799,-0.10245,190040,-0.04569,84750,-0.09228,171189,-0.03552,65899,-0.23922,443801,-0.18247,338511,-0.22272,413192,-0.16597,307902,-75231,-34101,-67935,-26805,-166376,-125246,-223756,-182626,0.00321
"61","E02002782","York 011",2480,4,119,127,3,24,1674,128,212,171,18,318.88599,106.886,159.76199,1599.41602,-74.584,320.51599,108.516,164.709,1599.56201,-74.438,600.36902,388.36899,123.433,1397.70105,-276.29901,737.245,525.245,115.384,1298.18896,-375.811,-0.09079,168411,-0.02862,53067,-0.09569,177522,-0.03352,62178,-0.15838,293798,-0.0962,178454,-0.16143,299463,-0.09925,184119,-69751,-22801,-75225,-28275,-120855,-73905,-165889,-118939,0.00586
"115","E02005761","Harrogate 001",2071,3,17,20,6,15,1672,95,33,191,19,66.24,33.24,184.662,1647.92004,-24.08,56.843,23.843,187.078,1654.48804,-17.512,191.644,158.644,155.66,1562.01404,-109.986,333.47601,300.47601,136.584,1451.70203,-220.298,-0.01671,30978,-0.00863,16002,-0.01356,25155,-0.00549,10179,-0.03782,70150,-0.02975,55174,-0.06364,118045,-0.05556,103069,-20894,-10876,-18034,-8016,-46226,-36208,-110954,-100936,0.02198
"265","E02005784","Richmondshire 003",2974,3,33,35,13,21,2067,159,67,532,44,148.925,81.925,506.63199,2019.27002,-47.73,83.635,16.635,528.91498,2055.44995,-11.55,480.11499,413.11499,389.54999,1840.927,-226.073,702.12799,635.12799,341.90302,1691.18994,-375.81,-0.02482,46023,-0.01314,24359,-0.01549,28733,-0.00381,7069,-0.07071,131176,-0.05903,109512,-0.07908,146696,-0.0674,125032,-34357,-18626,-22172,-6441,-87743,-72012,-163309,-147578,0.0148
"304","E02005759","Hambleton 010",3392,2,42,147,5,24,2533,183,78,360,18,189.617,111.617,335.51501,2457.43506,-75.565,134.207,56.207,346.37399,2496.51611,-36.484,556.59601,478.59601,246.41901,2215.6731,-317.327,729.901,651.901,227.589,2083.06299,-449.93701,-0.04186,77643,-0.02423,44939,-0.03297,61153,-0.01534,28449,-0.09499,176216,-0.07736,143512,-0.11127,206424,-0.09364,173720,-51089,-29834,-38455,-17200,-122970,-101715,-207687,-186432,0.00335
"396","E02002789","York 018",3934,1,47,579,31,73,2035,260,486,400,22,691.83698,205.83701,369.194,1927.42395,-107.576,719.172,233.172,363.22501,1917.90198,-117.098,1192.81299,706.81299,278.45999,1669.81494,-365.185,1414.88599,928.88599,260.68301,1538.02002,-496.98001,-0.1472,273073,-0.04088,75820,-0.1491,276597,-0.04277,79344,-0.23493,435836,-0.1286,238583,-0.23139,429262,-0.12506,232009,-99446,-27952,-102257,-30763,-153055,-81561,-202072,-130578,0.0059
"418","E02005799","Scarborough 005",3622,2,42,180,20,45,2389,296,155,469,24,288.75601,133.756,444.77499,2302.93994,-86.06,283.884,128.884,444.50601,2306.875,-82.125,892.23798,737.23798,325.41101,1922.375,-466.625,1193.745,1038.745,290.19601,1713.09094,-675.909,-0.07247,134436,-0.02862,53089,-0.06514,120850,-0.02129,39503,-0.16535,306771,-0.12151,225424,-0.17303,321003,-0.12918,239656,-43986,-17292,-43381,-16687,-108251,-81557,-166469,-139775,0.01907
"472","E02002795","York 024",3458,5,56,311,7,40,2409,188,283,147,12,389.21899,106.219,138.002,2335.9729,-73.027,436.28699,153.287,135.384,2308.06201,-100.938,599.85199,316.85199,110.791,2193.68604,-215.314,848.797,565.797,99.507,2012.57996,-396.42001,-0.14025,260171,-0.03741,69376,-0.15601,289430,-0.05317,98635,-0.20587,381911,-0.10303,191116,-0.24244,449763,-0.13959,258968,-106933,-29180,-122520,-44767,-153199,-75446,-240080,-162327,0.00916
"522","E02005776","Harrogate 016",3271,6,81,38,7,28,2716,159,63,154,19,130.79601,67.796,146.618,2662.98999,-53.009,95.54,32.54,150.85001,2690.03101,-25.969,340.767,277.767,119.214,2503.50488,-212.495,521.72302,458.72299,109.111,2352.18408,-363.81601,-0.04412,81819,-0.02474,45872,-0.0311,57689,-0.01172,21742,-0.1049,194589,-0.08552,158642,-0.14177,262978,-0.12239,227031,-45808,-25827,-35119,-15138,-109164,-89183,-209591,-189610,NA
"671","E02005742","Craven 001",2976,2,30,35,4,21,2201,175,30,450,28,69.548,39.548,438.30899,2176.26099,-24.739,40.169,10.169,447.15799,2194.45508,-6.545,216.595,186.595,386.31699,2092.18701,-108.813,414.733,384.733,336.57901,1960.50598,-240.494,-0.02807,52063,-0.01495,27727,-0.01694,31424,-0.00382,7088,-0.05759,106839,-0.04447,82503,-0.08402,155869,-0.0709,131533,-24620,-13503,-15558,-4441,-54970,-43853,-139712,-128595,NA
