"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"124904","E02005612 E02005613","E02005612","E02005613",988,0,18,23,7,539,137,70,192,1,136.979995727539,66.9800033569336,177.990005493164,-14.0100002288818,499.670013427734,-39.3300018310547,100.480003356934,30.4799995422363,185.759994506836,-6.23999977111816,521.070007324219,-17.9300003051758,442.329986572266,372.329986572266,114.050003051758,-77.9499969482422,320.399993896484,-218.600006103516,463.820007324219,393.820007324219,109.559997558594,-82.4400024414062,307.790008544922,-231.210006713867,-0.00803000014275312,14893,-0.0156699996441603,29071,-0.00763999996706843,14178,-0.00968999974429607,17967,-0.00165999995078892,3074,-0.0463000014424324,85893,-0.0382700003683567,71000,-0.0280900001525879,52120,-0.0200599990785122,37227,-0.00539000006392598,9994,-0.0105200000107288,19514,-0.00512999994680285,9520,-0.00650000013411045,12055,-0.00110999995376915,2061,-0.031139999628067,57768,-0.0257500000298023,47774,-0.0195000004023314,36178,-0.0141099998727441,26184,-2488,-4868,-2380,-3572,-1084,-15723,-13235,-16487,-13999,1,0.64271106019139,"Corby 001","Corby 002",1.211,1.128,532,600,1.88420594417557,0.931461601981833,0.660611065235343,226,1960,0.00354609929078014,7.08502024291498
"124905","E02005612 E02005614","E02005612","E02005614",1135,0,26,13,9,734,162,67,122,2,144.240005493164,77.2399978637695,113.059997558594,-8.9399995803833,681.010009765625,-52.9900016784668,97.25,30.25,118.160003662109,-3.83999991416931,713.510009765625,-20.4899997711182,468.100006103516,401.100006103516,76.7399978637695,-45.2599983215332,457.899993896484,-276.100006103516,545.739990234375,478.739990234375,67.7600021362305,-54.2400016784668,404.630004882812,-329.369995117188,-0.0268099997192621,49733,-0.0579599998891354,107539,-0.0311600007116795,57806,-0.032490000128746,60275,-0.00567999994382262,10542,-0.174669995903969,324063,-0.147860005497932,274330,-0.136849999427795,253894,-0.110040001571178,204161,-0.0176100004464388,32670,-0.0380299985408783,70552,-0.0204199999570847,37882,-0.021339999511838,39595,-0.00372999999672174,6925,-0.114509999752045,212453,-0.096900001168251,179783,-0.0905700027942657,168027,-0.0729599967598915,135357,-7514,-16095,-8581,-10905,-3391,-51972,-44458,-60598,-53084,0,2.25558838872792,"Corby 001","Corby 003",2.947,2.977,1134,1138,1.30653270549154,1.01017984390906,1.11978282999661,549,5605,0.0104131676184078,5.90308370044053
"124906","E02005612 E02005615","E02005612","E02005615",764,0,61,8,6,476,129,45,38,1,102.730003356934,57.7299995422363,34.9599990844727,-3.03999996185303,437.820007324219,-38.1800003051758,68.879997253418,23.8799991607666,36.7700004577637,-1.23000001907349,460.329986572266,-15.6700000762939,342.529998779297,297.529998779297,22.2099990844727,-15.789999961853,278.760009765625,-197.240005493164,380.75,335.75,20.1900005340576,-17.8099994659424,253.490005493164,-222.509994506836,-0.0184499993920326,34222,-0.0419699996709824,77868,-0.023530000820756,43646,-0.023029999807477,42727,-0.00457999994978309,8505,-0.129480004310608,240233,-0.111040003597736,206011,-0.103739999234676,192467,-0.0852899998426437,158245,-0.0119399996474385,22150,-0.0271700005978346,50410,-0.0152300000190735,28260,-0.0149100003764033,27655,-0.00297000003047287,5505,-0.0838600024580956,155577,-0.0719200000166893,133427,-0.0673699975013733,124997,-0.0554299987852573,102847,-4081,-9396,-5315,-6262,-2181,-31539,-27458,-35059,-30978,0,2.04123655407701,"Corby 001","Corby 004",2.733,2.726,1150,1148,1.33889430626809,0.997438712038053,0.804976216611782,509,5236,0.00880410858400587,5.89005235602094
"124907","E02005612 E02005616","E02005612","E02005616",647,1,49,12,1,373,113,20,75,2,61.439998626709,41.439998626709,70.0699996948242,-4.92999982833862,348.359985351562,-24.6399993896484,36.1800003051758,16.1800003051758,73.0999984741211,-1.89999997615814,363.399993896484,-9.60000038146973,260.450012207031,240.449996948242,46.1500015258789,-28.8500003814697,229.889999389648,-143.110000610352,307.239990234375,287.239990234375,40.5499992370605,-34.4500007629395,202.050003051758,-170.949996948242,-0.00745999999344349,13835,-0.0225000008940697,41742,-0.0150399999693036,27907,-0.010219999589026,18969,-0.00276999990455806,5134,-0.0868199989199638,161080,-0.0793600007891655,147245,-0.0663399994373322,123086,-0.0588899999856949,109251,-0.00487999990582466,9044,-0.0147299999371171,27329,-0.00985999964177608,18285,-0.00669000018388033,12406,-0.00181000004522502,3362,-0.0569199994206429,105605,-0.0520499981939793,96561,-0.0439600013196468,81551,-0.0390800014138222,72507,-1709,-5308,-3599,-3110,-1401,-22621,-20912,-26689,-24980,2,1.95390007989658,"Corby 001","Corby 005",2.89,2.61,1168,1296,1.47909303537823,0.903114186851211,1.280276816609,539,4451,0.0111111111111111,3.09119010819165
"124908","E02005612 E02005617","E02005612","E02005617",739,0,114,10,8,401,137,34,30,5,79.5899963378906,45.5900001525879,28.0599994659424,-1.94000005722046,375.070007324219,-25.9300003051758,51.0499992370605,17.0499992370605,29.2700004577637,-0.730000019073486,391.329986572266,-9.67000007629395,276.549987792969,242.550003051758,19.6800003051758,-10.3199996948242,262.989990234375,-138.009994506836,339.760009765625,305.760009765625,16.9899997711182,-13.0100002288818,227.039993286133,-173.960006713867,-0.0204199999570847,37891,-0.0478200018405914,88718,-0.0274000000208616,50827,-0.0252299997955561,46815,-0.00480999983847141,8924,-0.154109999537468,285914,-0.133680000901222,248023,-0.136419996619225,253095,-0.115989997982979,215204,-0.0131999999284744,24497,-0.0309200007468462,57357,-0.0177100002765656,32860,-0.0163100007921457,30266,-0.00310999993234873,5769,-0.099650003015995,184874,-0.0864399969577789,160377,-0.088409997522831,164019,-0.0751999989151955,139522,-3868,-9071,-5203,-5808,-1940,-31561,-27693,-38773,-34905,0,2.73014903895767,"Corby 001","Corby 006",3.947,3.864,1672,1740,1.44570862018101,0.978971370661262,1.08943501393463,736,6545,0.0100931677018634,4.60081190798376
"124909","E02005612 E02005629","E02005612","E02005629",40,0,0,1,0,37,2,0,0,0,0.469999998807907,0.469999998807907,0,0,36.560001373291,-0.439999997615814,0,0,0,0,37,0,1.46000003814697,1.46000003814697,0,0,35.6500015258789,-1.35000002384186,4.28999996185303,4.28999996185303,0,0,33.0299987792969,-3.97000002861023,0,0,-0.00101000000722706,1876,-0.00101000000722706,1876,0,0,0,0,-0.00270999991334975,5023,-0.00270999991334975,5023,-0.00522999977692962,9707,-0.00522999977692962,9707,0,0,-0.00052000000141561,972,-0.00052000000141561,972,0,0,0,0,-0.00150999997276813,2807,-0.00150999997276813,2807,-0.00335999997332692,6240,-0.00335999997332692,6240,0,-402,-402,0,0,-1247,-1247,-3674,-3674,0,14.5773738817915,"Corby 001","East Northamptonshire 001",18.18,19.421,7116,7822,1.24713821209652,1.06826182618262,1.37513751375138,3389,30574,0.0155501776427578,0
"124910","E02005612 E02005630","E02005612","E02005630",55,0,0,0,0,50,4,0,1,0,0.629999995231628,0.629999995231628,0.990000009536743,-0.00999999977648258,49.4199981689453,-0.579999983310699,0,0,1,0,50,0,1.87999999523163,1.87999999523163,0.970000028610229,-0.0299999993294477,48.2900009155273,-1.71000003814697,5.67000007629395,5.67000007629395,0.899999976158142,-0.100000001490116,44.8499984741211,-5.15000009536743,0,0,-0.0015999999595806,2967,-0.0015999999595806,2967,0,0,0,0,-0.00412999978289008,7662,-0.00412999978289008,7662,-0.0080199996009469,14879,-0.0080199996009469,14879,0,0,-0.000820000015664846,1516,-0.000820000015664846,1516,0,0,0,0,-0.00227999989874661,4230,-0.00227999989874661,4230,-0.00533000007271767,9879,-0.00533000007271767,9879,0,-550,-550,0,0,-1636,-1636,-4926,-4926,0,15.9801212590659,"Corby 001","East Northamptonshire 002",18.726,21.078,7312,10336,1.17183090768953,1.1256007689843,1.30300117483712,3491,79234,0.0157510200208748,0
"124911","E02005612 E02005631","E02005612","E02005631",71,0,0,0,0,63,6,0,0,2,0.680000007152557,0.680000007152557,0,0,62.4000015258789,-0.600000023841858,0,0,0,0,63,0,1.89999997615814,1.89999997615814,0,0,61.3199996948242,-1.67999994754791,6.44000005722046,6.44000005722046,0,0,57.2799987792969,-5.71999979019165,0,0,-0.00158999999985099,2945,-0.00158999999985099,2945,0,0,0,0,-0.00383000005967915,7098,-0.00383000005967915,7098,-0.008500000461936,15776,-0.008500000461936,15776,0,0,-0.000760000024456531,1408,-0.000760000024456531,1408,0,0,0,0,-0.00197000009939075,3659,-0.00197000009939075,3659,-0.00547000020742416,10141,-0.00547000020742416,10141,0,-606,-606,0,0,-1689,-1689,-5737,-5737,0,16.2919573694746,"Corby 001","East Northamptonshire 003",19.634,24.856,8080,10574,1.20513450623111,1.26596719975553,1.62473260670266,3660,79827,0.0163743160605085,0
"124912","E02005612 E02005639","E02005612","E02005639",88,0,0,0,0,78,10,0,0,0,2.28999996185303,2.28999996185303,0,0,75.9800033569336,-2.01999998092651,0,0,0,0,78,0,11.6599998474121,11.6599998474121,0,0,67.7600021362305,-10.2399997711182,21.6399993896484,21.6399993896484,0,0,58.9300003051758,-19.0699996948242,0,0,-0.00310999993234873,5772,-0.00310999993234873,5772,0,0,0,0,-0.0140800001099706,26129,-0.0140800001099706,26129,-0.0166400000452995,30877,-0.0166400000452995,30877,0,0,-0.0020000000949949,3710,-0.0020000000949949,3710,0,0,0,0,-0.00905000045895576,16797,-0.00905000045895576,16797,-0.0107000004500151,19850,-0.0107000004500151,19850,0,-1051,-1051,0,0,-5313,-5313,-9959,-9959,0,6.95243834370832,"Corby 001","Kettering 001",9.286,11.222,3984,5190,1.33564650859557,1.20848589274176,1.572259315098,1731,62816,0.0171092496881126,0
"124913","E02005612 E02005640","E02005612","E02005640",118,0,0,0,1,109,7,0,1,0,2.39000010490417,2.39000010490417,0.980000019073486,-0.0199999995529652,106.790000915527,-2.21000003814697,0,0,1,0,109,0,9.98999977111816,9.98999977111816,0.910000026226044,-0.0900000035762787,99.7600021362305,-9.23999977111816,21.25,21.25,0.819999992847443,-0.180000007152557,89.3499984741211,-19.6499996185303,0,0,-0.00371999992057681,6904,-0.00371999992057681,6904,0,0,0,0,-0.0132200000807643,24520,-0.0132200000807643,24520,-0.0183099992573261,33972,-0.0183099992573261,33972,0,0,-0.00240999995730817,4479,-0.00240999995730817,4479,0,0,0,0,-0.00858000013977289,15921,-0.00858000013977289,15921,-0.0119500001892447,22176,-0.0119500001892447,22176,0,-1522,-1522,0,0,-6364,-6364,-13538,-13538,0,10.5012345269706,"Corby 001","Kettering 002",14.155,14.156,5874,6084,1.34793675578289,1.00007064641469,0.996114447191805,2639,37609,0.0119384006781577,0
