"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",2,3.09,2,3.57,10.95,NA,NA,NA,NA,NA,0
"2",1,3.08,2.29,7.66,22.74,NA,NA,NA,NA,NA,0
"3",3,6.17,4.29,11.23,33.69,20,42.66,20,152.92,184.84,1
"4",3,9.47,6.63,32.26,66.93,20,42.66,20,152.92,184.84,1
"5",1,3.7,2.38,14.47,28.32,NA,NA,NA,NA,NA,0
"6",2,5.77,4.25,17.79,38.61,20,42.66,20,152.92,184.84,1
"7",6,15.64,10.92,43.49,100.62,20,42.66,20,152.92,184.84,1
"8",1,2.34,1.91,6.17,12.65,20,42.66,20,152.92,184.84,1
"9",1,3.43,2.34,11.62,25.96,NA,NA,NA,NA,NA,0
"10",1,3.63,2.29,8.73,27.29,11,24.15,19.9,87.66,135.41,1
"11",0,0.55,0,1.07,4.55,NA,NA,NA,NA,NA,0
"12",12,23.72,21.03,44.34,126.37,11,24.15,19.9,87.66,135.41,1
"13",11,20.09,18.74,35.61,99.08,NA,NA,NA,NA,NA,0
"14",7,20.74,12.34,73.64,129.8,4,22.08,6.11,120.73,152.14999,1
"15",0,0.24,0,0.62,2.44,4,22.08,6.11,120.73,152.14999,1
"16",7,20.5,12.34,73.02,127.36,4,22.08,6.11,120.73,152.14999,1
"17",0,0.24,0,0.62,2.44,4,22.08,6.11,120.73,152.14999,1
"18",1,3.67,2.34,12.24,28.4,4,22.08,6.11,120.73,152.14999,1
"19",1,3.43,2.34,11.62,25.96,NA,NA,NA,NA,NA,0
"20",0,0.45,0,1.14,4.58,NA,NA,NA,NA,NA,0
"21",3,4.69,5.99,6.83,20.37,11,24.15,19.9,87.66,135.41,1
"22",0,0.45,0,1.14,4.58,NA,NA,NA,NA,NA,0
"23",0,0.24,0,0.62,2.44,20,42.66,20,152.92,184.84,1
"24",0,0.21,0,0.52,2.14,NA,NA,NA,NA,NA,0
"25",1,2.58,1.91,6.79,15.09,NA,NA,NA,NA,NA,0
"26",1,2.34,1.91,6.17,12.65,4,22.08,6.11,120.73,152.14999,1
"27",1,1.72,1,2.29,7.39,NA,NA,NA,NA,NA,0
"28",1,1.82,1,2.42,8.14,NA,NA,NA,NA,NA,0
"29",1,2.55,1.91,6.69,14.79,NA,NA,NA,NA,NA,0
"30",1,1.87,1.86,3.39,11.41,NA,NA,NA,NA,NA,0
"31",2,2.82,4.13,3.44,8.96,11,24.15,19.9,87.66,135.41,1
"32",1,1.37,1,1.28,3.56,NA,NA,NA,NA,NA,0
"33",2,6.5,4.03,24.39,44.08,NA,NA,NA,NA,NA,0
"34",5,14,8.31,48.63,83.28,4,22.08,6.11,120.73,152.14999,1
"35",17,49.25,28.93,170.51,328.53,6,28.41,9.46,149.28999,179.36,1
"36",4,10.21,8.42,24.14,67.9,NA,NA,NA,NA,NA,0
"37",10,18.86,16.07,34.37,96.83,29,55.08,41.9,198.94,248.96001,1
"38",6,8.65,7.65,10.23,28.93,NA,NA,NA,NA,NA,0
"39",3,7.07,6.49,17.78,43.15,6,28.41,9.46,149.28999,179.36,1
"40",14,42.18,22.44,152.73,285.38,6,28.41,9.46,149.28999,179.36,1
"41",3,7.07,6.58,16.35,44.67,23,68.18,55.9,346.48999,427.22,1
"42",1,3.14,1.84,7.79,23.23,23,68.18,55.9,346.48999,427.22,1
"43",1,1.23,2.67,1.24,2.25,29,55.08,41.9,198.94,248.96001,1
"44",3,4.95,6.42,6.93,19.41,6,28.41,9.46,149.28999,179.36,1
"45",11,37.23,16.02,145.8,265.97,NA,NA,NA,NA,NA,0
"46",71,143.84,118.31,503.00001,650.64,23,68.18,55.9,346.48999,427.22,1
"47",74,150.91,124.89,519.35001,695.31,23,68.18,55.9,346.48999,427.22,1
"48",142,262.86001,228.44999,805.56001,1131.76002,29,55.08,41.9,198.94,248.96001,1
"49",75,155.92,127.62,538.00001,737.43,23,68.18,55.9,346.48999,427.22,1
"50",1,5.01,2.73,18.65,42.12,23,68.18,55.9,346.48999,427.22,1
"51",51,117.62,100.27,471.18001,625.77999,NA,NA,NA,NA,NA,0
"52",136,254.21001,220.79999,795.33001,1102.83002,NA,NA,NA,NA,NA,0
"53",4,6.71,5.43,9.12,27.21,NA,NA,NA,NA,NA,0
"54",69,134.73,109.27,403.69,661.21001,23,68.18,55.9,346.48999,427.22,1
"55",52,120.76,102.11,478.97001,649.00999,NA,NA,NA,NA,NA,0
"56",63,107.36,97.5,293.17,447.28001,23,68.18,55.9,346.48999,427.22,1
"57",6,27.37,11.77,110.52,213.93,NA,NA,NA,NA,NA,0
"58",9,25.26,12.18,87.72,167.24,22,41.76,45.9,151.52,191.69,1
"59",2,11.97,3.84,58.08,98.73,22,41.76,45.9,151.52,191.69,1
"60",101,195.3,177.7,672.64002,901.97001,22,41.76,45.9,151.52,191.69,1
"61",110,220.56,189.88,760.36001,1069.21,22,41.76,45.9,151.52,191.69,1
"62",2,2.52,4.13,2.52,5.76,NA,NA,NA,NA,NA,0
"63",0,0.3,0,0.92,3.2,NA,NA,NA,NA,NA,0
"64",58,99.8,87.77,281.39,420.20001,NA,NA,NA,NA,NA,0
"65",107,209.49,186.01,707.34002,986.40001,22,41.76,45.9,151.52,191.69,1
"66",6,14.19,8.31,34.7,84.43,22,41.76,45.9,151.52,191.69,1
"67",59,104.81,90.5,300.04,462.32001,23,68.18,55.9,346.48999,427.22,1
"68",58,99.8,87.77,281.39,420.20001,23,68.18,55.9,346.48999,427.22,1
"69",62,106.51,93.2,290.51,447.41001,22,41.76,45.9,151.52,191.69,1
"70",109,221.46,189.85,765.42002,1085.13001,22,41.76,45.9,151.52,191.69,1
"71",3,9.93,6.37,36.01,70.04,NA,NA,NA,NA,NA,0
"72",4,6.71,5.43,9.12,27.21,NA,NA,NA,NA,NA,0
"73",58,99.8,87.77,281.39,420.20001,NA,NA,NA,NA,NA,0
"74",1,5.01,2.73,18.65,42.12,23,68.18,55.9,346.48999,427.22,1
"75",5,7.56,9.73,11.78,27.08,NA,NA,NA,NA,NA,0
"76",5,11.72,8.16,27.77,69.33,23,68.18,55.9,346.48999,427.22,1
"77",108,220.1,187.38,764.32002,1081.74001,22,41.76,45.9,151.52,191.69,1
"78",1,1.36,2.47,1.1,3.39,22,41.76,45.9,151.52,191.69,1
"79",0,2.08,0,9.06,22.79,22,41.76,45.9,151.52,191.69,1
"80",1,3.44,2.47,10.16,26.18,NA,NA,NA,NA,NA,0
"81",1,3.43,2.34,11.62,25.96,NA,NA,NA,NA,NA,0
"82",2,6.5,4.03,24.39,44.08,NA,NA,NA,NA,NA,0
"83",2,6.5,4.03,24.39,44.08,NA,NA,NA,NA,NA,0
"84",3,9.93,6.37,36.01,70.04,21,62.45,36.83,276.94,330.88,1
"85",1,3.43,2.34,11.62,25.96,21,62.45,36.83,276.94,330.88,1
"86",1,5.01,2.73,18.65,42.12,NA,NA,NA,NA,NA,0
"87",4,6.71,5.43,9.12,27.21,NA,NA,NA,NA,NA,0
"88",10,20.9,13.74,43.82,111.64,22,41.76,45.9,151.52,191.69,1
