"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"233468",1,1,1,1.128,600,23,4,0.00355,210,16,1602,"E02005612 E02005613"
"233469",1,1,1,2.977,1138,93,31,0.01041,555,29,5563,"E02005612 E02005614"
"233470",1,1,1,2.726,1148,63,24,0.0088,508,38,4899,"E02005612 E02005615"
"233471",1,1,1,2.61,1296,68,29,0.01111,487,34,3851,"E02005612 E02005616"
"233472",1,1,1,3.864,1740,127,39,0.01009,720,51,6187,"E02005612 E02005617"
"233473",1,1,1,19.421,7822,359,302,0.01555,3620,254,30282,"E02005612 E02005629"
"233474",1,1,1,21.078,10336,336,332,0.01575,3929,268,37248,"E02005612 E02005630"
"233475",1,1,1,24.856,10574,455,407,0.01637,4633,344,43508,"E02005612 E02005631"
"233476",1,1,1,11.222,5190,262,192,0.01711,2092,174,27947,"E02005612 E02005639"
"233477",1,1,1,14.156,6084,315,169,0.01194,2639,213,25347,"E02005612 E02005640"
"233478",1,1,1,17.083,7514,355,276,0.01616,3184,254,36675,"E02005612 E02005644"
"233479",1,1,1,21.1,9332,571,379,0.01796,3933,327,38671,"E02005612 E02005645"
"233480",1,1,1,23.214,10050,417,366,0.01577,4327,340,41897,"E02005612 E02005647"
"233481",1,1,1,23.463,10232,494,365,0.01556,4374,342,41828,"E02005612 E02005649"
"233484",1,1,1,6.23,2542,130,63,0.01011,1161,82,10676,"E02005612 E02006862"
"233485",1,1,1,6.097,2840,182,97,0.01591,1137,93,10911,"E02005612 E02006863"
"233490",1,1,1,3.431,1258,69,29,0.00845,640,31,5863,"E02005613 E02005614"
"233491",1,1,1,2.049,862,45,22,0.01074,382,27,3478,"E02005613 E02005615"
"233492",1,1,1,2.195,1258,74,25,0.01139,409,23,2939,"E02005613 E02005616"
"233493",1,1,1,3.036,1252,109,35,0.01153,566,39,4961,"E02005613 E02005617"
"233494",1,1,1,21.627,10520,352,336,0.01554,4032,273,38066,"E02005613 E02005630"
"233495",1,1,1,24.028,10086,437,403,0.01677,4479,332,42282,"E02005613 E02005631"
"233496",1,1,1,10.394,4702,244,188,0.01809,1938,162,26721,"E02005613 E02005639"
"233497",1,1,1,13.479,5798,297,167,0.01239,2513,203,23926,"E02005613 E02005640"
"233498",1,1,1,16.255,7026,337,272,0.01673,3030,242,35449,"E02005613 E02005644"
"233499",1,1,1,20.423,9046,553,377,0.01846,3807,317,37250,"E02005613 E02005645"
"233500",1,1,1,22.386,9562,399,362,0.01617,4173,328,40671,"E02005613 E02005647"
"233501",1,1,1,22.635,9744,476,361,0.01595,4219,329,40602,"E02005613 E02005649"
"233504",1,1,1,5.553,2256,112,61,0.01099,1035,71,9255,"E02005613 E02006862"
"233505",1,1,1,5.269,2352,164,93,0.01765,982,81,9685,"E02005613 E02006863"
"233510",1,1,1,4.579,2170,139,45,0.00983,854,82,13207,"E02005614 E02005615"
"233511",1,1,1,2.864,1370,66,28,0.00978,534,49,8870,"E02005614 E02005616"
"233512",1,1,1,4.627,2576,117,46,0.00994,863,77,12293,"E02005614 E02005617"
"233513",1,1,1,22.611,11264,390,355,0.0157,4215,309,45357,"E02005614 E02005630"
"233514",1,1,1,25.619,11410,445,414,0.01616,4776,370,49614,"E02005614 E02005631"
"233515",1,1,1,11.985,6026,252,199,0.0166,2234,200,34053,"E02005614 E02005639"
"233516",1,1,1,15.115,7184,345,180,0.01191,2818,246,31868,"E02005614 E02005640"
"233517",1,1,1,15.239,7466,366,260,0.01706,2841,265,34741,"E02005614 E02005641"
"233518",1,1,1,17.443,8680,402,289,0.01657,3252,283,41911,"E02005614 E02005642"
"233519",1,1,1,17.846,8350,345,283,0.01586,3327,280,42781,"E02005614 E02005644"
"233520",1,1,1,19.361,8918,385,310,0.01601,3609,297,45056,"E02005614 E02005645"
"233521",1,1,1,21.738,9808,362,319,0.01467,4052,326,43168,"E02005614 E02005646"
