"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02005702 E02005703","E02005702","E02005703","Northumberland 004","Northumberland 005",921,17,148,653,64,2,1,24,5,3,4,1.84582,35.78,18.78,144.92999,639.42999,-13.57,37.34,20.34,144.52,638.45001,-14.55,124.92,107.92,130.55,574.84003,-78.16,256.69,239.69,108.95,479.67999,-173.32001,-0.01359,25209,-0.00721,13375,-0.01256,23298,-0.00618,11464,-0.04266,79137,-0.03628,67303,-0.04758,88269,-0.0412,76435,-8474,-4479,-8798,-4803,-29792,-25797,-61205,-57210,5.31392,6.481,6.477,1.21963,0.99938,4.62892,4.41562,3858,4080
"2","E02005702 E02005704","E02005702","E02005704","Northumberland 004","Northumberland 006",379,7,15,302,34,0,0,16,0,3,2,1.84697,12.54,5.54,14.78,297.51001,-4.49,11.49,4.49,14.8,298.35001,-3.65,23.67,16.67,14.3,288.47,-13.53,59.22,52.22,12.87,259.60999,-42.39,-0.0129,23939,-0.00569,10554,-0.01091,20249,-0.0037,6864,-0.02195,40721,-0.01473,27336,-0.03698,68611,-0.02977,55226,-6985,-3083,-6402,-2500,-13187,-9285,-32994,-29092,10.96129,13.223,14.574,1.20634,1.10217,2.69984,2.61424,6214,8338
"3","E02005703 E02005704","E02005703","E02005704","Northumberland 005","Northumberland 006",706,3,27,540,60,0,0,69,2,3,2,0.42493,10.65,7.65,26.71,534.13,-5.87,8.09,5.09,26.87,536.07001,-3.93,30.86,27.86,25.89,518.60999,-21.39,90.45,87.45,23.61,472.84,-67.16,-0.01182,21936,-0.00847,15718,-0.00792,14692,-0.00457,8474,-0.02991,55494,-0.02656,49276,-0.05721,106146,-0.05386,99928,-6036,-4329,-4602,-2895,-17478,-15771,-51221,-49514,11.27753,14.248,16.695,1.2634,1.17174,3.60051,3.08476,7032,8574
"4","E02005703 E02005705","E02005703","E02005705","Northumberland 005","Northumberland 007",250,0,14,206,16,0,0,3,10,1,0,0,0.95,0.95,13.95,205.22,-0.78,0,0,14,206,0,2.84,2.84,13.84,203.66,-2.34,15.51,15.51,13.13,193.22,-12.78,-0.00106,1957,-0.00106,1957,0,0,0,0,-0.00293,5427,-0.00293,5427,-0.01243,23062,-0.01243,23062,-755,-755,0,0,-2254,-2254,-12317,-12317,16.68652,18.971,19.181,1.13691,1.01107,5.9301,5.89646,11792,11960
"5","E02005704 E02005720","E02005704","E02005720","Northumberland 006","Northumberland 008",510,26,15,381,53,0,0,29,0,5,1,5.09804,40.08,14.08,14.57,369.91,-11.09,42.81,16.81,14.51,367.64001,-13.36,62.57,36.57,13.83,352.39001,-28.61,113.9,87.9,12.24,311.95001,-69.05,-0.0376,69762,-0.0132,24481,-0.03708,68799,-0.01268,23518,-0.0539,100007,-0.0295,54726,-0.07025,130337,-0.04584,85056,-19779,-6906,-21195,-8322,-30702,-17829,-55893,-43020,10.48262,12.397,16.553,1.18262,1.33524,1.08897,1.48009,5266,7272
"6","E02005704 E02005721","E02005704","E02005721","Northumberland 006","Northumberland 011",61,0,0,51,5,0,0,4,1,0,0,0,0.67,0.67,0,50.44,-0.56,0,0,0,51,0,1.74,1.74,0,49.54,-1.46,5.62,5.62,0,46.3,-4.7,-0.00077,1429,-0.00077,1429,0,0,0,0,-0.00187,3465,-0.00187,3465,-0.00486,9023,-0.00486,9023,-587,-587,0,0,-1531,-1531,-4934,-4934,17.34219,20.779,21.866,1.19818,1.05231,1.44858,1.52291,9300,11130
"7","E02005704 E02005723","E02005704","E02005723","Northumberland 006","Northumberland 016",129,0,7,109,8,0,0,4,0,1,0,0,1.2,1.2,6.93,107.99,-1.01,0,0,7,109,0,2.59,2.59,6.86,106.82,-2.18,10.01,10.01,6.46,100.54,-8.46,-0.00133,2466,-0.00133,2466,0,0,0,0,-0.00267,4951,-0.00267,4951,-0.00938,17410,-0.00938,17410,-1198,-1198,0,0,-2587,-2587,-10018,-10018,19.5722,23.426,24.587,1.1969,1.04956,1.76727,2.12307,10816,12088
"8","E02005704 E02005734","E02005704","E02005734","Northumberland 006","Northumberland 009",33,0,2,29,1,0,0,0,0,1,0,0,0.4,0.4,1.98,28.65,-0.35,0,0,2,29,0,1.05,1.05,1.94,28.08,-0.92,3.19,3.19,1.81,26.2,-2.8,-0.00044,825,-0.00044,825,0,0,0,0,-0.00108,2002,-0.00108,2002,-0.00262,4852,-0.00262,4852,-369,-369,0,0,-966,-966,-2935,-2935,17.13557,20.682,24.235,1.20696,1.17179,1.23779,1.41943,8724,13118
"9","E02005704 E02005735","E02005704","E02005735","Northumberland 006","Northumberland 010",117,2,6,91,8,0,0,9,0,0,1,1.7094,3.38,1.38,5.93,89.91,-1.09,6.13,4.13,5.78,87.76,-3.24,3.46,1.46,5.93,89.83,-1.17,10.87,8.87,5.54,83.97,-7.03,-0.00375,6961,-0.00153,2844,-0.0059,10947,-0.00368,6830,-0.00373,6918,-0.00151,2801,-0.00976,18100,-0.00754,13983,-2864,-1175,-5175,-3486,-2945,-1256,-9253,-7564,16.9189,21.305,24.752,1.25924,1.16179,1.22976,1.43827,9222,13566
"10","E02005704 E02005736","E02005704","E02005736","Northumberland 006","Northumberland 013",84,0,3,72,6,0,0,3,0,0,0,0,0.97,0.97,2.97,71.17,-0.83,0,0,3,72,0,2.35,2.35,2.92,69.99,-2.01,7.58,7.58,2.73,65.51,-6.49,-0.00109,2012,-0.00109,2012,0,0,0,0,-0.00245,4551,-0.00245,4551,-0.00667,12366,-0.00667,12366,-908,-908,0,0,-2209,-2209,-7132,-7132,17.51206,21.744,25.297,1.24166,1.1634,1.26012,1.431,9322,13716
