"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"126493","E02005702 E02005703","E02005702","E02005703",921,1,24,5,3,653,64,17,148,4,35.7799987792969,18.7800006866455,144.929992675781,-3.0699999332428,639.429992675781,-13.5699996948242,37.3400001525879,20.3400001525879,144.520004272461,-3.48000001907349,638.450012207031,-14.5500001907349,124.919998168945,107.919998168945,130.550003051758,-17.4500007629395,574.840026855469,-78.1600036621094,257.459991455078,240.460006713867,108.819999694824,-39.1800003051758,479.130004882812,-173.869995117188,-0.00867999996989965,16102,-0.0186100006103516,34532,-0.00992999970912933,18430,-0.017119999974966,31770,-0.00844999961555004,15668,-0.0583400018513203,108243,-0.049660000950098,92141,-0.0577800013124943,107193,-0.049100000411272,91091,-0.00638000015169382,11834,-0.0135899996384978,25209,-0.0072099999524653,13375,-0.0125599997118115,23298,-0.00618000002577901,11464,-0.0426600016653538,79137,-0.0362799987196922,67303,-0.0477100014686584,88515,-0.0413299985229969,76681,-3995,-8474,-4479,-8798,-4803,-29792,-25797,-61390,-57395,3,5.32235709109546,"Northumberland 004","Northumberland 005",6.48,6.48,3472,3472,1.21750568199216,1,3.33333333333333,1208,17492,0.0333333333333333,1.84581976112921
"126494","E02005702 E02005704","E02005702","E02005704",379,0,16,0,3,302,34,7,15,2,12.539999961853,5.53999996185303,14.7799997329712,-0.219999998807907,297.510009765625,-4.48999977111816,11.4899997711182,4.48999977111816,14.8000001907349,-0.200000002980232,298.350006103516,-3.65000009536743,23.6700000762939,16.6700000762939,14.3000001907349,-0.699999988079071,288.470001220703,-13.5299997329712,59.3199996948242,52.3199996948242,12.8699998855591,-2.13000011444092,259.519989013672,-42.4799995422363,-0.010669999755919,19787,-0.0190299991518259,35314,-0.00836999993771315,15527,-0.0160799995064735,29839,-0.0054199998266995,10052,-0.0321899987757206,59727,-0.0215300004929304,39940,-0.0527999997138977,97952,-0.0421300008893013,78165,-0.0072099999524653,13385,-0.0129000004380941,23939,-0.00569000001996756,10554,-0.0109099997207522,20249,-0.00370000000111759,6864,-0.0219500008970499,40721,-0.0147299999371171,27336,-0.0370399989187717,68723,-0.0298299994319677,55338,-3902,-6985,-3083,-6402,-2500,-13187,-9285,-33053,-29151,0,10.9594540642534,"Northumberland 004","Northumberland 006",13.459,14.915,5846,8498,1.2280721212108,1.10818039973252,1.97637268742106,2509,54718,0.0193094200469326,1.84696569920844
"126498","E02005703 E02005704","E02005703","E02005704",706,0,69,2,3,540,60,3,27,2,10.6499996185303,7.65000009536743,26.7099990844727,-0.28999999165535,534.130004882812,-5.86999988555908,8.09000015258789,5.09000015258789,26.8700008392334,-0.129999995231628,536.070007324219,-3.9300000667572,30.8600006103516,27.8600006103516,25.8899993896484,-1.11000001430511,518.609985351562,-21.3899993896484,90.6699981689453,87.6699981689453,23.6000003814697,-3.40000009536743,472.660003662109,-67.3399963378906,-0.00502000004053116,9322,-0.0175000000745058,32466,-0.0124800000339746,23144,-0.0118699995800853,22025,-0.00685000000521541,12703,-0.043869998306036,81394,-0.0388499982655048,72072,-0.0814300030469894,151075,-0.0763999968767166,141753,-0.00334999989718199,6218,-0.0118199996650219,21936,-0.00846999976783991,15718,-0.00791999977082014,14692,-0.00456999987363815,8474,-0.0299100000411272,55494,-0.0265599992126226,49276,-0.0573499985039234,106401,-0.0540000014007092,100183,-1707,-6036,-4329,-4602,-2895,-17478,-15771,-51347,-49640,0,11.2845733713887,"Northumberland 005","Northumberland 006",14.479,15.575,6330,9112,1.2830790782672,1.07569583534775,2.4587333379377,2699,77551,0.025553772070626,0.424929178470255
"126499","E02005703 E02005705","E02005703","E02005705",250,0,3,10,1,206,16,0,14,0,0.949999988079071,0.949999988079071,13.9499998092651,-0.0500000007450581,205.220001220703,-0.779999971389771,0,0,14,0,206,0,2.83999991416931,2.83999991416931,13.8400001525879,-0.159999996423721,203.660003662109,-2.33999991416931,15.5900001525879,15.5900001525879,13.1300001144409,-0.870000004768372,193.160003662109,-12.8400001525879,0,0,-0.00194999994710088,3621,-0.00194999994710088,3621,0,0,0,0,-0.00497000012546778,9223,-0.00497000012546778,9223,-0.0165899991989136,30775,-0.0165899991989136,30775,0,0,-0.00106000003870577,1957,-0.00106000003870577,1957,0,0,0,0,-0.00292999995872378,5427,-0.00292999995872378,5427,-0.0125000001862645,23181,-0.0125000001862645,23181,0,-755,-755,0,0,-2254,-2254,-12381,-12381,0,16.7029404300309,"Northumberland 005","Northumberland 007",18.971,19.625,10420,10838,1.13578804160083,1.03447367033894,4.24331874967055,3536,56680,0.0418343949044586,0
"126503","E02005704 E02005720","E02005704","E02005720",510,0,29,0,5,381,53,26,15,1,40.0800018310547,14.0799999237061,14.5699996948242,-0.430000007152557,369.910003662109,-11.0900001525879,42.810001373291,16.8099994659424,14.5100002288818,-0.490000009536743,367.640014648438,-13.3599996566772,62.5699996948242,36.5699996948242,13.8299999237061,-1.16999995708466,352.390014648438,-28.6100006103516,113.930000305176,87.9300003051758,12.2399997711182,-2.75999999046326,311.929992675781,-69.0699996948242,-0.0365700013935566,67845,-0.0562900006771088,104439,-0.0197199992835522,36594,-0.0555600002408028,103084,-0.0189900007098913,35239,-0.0804399996995926,149232,-0.043869998306036,81387,-0.103160001337528,191397,-0.0665900036692619,123552,-0.0244100000709295,45281,-0.0375999994575977,69762,-0.0131999999284744,24481,-0.0370800010859966,68799,-0.0126799996942282,23518,-0.0538999997079372,100007,-0.0295000001788139,54726,-0.0702700018882751,130362,-0.0458599999547005,85081,-12873,-19779,-6906,-21195,-8322,-30702,-17829,-55906,-43033,0,10.4796967069933,"Northumberland 006","Northumberland 008",12.239,16.116,4992,6652,1.16787731002107,1.31677424626195,0.768036604297737,2281,66576,0.00856291883842144,5.09803921568627
"126504","E02005704 E02005721","E02005704","E02005721",61,0,4,1,0,51,5,0,0,0,0.670000016689301,0.670000016689301,0,0,50.439998626709,-0.560000002384186,0,0,0,0,51,0,1.74000000953674,1.74000000953674,0,0,49.5400009155273,-1.46000003814697,5.61999988555908,5.61999988555908,0,0,46.2999992370605,-4.69999980926514,0,0,-0.00168999994639307,3131,-0.00168999994639307,3131,0,0,0,0,-0.00368999992497265,6844,-0.00368999992497265,6844,-0.00756999989971519,14048,-0.00756999989971519,14048,0,0,-0.000769999984186143,1429,-0.000769999984186143,1429,0,0,0,0,-0.00187000003643334,3465,-0.00187000003643334,3465,-0.00486999982967973,9030,-0.00486999982967973,9030,0,-587,-587,0,0,-1531,-1531,-4937,-4937,0,17.3390175242685,"Northumberland 006","Northumberland 011",20.66,21.434,8940,10536,1.19153233284893,1.03746369796709,1.10842207163601,3851,81634,0.0103107212839414,0
"126506","E02005704 E02005723","E02005704","E02005723",129,0,4,0,1,109,8,0,7,0,1.20000004768372,1.20000004768372,6.92999982833862,-0.0700000002980232,107.98999786377,-1.00999999046326,0,0,7,0,109,0,2.58999991416931,2.58999991416931,6.8600001335144,-0.140000000596046,106.819999694824,-2.1800000667572,10.0200004577637,10.0200004577637,6.46000003814697,-0.540000021457672,100.529998779297,-8.47000026702881,0,0,-0.00303000002168119,5622,-0.00303000002168119,5622,0,0,0,0,-0.00541000021621585,10044,-0.00541000021621585,10044,-0.0122999995946884,22811,-0.0122999995946884,22811,0,0,-0.00132999999914318,2466,-0.00132999999914318,2466,0,0,0,0,-0.0026700000744313,4951,-0.0026700000744313,4951,-0.00939000025391579,17428,-0.00939000025391579,17428,0,-1198,-1198,0,0,-2587,-2587,-10030,-10030,0,19.5705494676807,"Northumberland 006","Northumberland 016",23.292,24.359,10382,12632,1.19015564884701,1.04580972007556,1.31375579598145,4342,89186,0.011905250626052,0
"126508","E02005704 E02005734","E02005704","E02005734",33,0,0,0,1,29,1,0,2,0,0.400000005960464,0.400000005960464,1.98000001907349,-0.0199999995529652,28.6499996185303,-0.349999994039536,0,0,2,0,29,0,1.04999995231628,1.04999995231628,1.94000005722046,-0.0599999986588955,28.0799999237061,-0.920000016689301,3.19000005722046,3.19000005722046,1.80999994277954,-0.189999997615814,26.1900005340576,-2.80999994277954,0,0,-0.000890000024810433,1645,-0.000890000024810433,1645,0,0,0,0,-0.00191999995149672,3553,-0.00191999995149672,3553,-0.00337000004947186,6246,-0.00337000004947186,6246,0,0,-0.00044000000343658,825,-0.00044000000343658,825,0,0,0,0,-0.00107999995816499,2002,-0.00107999995816499,2002,-0.00261999992653728,4853,-0.00261999992653728,4853,0,-369,-369,0,0,-966,-966,-2935,-2935,0,17.1337610044535,"Northumberland 006","Northumberland 009",20.523,23.959,8290,12338,1.19781056795793,1.16742191687375,0.833211518783804,3826,104823,0.00964147084602863,0
"126509","E02005704 E02005735","E02005704","E02005735",117,0,9,0,0,91,8,2,6,1,3.38000011444092,1.37999999523163,5.92999982833862,-0.0700000002980232,89.9100036621094,-1.0900000333786,6.13000011444092,4.13000011444092,5.78000020980835,-0.219999998807907,87.7600021362305,-3.24000000953674,3.46000003814697,1.46000003814697,5.92999982833862,-0.0700000002980232,89.8300018310547,-1.16999995708466,10.8699998855591,8.86999988555908,5.53999996185303,-0.46000000834465,83.9700012207031,-7.03000020980835,-0.00460000010207295,8533,-0.00779000017791986,14445,-0.00319000007584691,5912,-0.0122300004586577,22687,-0.0076299998909235,14154,-0.00741000007838011,13741,-0.00280999997630715,5208,-0.0145899998024106,27075,-0.00999000016599894,18542,-0.00221999990753829,4117,-0.00374999991618097,6961,-0.00153000000864267,2844,-0.0059000002220273,10947,-0.00368000008165836,6830,-0.00372999999672174,6918,-0.00150999997276813,2801,-0.00975999981164932,18106,-0.00754000013694167,13989,-1689,-2864,-1175,-5175,-3486,-2945,-1256,-9256,-7567,0,16.9146158139024,"Northumberland 006","Northumberland 010",21.147,24.716,8798,11762,1.25022053309771,1.16877098406393,0.846455762046626,3942,107238,0.00740411069752387,1.70940170940171
"126510","E02005704 E02005736","E02005704","E02005736",84,0,3,0,0,72,6,0,3,0,0.970000028610229,0.970000028610229,2.97000002861023,-0.0299999993294477,71.1699981689453,-0.829999983310699,0,0,3,0,72,0,2.34999990463257,2.34999990463257,2.92000007629395,-0.0799999982118607,69.9899978637695,-2.00999999046326,7.57999992370605,7.57999992370605,2.73000001907349,-0.270000010728836,65.5,-6.5,0,0,-0.00236000004224479,4381,-0.00236000004224479,4381,0,0,0,0,-0.00476999999955297,8858,-0.00476999999955297,8858,-0.00932000018656254,17298,-0.00932000018656254,17298,0,0,-0.00109000003430992,2012,-0.00109000003430992,2012,0,0,0,0,-0.00245000002905726,4551,-0.00245000002905726,4551,-0.00667000003159046,12370,-0.00667000003159046,12370,0,-908,-908,0,0,-2209,-2209,-7136,-7136,0,17.5082849605933,"Northumberland 006","Northumberland 013",21.577,27.399,8888,12584,1.23238798366398,1.26982435000232,0.85739444779163,4022,107493,0.0077010109858024,0
