"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",0,1.75,0,5.66,21.02,NA,NA,NA,NA,NA,0
"2",14,33.84,25,112.79,261.57,NA,NA,NA,NA,NA,0
"3",2,4.84,3.81,9.72,31.88,24,107.25,60.33,570.40997,837.91998,1
"4",12,29,21.19,103.07,229.69,24,107.25,60.33,570.40997,837.91998,1
"5",38,87.88,58.46,262.81,556.13001,24,107.25,60.33,570.40997,837.91998,1
"6",26,58.88,37.27,159.74,326.44001,24,107.25,60.33,570.40997,837.91998,1
"7",26,58.88,37.27,159.74,326.44001,24,107.25,60.33,570.40997,837.91998,1
"8",12,29,21.19,103.07,229.69,24,107.25,60.33,570.40997,837.91998,1
"9",28,63.72,41.08,169.46,358.32001,NA,NA,NA,NA,NA,0
"10",34,96.78,73.31,488.51001,674.39001,NA,NA,NA,NA,NA,0
"11",26,55.16,37.63,150.03,290.89001,3,25.82,6.84,157.78999,214.89999,1
"12",13,32.01,25.92,83.67,210.09,3,25.82,6.84,157.78999,214.89999,1
"13",11,23.45,22.47,64.24,142.66,3,25.82,6.84,157.78999,214.89999,1
"14",0,4.14,0,12.34,44.12,3,25.82,6.84,157.78999,214.89999,1
"15",13,27.87,25.92,71.33,165.97,3,25.82,6.84,157.78999,214.89999,1
"16",13,26.94,25.92,69.29,156.77,3,25.82,6.84,157.78999,214.89999,1
"17",0,0.93,0,2.04,9.2,3,25.82,6.84,157.78999,214.89999,1
"18",0,0.93,0,2.04,9.2,NA,NA,NA,NA,NA,0
"19",0,5.07,0,14.38,53.32,3,25.82,6.84,157.78999,214.89999,1
"20",0,4.14,0,12.34,44.12,3,25.82,6.84,157.78999,214.89999,1
"21",13,31.08,25.92,81.63,200.89,3,25.82,6.84,157.78999,214.89999,1
"22",8,18.61,17.27,47.95,126.02,NA,NA,NA,NA,NA,0
"23",5,12.47,8.65,33.68,74.87,NA,NA,NA,NA,NA,0
