"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"402","E02005719","Northumberland 032",3390,63,212,2434,247,24,79,248,23,33,27,169.952,106.952,200.22301,2360.7649,-73.235,105.357,42.357,206.88499,2406.7881,-27.212,581.89203,518.89203,144.13699,2088.1389,-345.86099,853.979,790.979,132.388,1884.478,-549.52197,-0.09154,169750,-0.05798,107493,-0.05109,94771,-0.01753,32514,-0.25183,467154,-0.21827,404897,-0.28979,537563,-0.25622,475306,-48701,-30902,-28183,-10384,-149047,-131248,-259427,-241628,1.30582
"462","E02005737","Northumberland 012",3145,40,319,2307,259,15,5,137,19,18,26,157.283,117.283,298.45801,2227.408,-79.591,65.763,25.763,314.87701,2289.366,-17.634,676.49597,636.49597,197.261,1884.384,-422.616,869.04999,829.04999,185.957,1732.937,-574.06299,-0.0493,91412,-0.03475,64426,-0.02002,37123,-0.00547,10137,-0.14928,276915,-0.13473,249929,-0.18063,335073,-0.16608,308087,-30598,-22391,-12148,-3941,-102905,-94698,-187038,-178831,1.70095
"463","E02005720","Northumberland 008",4606,49,352,3401,347,49,12,314,12,23,47,149.133,100.133,335.44199,3334.49,-66.51,84.599,35.599,345.74399,3377.875,-23.125,508.61099,459.61099,263.23199,3108.377,-292.62299,779.034,730.034,243.737,2904.5349,-496.465,-0.08251,153049,-0.05215,96726,-0.0462,85704,-0.01584,29381,-0.20326,377092,-0.1729,320769,-0.27064,502085,-0.24027,445762,-52274,-32522,-31518,-11766,-135489,-115737,-271718,-251966,1.01752
"489","E02005724","Northumberland 018",2522,30,218,1947,110,83,7,98,5,5,19,70.502,40.502,213.114,1916.028,-30.972,55.375,25.375,214.211,1927.821,-19.179,245.72501,215.72501,182.31599,1790.729,-156.271,449.64999,419.64999,158.507,1634.983,-312.017,-0.03848,71344,-0.02221,41165,-0.02714,50345,-0.01087,20166,-0.08288,153723,-0.06661,123544,-0.14317,265574,-0.1269,235395,-25542,-15418,-18605,-8481,-60229,-50105,-144638,-134514,1.39181
"755","E02005728","Northumberland 037",2835,44,414,1954,211,61,7,100,3,13,28,74.983,30.983,405.00101,1936.25,-17.75,81.886,37.886,402.28101,1933.22,-20.779,169.59801,125.598,373.03101,1885.407,-68.593,339.81,295.81,329.311,1783.1899,-170.81,-0.02904,53872,-0.01322,24522,-0.02856,52984,-0.01274,23634,-0.05228,96990,-0.03646,67640,-0.07904,146634,-0.06322,117284,-20610,-9383,-23163,-11936,-39704,-28477,-100412,-89185,NA
"843","E02005722","Northumberland 015",2785,18,92,2392,133,45,13,46,2,6,38,54.575,36.575,89.849,2361.2161,-30.784,33.367,15.367,91.236,2379.3259,-12.674,201.795,183.795,76.824,2241.8701,-150.13,386.737,368.737,68.569,2083.229,-308.771,-0.03254,60335,-0.02113,39156,-0.01932,35845,-0.00791,14666,-0.0729,135213,-0.06148,114034,-0.14763,273860,-0.13622,252681,-25948,-16794,-16656,-7502,-56347,-47193,-157220,-148066,2.26158
"1210","E02005723","Northumberland 016",2398,27,465,1495,132,58,3,177,10,14,17,72.202,45.202,452.51199,1469.51,-25.49,56.723,29.723,457.465,1477.788,-17.212,300.84201,273.84201,367.30801,1358.031,-136.96899,505.168,478.168,317.34601,1236.821,-258.17899,-0.02946,54610,-0.01748,32391,-0.02328,43172,-0.0113,20953,-0.06702,124297,-0.05504,102078,-0.10522,195176,-0.09324,172957,-19186,-11171,-17987,-9972,-47777,-39762,-107905,-99890,1.69504
"1315","E02005729","Northumberland 036",2367,34,146,1821,138,121,15,60,7,5,20,56.959,22.959,143.75301,1804.051,-16.95,55.476,21.476,145.136,1804.074,-16.926,129.34599,95.346,129.57401,1756.478,-64.522,298.668,264.668,112.25,1630.781,-190.21899,-0.04127,76527,-0.01701,31522,-0.04215,78180,-0.01789,33175,-0.06573,121901,-0.04147,76896,-0.1323,245400,-0.10804,200395,-27089,-11383,-30386,-14680,-45700,-29994,-125061,-109355,3.94694
"1354","E02005712","Northumberland 025",2998,57,204,2175,226,16,16,241,21,21,21,161.737,104.737,192.95599,2102.6001,-72.4,82.37,25.37,202.019,2156.197,-18.803,584.492,527.492,137.259,1821.569,-353.431,769.25897,712.25897,131.104,1676.952,-498.048,-0.0622,115330,-0.04037,74843,-0.03282,60880,-0.01099,20393,-0.16841,312386,-0.14658,271899,-0.21028,390082,-0.18846,349595,-36655,-23584,-21085,-8014,-105676,-92605,-192747,-179676,1.24091
"1511","E02005710","Northumberland 023",3570,84,509,2223,268,23,19,365,19,27,33,201.40199,117.402,479.97101,2157.7949,-65.205,116.658,32.658,499.371,2205.8921,-17.108,682.57098,598.57098,333.077,1912.317,-310.68301,874.74298,790.74298,324.284,1775.5649,-447.435,-0.06187,114720,-0.03994,74039,-0.02837,52623,-0.00644,11942,-0.157,291215,-0.13507,250534,-0.20876,387253,-0.18683,346572,-36096,-22629,-18305,-4838,-96503,-83036,-186020,-172553,1.03623
