"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"78455","E02002868 E02002869","E02002868","E02002869",88,0,10,4,0,44,6,6,18,0,9.65,3.65,17.18,-0.82,42.05,-1.95,10.38,4.38,16.83,-1.17,41.71,-2.29,26.78,20.78,13.79,-4.21,32.76,-11.24,36.8,30.8,11.53,-6.47,27.4,-16.6,-0.00065,1204,-0.00121,2242,-0.00056,1038,-0.00103,1913,-0.00038,709,-0.00473,8781,-0.00408,7577,-0.00357,6617,-0.00292,5413,-0.00046,847,-0.00084,1548,-0.00038,701,-0.00072,1335,-0.00026,488,-0.0032,5932,-0.00274,5085,-0.00251,4654,-0.00205,3807,-388,-636,-248,-677,-289,-1824,-1436,-2507,-2119,0,1.55919,"Nottingham 001","Nottingham 002",2.516,2.536,1188,1574,1.61366,1.00795,2.38474,469,3572,0.02287,6.81818
"78456","E02002868 E02002871","E02002868","E02002871",80,1,2,1,0,35,7,3,31,0,7.19,4.19,29.31,-1.69,33.1,-1.9,5.71,2.71,29.76,-1.24,33.95,-1.05,29.56,26.56,20.43,-10.57,22.78,-12.22,35.84,32.84,17.88,-13.12,19.94,-15.06,-5e-05,85,-0.00021,386,-0.00016,301,-7e-05,137,-3e-05,52,-0.00122,2257,-0.00117,2172,0.00091,-1695,0.00096,-1780,-5e-05,97,-0.00019,343,-0.00013,246,-8e-05,156,-3e-05,59,-0.00102,1896,-0.00097,1799,0.00029,-547,0.00035,-644,-110,-292,-182,-209,-99,-1287,-1177,-1560,-1450,1,1.46761,"Nottingham 001","Nottingham 004",1.933,1.953,748,1134,1.31711,1.01035,1.65546,360,2481,0.01536,3.75
"78457","E02002868 E02002872","E02002868","E02002872",87,0,11,1,1,57,2,4,11,0,7.55,3.55,10.52,-0.48,54.58,-2.42,6.92,2.92,10.47,-0.53,55.27,-1.73,24.69,20.69,8.41,-2.59,42.51,-14.49,35.44,31.44,6.96,-4.04,35.18,-21.82,-0.00101,1882,-0.00207,3830,-0.00105,1948,-0.00152,2817,-5e-04,935,-0.00851,15785,-0.00749,13903,-0.00792,14689,-0.0069,12807,-0.00068,1253,-0.00137,2533,-0.00069,1280,-0.00101,1875,-0.00034,622,-0.0056,10380,-0.00492,9127,-0.00527,9781,-0.0046,8528,-433,-879,-446,-748,-315,-3102,-2669,-4451,-4018,0,2.56759,"Nottingham 001","Nottingham 005",3.635,3.768,1806,2280,1.41573,1.03659,2.33838,678,6175,0.02203,4.5977
"78458","E02002868 E02002873","E02002868","E02002873",76,0,14,0,0,27,5,0,29,0,3.05,3.05,27.83,-1.17,25.92,-1.08,0,0,29,0,27,0,22.23,22.23,20.5,-8.5,19.11,-7.89,31.34,31.34,17.03,-11.97,15.87,-11.13,0,0,-0.00022,398,-0.00022,398,0,0,0,0,-0.00172,3189,-0.00172,3189,0.00093,-1728,0.00093,-1728,0,0,-0.00017,309,-0.00017,309,0,0,0,0,-0.00136,2530,-0.00136,2530,0.00023,-435,0.00023,-435,0,-152,-152,0,0,-1122,-1122,-1583,-1583,1,1.66987,"Nottingham 001","Nottingham 006",2.828,2.437,1494,1954,1.69354,0.86174,2.51061,527,5867,0.02749,0
"78459","E02002868 E02002874","E02002868","E02002874",160,0,48,0,0,96,9,1,6,0,7.2,6.2,5.77,-0.23,92.26,-3.74,5.48,4.48,5.8,-0.2,93.13,-2.87,43.4,42.4,4.4,-1.6,70.43,-25.57,63.86,62.86,3.63,-2.37,58.07,-37.93,-0.00038,709,-0.00278,5163,-0.0024,4454,-0.00155,2868,-0.00116,2159,-0.0201,37295,-0.01972,36586,-0.0206,38227,-0.02022,37518,-0.00025,458,-0.0018,3335,-0.00155,2877,-0.001,1854,-0.00075,1396,-0.01299,24098,-0.01274,23640,-0.01334,24756,-0.0131,24298,-121,-830,-709,-664,-543,-4972,-4851,-7317,-7196,0,2.84376,"Nottingham 001","Nottingham 007",3.729,4.358,1716,2716,1.31129,1.16868,2.46715,695,6710,0.01973,0.625
"78460","E02002868 E02002875","E02002868","E02002875",46,0,5,0,0,26,1,1,13,0,3.32,2.32,12.33,-0.67,24.66,-1.34,2.07,1.07,12.66,-0.34,25.46,-0.54,15.56,14.56,8.82,-4.18,17.53,-8.47,20.25,19.25,7.46,-5.54,14.83,-11.17,-0.00012,228,-0.00047,862,-0.00034,634,-0.00021,394,-9e-05,166,-0.00264,4895,-0.00252,4667,-0.00109,2015,-0.00096,1787,-9e-05,163,-0.00033,606,-0.00024,443,-0.00015,282,-6e-05,119,-0.00185,3432,-0.00176,3269,-9e-04,1668,-0.00081,1505,-80,-295,-215,-165,-85,-1451,-1371,-1887,-1807,0,2.2472,"Nottingham 001","Nottingham 008",3.215,3.235,1314,1700,1.43067,1.00622,1.83515,599,4644,0.01762,2.17391
"78461","E02002868 E02002876","E02002868","E02002876",40,1,6,0,1,29,2,1,0,0,2.85,1.85,0,0,27.63,-1.37,2.42,1.42,0,0,28.04,-0.96,12.2,11.2,0,0,20.63,-8.37,16.77,15.77,0,0,17.24,-11.76,-0.00046,847,-0.0013,2410,-0.00084,1563,-9e-04,1663,-0.00044,816,-0.00658,12203,-0.00612,11356,-0.00663,12294,-0.00617,11447,-0.00029,544,-0.00084,1548,-0.00054,1004,-0.00058,1068,-0.00028,524,-0.00423,7843,-0.00393,7299,-0.00426,7902,-0.00397,7358,-140,-421,-281,-338,-198,-1857,-1717,-2553,-2413,1,3.03355,"Nottingham 001","Nottingham 009",4.057,4.406,1898,2378,1.33738,1.08602,1.94725,756,6634,0.01521,2.5
"78462","E02002868 E02002877","E02002868","E02002877",35,0,6,0,0,26,3,0,0,0,1.12,1.12,0,0,25.17,-0.83,0,0,0,0,26,0,7.77,7.77,0,0,20.23,-5.77,12.67,12.67,0,0,16.59,-9.41,0,0,-0.00059,1094,-0.00059,1094,0,0,0,0,-0.00492,9122,-0.00492,9122,-0.00574,10641,-0.00574,10641,0,0,-0.00038,704,-0.00038,704,0,0,0,0,-0.00316,5863,-0.00316,5863,-0.00369,6841,-0.00369,6841,0,-197,-197,0,0,-1368,-1368,-2232,-2232,0,3.71979,"Nottingham 001","Nottingham 010",4.642,5.453,2332,3404,1.24792,1.17471,2.77897,865,14496,0.02366,0
"78463","E02002868 E02002879","E02002868","E02002879",50,0,7,0,0,38,2,1,1,1,3.34,2.34,0.95,-0.05,36.18,-1.82,2.05,1.05,0.97,-0.03,37.17,-0.83,14.59,13.59,0.73,-0.27,27.48,-10.52,20.29,19.29,0.61,-0.39,23.05,-14.95,-0.00054,1000,-0.00182,3373,-0.00128,2373,-0.00093,1716,-0.00039,716,-0.00925,17164,-0.00871,16164,-0.00823,15265,-0.00769,14265,-0.00035,645,-0.00117,2174,-0.00082,1529,-6e-04,1106,-0.00025,461,-0.00596,11063,-0.00562,10418,-0.00531,9855,-0.00496,9210,-203,-670,-467,-416,-213,-2911,-2708,-4050,-3847,0,3.44285,"Nottingham 001","Nottingham 012",5.061,4.889,2208,2558,1.47,0.96601,1.71903,943,8342,0.02066,2
"78464","E02002868 E02002881","E02002868","E02002881",27,0,3,0,0,19,3,0,2,0,0.95,0.95,1.94,-0.06,18.32,-0.68,0,0,2,0,19,0,5.89,5.89,1.59,-0.41,14.82,-4.18,9.37,9.37,1.32,-0.68,12.38,-6.62,0,0,-0.00059,1087,-0.00059,1087,0,0,0,0,-0.00421,7816,-0.00421,7816,-0.00382,7087,-0.00382,7087,0,0,-0.00039,725,-0.00039,725,0,0,0,0,-0.00282,5225,-0.00282,5225,-0.00263,4886,-0.00263,4886,0,-218,-218,0,0,-1347,-1347,-2136,-2136,0,5.18221,"Nottingham 001","Nottingham 014",6.358,6.352,3348,3718,1.22689,0.99906,1.98176,1185,12177,0.01952,0
