"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",4,9.6,7.59,41.55,76.85,1,4.49,1,31.12,50.29,1
"2",0,0.52,0,2.02,6.1,1,4.49,1,31.12,50.29,1
"3",4,10.12,7.59,43.57,82.95,NA,NA,NA,NA,NA,0
"4",9,25.19,14.51,104.42,201.43,3,8.98,10.98,47.46,64.65,1
"5",5,15.39,6.92,62.11,122.6,3,8.98,10.98,47.46,64.65,1
"6",0,0.36,0,1.39,4.04,1,4.49,1,31.12,50.29,1
"7",0,0.16,0,0.63,2.06,1,4.49,1,31.12,50.29,1
"8",1,1.66,2.21,2.58,8.23,3,8.98,10.98,47.46,64.65,1
"9",4,13.73,4.71,59.53,114.37,3,8.98,10.98,47.46,64.65,1
"10",3,10.2,3.5,48.29,83.26,NA,NA,NA,NA,NA,0
"11",1,3.53,1.21,11.24,31.11,3,8.98,10.98,47.46,64.65,1
"12",14,25.34,29.03,68.92,118.38,4,13.21,9.03,81.92,116.62,1
"13",2,3.15,4,6.75,12.73,NA,NA,NA,NA,NA,0
"14",12,22.19,25.03,62.17,105.65,NA,NA,NA,NA,NA,0
"15",8,19.32,20.38,71.99,133.22,3,7.71,7.3,42.18,62.38,1
"16",5,9.12,16.88,23.7,49.96,NA,NA,NA,NA,NA,0
"17",2,3.18,3.33,6.78,13.8,NA,NA,NA,NA,NA,0
"18",2,3.02,3.33,6.15,11.74,1,4.49,1,31.12,50.29,1
"19",1,3.45,3.67,13.3,26.07,NA,NA,NA,NA,NA,0
"20",19,34.2,41.39,119.27,190.41,NA,NA,NA,NA,NA,0
"21",20,37.65,45.06,132.57,216.47999,4,13.21,9.03,81.92,116.62,1
"22",19,35.87,41.39,129.87,210.99,3,7.71,7.3,42.18,62.38,1
"23",0,1.67,0,10.6,20.58,3,7.71,7.3,42.18,62.38,1
"24",13,29.29,43.01,123.36,195.46999,3,7.71,7.3,42.18,62.38,1
"25",10,20.79,23.57,88.88,138.48,NA,NA,NA,NA,NA,0
"26",3,4.62,6.59,10.93,25.37,1,4.49,1,31.12,50.29,1
"27",1,4.98,1,30.62,51.48,1,4.49,1,31.12,50.29,1
"28",3,6.55,5.49,20.81,41.93,1,4.49,1,31.12,50.29,1
"29",3,6.19,5.49,19.42,37.89,1,4.49,1,31.12,50.29,1
"30",4,11.17,6.49,50.04,89.37,1,4.49,1,31.12,50.29,1
"31",1,3.53,2.16,14.66,30.19,1,4.49,1,31.12,50.29,1
"32",80,208.2,143.73,802.88999,1134.49,NA,NA,NA,NA,NA,0
"33",5,12.82,17.46,48.72,105.69,1,4.49,1,31.12,50.29,1
"34",2,6.4,4.13,29.7,63.02,1,4.49,1,31.12,50.29,1
"35",3,6.42,13.33,19.02,42.67,1,4.49,1,31.12,50.29,1
"36",1,3.73,2.16,15.6,32.93,NA,NA,NA,NA,NA,0
"37",0,0.2,0,0.94,2.74,1,4.49,1,31.12,50.29,1
"38",6,11.04,19.92,29.95,68.04,1,4.49,1,31.12,50.29,1
"39",18,34.95,32.26,112.66,203.71,3,7.71,7.3,42.18,62.38,1
"40",10,19.56,23.99,48.69,117.81,3,8.98,10.98,47.46,64.65,1
"41",5,10.44,7.11,24.99,67.85,NA,NA,NA,NA,NA,0
"42",9,16.81,22.78,41.17,96,3,8.98,10.98,47.46,64.65,1
"43",10,18.25,14.23,46.35,88.47,3,7.71,7.3,42.18,62.38,1
"44",8,16.7,18.03,66.31,115.24,3,7.71,7.3,42.18,62.38,1
"45",1,5.12,3.67,23.9,46.65,3,7.71,7.3,42.18,62.38,1
"46",4,6.48,8.8,14.45,36.34,NA,NA,NA,NA,NA,0
"47",4,8.28,15.54,22.54,53.64,NA,NA,NA,NA,NA,0
"48",6,10.19,9.45,21.21,50.59,3,8.98,10.98,47.46,64.65,1
"49",3,6.62,13.33,19.96,45.41,3,8.98,10.98,47.46,64.65,1
"50",2,6.6,4.13,30.64,65.76,1,4.49,1,31.12,50.29,1
"51",9,20.15,21.7,79.61,141.31,3,7.71,7.3,42.18,62.38,1
"52",8,18.37,18.03,76.91,135.82,NA,NA,NA,NA,NA,0
"53",6,12.68,12.93,43.21,96.62,NA,NA,NA,NA,NA,0
"54",1,3.45,3.67,13.3,26.07,NA,NA,NA,NA,NA,0
"55",15,33.42,34.66,148.91,240.45,11,19.57,18.78,76.79,111.3,1
"56",3,5.74,6.94,16.88,33.85,11,19.57,18.78,76.79,111.3,1
"57",11,27.34,15.96,104.29,139.5,NA,NA,NA,NA,NA,0
"58",69,180.86,127.77,698.59999,994.99,2,14.02,4.8,98.36,116.11,1
"59",31,65.5,66.03,212.24,365.81,11,19.57,18.78,76.79,111.3,1
"60",34,71.24,72.97,229.12,399.66,11,19.57,18.78,76.79,111.3,1
"61",10,16.59,19.28,36.02,75.29,11,19.57,18.78,76.79,111.3,1
"62",24,54.65,53.69,193.1,324.37,11,19.57,18.78,76.79,111.3,1
"63",5,6.22,10.44,6.58,13.34,11,19.57,18.78,76.79,111.3,1
"64",7,15.97,14.59,55.59,92.31,11,19.57,18.78,76.79,111.3,1
"65",11,20.04,22.95,49.32,101.36,11,19.57,18.78,76.79,111.3,1
"66",15,28.69,21.34,71.34,156.32,NA,NA,NA,NA,NA,0
"67",0,0,0,0,0,11,19.57,18.78,76.79,111.3,1
"68",3,5.72,4.74,12.89,31.32,NA,NA,NA,NA,NA,0
"69",0,0,0,0,0,11,19.57,18.78,76.79,111.3,1
"70",3,5.72,4.74,12.89,31.32,11,19.57,18.78,76.79,111.3,1
