"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"38","E02005875","Gedling 011",3254,46,198,2177,197,18,6,564,10,26,12,109.807,63.807,193.558,2135.28,-41.72,77.014,31.014,195.08099,2158.8511,-18.149,437.83801,391.83801,164.07001,1926.634,-250.366,799.23499,753.23499,138.92,1693.655,-483.345,-0.03933,72888,-0.02216,41056,-0.02471,45829,-0.00755,13997,-0.13545,251225,-0.11829,219393,-0.17907,332158,-0.1619,300326,-23221,-13582,-15226,-5587,-78398,-68759,-156032,-146393,2.78596
"55","E02002881","Nottingham 014",2110,73,233,1063,140,9,15,517,14,27,19,144.257,71.257,222.72501,1028.7729,-34.227,124.238,51.238,225.092,1040.683,-22.317,452.95099,379.95099,170.735,884.82202,-178.17799,651.67603,578.67603,150.995,783.711,-279.289,-0.05077,94113,-0.02559,47402,-0.03615,67034,-0.01096,20323,-0.17145,318004,-0.14626,271293,-0.17909,332188,-0.1539,285477,-22582,-10607,-18620,-6645,-62893,-50918,-101257,-89282,1.72957
"71","E02005820","Ashfield 002",2616,65,270,1935,164,15,7,121,9,23,7,154.72,89.72,255.381,1872.917,-62.083,136.795,71.795,252.68201,1889.262,-45.738,571.39801,506.39801,182.05099,1590.155,-344.845,772.81201,707.81201,163.782,1437.847,-497.15302,-0.04085,75725,-0.02455,45483,-0.02667,49465,-0.01036,19223,-0.1391,258011,-0.1228,227769,-0.15548,288393,-0.13917,258151,-26247,-15297,-20008,-9058,-85857,-74907,-144333,-133383,1.5894
"98","E02002873","Nottingham 006",3733,78,415,1846,246,19,32,1014,31,33,19,171.797,93.797,401.41,1803.366,-42.634,146.243,68.243,404.96201,1816.2629,-29.737,629.10901,551.10901,321.57401,1606.08,-239.92,1024.319,946.31897,274.19901,1423.332,-422.668,-0.05685,105386,-0.03146,58293,-0.03975,73721,-0.01436,26628,-0.21345,395938,-0.18806,348845,-0.25317,469620,-0.22778,422527,-24608,-13395,-19399,-8186,-76619,-65406,-142501,-131288,2.32554
"134","E02005920","Rushcliffe 015",3032,54,180,2476,141,25,6,120,3,17,10,120.749,66.749,172.20599,2423.9961,-52.004,86.877,32.877,176.162,2450.5591,-25.441,359.70401,305.70401,138.138,2242.9519,-233.048,593.70398,539.70398,120.575,2052.51,-423.48999,-0.04613,85495,-0.02621,48548,-0.03309,61371,-0.01317,24424,-0.11575,214670,-0.09584,177723,-0.15525,287951,-0.13533,251004,-44286,-24979,-32539,-13232,-113304,-93997,-226062,-206755,NA
"142","E02005909","Rushcliffe 004",3969,307,387,2494,146,79,10,517,2,10,17,494.58801,187.588,355.63199,2385.2419,-108.758,470.42999,163.42999,364.73801,2396.603,-97.397,1080.124,773.12402,243.661,2056.342,-437.65799,1293.158,986.15802,235.173,1899.618,-594.38202,-0.09946,184441,-0.03583,66405,-0.09549,177124,-0.03186,59088,-0.18909,350731,-0.12546,232695,-0.19407,359967,-0.13044,241931,-77529,-28175,-75239,-25885,-150246,-100892,-220664,-171310,0.80282
"157","E02005919","Rushcliffe 014",2493,77,183,1848,133,21,3,183,3,20,22,125.154,48.154,175.44299,1814.653,-33.347,112.798,35.798,180.144,1821.2111,-26.789,276.26001,199.25999,143.774,1716.21,-131.78999,470.974,393.974,124.866,1572.165,-275.83499,-0.04443,82339,-0.01834,33944,-0.0446,82732,-0.01851,34337,-0.08095,150105,-0.05486,101710,-0.12107,224532,-0.09498,176137,-38163,-15810,-39598,-17245,-72901,-50548,-156350,-133997,1.92382
"220","E02005865","Gedling 001",3190,32,145,2585,153,57,44,136,5,16,17,87.112,55.112,140.159,2541.439,-43.56,54.442,22.442,143.649,2567.26,-17.74,310.22,278.22,113.003,2368.5491,-216.451,574.34802,542.34802,98.468,2153.47,-431.53,-0.0433,80245,-0.02731,50593,-0.02462,45652,-0.00863,16000,-0.13283,246351,-0.11684,216699,-0.19769,366682,-0.1817,337030,-31827,-20161,-20301,-8635,-96752,-85086,-212108,-200442,2.34501
"232","E02005889","Mansfield 010",4440,85,672,2904,380,27,2,263,44,44,19,224.28999,139.28999,641.08502,2820.748,-83.252,164.48801,79.488,652.63898,2857.801,-46.199,910.586,825.586,475.10501,2422.6521,-481.34799,1293.845,1208.845,414.95801,2171.793,-732.20697,-0.05678,105271,-0.03388,62798,-0.03278,60797,-0.00988,18324,-0.17758,329397,-0.15469,286924,-0.19694,365318,-0.17404,322845,-34193,-21036,-22573,-9416,-118382,-105225,-207801,-194644,2.59334
"239","E02005850","Broxtowe 001",3079,52,241,2306,196,13,30,188,10,30,13,103.29,51.29,235.091,2269.0071,-36.993,110.097,58.097,232.866,2266.0061,-39.994,334.32101,282.32101,198.808,2112.6541,-193.34599,617.802,565.802,171.479,1903.205,-402.79501,-0.0419,77647,-0.01887,34934,-0.03812,70689,-0.01509,27976,-0.10368,192272,-0.08065,149559,-0.1574,291949,-0.13438,249236,-35785,-15209,-37045,-16469,-80975,-60399,-176341,-155765,3.03148
"259","E02002904","Nottingham 037",2556,102,267,1418,182,7,4,528,13,28,7,201.13901,99.139,252.28799,1366.561,-51.439,187.80701,85.807,239.343,1381.8361,-36.164,573.71301,471.71301,186.35201,1180.515,-237.485,770.96198,668.96198,169.25,1066.957,-351.043,-0.08049,149249,-0.04002,74183,-0.05324,98757,-0.01277,23691,-0.24124,447505,-0.20077,372439,-0.24079,446673,-0.20032,371607,-37431,-18126,-28304,-8999,-95993,-76688,-146587,-127282,1.1021
"260","E02005901","Newark and Sherwood 009",4066,313,757,2487,241,133,5,67,12,33,18,507.86099,194.86099,697.75098,2373.292,-113.708,395.039,82.039,727.07501,2443.283,-43.716,1165.223,852.22198,485.439,2000.432,-486.56799,1262.892,949.89203,476.12701,1925.826,-561.17401,-0.06743,125066,-0.02367,43887,-0.04922,91310,-0.00546,10131,-0.11061,205181,-0.06685,124002,-0.12197,226269,-0.07821,145090,-53676,-19972,-39722,-6018,-95057,-61353,-143451,-109747,0.17671
