"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"128663","E02005922 E02005923","E02005922","E02005923",659,0,6,4,3,363,35,46,199,1,77.5599975585938,31.5599994659424,188.820007324219,-10.1800003051758,344.230010986328,-18.7700004577637,70.5699996948242,24.5699996948242,191.330001831055,-7.67000007629395,348.070007324219,-14.9300003051758,222.270004272461,176.270004272461,141.940002441406,-57.060001373291,258.429992675781,-104.569999694824,287.970001220703,241.970001220703,120.540000915527,-78.4599990844727,219.610000610352,-143.389999389648,-0.0040799998678267,7561,-0.00686000008136034,12720,-0.002779999980703,5159,-0.00566999986767769,10510,-0.00158999999985099,2949,-0.017960000783205,33320,-0.013880000449717,25759,-0.00657999981194735,12210,-0.00251000002026558,4649,-0.00291000003926456,5406,-0.00490000005811453,9098,-0.00199000001884997,3692,-0.00404000002890825,7500,-0.00112999998964369,2094,-0.0129399998113513,24006,-0.0100299995392561,18600,-0.00603999989107251,11197,-0.00312000000849366,5791,-3493,-5883,-2390,-5407,-1914,-16807,-13314,-21743,-18250,2,1.20489169152546,"Cherwell 002","Cherwell 003",2.523,1.827,988,1436,2.09396414444997,0.724137931034483,1.98176773682124,470,6044,0.0284619594964423,6.98027314112291
"128664","E02005922 E02005924","E02005922","E02005924",1250,0,78,18,9,795,116,68,159,3,136.509994506836,68.5100021362305,149.779998779297,-9.22000026702881,748.929992675781,-46.0699996948242,109.050003051758,41.0499992370605,153.020004272461,-5.98000001907349,767.799987792969,-27.2000007629395,425.570007324219,357.570007324219,111.029998779297,-47.9700012207031,554.380004882812,-240.619995117188,549.409973144531,481.410003662109,94.3499984741211,-64.6500015258789,471.109985351562,-323.890014648438,-0.0211100000888109,39162,-0.0425099991261959,78875,-0.0214099995791912,39713,-0.0297200009226799,55141,-0.00860999990254641,15979,-0.12601999938488,233801,-0.104910001158714,194639,-0.106590002775192,197758,-0.0854799970984459,158596,-0.0138900000602007,25761,-0.0279600005596876,51869,-0.0140699995681643,26108,-0.0195599999278784,36294,-0.00567999994382262,10533,-0.0829000025987625,153811,-0.069020003080368,128050,-0.0709600001573563,131659,-0.0570800006389618,105898,-9823,-19747,-9924,-15698,-5875,-61652,-51829,-79591,-69768,4,2.49677601738819,"Cherwell 002","Cherwell 004",4.232,4.17,1722,2182,1.69498584195269,0.985349716446125,1.48865784499055,789,12195,0.0151079136690647,5.44
"128665","E02005922 E02005925","E02005922","E02005925",71,0,3,0,1,35,4,7,21,0,9.96000003814697,2.96000003814697,20.0499992370605,-0.949999988079071,33.3499984741211,-1.64999997615814,17.8299999237061,10.8299999237061,18.0200004577637,-2.98000001907349,28.2299995422363,-6.76999998092651,21.6599998474121,14.6599998474121,16.0799999237061,-4.92000007629395,27.1399993896484,-7.8600001335144,29.7299995422363,22.7299995422363,13.4399995803833,-7.55999994277954,22.7199993133545,-12.2799997329712,-0.000720000010915101,1341,-0.000989999971352518,1831,-0.000260000000707805,490,-0.00158000004012138,2930,-0.000859999970998615,1589,-0.00179999996908009,3335,-0.00107999995816499,1994,-0.000850000011269003,1574,-0.000130000000353903,233,-0.000509999983478338,939,-0.000699999975040555,1290,-0.000190000006114133,351,-0.00109999999403954,2037,-0.000590000010561198,1098,-0.00130000000353903,2401,-0.000790000020060688,1462,-0.000739999988581985,1366,-0.000230000005103648,427,-537,-749,-212,-1413,-876,-1550,-1013,-2122,-1585,0,1.42836315114885,"Cherwell 002","Cherwell 005",2.555,2.334,1170,1882,1.78876079094101,0.913502935420744,2.19178082191781,476,5281,0.0205655526992288,9.85915492957746
"128666","E02005922 E02005926","E02005922","E02005926",297,0,21,1,0,207,20,12,35,0,25.5499992370605,13.5500001907349,33.310001373291,-1.69000005722046,197.210006713867,-9.78999996185303,23.3299999237061,11.3299999237061,33.4700012207031,-1.52999997138977,199.089996337891,-7.90999984741211,89.4300003051758,77.4300003051758,25.3299999237061,-9.67000007629395,151.139999389648,-55.8600006103516,123.76000213623,111.76000213623,21.1700000762939,-13.8299999237061,126.080001831055,-80.9199981689453,-0.00374999991618097,6959,-0.00791999977082014,14695,-0.00417000008746982,7736,-0.00609999988228083,11320,-0.00234999996609986,4361,-0.0260899998247623,48411,-0.0223399996757507,41452,-0.0236900001764297,43957,-0.0199400000274181,36998,-0.0024600001052022,4558,-0.00518999993801117,9632,-0.00273999990895391,5074,-0.00400000018998981,7425,-0.00155000004451722,2867,-0.0171300005167723,31772,-0.0146700004115701,27214,-0.01570999994874,29153,-0.013260000385344,24595,-1821,-3839,-2018,-3460,-1639,-13345,-11524,-18505,-16684,1,2.68336917397239,"Cherwell 002","Cherwell 006",4.074,4.084,1862,2710,1.51824059079018,1.00245459008346,1.93912616593029,759,9441,0.0217923604309501,4.04040404040404
"128667","E02005922 E02005927","E02005922","E02005927",194,0,8,3,0,147,23,4,9,0,11.289999961853,7.28999996185303,8.64999961853027,-0.349999994039536,141.360000610352,-5.6399998664856,15.539999961853,11.539999961853,8.47999954223633,-0.519999980926514,137.990005493164,-9.01000022888184,46.6500015258789,42.6500015258789,6.94999980926514,-2.04999995231628,114.089996337891,-32.9099998474121,71.6699981689453,67.6699981689453,5.76999998092651,-3.23000001907349,94.7200012207031,-52.2799987792969,-0.00205000001005828,3799,-0.00571999978274107,10614,-0.00367000000551343,6815,-0.00608999980613589,11299,-0.00404000002890825,7500,-0.0218400005251169,40510,-0.0197899993509054,36711,-0.0208100005984306,38604,-0.0187599994242191,34805,-0.00132999999914318,2469,-0.00371999992057681,6908,-0.00239000003784895,4439,-0.00395999988541007,7351,-0.00263000000268221,4882,-0.0142299998551607,26404,-0.0129000004380941,23935,-0.0136799998581409,25372,-0.0123500004410744,22903,-887,-2461,-1574,-3403,-2516,-10082,-9195,-15495,-14608,0,3.40461963380717,"Cherwell 002","Cherwell 007",5.495,4.6,2470,4064,1.61398352562964,0.83712465878071,2.12920837124659,1024,12461,0.0297826086956522,2.06185567010309
"128668","E02005922 E02005928","E02005922","E02005928",191,0,13,2,2,158,8,2,4,2,7.94000005722046,5.94000005722046,3.86999988555908,-0.129999995231628,153.039993286133,-4.96000003814697,6.80999994277954,4.80999994277954,3.89000010490417,-0.109999999403954,154.020004272461,-3.98000001907349,33.8899993896484,31.8899993896484,3.3199999332428,-0.680000007152557,131.350006103516,-26.6499996185303,57.75,55.75,2.8199999332428,-1.17999994754791,111.410003662109,-46.5900001525879,-0.00156000000424683,2887,-0.00620000017806888,11494,-0.0046399999409914,8607,-0.00413999985903502,7684,-0.00258999993093312,4797,-0.0245900005102158,45622,-0.023029999807477,42735,-0.0265599992126226,49281,-0.0250100009143353,46394,-0.00101999996695668,1892,-0.00406000018119812,7525,-0.00304000009782612,5633,-0.00270999991334975,5036,-0.00168999994639307,3144,-0.0161099992692471,29887,-0.015089999884367,27995,-0.0175899993628263,32627,-0.0165699999779463,30735,-677,-2705,-2028,-2305,-1628,-11575,-10898,-19732,-19055,0,6.041521327279,"Cherwell 002","Cherwell 008",8.035,8.336,3662,4676,1.32996302830546,1.03746110765401,1.8170504044804,1498,20397,0.0203934740882917,1.04712041884817
"128669","E02005922 E02005929","E02005922","E02005929",66,0,2,0,0,59,2,1,2,0,1.97000002861023,0.970000028610229,1.97000002861023,-0.0299999993294477,58.1199989318848,-0.879999995231628,1.94000005722046,0.939999997615814,1.97000002861023,-0.0299999993294477,58.1599998474121,-0.839999973773956,4.69999980926514,3.70000004768372,1.88999998569489,-0.109999999403954,55.6500015258789,-3.34999990463257,11.6400003433228,10.6400003433228,1.66999995708466,-0.330000013113022,49.3499984741211,-9.64999961853027,-0.00109999999403954,2050,-0.00218000006861985,4043,-0.00106999999843538,1993,-0.00182000000495464,3375,-0.000709999992977828,1325,-0.00479000015184283,8878,-0.00368000008165836,6828,-0.00778000010177493,14441,-0.0066800001077354,12391,-0.000739999988581985,1375,-0.00146000005770475,2708,-0.000720000010915101,1333,-0.00121999997645617,2263,-0.00047999998787418,888,-0.00320999999530613,5952,-0.00246999994851649,4577,-0.00533000007271767,9880,-0.00457999994978309,8505,-533,-1052,-519,-1032,-499,-2521,-1988,-6256,-5723,0,8.84915243257123,"Cherwell 002","Cherwell 009",11.682,13.874,5994,9320,1.32012642894498,1.18763910289334,2.44821092278719,2178,32947,0.0256595069914949,1.51515151515152
"128670","E02005922 E02005930","E02005922","E02005930",57,0,0,0,1,54,2,0,0,0,0.5,0.5,0,0,53.5200004577637,-0.479999989271164,0,0,0,0,54,0,1.62999999523163,1.62999999523163,0,0,52.4599990844727,-1.53999996185303,5.53999996185303,5.53999996185303,0,0,48.75,-5.25,0,0,-0.000899999984540045,1662,-0.000899999984540045,1662,0,0,0,0,-0.00261999992653728,4868,-0.00261999992653728,4868,-0.00585999991744757,10875,-0.00585999991744757,10875,0,0,-0.00047999998787418,889,-0.00047999998787418,889,0,0,0,0,-0.00150999997276813,2806,-0.00150999997276813,2806,-0.00377000006847084,6991,-0.00377000006847084,6991,0,-425,-425,0,0,-1383,-1383,-4708,-4708,0,13.9847152145864,"Cherwell 002","Cherwell 010",17.623,20.48,8230,13640,1.26016152131713,1.16211768711343,2.23571469102877,3285,74074,0.0177734375,0
"128675","E02005922 E02005994","E02005922","E02005994",30,0,0,0,0,27,3,0,0,0,0.180000007152557,0.180000007152557,0,0,26.8400001525879,-0.159999996423721,0,0,0,0,27,0,0.469999998807907,0.469999998807907,0,0,26.5799999237061,-0.419999986886978,2.10999989509583,2.10999989509583,0,0,25.1000003814697,-1.89999997615814,0,0,-0.000380000012228265,709,-0.000380000012228265,709,0,0,0,0,-0.000859999970998615,1587,-0.000859999970998615,1587,-0.00246999994851649,4577,-0.00246999994851649,4577,0,0,-0.000169999999343418,318,-0.000169999999343418,318,0,0,0,0,-0.000429999985499308,789,-0.000429999985499308,789,-0.00158999999985099,2942,-0.00158999999985099,2942,0,-174,-174,0,0,-446,-446,-2028,-2028,0,17.3335833297983,"Cherwell 002","West Oxfordshire 002",21.018,26.557,10442,13336,1.21255943448622,1.26353601674755,2.69292986963555,3918,85284,0.0216891968219302,0
"128679","E02005923 E02005924","E02005923","E02005924",1406,0,47,13,12,690,94,108,430,7,202.880004882812,94.879997253418,398.690002441406,-31.3099994659424,639.390014648438,-50.6100006103516,146.949996948242,38.9500007629395,416.739990234375,-13.2600002288818,669.799987792969,-20.2000007629395,592.760009765625,484.760009765625,269,-161,432.890014648438,-257.109985351562,679.369995117188,571.369995117188,240.279998779297,-189.720001220703,386.890014648438,-303.109985351562,-0.00975000020116568,18093,-0.0178900007158518,33193,-0.00813999958336353,15100,-0.011909999884665,22097,-0.00215999991632998,4004,-0.0465000011026859,86266,-0.0367400012910366,68173,-0.0130799999460578,24273,-0.00332999997772276,6180,-0.00698000006377697,12949,-0.0128499995917082,23845,-0.0058699999935925,10896,-0.00855999998748302,15870,-0.00158000004012138,2921,-0.0337999984622002,62713,-0.0268200002610683,49764,-0.0128899998962879,23920,-0.00590999983251095,10971,-7680,-14277,-6597,-10311,-2631,-41195,-33515,-47191,-39511,5,1.59939630649382,"Cherwell 003","Cherwell 004",2.559,2.211,1208,2180,1.59997868546403,0.86400937866354,1.13325517780383,477,5812,0.0122116689280868,7.68136557610242
