"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"244426",1,1,1,2.523,988,102,50,0.01982,470,22,6044,"E02005922 E02005923",102
"244427",1,1,1,4.232,1722,259,63,0.01489,789,46,12195,"E02005922 E02005924",259
"244428",1,1,1,2.555,1170,83,56,0.02192,476,38,5281,"E02005922 E02005925",83
"244429",1,1,1,4.074,1862,131,79,0.01939,759,62,9441,"E02005922 E02005926",131
"244430",1,1,1,5.495,2470,196,117,0.02129,1024,83,12461,"E02005922 E02005927",196
"244431",1,1,1,8.035,3662,265,146,0.01817,1498,108,20397,"E02005922 E02005928",265
"244432",1,1,1,11.682,5994,313,286,0.02448,2178,250,32947,"E02005922 E02005929",313
"244433",1,1,1,17.623,8230,397,394,0.02236,3285,306,74074,"E02005922 E02005930",397
"244440",1,1,1,21.018,10442,546,566,0.02693,3918,434,85284,"E02005922 E02005994",546
"244451",1,1,1,2.559,1208,186,29,0.01133,477,34,5812,"E02005923 E02005924",186
"244452",1,1,1,1.089,738,35,34,0.03122,203,37,2642,"E02005923 E02005925",35
"244453",1,1,1,1.96,1136,71,43,0.02194,365,50,5377,"E02005923 E02005926",71
"244454",1,1,1,3.382,1760,144,79,0.02336,630,72,8558,"E02005923 E02005927",144
"244455",1,1,1,5.922,2952,213,108,0.01824,1104,98,16494,"E02005923 E02005928",213
"244456",1,1,1,9.568,5268,253,250,0.02613,1784,238,28883,"E02005923 E02005929",253
"244457",1,1,1,15.51,7520,345,356,0.02295,2891,295,70171,"E02005923 E02005930",345
"244462",1,1,1,21.84,10580,520,415,0.019,4071,437,109759,"E02005923 E02005993",520
"244463",1,1,1,18.904,9716,486,530,0.02804,3524,422,81220,"E02005923 E02005994",486
"244473",1,1,1,3.463,2034,168,57,0.01646,646,81,8362,"E02005924 E02005925",168
"244474",1,1,1,2.253,1514,87,44,0.01953,420,63,8902,"E02005924 E02005926",87
"244475",1,1,1,2.078,1382,127,44,0.02117,387,52,4667,"E02005924 E02005927",127
"244476",1,1,1,5.534,2912,226,121,0.02186,1032,110,10153,"E02005924 E02005928",226
"244477",1,1,1,10.797,6070,347,263,0.02436,2013,265,32819,"E02005924 E02005929",347
"244478",1,1,1,15.069,7550,346,347,0.02303,2809,294,75028,"E02005924 E02005930",346
"244486",1,1,1,19.197,10094,502,531,0.02766,3579,434,84745,"E02005924 E02005994",502
"244497",1,1,1,2.115,1046,67,53,0.02506,394,41,4818,"E02005925 E02005926",67
"244498",1,1,1,3.572,1666,128,91,0.02548,666,62,7991,"E02005925 E02005927",128
"244499",1,1,1,6.112,2858,197,120,0.01963,1139,87,15927,"E02005925 E02005928",197
"244500",1,1,1,9.723,5178,249,260,0.02674,1812,228,28324,"E02005925 E02005929",249
"244501",1,1,1,15.7,7426,329,368,0.02344,2927,285,69604,"E02005925 E02005930",329
"244507",1,1,1,21.995,10490,516,425,0.01932,4100,427,109200,"E02005925 E02005993",516
