"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"244426",1,1,1,1.827,1436,81,52,0.02846,341,20,2775,"E02005922 E02005923"
"244427",1,1,1,4.17,2182,246,63,0.01511,777,43,4833,"E02005922 E02005924"
"244428",1,1,1,2.334,1882,99,48,0.02057,435,35,4410,"E02005922 E02005925"
"244429",1,1,1,4.084,2710,170,89,0.02179,761,71,7146,"E02005922 E02005926"
"244430",1,1,1,4.6,4064,255,137,0.02978,857,86,8424,"E02005922 E02005927"
"244431",1,1,1,8.336,4676,260,170,0.02039,1554,127,12310,"E02005922 E02005928"
"244432",1,1,1,13.874,9320,346,356,0.02566,2586,302,27095,"E02005922 E02005929"
"244433",1,1,1,20.48,13640,443,364,0.01777,3818,331,34101,"E02005922 E02005930"
"244440",1,1,1,26.557,13336,643,576,0.02169,4951,503,42117,"E02005922 E02005994"
"244451",1,1,1,2.211,2180,160,27,0.01221,412,28,4027,"E02005923 E02005924"
"244452",1,1,1,1.089,738,35,34,0.03122,203,37,2642,"E02005923 E02005925"
"244453",1,1,1,2.44,1332,75,51,0.0209,455,59,5145,"E02005923 E02005926"
"244454",1,1,1,2.961,2686,175,99,0.03343,552,74,6621,"E02005923 E02005927"
"244455",1,1,1,6.692,3298,165,132,0.01973,1247,115,10309,"E02005923 E02005928"
"244456",1,1,1,10.358,7080,226,294,0.02838,1931,259,25270,"E02005923 E02005929"
"244457",1,1,1,18.836,12262,348,326,0.01731,3511,319,32100,"E02005923 E02005930"
"244462",1,1,1,26.108,14488,556,817,0.03129,4867,613,53499,"E02005923 E02005993"
"244463",1,1,1,24.913,11958,548,538,0.0216,4644,491,40116,"E02005923 E02005994"
"244473",1,1,1,3.033,2700,191,53,0.01747,565,74,6581,"E02005924 E02005925"
"244474",1,1,1,2.787,1944,106,56,0.02009,520,72,6318,"E02005924 E02005926"
"244475",1,1,1,2.022,1580,129,46,0.02275,377,53,4629,"E02005924 E02005927"
"244476",1,1,1,5.545,3528,260,123,0.02218,1034,112,9654,"E02005924 E02005928"
"244477",1,1,1,13.05,8938,348,319,0.02444,2433,308,25981,"E02005924 E02005929"
"244478",1,1,1,17.689,12492,443,317,0.01792,3297,315,31445,"E02005924 E02005930"
"244486",1,1,1,23.766,12188,643,529,0.02226,4430,488,39461,"E02005924 E02005994"
"244497",1,1,1,2.115,1046,67,53,0.02506,394,41,4818,"E02005925 E02005926"
"244498",1,1,1,3.473,2048,140,131,0.03772,647,75,6449,"E02005925 E02005927"
"244499",1,1,1,6.367,3012,157,134,0.02105,1187,96,9982,"E02005925 E02005928"
"244500",1,1,1,10.513,6990,222,304,0.02892,1960,249,24711,"E02005925 E02005929"
"244501",1,1,1,18.511,11976,340,328,0.01772,3451,300,31773,"E02005925 E02005930"
"244507",1,1,1,26.263,14398,552,827,0.03149,4896,604,52940,"E02005925 E02005993"
"244508",1,1,1,24.588,11672,540,540,0.02196,4583,472,39789,"E02005925 E02005994"
"244522",1,1,1,1.643,728,61,30,0.01826,306,20,2369,"E02005926 E02005927"
"244523",1,1,1,4.257,1880,92,81,0.01903,794,56,5349,"E02005926 E02005928"
"244524",1,1,1,9.843,6602,181,267,0.02713,1835,231,20151,"E02005926 E02005929"
"244525",1,1,1,16.401,10844,275,275,0.01677,3057,259,27140,"E02005926 E02005930"
"244530",1,1,1,25.593,14010,511,790,0.03087,4771,586,48380,"E02005926 E02005993"
"244531",1,1,1,22.478,10540,475,487,0.02167,4190,432,35156,"E02005926 E02005994"
"244542",1,1,1,3.635,1820,139,79,0.02173,678,61,5196,"E02005927 E02005928"
"244543",1,1,1,11.357,7546,249,293,0.0258,2117,267,21956,"E02005927 E02005929"
"244544",1,1,1,15.779,10784,322,273,0.0173,2941,265,26987,"E02005927 E02005930"
"244549",1,1,1,27.107,14954,579,816,0.0301,5053,621,50185,"E02005927 E02005993"
"244550",1,1,1,21.856,10480,522,485,0.02219,4074,437,35003,"E02005927 E02005994"
"244562",1,1,1,9.313,5048,157,196,0.02105,1736,219,21312,"E02005928 E02005929"
"244563",1,1,1,13.06,9704,214,218,0.01669,2435,222,23217,"E02005928 E02005930"
"244564",1,1,1,24.284,12626,486,329,0.01355,4527,354,41157,"E02005928 E02005931"
"244565",1,1,1,25.008,12992,450,338,0.01352,4662,354,41651,"E02005928 E02005933"
"244566",1,1,1,23.192,12304,413,323,0.01393,4323,331,39809,"E02005928 E02005934"
"244567",1,1,1,25.423,13640,495,336,0.01322,4739,352,42703,"E02005928 E02005935"
"244571",1,1,1,22.716,11616,523,527,0.0232,4235,484,50262,"E02005928 E02005993"
"244572",1,1,1,19.137,9400,414,430,0.02247,3567,394,31233,"E02005928 E02005994"
"244573",1,1,1,27.254,17238,534,589,0.02161,5080,464,36508,"E02005928 E02005996"
"244585",1,1,1,17.118,7552,409,418,0.02442,3191,286,27735,"E02005929 E02005930"
"244593",1,1,1,14.796,8010,302,405,0.02737,2758,304,32595,"E02005929 E02005993"
"244594",1,1,1,12.025,6656,226,432,0.03593,2242,263,26506,"E02005929 E02005994"
"244595",1,1,1,26.268,16262,489,649,0.02471,4897,421,38685,"E02005929 E02005996"
"244610",1,1,1,14.051,6018,342,187,0.01331,2619,184,22917,"E02005930 E02005931"
"244611",1,1,1,14.775,6384,306,196,0.01327,2754,185,23411,"E02005930 E02005933"
"244612",1,1,1,12.959,5696,269,181,0.01397,2416,162,21569,"E02005930 E02005934"
"244613",1,1,1,15.19,7032,351,194,0.01277,2832,182,24463,"E02005930 E02005935"
"244614",1,1,1,20.42,9302,450,217,0.01063,3807,249,30120,"E02005930 E02005936"
"244615",1,1,1,20.66,9478,539,336,0.01626,3851,296,28566,"E02005930 E02005937"
"244616",1,1,1,20.005,8670,475,335,0.01675,3729,288,27484,"E02005930 E02005939"
"244617",1,1,1,23.656,10142,583,369,0.0156,4410,343,31484,"E02005930 E02005940"
"244618",1,1,1,24.761,10572,610,383,0.01547,4616,354,32674,"E02005930 E02005941"
