"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"3","E02005933","Cherwell 013",3901,224,567,2507,263,109,3,179,10,29,10,373.16299,149.16299,527.862,2417.0669,-89.933,304.16699,80.167,542.88098,2460.3101,-46.69,881.315,657.315,388.94601,2114.3911,-392.60901,1033.72,809.71997,373.604,2003.9301,-503.07001,-0.05261,97559,-0.02671,49521,-0.03336,61875,-0.00746,13837,-0.10744,199287,-0.08154,151249,-0.14021,260095,-0.11431,212057,-46341,-22235,-33330,-9224,-94144,-70038,-166526,-142420,0.51329
"150","E02005963","South Oxfordshire 006",3566,177,204,2595,227,101,7,177,6,59,13,268.96799,91.968,192.41299,2528.8259,-66.174,267.293,90.293,201.483,2525.6709,-69.329,479.87799,302.87799,150.845,2386.646,-208.354,736.96002,559.96002,135.715,2186.803,-408.19601,-0.12604,233792,-0.03862,71607,-0.14496,268911,-0.05753,106726,-0.16783,311344,-0.08041,149159,-0.21558,399920,-0.12816,237735,-100631,-32226,-113083,-44678,-152336,-83931,-271289,-202884,0.62575
"351","E02005953","Oxford 014",2666,718,457,880,72,79,7,415,15,8,15,851.95801,133.95799,411.72501,834.82898,-45.171,861.28601,143.286,412.03,826.61603,-53.384,879.54999,161.55,404.858,810.935,-69.065,999.72803,281.728,377.21201,756.80103,-123.199,-0.06995,129743,-0.01139,21102,-0.07029,130390,-0.01173,21749,-0.07637,141646,-0.0178,33005,-0.08346,154811,-0.0249,46170,-56336,-9379,-61352,-14395,-60374,-13417,-78758,-31801,1.49659
"401","E02005973","South Oxfordshire 016",2106,48,478,1278,66,147,12,36,10,16,15,82.445,34.445,463.60199,1260.755,-17.245,73.727,25.727,467.05499,1265.486,-12.514,251.55,203.55,376.35101,1190.553,-87.447,406.93799,358.93799,323.80701,1101.9771,-176.02299,-0.01307,24190,-0.00622,11487,-0.00962,17842,-0.00277,5139,-0.02378,44068,-0.01693,31365,-0.03696,68528,-0.03011,55825,-13098,-6644,-9303,-2849,-30599,-24145,-71428,-64974,3.09981
"493","E02005969","South Oxfordshire 012",4148,239,637,2714,172,141,6,180,6,39,14,363.84201,124.842,596.12598,2642.53,-71.47,307.97,68.97,615.99799,2672.2271,-41.773,726.20697,487.207,460.85199,2449.384,-264.616,991.57599,752.57599,414.86401,2263.062,-450.93799,-0.06442,119460,-0.0249,46145,-0.05398,100126,-0.01445,26811,-0.10286,190782,-0.06334,117467,-0.13426,249052,-0.09474,175737,-69574,-26410,-58419,-15255,-124379,-81215,-227905,-184741,1.11406
"621","E02005954","Oxford 015",4598,869,594,1771,168,65,7,1029,17,44,34,1078.72,209.72,556.11902,1689.58,-81.42,1079.545,210.545,558.461,1684.314,-86.686,1322.925,453.92499,489.586,1581.972,-189.028,1629.021,760.021,443.935,1445.3101,-325.69,-0.17761,329477,-0.03576,66308,-0.16628,308472,-0.02442,45303,-0.21438,397707,-0.07253,134538,-0.23717,439983,-0.09532,176814,-90908,-19461,-91316,-19869,-111576,-40129,-157016,-85569,1.47971
"645","E02005948","Oxford 009",3004,609,907,755,51,305,14,324,7,9,23,753.96002,144.96001,824.63898,721.69202,-33.308,679.37903,70.379,886.56097,729.81598,-25.184,922.05499,313.05499,697.84497,696.14001,-58.86,1037.056,428.056,665.77301,649.95001,-105.05,-0.04787,88767,-0.00872,16155,-0.04806,89144,-0.00891,16532,-0.04974,92251,-0.0106,19639,-0.05598,103823,-0.01683,31211,-43176,-8600,-42583,-8007,-49076,-14500,-69252,-34676,1.29912
"691","E02005996","West Oxfordshire 004",3455,117,277,2496,138,118,10,244,4,41,10,211.07899,94.079,259.39001,2433.325,-62.675,168.103,51.103,274.99301,2457.822,-38.179,506.13699,389.13699,183.791,2248.1909,-247.80901,730.604,613.604,168.37,2078.1709,-417.82901,-0.07279,135001,-0.02822,52331,-0.08467,157071,-0.04011,74401,-0.1185,219816,-0.07394,137146,-0.15423,286103,-0.10967,203433,-69209,-27462,-71008,-29261,-126952,-85205,-230708,-188961,1.40185
"915","E02005922","Cherwell 002",4507,139,505,3243,277,96,5,169,28,23,22,284.129,145.129,480.94,3143.7729,-99.227,233.257,94.257,488.84799,3178.4231,-64.577,931.52002,792.52002,366.884,2706.3989,-536.60101,1276.085,1137.085,319.23999,2460.0569,-782.94299,-0.05803,107637,-0.03155,58511,-0.04007,74328,-0.01359,25202,-0.17423,323227,-0.14775,274101,-0.17805,330309,-0.15156,281183,-45446,-24159,-36865,-15578,-139171,-117884,-218053,-196766,1.9994
"987","E02005951","Oxford 012",2889,718,589,882,91,146,5,420,4,12,22,875.315,157.315,523.62097,834.742,-47.258,790.15198,72.152,574.39203,846.53497,-35.465,961.39899,243.399,483.10599,806.88898,-75.111,1075.655,357.655,458.681,753.97601,-128.024,-0.07361,136515,-0.01309,24261,-0.07098,131668,-0.01047,19414,-0.08183,151779,-0.02132,39525,-0.08956,166122,-0.02905,53868,-63048,-11386,-63368,-11706,-69236,-17574,-91818,-40156,1.25889
