"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"250","E02006030","Shropshire 016",3562,2,22,204,45,33,2284,257,236,464,15,394.477996826172,158.477996826172,433.326995849609,-30.6730003356934,2185.19604492188,-98.8040008544922,396.513000488281,160.513000488281,434.227996826172,-29.7719993591309,2186.44604492188,-97.5540008544922,969.007019042969,733.007019042969,322.227996826172,-141.772003173828,1828.40197753906,-455.597991943359,1181.31799316406,945.317993164062,301.579986572266,-162.419998168945,1678.34997558594,-605.648986816406,-0.0753600001335144,139804,-0.127949997782707,237351,-0.0525900013744831,97547,-0.143900007009506,266962,-0.0685399994254112,127158,-0.261330008506775,484815,-0.185969993472099,345011,-0.25654000043869,475923,-0.181180000305176,336119,-0.0452900007367134,84021,-0.0779699981212616,144630,-0.0326800011098385,60609,-0.0850699990987778,157806,-0.0397699996829033,73785,-0.166050001978874,308037,-0.120750002563,224016,-0.167089998722076,309972,-0.121799997985363,225951,-34489,-57713,-23224,-66080,-31591,-128366,-93877,-187259,-152770,0.0114506708613562
"467","E02006031","Shropshire 017",3741,2,121,107,29,19,2137,252,229,834,11,379.617004394531,150.617004394531,787.870971679688,-46.1290016174316,2054.02490234375,-82.9749984741211,330.423004150391,101.422996520996,798.512023925781,-35.4879989624023,2084.70703125,-52.2929992675781,965.606018066406,736.606018066406,577.244018554688,-256.756011962891,1758.73999023438,-378.260009765625,1193.16198730469,964.161987304688,526.258972167969,-307.740997314453,1615.49194335938,-521.507995605469,-0.0682699978351593,126660,-0.106669999659061,197872,-0.0384000018239021,71212,-0.096450001001358,178935,-0.0281799994409084,52275,-0.177630007266998,329534,-0.109360001981258,202874,-0.181150004267693,336062,-0.112879998981953,209402,-0.0399699993431568,74149,-0.0630899965763092,117014,-0.0231199990957975,42865,-0.0564800016582012,104761,-0.0165100004523993,30612,-0.113070003688335,209744,-0.0730900019407272,135595,-0.120439998805523,223423,-0.0804700031876564,149274,-33595,-53015,-19420,-48790,-15195,-103635,-70040,-161016,-127421,0.0148842356484727
"492","E02006043","Shropshire 036",2609,2,39,26,2,21,1964,179,36,321,19,80.5329971313477,44.5330009460449,309.786010742188,-11.21399974823,1935.23999023438,-28.7600002288818,52.390998840332,16.3910007476807,317.511993408203,-3.48799991607666,1952.89794921875,-11.1020002365112,259.259002685547,223.259002685547,258.052001953125,-62.9480018615723,1825.72705078125,-138.272994995117,430.506988525391,394.506988525391,225.794998168945,-95.2050018310547,1705.67004394531,-258.329986572266,-0.0172199998050928,31945,-0.0400599986314774,74316,-0.0228400006890297,42371,-0.0276500005275011,51299,-0.0104299997910857,19354,-0.0902400016784668,167416,-0.0730199962854385,135471,-0.105860002338886,196404,-0.088639996945858,164459,-0.0121299996972084,22506,-0.0272199995815754,50492,-0.015089999884367,27986,-0.0196000002324581,36362,-0.00747000006958842,13856,-0.0625799968838692,116100,-0.0504500009119511,93594,-0.0805500000715256,149432,-0.0684200003743172,126926,-9280,-21793,-12513,-14797,-5517,-60938,-51658,-124390,-115110,0.0144480519480519
"773","E02006032","Shropshire 018",3917,3,47,203,47,25,2463,285,286,541,17,434.889007568359,148.889007568359,511.940002441406,-29.0599994659424,2369.48999023438,-93.5100021362305,434.282012939453,148.281997680664,506.510009765625,-34.4900016784668,2379.48901367188,-83.5110015869141,957.552978515625,671.552978515625,397.554992675781,-143.445007324219,2051.09106445312,-411.908996582031,1243.26599121094,957.265991210938,356.404998779297,-184.595001220703,1859.81396484375,-603.185974121094,-0.0764399990439415,141805,-0.122210003435612,226715,-0.045779999345541,84910,-0.109030000865459,202265,-0.0325900018215179,60460,-0.230370000004768,427381,-0.153929993510246,285576,-0.23743000626564,440481,-0.160989999771118,298676,-0.0503700003027916,93448,-0.0788400024175644,146248,-0.0284700002521276,52800,-0.0717400014400482,133093,-0.0213699992746115,39645,-0.150529995560646,279248,-0.100160002708435,185800,-0.160229995846748,297244,-0.109860002994537,203796,-35700,-57180,-21480,-51564,-15864,-119915,-84215,-184983,-149283,0.0151123656537015
"852","E02002946","Telford and Wrekin 019",3841,2,33,186,53,45,2895,370,75,167,15,164.199005126953,89.1989974975586,162.046005249023,-4.9539999961853,2829.02807617188,-65.9720001220703,126.389999389648,51.3899993896484,164.214004516602,-2.78600001335144,2857.625,-37.375,604.862976074219,529.862976074219,132.932998657227,-34.0670013427734,2509.52587890625,-385.473999023438,1009.85302734375,934.85302734375,114.060997009277,-52.9389991760254,2204.63696289062,-690.362976074219,-0.0405800007283688,75281,-0.090379998087883,167640,-0.0498000010848045,92359,-0.061319999396801,113761,-0.0207400005310774,38480,-0.287259995937347,532918,-0.24668000638485,457637,-0.363400012254715,674184,-0.322820007801056,598903,-0.0252100005745888,46763,-0.0556499995291233,103214,-0.0304400008171797,56451,-0.0386499986052513,71687,-0.0134399998933077,24924,-0.183229997754097,339905,-0.158020004630089,293142,-0.23581999540329,437480,-0.210610002279282,390717,-15374,-34353,-18979,-24540,-9166,-110739,-95365,-210867,-195493,0.0299952293943365
"862","E02002947","Telford and Wrekin 020",2828,1,28,250,58,34,1906,305,51,181,14,124.777000427246,73.7770004272461,175.087005615234,-5.91300010681152,1857.88403320312,-48.1160011291504,97.2259979248047,46.226001739502,177.815002441406,-3.18499994277954,1874.98095703125,-31.0189990997314,488.352996826172,437.352996826172,143.119995117188,-37.8800010681152,1624.34094238281,-281.658996582031,773.684997558594,722.684997558594,124.060997009277,-56.9389991760254,1435.13195800781,-470.868011474609,-0.0315099991858006,58446,-0.0714299976825714,132494,-0.0399300009012222,74048,-0.0573699995875359,106426,-0.0258600004017353,47980,-0.23139999806881,429281,-0.199890002608299,370835,-0.264200001955032,490146,-0.232700005173683,431700,-0.0168800000101328,31318,-0.0416899994015694,77307,-0.0248099993914366,45989,-0.031360000371933,58172,-0.0144800003618002,26854,-0.14622999727726,271273,-0.129350006580353,239955,-0.171010002493858,317237,-0.15412999689579,285919,-12136,-26042,-13906,-23635,-11499,-82889,-70753,-145731,-133595,0.0234860212145198
"929","E02006039","Shropshire 026",3088,3,20,85,3,31,2444,175,49,257,21,111.106002807617,62.1059989929199,246.158996582031,-10.8409996032715,2399.705078125,-44.2949981689453,82.9670028686523,33.9669990539551,250.188995361328,-6.81099987030029,2421.00903320312,-22.9909992218018,339.968994140625,290.968994140625,196.945999145508,-60.0540008544922,2245.09912109375,-198.901000976562,556.257995605469,507.257995605469,176.352996826172,-80.6470031738281,2074.75903320312,-369.240997314453,-0.0369100011885166,68473,-0.0795700028538704,147601,-0.0426600016653538,79128,-0.0605800002813339,112390,-0.0236699990928173,43917,-0.17069000005722,316659,-0.133780002593994,248186,-0.222979992628098,413684,-0.186069995164871,345211,-0.0224600005894899,41662,-0.0495599992573261,91928,-0.0271000005304813,50266,-0.0366600006818771,68011,-0.0142000000923872,26349,-0.111079998314381,206081,-0.0886299982666969,164419,-0.149979993700981,278251,-0.127529993653297,236589,-17486,-38125,-20639,-29279,-11793,-96986,-79500,-194848,-177362,NA
"1058","E02006013","Shropshire 034",3083,4,45,38,8,21,2645,138,28,139,17,61.2169990539551,33.2169990539551,135.899993896484,-3.09999990463257,2617.6201171875,-27.3799991607666,41.625,13.625,138.384994506836,-0.615000009536743,2633.48999023438,-11.5089998245239,183.565994262695,155.565994262695,119.380996704102,-19.6189994812012,2522.15405273438,-122.846000671387,389.72900390625,361.72900390625,105.584999084473,-33.4150009155273,2346.373046875,-298.627014160156,-0.0208599995821714,38708,-0.0535000003874302,99169,-0.0326300002634525,60461,-0.0345599986612797,64121,-0.0137000000104308,25413,-0.111419998109341,206630,-0.090549997985363,167922,-0.202199995517731,375071,-0.181339994072914,336363,-0.0132699999958277,24613,-0.0312099996954203,57826,-0.0179500002413988,33213,-0.0219500008970499,40723,-0.00867999996989965,16110,-0.0682699978351593,126584,-0.0549999997019768,101971,-0.134609997272491,249673,-0.12134999781847,225060,-9863,-25411,-15548,-16380,-6517,-61917,-52054,-175769,-165906,0.0224186639934384
"1141","E02006035","Shropshire 021",2374,4,46,84,22,14,1628,132,137,301,6,219.5,82.5,285.778991699219,-15.2220001220703,1573.22302246094,-54.7770004272461,190.281997680664,53.2820014953613,293.230010986328,-7.76999998092651,1593.09094238281,-34.9090003967285,535.408996582031,398.408996582031,222.725006103516,-78.2750015258789,1367.27099609375,-260.72900390625,704.934997558594,567.934997558594,200.488998413086,-100.511001586914,1244.56799316406,-383.432006835938,-0.0373199991881847,69228,-0.0655099973082542,121510,-0.0281899999827147,52282,-0.0540100000798702,100201,-0.0166999995708466,30973,-0.138850003480911,257583,-0.101530000567436,188355,-0.143810003995895,266795,-0.106499999761581,197567,-0.0236099995672703,43796,-0.0411200001835823,76254,-0.017510000616312,32458,-0.0343700014054775,63756,-0.0107599999755621,19960,-0.0895500034093857,166112,-0.0659400001168251,122316,-0.095830000936985,177758,-0.0722199976444244,133962,-17827,-31084,-13257,-25638,-7811,-73479,-55652,-116829,-99002,0.0180562763298603
"1155","E02002939","Telford and Wrekin 012",2678,2,132,84,34,11,1859,199,57,291,9,135.320999145508,78.3209991455078,276.830993652344,-14.168999671936,1808.04797363281,-50.951000213623,94.8000030517578,37.7999992370605,285.023010253906,-5.97700023651123,1833.34997558594,-25.6499996185303,497.867004394531,440.867004394531,197.826995849609,-93.1729965209961,1583.78100585938,-275.218994140625,703.023986816406,646.023986816406,181.296005249023,-109.704002380371,1434.93298339844,-424.066986083984,-0.0319700017571449,59304,-0.0685900002717972,127222,-0.0366199985146523,67918,-0.0497500002384186,92297,-0.017790000885725,32993,-0.189349994063377,351282,-0.157389998435974,291978,-0.224830001592636,417101,-0.192860007286072,357797,-0.0199699997901917,37038,-0.0428300015628338,79425,-0.022859999909997,42387,-0.03125,57954,-0.0112800002098083,20916,-0.121969997882843,226260,-0.101999998092651,189222,-0.148340001702309,275178,-0.128370001912117,238140,-12301,-26682,-14381,-20479,-8178,-76703,-64402,-138676,-126375,0.0265242223375162
