"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"250","E02006030","Shropshire 016",3562,2,22,204,45,33,2284,257,236,464,15,394.478,158.478,433.327,-30.673,2185.19604,-98.804,396.513,160.513,434.228,-29.772,2186.44604,-97.554,969.00702,733.00702,322.228,-141.772,1828.40198,-455.59799,1181.31799,945.31799,301.57999,-162.42,1678.34998,-605.64899,-0.07536,139804,-0.12795,237351,-0.05259,97547,-0.1439,266962,-0.06854,127158,-0.26133,484815,-0.18597,345011,-0.25654,475923,-0.18118,336119,-0.04529,84021,-0.07797,144630,-0.03268,60609,-0.08507,157806,-0.03977,73785,-0.16605,308037,-0.12075,224016,-0.16709,309972,-0.1218,225951,-34489,-57713,-23224,-66080,-31591,-128366,-93877,-187259,-152770,0.01145
"467","E02006031","Shropshire 017",3741,2,121,107,29,19,2137,252,229,834,11,379.617,150.617,787.87097,-46.129,2054.0249,-82.975,330.423,101.423,798.51202,-35.488,2084.70703,-52.293,965.60602,736.60602,577.24402,-256.75601,1758.73999,-378.26001,1193.16199,964.16199,526.25897,-307.741,1615.49194,-521.508,-0.06827,126660,-0.10667,197872,-0.0384,71212,-0.09645,178935,-0.02818,52275,-0.17763,329534,-0.10936,202874,-0.18115,336062,-0.11288,209402,-0.03997,74149,-0.06309,117014,-0.02312,42865,-0.05648,104761,-0.01651,30612,-0.11307,209744,-0.07309,135595,-0.12044,223423,-0.08047,149274,-33595,-53015,-19420,-48790,-15195,-103635,-70040,-161016,-127421,0.01488
"492","E02006043","Shropshire 036",2609,2,39,26,2,21,1964,179,36,321,19,80.533,44.533,309.78601,-11.214,1935.23999,-28.76,52.391,16.391,317.51199,-3.488,1952.89795,-11.102,259.259,223.259,258.052,-62.948,1825.72705,-138.27299,430.50699,394.50699,225.795,-95.205,1705.67004,-258.32999,-0.01722,31945,-0.04006,74316,-0.02284,42371,-0.02765,51299,-0.01043,19354,-0.09024,167416,-0.07302,135471,-0.10586,196404,-0.08864,164459,-0.01213,22506,-0.02722,50492,-0.01509,27986,-0.0196,36362,-0.00747,13856,-0.06258,116100,-0.05045,93594,-0.08055,149432,-0.06842,126926,-9280,-21793,-12513,-14797,-5517,-60938,-51658,-124390,-115110,0.01445
"773","E02006032","Shropshire 018",3917,3,47,203,47,25,2463,285,286,541,17,434.88901,148.88901,511.94,-29.06,2369.48999,-93.51,434.28201,148.282,506.51001,-34.49,2379.48901,-83.511,957.55298,671.55298,397.55499,-143.44501,2051.09106,-411.909,1243.26599,957.26599,356.405,-184.595,1859.81396,-603.18597,-0.07644,141805,-0.12221,226715,-0.04578,84910,-0.10903,202265,-0.03259,60460,-0.23037,427381,-0.15393,285576,-0.23743,440481,-0.16099,298676,-0.05037,93448,-0.07884,146248,-0.02847,52800,-0.07174,133093,-0.02137,39645,-0.15053,279248,-0.10016,185800,-0.16023,297244,-0.10986,203796,-35700,-57180,-21480,-51564,-15864,-119915,-84215,-184983,-149283,0.01511
"852","E02002946","Telford and Wrekin 019",3841,2,33,186,53,45,2895,370,75,167,15,164.19901,89.199,162.04601,-4.954,2829.02808,-65.972,126.39,51.39,164.214,-2.786,2857.625,-37.375,604.86298,529.86298,132.933,-34.067,2509.52588,-385.474,1009.85303,934.85303,114.061,-52.939,2204.63696,-690.36298,-0.04058,75281,-0.09038,167640,-0.0498,92359,-0.06132,113761,-0.02074,38480,-0.28726,532918,-0.24668,457637,-0.3634,674184,-0.32282,598903,-0.02521,46763,-0.05565,103214,-0.03044,56451,-0.03865,71687,-0.01344,24924,-0.18323,339905,-0.15802,293142,-0.23582,437480,-0.21061,390717,-15374,-34353,-18979,-24540,-9166,-110739,-95365,-210867,-195493,0.03
"862","E02002947","Telford and Wrekin 020",2828,1,28,250,58,34,1906,305,51,181,14,124.777,73.777,175.08701,-5.913,1857.88403,-48.116,97.226,46.226,177.815,-3.185,1874.98096,-31.019,488.353,437.353,143.12,-37.88,1624.34094,-281.659,773.685,722.685,124.061,-56.939,1435.13196,-470.86801,-0.03151,58446,-0.07143,132494,-0.03993,74048,-0.05737,106426,-0.02586,47980,-0.2314,429281,-0.19989,370835,-0.2642,490146,-0.2327,431700,-0.01688,31318,-0.04169,77307,-0.02481,45989,-0.03136,58172,-0.01448,26854,-0.14623,271273,-0.12935,239955,-0.17101,317237,-0.15413,285919,-12136,-26042,-13906,-23635,-11499,-82889,-70753,-145731,-133595,0.02349
"929","E02006039","Shropshire 026",3088,3,20,85,3,31,2444,175,49,257,21,111.106,62.106,246.159,-10.841,2399.70508,-44.295,82.967,33.967,250.189,-6.811,2421.00903,-22.991,339.96899,290.96899,196.946,-60.054,2245.09912,-198.901,556.258,507.258,176.353,-80.647,2074.75903,-369.241,-0.03691,68473,-0.07957,147601,-0.04266,79128,-0.06058,112390,-0.02367,43917,-0.17069,316659,-0.13378,248186,-0.22298,413684,-0.18607,345211,-0.02246,41662,-0.04956,91928,-0.0271,50266,-0.03666,68011,-0.0142,26349,-0.11108,206081,-0.08863,164419,-0.14998,278251,-0.12753,236589,-17486,-38125,-20639,-29279,-11793,-96986,-79500,-194848,-177362,NA
"1058","E02006013","Shropshire 034",3083,4,45,38,8,21,2645,138,28,139,17,61.217,33.217,135.89999,-3.1,2617.62012,-27.38,41.625,13.625,138.38499,-0.615,2633.48999,-11.509,183.56599,155.56599,119.381,-19.619,2522.15405,-122.846,389.729,361.729,105.585,-33.415,2346.37305,-298.62701,-0.02086,38708,-0.0535,99169,-0.03263,60461,-0.03456,64121,-0.0137,25413,-0.11142,206630,-0.09055,167922,-0.2022,375071,-0.18134,336363,-0.01327,24613,-0.03121,57826,-0.01795,33213,-0.02195,40723,-0.00868,16110,-0.06827,126584,-0.055,101971,-0.13461,249673,-0.12135,225060,-9863,-25411,-15548,-16380,-6517,-61917,-52054,-175769,-165906,0.02242
"1141","E02006035","Shropshire 021",2374,4,46,84,22,14,1628,132,137,301,6,219.5,82.5,285.77899,-15.222,1573.22302,-54.777,190.282,53.282,293.23001,-7.77,1593.09094,-34.909,535.409,398.409,222.72501,-78.275,1367.271,-260.729,704.935,567.935,200.489,-100.511,1244.56799,-383.43201,-0.03732,69228,-0.06551,121510,-0.02819,52282,-0.05401,100201,-0.0167,30973,-0.13885,257583,-0.10153,188355,-0.14381,266795,-0.1065,197567,-0.02361,43796,-0.04112,76254,-0.01751,32458,-0.03437,63756,-0.01076,19960,-0.08955,166112,-0.06594,122316,-0.09583,177758,-0.07222,133962,-17827,-31084,-13257,-25638,-7811,-73479,-55652,-116829,-99002,0.01806
"1155","E02002939","Telford and Wrekin 012",2678,2,132,84,34,11,1859,199,57,291,9,135.321,78.321,276.83099,-14.169,1808.04797,-50.951,94.8,37.8,285.02301,-5.977,1833.34998,-25.65,497.867,440.867,197.827,-93.173,1583.78101,-275.21899,703.02399,646.02399,181.29601,-109.704,1434.93298,-424.06699,-0.03197,59304,-0.06859,127222,-0.03662,67918,-0.04975,92297,-0.01779,32993,-0.18935,351282,-0.15739,291978,-0.22483,417101,-0.19286,357797,-0.01997,37038,-0.04283,79425,-0.02286,42387,-0.03125,57954,-0.01128,20916,-0.12197,226260,-0.102,189222,-0.14834,275178,-0.12837,238140,-12301,-26682,-14381,-20479,-8178,-76703,-64402,-138676,-126375,0.02652
