"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"130111","E02006047 E02006048","E02006047","E02006048",162,0,0,2,2,136,9,7,4,2,9.17000007629395,2.17000007629395,3.94000005722046,-0.0599999986588955,134.089996337891,-1.9099999666214,12.3100004196167,5.30999994277954,3.90000009536743,-0.100000001490116,131.300003051758,-4.69999980926514,9.96000003814697,2.96000003814697,3.85999989509583,-0.140000000596046,133.479995727539,-2.51999998092651,25.9200000762939,18.9200000762939,3.45000004768372,-0.550000011920929,119.459999084473,-16.5400009155273,-0.0095600001513958,17736,-0.012470000423491,23133,-0.00291000003926456,5397,-0.0153500000014901,28476,-0.00578999985009432,10740,-0.0123300002887845,22871,-0.00276999990455806,5135,-0.0212799999862909,39481,-0.0117199998348951,21745,-0.00626999977976084,11639,-0.00820999965071678,15226,-0.00193000002764165,3587,-0.0100899999961257,18713,-0.00380999990738928,7074,-0.00817999988794327,15179,-0.00190999999176711,3540,-0.0143100004643202,26541,-0.00803000014275312,14902,-3966,-5183,-1217,-6964,-2998,-5578,-1612,-14529,-10563,0,10.4640994691545,"Mendip 001","Mendip 002",12.566,13.425,6918,7586,1.20086778963076,1.06835906414133,2.42718446601942,2342,29461,0.0236126629422719,4.32098765432099
"130112","E02006047 E02006049","E02006047","E02006049",369,1,2,0,2,292,27,19,25,1,32.1399993896484,13.1400003433228,24.0599994659424,-0.939999997615814,281.040008544922,-10.960000038147,42.7200012207031,23.7199993133545,22.9500007629395,-2.04999995231628,272.579986572266,-19.4200000762939,97.5500030517578,78.5500030517578,19.4300003051758,-5.57000017166138,226.429992675781,-65.5699996948242,145.910003662109,126.910003662109,15.9700002670288,-9.02999973297119,186.089996337891,-105.910003662109,-0.00551000004634261,10216,-0.00934000033885241,17325,-0.00383000005967915,7109,-0.0108700003474951,20158,-0.00535999983549118,9942,-0.023259999230504,43159,-0.0177599992603064,32943,-0.0246099997311831,45667,-0.0191099997609854,35451,-0.00358000001870096,6637,-0.00607000011950731,11253,-0.00249000010080636,4616,-0.0070699998177588,13110,-0.00349000003188848,6473,-0.0151100000366569,28036,-0.0115299997851253,21399,-0.0160600002855062,29785,-0.0124800000339746,23148,-2436,-4126,-1690,-5431,-2995,-12550,-10114,-18772,-16336,1,2.1804129601089,"Mendip 001","Mendip 003",3.032,2.524,1664,2154,1.39056227213425,0.83245382585752,2.77044854881266,565,6727,0.0293185419968304,5.14905149051491
"130113","E02006047 E02006050","E02006047","E02006050",468,0,19,5,6,290,36,19,91,1,32.4599990844727,13.460000038147,88.2900009155273,-2.71000003814697,281.290008544922,-8.71000003814697,39.2099990844727,20.2099990844727,87.0699996948242,-3.9300000667572,276.809997558594,-13.1899995803833,106.330001831055,87.3300018310547,72.5100021362305,-18.4899997711182,234.25,-55.75,173.369995117188,154.369995117188,59.0800018310547,-31.9200000762939,190.830001831055,-99.1699981689453,-0.00405000010505319,7518,-0.00651000021025538,12082,-0.0024600001052022,4564,-0.00708999997004867,13147,-0.00303000002168119,5629,-0.0157900005578995,29296,-0.011739999987185,21778,-0.0146099999547005,27100,-0.0105600003153086,19582,-0.00267999991774559,4964,-0.00431999983265996,8020,-0.0016499999910593,3056,-0.00469999993219972,8725,-0.00203000009059906,3761,-0.0105799995362759,19632,-0.00791000016033649,14668,-0.0100800003856421,18706,-0.00741000007838011,13742,-1824,-3041,-1217,-3669,-1845,-9632,-7808,-15710,-13886,1,2.45743344639917,"Mendip 001","Mendip 004",2.768,2.654,1710,2100,1.12637841893781,0.958815028901734,3.32369942196532,516,12657,0.0354182366239638,4.05982905982906
"130115","E02006047 E02006052","E02006047","E02006052",66,0,0,0,2,54,4,2,4,0,2.41000008583069,0.409999996423721,3.98000001907349,-0.0199999995529652,53.6599998474121,-0.340000003576279,3.88000011444092,1.87999999523163,3.94000005722046,-0.0599999986588955,52.3199996948242,-1.67999994754791,2.57999992370605,0.579999983310699,3.95000004768372,-0.0500000007450581,53.5400009155273,-0.46000000834465,4.80999994277954,2.80999994277954,3.76999998092651,-0.230000004172325,51.7299995422363,-2.26999998092651,-0.004250000230968,7877,-0.00505999987944961,9379,-0.000809999997727573,1502,-0.00743999984115362,13809,-0.0031999999191612,5932,-0.00500999996438622,9301,-0.000769999984186143,1424,-0.00633999984711409,11761,-0.00209000008180737,3884,-0.00206999992951751,3845,-0.00249000010080636,4609,-0.000410000007832423,764,-0.00362999993376434,6741,-0.00156000000424683,2896,-0.0025299999397248,4702,-0.000460000010207295,857,-0.00383000005967915,7108,-0.00176000001374632,3263,-1850,-2203,-353,-3585,-1735,-2328,-478,-4192,-2342,0,18.0375048365636,"Mendip 001","Mendip 006",20.289,20.73,10966,11208,1.12482298321398,1.0217359160136,2.77490265661196,3782,50871,0.0283164495899662,3.03030303030303
"130116","E02006047 E02006053","E02006047","E02006053",499,1,1,2,7,391,35,18,44,0,32.3899993896484,14.3900003433228,42.6699981689453,-1.33000004291534,379.309997558594,-11.6899995803833,31.2900009155273,13.289999961853,43.2200012207031,-0.779999971389771,380.040008544922,-10.960000038147,108.160003662109,90.1600036621094,35.2299995422363,-8.77000045776367,317.899993896484,-73.0999984741211,180.970001220703,162.970001220703,28.6800003051758,-15.3199996948242,258.670013427734,-132.330001831055,-0.00634999992325902,11775,-0.0110999997705221,20592,-0.0047499998472631,8817,-0.0102099999785423,18936,-0.00386000005528331,7161,-0.0290699992328882,53928,-0.0227199997752905,42153,-0.0331999994814396,61593,-0.0268500000238419,49818,-0.00412000017240644,7642,-0.00722000002861023,13389,-0.00310000008903444,5747,-0.00662000011652708,12282,-0.00249999994412065,4640,-0.0189500004053116,35150,-0.0148299997672439,27508,-0.0217700004577637,40384,-0.0176500007510185,32742,-2734,-4881,-2147,-4767,-2033,-16141,-13407,-27029,-24295,1,3.14781695357044,"Mendip 001","Mendip 007",3.538,3.652,2152,2724,1.1239535373831,1.03222159412097,3.13736574335783,660,16257,0.0358707557502738,3.60721442885772
"130118","E02006047 E02006055","E02006047","E02006055",61,0,0,0,1,54,4,0,2,0,0.360000014305115,0.360000014305115,1.99000000953674,-0.00999999977648258,53.6800003051758,-0.319999992847443,0,0,2,0,54,0,1.08000004291534,1.08000004291534,1.96000003814697,-0.0399999991059303,53.0400009155273,-0.959999978542328,4.67000007629395,4.67000007629395,1.85000002384186,-0.150000005960464,49.8699989318848,-4.13000011444092,0,0,-0.000720000010915101,1326,-0.000720000010915101,1326,0,0,0,0,-0.00158000004012138,2924,-0.00158000004012138,2924,-0.00427999999374151,7934,-0.00427999999374151,7934,0,0,-0.000380000012228265,695,-0.000380000012228265,695,0,0,0,0,-0.000899999984540045,1663,-0.000899999984540045,1663,-0.00300000002607703,5568,-0.00300000002607703,5568,0,-306,-306,0,0,-918,-918,-3959,-3959,0,17.3615565757009,"Mendip 001","Mendip 009",18.837,20.556,10168,11236,1.08498336067194,1.09125656951744,3.0843552582683,3511,45852,0.0310858143607706,0
"130119","E02006047 E02006056","E02006047","E02006056",164,0,2,1,2,147,4,2,5,1,3.35999989509583,1.36000001430511,4.96000003814697,-0.0399999991059303,145.770004272461,-1.23000001907349,2.67000007629395,0.670000016689301,4.98000001907349,-0.0199999995529652,146.389999389648,-0.610000014305115,5.15000009536743,3.15000009536743,4.90000009536743,-0.100000001490116,144.139999389648,-2.85999989509583,17.5599994659424,15.5600004196167,4.51999998092651,-0.479999989271164,132.880004882812,-14.1199998855591,-0.00325999991036952,6045,-0.00547000020742416,10139,-0.002210000064224,4094,-0.00414999993517995,7691,-0.000890000024810433,1646,-0.00704000005498528,13053,-0.00377999991178513,7008,-0.01503000035882,27880,-0.0117699997499585,21835,-0.00208000000566244,3855,-0.00349000003188848,6467,-0.00141000002622604,2612,-0.00264000007882714,4901,-0.000560000014957041,1046,-0.00462999986484647,8586,-0.00255000009201467,4731,-0.0102399997413158,19004,-0.00817000027745962,15149,-1424,-2389,-965,-1901,-477,-3671,-2247,-12517,-11093,0,13.0223330632939,"Mendip 001","Mendip 010",15.44,15.44,8454,8454,1.18565543708299,1,2.90155440414508,2878,33875,0.0290155440414508,1.21951219512195
"130121","E02006047 E02006075","E02006047","E02006075",18,0,0,0,0,17,1,0,0,0,0.109999999403954,0.109999999403954,0,0,16.8899993896484,-0.109999999403954,0,0,0,0,17,0,0.310000002384186,0.310000002384186,0,0,16.7099990844727,-0.28999999165535,1.3400000333786,1.3400000333786,0,0,15.7399997711182,-1.25999999046326,0,0,-0.000250000011874363,463,-0.000250000011874363,463,0,0,0,0,-0.000509999983478338,944,-0.000509999983478338,944,-0.00139999995008111,2588,-0.00139999995008111,2588,0,0,-0.000119999996968545,217,-0.000119999996968545,217,0,0,0,0,-0.000260000000707805,490,-0.000260000000707805,490,-0.000899999984540045,1664,-0.000899999984540045,1664,0,-109,-109,0,0,-298,-298,-1287,-1287,0,18.3266557925315,"Mendip 001","South Somerset 001",20.021,25.952,9596,12678,1.09245244886189,1.29623894910344,2.56230957494631,3732,93509,0.0230040073982737,0
"130132","E02006048 E02006049","E02006048","E02006049",76,0,0,0,0,70,4,0,2,0,0.779999971389771,0.779999971389771,1.98000001907349,-0.0199999995529652,69.2799987792969,-0.720000028610229,0,0,2,0,70,0,3.09999990463257,3.09999990463257,1.91999995708466,-0.0799999982118607,67.1399993896484,-2.85999989509583,9.36999988555908,9.36999988555908,1.75,-0.25,61.3600006103516,-8.64000034332275,0,0,-0.0012300000526011,2278,-0.0012300000526011,2278,0,0,0,0,-0.00359000009484589,6664,-0.00359000009484589,6664,-0.00689999992027879,12792,-0.00689999992027879,12792,0,0,-0.000809999997727573,1510,-0.000809999997727573,1510,0,0,0,0,-0.00240000011399388,4457,-0.00240000011399388,4457,-0.00472000008448958,8753,-0.00472000008448958,8753,0,-539,-539,0,0,-2143,-2143,-6482,-6482,0,12.0286580167194,"Mendip 002","Mendip 003",14.742,15.494,6180,7518,1.22557312540677,1.05101071767738,2.55731922398589,2748,25904,0.0284626306957532,0
"130133","E02006048 E02006050","E02006048","E02006050",113,0,2,8,1,87,5,1,9,0,2.22000002861023,1.22000002861023,8.89999961853027,-0.100000001490116,86.0500030517578,-0.949999988079071,2.16000008583069,1.1599999666214,9,0,86.0800018310547,-0.920000016689301,5.73000001907349,4.73000001907349,8.55000019073486,-0.449999988079071,83.3399963378906,-3.66000008583069,16.6299991607666,15.6300001144409,7.67999982833862,-1.32000005245209,74.870002746582,-12.1300001144409,-0.0013899999903515,2574,-0.00280999997630715,5205,-0.00141999998595566,2631,-0.00267999991774559,4973,-0.00129000004380941,2399,-0.00522999977692962,9692,-0.00383999990299344,7118,-0.00894999969750643,16594,-0.00755999982357025,14020,-0.000890000024810433,1655,-0.00190999999176711,3543,-0.00101999996695668,1888,-0.00171999994199723,3197,-0.000829999975394458,1542,-0.0037599999923259,6967,-0.00285999989137053,5312,-0.00690999999642372,12819,-0.00602000020444393,11164,-497,-1090,-593,-1073,-576,-2789,-2292,-8099,-7602,0,10.5707126619076,"Mendip 002","Mendip 004",12.313,14.674,5420,6986,1.16482212636154,1.19174855843418,3.11053358239259,2295,24075,0.0318249965926128,0.884955752212389
